MEDIA 5324 | meaning: a soft object with holes used for washing
E 35417 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
MEDIA 5429 | meaning: to have confidence in other people
E 36099 | A1 type 4 Modal verb CAN | style dramatic | options 3 | SEL
en|She ... trust them! She falls backwards! Absolutely wild!|can|cans|can to
de|Sie ... ihnen vertrauen! Sie fällt rückwärts! Völlig verrückt!|kann|kann|kann
ua|Вона ... їм довіряти! Вона падає назад! Просто божевілля!|може|може|може
es|¡Ella ... confiar en ellos! ¡Se deja caer hacia atrás! ¡Una locura total!|puede|puede|puede
fr|Elle ... leur faire confiance ! Elle tombe en arrière ! Complètement fou !|peut|peut|peut
tr|O, onlara ...! Geriye doğru düşüyor! Resmen çılgınlık!|güvenebilir|güvenebilir|güvenebilir
hu|Ő ... bízni bennük! Hátraesik! Teljes őrület!|tud|tud|tud
E 36101 | A2 type 17 Future BE GOING TO | style chill | options 3 | SEL
en|She is on the box. She ... trust the group and fall.|is going to|are going to|going to
de|Sie steht auf der Box. Sie ... der Gruppe vertrauen und fallen.|wird|werden|wird
ua|Вона на ящику. Вона ... довіритися групі й упасти.|збирається|збираються|збирається
es|Ella está sobre el cajón. Ella ... confiar en el grupo y caer.|va a|van a|va a
fr|Elle est sur la box. Elle ... faire confiance au groupe et tomber.|va|vont|va
tr|O, kutunun üstünde. Gruba güvenip kendini ...|bırakacak|bırakacaklar|bırakacak
hu|Ő a dobozon áll. Meg ... bízni a csoportban, és hátraesni.|fog|fognak|fog
MEDIA 5430 | meaning: moving or able to move very quickly
E 32649 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|Her bike ... go very fast.|can|cans|is
de|Ihr Rad ... sehr schnell fahren.|kann|kann|ist
ua|Її велосипед ... їхати дуже швидко.|може|може|є
es|Su bici ... ir muy rápido.|puede|puede|está
fr|Son vélo ... aller très vite.|peut|peut|est
tr|Onun bisikleti çok hızlı ...|gidebilir|gidebilir|
hu|A biciklije nagyon gyorsan ... menni.|tud|tud|van
E 32653 | A2 type 25 Adverb formation | style flirt | options 3 | SEL
en|You smile so ... on a fast bike. Iconic.|happily|happy|happiness
de|Du lächelst so ... auf einem schnellen Rad. Ikonisch.|glücklich|glücklich|Glück
ua|Ти так ... усміхаєшся на швидкому велосипеді. Культово.|щасливо|щасливий|щастя
es|Tú sonríes tan ... en una bici rápida. Icónico.|felizmente|feliz|felicidad
fr|Tu souris si ... sur un vélo rapide. Iconique.|joyeusement|joyeux|joie
tr|Hızlı bir bisikletin üstünde sen çok ... gülümsüyorsun. İkonik.|mutlu bir şekilde|mutlu|mutluluk
hu|Te olyan ... mosolyogsz egy gyors biciklin. Ikonikus.|boldogan|boldog|boldogság
  ~soft: no diacritics at all
MEDIA 5439 | meaning: a color between white and black
E 33070 | A1 type 1 TO BE | style business | options 3 | SEL
en|Weather report: the sky ... 100% grey.|is|are|am
de|Wetterbericht: Der Himmel ... zu 100 % grau.|ist|sind|bin
ua|Прогноз погоди: небо ... на 100 % сіре.|є|є|є
es|Informe del tiempo: el cielo ... 100 % gris.|está|están|estoy
fr|Bulletin météo : le ciel ... gris à 100 %.|est|sont|suis
tr|Hava durumu raporu: gökyüzü %100 gri ...|||
hu|Időjárás-jelentés: az ég ... 100%-ban szürke.|||vagyok
E 33074 | A2 type 17 Future BE GOING TO | style ironic | options 3 | SEL
en|Perfect weather, obviously: the grey sky ... rain all day.|is going to|are going to|going to
de|Perfektes Wetter, klar: Aus dem grauen Himmel ... es den ganzen Tag regnen.|wird|werden|wird
ua|Ідеальна погода, звісно: сіре небо ... поливати дощем увесь день.|збирається|збираються|збирається
es|Tiempo perfecto, obvio: el cielo gris ... llover todo el día.|va a|van a|va a
fr|Météo parfaite, évidemment : le ciel gris ... nous arroser toute la journée.|va|vont|va
tr|Mükemmel hava tabii: gri gökyüzünden bütün gün yağmur ...|yağacak|yağacaklar|yağacak
hu|Tökéletes idő, persze: a szürke égből egész nap esni ...|fog|fognak|fog
MEDIA 5441 | meaning: the brother of your father or mother
E 36136 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|Their uncle ... a bright Hawaiian shirt.|has got|have got|has get
de|Ihr Onkel ... ein knalliges Hawaiihemd.|hat|haben|hat
ua|Їхній дядько ... яскраву гавайську сорочку.|має|мають|має
es|Su tío ... una camisa hawaiana llamativa.|tiene|tienen|tiene
fr|Leur oncle ... une chemise hawaïenne très colorée.|a|ont|a
tr|Amcalarının parlak bir Hawaii gömleği ...|var|var|var
hu|A nagybátyjuknak ... egy rikító hawaii inge.|van|van|van
E 36142 | A2 type 20 Much, Many, Some... | style business | options 3 | SEL
en|Budget update: their uncle bought ... marshmallows for 20 euros.|a lot of|much|a little
de|Budget-Update: Ihr Onkel hat für 20 Euro ... Marshmallows gekauft.|eine Menge|viel|ein bisschen
ua|Оновлення бюджету: їхній дядько купив ... маршмелоу за 20 євро.|багато|багато|трохи
es|Actualización del presupuesto: su tío compró ... malvaviscos por 20 euros.|un montón de|mucho|un poco de
fr|Point budget : leur oncle a acheté ... marshmallows pour 20 euros.|plein de|beaucoup de|un peu de
tr|Bütçe güncellemesi: amcaları 20 euroya ... marshmallow aldı.|çok|çok|biraz
hu|Költségvetési frissítés: a nagybátyjuk 20 euróért ... mályvacukrot vett.|rengeteg|sok|egy kis
MEDIA 5447 | meaning: located far away in space
E 34719 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The desert road ... remote and empty.|is|are|am
de|Die Wüstenstraße ... abgelegen und leer.|ist|sind|bin
ua|Дорога через пустелю ... віддалена й порожня.|є|є|є
es|La carretera del desierto ... apartada y vacía.|está|están|estoy
fr|La route du désert ... isolée et vide.|est|sont|suis
tr|Çöl yolu ıssız ve boş ...|||
hu|A sivatagi út ... távoli és üres.|||vagyok
MEDIA 5452 | meaning: not disturbed by fighting or trouble
E 34299 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... tea on the peaceful pier.|drinks|drink|drinking
de|Er ... Tee auf dem ruhigen Steg.|trinkt|trinken|trinkend
ua|Він ... чай на тихому причалі.|п'є|пити|п'ючи
es|Él ... té en el muelle tranquilo.|bebe|beber|bebiendo
fr|Il ... du thé sur le ponton paisible.|boit|boire|buvant
tr|O, huzurlu iskelede çay ...|içer|içmek|içerek
hu|Ő teát ... a békés stégen.|iszik|inni|ivó
E 34304 | A2 type 25 Adverb formation | style dramatic | options 3 | SEL
en|He drinks so ...! One loud sip will destroy this peaceful lake!|quietly|quiet|quietness
de|Er trinkt so ...! Ein lauter Schluck wird diesen friedlichen See zerstören!|leise|leise|Stille
ua|Він п'є так ...! Один гучний ковток зруйнує це спокійне озеро!|тихо|тихий|тиша
es|¡Él bebe tan ...! ¡Un sorbo ruidoso destruirá este lago tranquilo!|silenciosamente|silencioso|silencio
fr|Il boit si ... ! Une gorgée bruyante détruira ce lac paisible !|silencieusement|silencieux|silence
tr|O çok ... içiyor! Tek bir gürültülü yudum bu huzurlu gölü mahvedecek!|sessizce|sessiz|sessizlik
hu|Ő olyan ... iszik! Egyetlen hangos korty tönkreteszi ezt a békés tavat!|csendesen|csendes|csendesség
MEDIA 5456 | meaning: approval that lets you do something
E 34318 | A1 type 6 A, AN, THE | style slang | options 3 | SEL
en|Bro, he gotta get permission before ... end of the day.|the|a|an
de|Bro, er muss vor ... Ende des Tages die Erlaubnis kriegen.|dem|einem|einem
ua|Бро, він мусить отримати дозвіл до ... кінця дня.|||
es|Tío, él tiene que conseguir el permiso antes ... final del día.|del|de un|de un
fr|Frérot, il doit avoir l'autorisation avant ... fin de la journée.|la|une|une
tr|Kanka, o ... gün bitmeden izni almak zorunda.||bir|bir
hu|Tesó, neki ... nap vége előtt meg kell szereznie az engedélyt.|a|egy|egy
E 34323 | A2 type 19 Countable and uncountable | style dramatic | options 3 | SEL
en|No permission means no trip! He hasn't got much ... left!|hope|hopes|a hope
de|Keine Erlaubnis heißt keine Reise! Er hat nicht mehr viel ... übrig!|Hoffnung|Hoffnung|eine Hoffnung
ua|Немає дозволу — немає поїздки! Він уже не має багато ...!|надії|надій|надії
es|¡Sin permiso no hay viaje! ¡Él ya no tiene mucha ...!|esperanza|esperanza|una esperanza
fr|Pas d'autorisation, pas de voyage ! Il n'a plus beaucoup ... !|d'espoir|d'espoir|un espoir
tr|İzin yoksa gezi de yok! Onun pek ... kalmadı!|umudu|umutları|bir umudu
hu|Nincs engedély, nincs utazás! Neki már nem maradt sok ...!|reménye|reménye|egy reménye
MEDIA 5457 | meaning: someone who comes to visit you
E 36225 | A1 type 11 Cardinal numbers | style dramatic | options 3 | SEL
en|Disaster! ... visitors and only one cake!|Two|Second|Twice
de|Katastrophe! ... Besucher und nur ein Kuchen!|Zwei|Zweite|Zweimal
ua|Катастрофа! ... гостей і лише один торт!|Двоє|Другі|Двічі
es|¡Desastre! ¡... visitantes y solo una tarta!|Dos|Segundos|Dos veces
fr|Catastrophe ! ... visiteurs et un seul gâteau !|Deux|Deuxièmes|Deux fois
tr|Felaket! ... misafir ve sadece bir pasta!|İki|İkinci|İki kez
hu|Katasztrófa! ... vendég és csak egy torta!|Két|Második|Kétszer
E 36226 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Yesterday two visitors ... a cream cake to the cottage.|brought|bringed|brings
de|Gestern ... zwei Besucher eine Sahnetorte zum Häuschen.|brachten|brachten|bringt
ua|Учора двоє гостей ... кремовий торт до хатинки.|принесли|принесли|приносить
es|Ayer dos visitantes ... una tarta de nata a la casita.|trajeron|trajeron|trae
fr|Hier, deux visiteurs ... un gâteau à la crème à la petite maison.|ont apporté|ont apporté|apporte
tr|Dün iki misafir kulübeye kremalı bir pasta ...|getirdi|getirdi|getirir
hu|Tegnap két vendég egy krémes tortát ... a kis házba.|hozott|hozott|hoz
MEDIA 5464 | meaning: having a slender, thin body
E 35244 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|The slim woman ... dark grey jeans.|wears|wear|wearing
de|Die schlanke Frau ... eine dunkelgraue Jeans.|trägt|tragen|tragend
ua|Струнка жінка ... темно-сірі джинси.|носить|носити|носячи
es|La mujer delgada ... unos vaqueros gris oscuro.|lleva|llevar|llevando
fr|La femme mince ... un jean gris foncé.|porte|porter|portant
tr|Zayıf kadın koyu gri kot pantolon ...|giyer|giymek|giyerek
hu|A karcsú nő sötétszürke farmert ...|visel|viselni|viselő
MEDIA 5468 | meaning: a big board that shows advertisements
E 35173 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|They are halfway across the crossing. They ... reach the big signs.|are going to|will|
de|Sie sind mitten auf dem Zebrastreifen. Sie ... die großen Werbetafeln erreichen.|werden|werden|
ua|Вони на півдорозі через перехід. Вони ... до великих рекламних щитів.|збираються дійти|дійдуть|
es|Ellos están a mitad del paso de peatones. ... llegar a los grandes carteles.|Van a||
fr|Ils sont au milieu du passage piéton. Ils ... atteindre les grands panneaux.|vont||
tr|Onlar yaya geçidinin yarısındalar. Büyük reklam panolarına ...|ulaşacaklar|ulaşacaklar|
hu|Ők a zebra felénél járnak. El ... érni a nagy reklámtáblákhoz.|fognak|fognak|
MEDIA 5480 | meaning: a piece of work you take on
E 35792 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|He ... not finish this task today.|can|cans|can to
de|Er ... diese Aufgabe heute nicht beenden.|kann|kann|kann
ua|Він не ... закінчити це завдання сьогодні.|може|може|може
es|Él no ... terminar esta tarea hoy.|puede|puede|puede
fr|Il ne ... pas finir cette tâche aujourd'hui.|peut|peut|peut
tr|O, bu işi bugün ...|bitiremez|bitiremez|bitiremez
hu|Ő ma nem ... befejezni ezt a feladatot.|tudja|tudja|tudja
E 35795 | A2 type 21 There is, are | style gossip | options 3 | SEL
en|Listen, apparently there ... one task left: all those plates.|is|are|be
de|Hör zu, anscheinend ... noch eine Aufgabe übrig: all die Teller.|ist|sind|sein
ua|Слухай, кажуть, ... ще одне завдання: усі ці тарілки.|є|є|бути
es|Oye, al parecer ... una tarea pendiente: todos esos platos.|hay|hay|hay
fr|Écoute, apparemment, ... encore une tâche à faire : toutes ces assiettes.|il y a|il y a|il y a
tr|Dinle, anlaşılan geriye bir iş daha ...: bütün o tabaklar.|var|var|olmak
hu|Figyu, úgy tűnik, még egy feladat ... hátra: az összes tányér.|van|vannak|lenni
MEDIA 5481 | meaning: a light shade of red
E 34408 | A1 type 1 TO BE | style chill | options 3 | SEL
en|Her long hair ... bright pink.|is|are|am
de|Ihr langes Haar ... knallpink.|ist|sind|bin
ua|Її довге волосся ... яскраво-рожеве.|є|є|є
es|Su pelo largo ... rosa chillón.|es|son|soy
fr|Ses longs cheveux ... rose vif.|est|sont|suis
tr|Uzun saçları parlak pembe ...|||
hu|A hosszú haja ... élénk rózsaszín.|||vagyok
E 34414 | A2 type 22 Adjective comparison | style business | options 3 | SEL
en|Audit: her pink hair is ... than 2 loads of laundry.|brighter|more bright|brightest
de|Audit: Ihr pinkes Haar ist ... als 2 Waschladungen.|leuchtender|leuchtender|am leuchtendsten
ua|Аудит: її рожеве волосся ... за 2 прання.|яскравіше|більш яскраве|найяскравіше
es|Auditoría: su pelo rosa es ... que 2 lavadoras.|más brillante|más brillante|el más brillante
fr|Audit : ses cheveux roses sont ... que 2 machines de linge.|plus vifs|plus vifs|les plus vifs
tr|Denetim: onun pembe saçı 2 makine çamaşırdan ...|daha parlak|daha parlak|en parlak
hu|Audit: a rózsaszín haja ... 2 adag mosásnál.|ragyogóbb|ragyogóbb|legragyogóbb
MEDIA 5486 | meaning: a clay container that a plant grows in
E 32763 | A1 type 8 My, Your, His,... | style business | options 3 | SEL
en|Target met: he waters ... flowerpot at 8:00.|his|he|him
de|Ziel erreicht: Er gießt um 8:00 ... Blumentopf.|seinen|er|ihn
ua|Ціль досягнуто: він о 8:00 поливає ... вазон.|свій|він|його
  ~soft: SEL: pronoun inside an option
es|Objetivo cumplido: él riega ... maceta a las 8:00.|su|él|lo
  ~soft: SEL: pronoun inside an option
fr|Objectif atteint : il arrose ... pot de fleurs à 8 h 00.|son|il|le
tr|Hedef tamam: o saat 8:00'de ... saksısını suluyor.|onun|o|onu
hu|Cél teljesítve: ő 8:00-kor meglocsolja a ...|virágcserepét|ő|őt
  ~soft: SEL: pronoun inside an option
E 32766 | A2 type 21 There is, are | style flirt | options 3 | SEL
en|There ... no better flowerpot on any windowsill. Your taste? Iconic.|is|are|be
de|Da ... kein besserer Blumentopf auf irgendeinem Fensterbrett. Dein Geschmack? Ikonisch.|ist|sind|sein
ua|На жодному підвіконні ... кращого вазона. Твій смак? Культовий.|немає|немає|не бути
es|... una maceta mejor en ningún alféizar. ¿Tu gusto? Icónico.|No hay|No hay|No hay
fr|... pas de meilleur pot de fleurs sur aucun rebord de fenêtre. Ton goût ? Iconique.|Il n'y a|Il n'y a|Il n'y a
tr|Hiçbir pencere pervazında daha iyi bir saksı ...! Senin zevkin mi? İkonik.|yok|yok|olmamak
hu|Semelyik ablakpárkányon ... jobb virágcserép. Az ízlésed? Ikonikus.|nincs|nincsenek|nem lenni
MEDIA 5487 | meaning: the sport of riding a surfboard on waves
E 35708 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... surfing in big waves.|loves|love|loving
de|Er ... das Surfen in großen Wellen.|liebt|lieben|liebend
ua|Він ... серфінг на великих хвилях.|любить|любити|люблячи
es|Él ... el surf en olas grandes.|ama|amar|amando
fr|Il ... le surf dans les grosses vagues.|adore|adorer|adorant
tr|O, büyük dalgalarda sörf yapmayı ...|sever|sevmek|severek
hu|Ő ... a szörfözést nagy hullámokon.|imádja|imádni|imádó
MEDIA 5489 | meaning: to be dressed in something
E 36297 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she wear first? A denim jacket.|What|Who|Where
de|... trägt sie zuerst? Eine Jeansjacke.|Was|Wer|Wo
ua|... вона вдягає спочатку? Джинсову куртку.|Що|Хто|Де
es|¿... lleva ella primero? Una chaqueta vaquera.|Qué|Quién|Dónde
fr|... porte-t-elle d'abord ? Une veste en jean.|Que|Qui|Où
tr|O ilk önce ... giyiyor? Bir kot ceket.|ne|kim|nerede
hu|... vesz fel ő először? Egy farmerdzsekit.|Mit|Ki|Hol
E 36302 | A2 type 16 Future with WILL | style ironic | options 3 | SEL
en|Great choice, obviously. Next time she ... the feathered hat to work.|will wear|will wears|wore
de|Tolle Wahl, klar. Nächstes Mal ... sie den Federhut zur Arbeit tragen.|wird|wird|trug
ua|Чудовий вибір, звісно. Наступного разу вона ... капелюх із пір'ям на роботу.|вдягне|вдягне|вдягла
es|Gran elección, obvio. La próxima vez ella ... el sombrero de plumas al trabajo.|llevará|llevará|llevó
fr|Super choix, évidemment. La prochaine fois, elle ... le chapeau à plumes au travail.|portera|portera|a porté
tr|Harika seçim tabii. Bir dahaki sefere o tüylü şapkayı işe ...|takacak|takacak|taktı
hu|Remek választás, persze. Legközelebb ő a tollas kalapot ... a munkába.|fogja felvenni|fogja felvenni|vette fel
MEDIA 5495 | meaning: a story passed around by word of mouth
E 34887 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The rumor starts ... the end of the table.|at|in|on
de|Das Gerücht beginnt ... Ende des Tisches.|am|im|auf dem
ua|Чутка починається ... кінці столу.|на|у|на
es|El rumor empieza ... final de la mesa.|al|en el|sobre el
fr|La rumeur commence ... bout de la table.|au|dans le|sur le
tr|Dedikodu masanın ucu ... başlıyor.||içinde|üstünde
hu|A pletyka az asztal ... kezdődik.|végén|végében|végén
E 34889 | A2 type 19 Countable and uncountable | style dramatic | options 3 | SEL
en|Absolutely terrible! This rumor has no ... in it!|truth|truths|a truth
de|Absolut furchtbar! In diesem Gerücht steckt keine ...!|Wahrheit|Wahrheit|eine Wahrheit
ua|Просто жахливо! У цій чутці немає ...!|правди|правд|правди
es|¡Absolutamente terrible! ¡Este rumor no tiene nada de ...!|verdad|verdad|una verdad
fr|Absolument horrible ! Cette rumeur n'a aucune ... !|vérité|vérité|une vérité
tr|Kesinlikle berbat! Bu dedikoduda hiç ... yok!|gerçek|gerçekler|bir gerçek
hu|Teljesen szörnyű! Ebben a pletykában nincs semmi ...!|igazság|igazság|egy igazság
MEDIA 5498 | meaning: a glass opening in a wall that lets in light
E 36395 | A1 type 7 This, That, These... | style flirt | options 3 | SEL
en|Honestly, ... window view is your best choice.|this|these|those
de|Ehrlich, ... Fensterblick ist deine beste Wahl.|dieser|diese|jene
ua|Чесно, ... вид із вікна — твій найкращий вибір.|цей|ці|ті
es|Sinceramente, ... vista desde la ventana es tu mejor opción.|esta|estas|esas
fr|Franchement, ... vue depuis la fenêtre est ton meilleur choix.|cette|ces|ces
tr|Açıkçası ... pencere manzarası senin en iyi seçimin.|bu|bu|şu
hu|Őszintén, ... a kilátás az ablakból a legjobb választásod.|ez|ezek|azok
MEDIA 5499 | meaning: an adult female person
E 36429 | A1 type 11 Cardinal numbers | style dramatic | options 3 | SEL
en|Chaos! ... women in one street! Absolutely unbelievable!|Four|Fourth|Fours
de|Chaos! ... Frauen in einer Straße! Absolut unglaublich!|Vier|Vierte|Vieren
ua|Хаос! ... жінки на одній вулиці! Просто неймовірно!|Чотири|Четверті|Четвірки
es|¡Caos! ¡... mujeres en una sola calle! ¡Absolutamente increíble!|Cuatro|Cuartas|Cuatro
fr|Le chaos ! ... femmes dans une seule rue ! Absolument incroyable !|Quatre|Quatrièmes|Quatre
tr|Kaos! Tek bir sokakta ... kadın! Kesinlikle inanılmaz!|dört|dördüncü|dörtler
hu|Káosz! ... nő egy utcában! Teljesen hihetetlen!|Négy|Negyedik|Négyesek
E 36433 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|This woman usually walks, but today she ... down the street.|is jogging|jogs|
de|Diese Frau geht normalerweise zu Fuß, aber heute ... sie die Straße entlang.|joggt|joggt|
ua|Ця жінка зазвичай ходить пішки, але сьогодні вона ... вулицею.|бігає|бігає|
es|Esta mujer suele caminar, pero hoy ella ... por la calle.|está corriendo|corre|
fr|Cette femme marche d'habitude, mais aujourd'hui elle ... dans la rue.|est en train de courir|court|
tr|Bu kadın genelde yürür ama bugün o sokakta ...|koşuyor|koşar|
hu|Ez a nő általában sétál, de ma ő ... az utcán.|kocog|kocog|
MEDIA 5507 | meaning: a place where wild animals are kept to see
E 36529 | A2 type 18 Going to or Will | style dramatic | options 2 | SEL
en|Zoo nightmare! The giraffe's tongue is out! It ... eat the branch!|is going to|will|
de|Zoo-Albtraum! Die Zunge der Giraffe ist draußen! Sie ... den Ast fressen!|wird|wird|
ua|Кошмар у зоопарку! Жирафа висунула язика! Вона ... гілку!|збирається з'їсти|з'їсть|
es|¡Pesadilla en el zoo! ¡La jirafa saca la lengua! ¡Ella ... comerse la rama!|va a||
fr|Cauchemar au zoo ! La girafe sort la langue ! Elle ... manger la branche !|va||
tr|Hayvanat bahçesi kâbusu! Zürafanın dili dışarıda! O dalı ...!|yiyecek|yiyecek|
hu|Állatkerti rémálom! A zsiráf kinyújtja a nyelvét! Ő meg ... enni az ágat!|fogja|fogja|
