MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
hu|Mire a kamera ráközelített, a kutya már órák óta ... a billentyűzetnél.|ült|ült|ült
MEDIA 4059 | meaning: to give food to someone or an animal
E 39158 | B1 type 48 Question tags | style chill | options 3 | SEL
en|Somebody fed the baboons a banana on the bonnet, ...?|didn't they?|did they?|weren't they?
de|Jemand hat den Pavianen eine Banane auf der Motorhaube gegeben, ...?|oder|echt|oder
ua|Хтось нагодував павіанів бананом на капоті, ...?|так|справді|так
es|Alguien les dio un plátano a los babuinos en el capó, ¿...?|verdad|en serio|verdad
fr|Quelqu'un a donné une banane aux babouins sur le capot, ... ?|non|vraiment|non
tr|Biri babunlara kaputun üstünde muz yedirdi, ...?|değil mi|gerçekten mi|değil mi
hu|Valaki banánt adott a páviánoknak a motorháztetőn, ...?|ugye|tényleg|ugye
E 39164 | B2 type 59 Causative HAVE/GET | style slang | options 3 | SEL
en|Yo, we got the driver ... the baboons, 'cause nobody else was gonna do it.|to feed|feed|fed
de|Yo, wir haben den Fahrer dazu gebracht, die Paviane ..., weil's sonst keiner gemacht hätte.|zu füttern|füttern|gefüttert
ua|Йо, ми вмовили водія ... павіанів, бо більше ніхто б цього не зробив.|нагодувати|нагодувати|нагодував
es|Oye, nosotros conseguimos que el conductor ... a los babuinos, porque nadie más lo iba a hacer.|diera de comer|diera de comer|dio de comer
fr|Yo, on a convaincu le chauffeur de ... les babouins, parce que personne d'autre n'allait le faire.|nourrir|nourrir|nourri
tr|Kanka, biz şoförü babunları ... ikna ettik, çünkü başka kimse yapmayacaktı.|beslemeye|beslemeye|besledi
hu|Tesó, mi rávettük a sofőrt, hogy ... a páviánokat, mert más úgysem csinálta volna meg.|megetesse|megetesse|megetette
MEDIA 4060 | meaning: the motion of a liquid or gas as it moves
E 39443 | B1 type 39 1. Conditional | style business | options 3 | SEL
en|If the flow stays this strong, the team ... its 10-minute target.|will beat|would beat|beat
de|Wenn die Strömung so stark bleibt, ... das Team sein 10-Minuten-Ziel.|übertrifft|übertrifft|übertraf
ua|Якщо течія залишиться такою сильною, команда ... свою 10-хвилинну ціль.|перевершить|перевершила б|перевершила
es|Si el caudal sigue así de fuerte, el equipo ... su objetivo de 10 minutos.|superará|superaría|superó
fr|Si le courant reste aussi fort, l'équipe ... son objectif de 10 minutes.|battra|battrait|a battu
tr|Akış bu kadar güçlü kalırsa, ekip 10 dakikalık hedefini ...|geçecek|geçerdi|geçti
hu|Ha a sodrás ilyen erős marad, a csapat ... a 10 perces célját.|túlszárnyalja|túlszárnyalná|túlszárnyalta
MEDIA 4061 | meaning: the bones of the mouth that hold the teeth
E 40321 | B1 type 49 So, Neither, Nor | style slang | options 3 | SEL
en|Nah, I ain't getting near that jaw, and ... my dive buddy.|neither is|so is|neither does
de|Nee, ich geh nicht in die Nähe von diesem Kiefer, und mein Tauchbuddy ...|auch nicht|auch|auch nicht
ua|Не-а, я до тієї щелепи не підійду, і мій напарник з дайвінгу ...|теж ні|теж|теж ні
es|Qué va, yo no me acerco a esa mandíbula, y mi compañero de buceo ...|tampoco|también|tampoco
fr|Non, moi je m'approche pas de cette mâchoire, et mon binôme de plongée ...|non plus|aussi|non plus
tr|Yok kanka, ben o çeneye yaklaşmam, dalış arkadaşım da ...|yaklaşmaz|yaklaşır|yaklaşmaz
hu|Á, én nem megyek annak az állkapocsnak a közelébe, és a búvártársam ...|sem|is|sem
E 40325 | B2 type 53 3. Conditional | style dramatic | options 3 | SEL
en|If the shark hadn't turned away, its jaw ... the camera completely!|would have crushed|will crush|crushed
de|Wenn sich der Hai nicht abgewandt hätte, hätte sein Kiefer die Kamera komplett ...!|zerquetscht|zerquetschen|zerquetschte
ua|Якби акула не відвернулася, її щелепа ... камеру повністю!|розчавила б|розчавить|розчавила
es|¡Si el tiburón no se hubiera apartado, su mandíbula ... la cámara por completo!|habría aplastado|aplastará|aplastó
fr|Si le requin ne s'était pas détourné, sa mâchoire ... complètement la caméra !|aurait écrasé|écrasera|a écrasé
tr|Köpekbalığı dönüp gitmeseydi, çenesi kamerayı tamamen ...!|ezmiş olurdu|ezecek|ezdi
hu|Ha a cápa nem fordul el, az állkapcsa teljesen ... a kamerát!|összezúzta volna|összezúzza|összezúzta
MEDIA 4062 | meaning: to hold something firmly
E 39873 | B1 type 31 Past Continuous | style clueless | options 3 | SEL
en|He ... the bar tightly when the spray hit him, so his hands were busy.|was gripping|gripped|has gripped
de|Er ... die Stange fest, als ihn die Gischt traf, also waren seine Hände beschäftigt.|umklammerte|umklammerte|hat umklammert
ua|Він ... планку міцно, коли його накрили бризки, тож його руки були зайняті.|стискав|стиснув|стиснув
es|Él ... la barra con fuerza cuando le dio el agua, así que tenía las manos ocupadas.|estaba agarrando|agarró|ha agarrado
fr|Il ... la barre fermement quand les embruns l'ont frappé, donc ses mains étaient occupées.|serrait|a serré|a serré
tr|Serpinti ona çarptığında o, barı sıkıca ..., yani elleri meşguldü.|tutuyordu|tuttu|tuttu
hu|Ő szorosan ... a rudat, amikor eltalálta a permet, szóval a keze foglalt volt.|markolta|megmarkolta|megmarkolta
E 39879 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|He gripped the bar tightly ... the strong pull of the kite.|because of|despite|although
de|Er umklammerte die Stange fest ... des starken Zugs vom Kite.|wegen|trotz|obwohl
ua|Він міцно стискав планку ... сильну тягу кайта.|через|попри|хоча
es|Él agarraba la barra con fuerza ... el fuerte tirón de la cometa.|debido a|a pesar de|aunque
fr|Il serrait fort la barre ... la forte traction du kite.|à cause de|malgré|bien que
tr|O, uçurtmanın güçlü ... barı sıkıca tuttu.|çekişi yüzünden|çekişine rağmen|çekişi olsa da
hu|Ő erősen markolta a rudat a sárkány erős húzása ...|miatt|ellenére|bár
MEDIA 4063 | meaning: to let something go from your grip
E 42226 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|He looked down and waited for the straps ... him.|to release|releasing|release
de|Er schaute nach unten und wartete darauf, dass die Gurte ihn ...|loslassen|loslassen|loslassen
ua|Він подивився вниз і чекав, поки ремені його ...|відпустять|відпускання|відпустять
es|Él miró hacia abajo y esperó a que las correas lo ...|soltaran|soltaran|soltaran
fr|Il a regardé en bas et a attendu que les sangles le ...|lâchent|lâchent|lâchent
tr|O aşağı baktı ve kayışların kendisini ... bekledi.|bırakmasını|bırakmasını|bırakmasını
hu|Ő lenézett, és várta, hogy a hevederek ...|elengedjék|elengedjék|elengedjék
E 42228 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|When the straps released him, he ... down at the clouds for a long time.|had been looking|has been looking|is looking
de|Als die Gurte ihn losließen, ... er schon lange auf die Wolken hinunter.|schaute|schaut|schaut
ua|Коли ремені його відпустили, він уже довго ... вниз на хмари.|дивився|дивиться|дивиться
es|Cuando las correas lo soltaron, él ya ... un buen rato mirando las nubes.|llevaba|lleva|está
fr|Quand les sangles l'ont lâché, il ... les nuages en bas depuis longtemps.|regardait|regarde|regarde
tr|Kayışlar onu bıraktığında o, uzun süredir aşağıdaki bulutlara ...|bakıyordu|bakıyor|bakıyor
hu|Amikor a hevederek elengedték, ő már sokáig ... le a felhőkre.|nézett|néz|néz
MEDIA 4064 | meaning: a long round rod of wood or metal
E 41687 | B1 type 39 1. Conditional | style nerd | options 3 | SEL
en|If the pole is removed, the flock ... its nest.|will lose|would lose|lost
de|Wenn der Mast entfernt wird, ... der Schwarm sein Nest.|verliert|verlöre|verlor
ua|Якщо стовп приберуть, зграя ... своє гніздо.|втратить|втратила б|втратила
es|Si se retira el poste, la bandada ... su nido.|perderá|perdería|perdió
fr|Si le poteau est retiré, la colonie ... son nid.|perdra|perdrait|a perdu
tr|Direk kaldırılırsa, sürü yuvasını ...|kaybedecek|kaybederdi|kaybetti
hu|Ha az oszlopot eltávolítják, a madárcsapat ... a fészkét.|elveszíti|elveszítené|elveszítette
E 41693 | B2 type 62 Articles advanced | style dramatic | options 3 | SEL
en|Up on that pole, the nest was ...! A total nightmare!|complete chaos|a complete chaos|the complete chaoses
de|Oben auf diesem Mast war das Nest ...! Ein totaler Albtraum!|komplettes Chaos|ein komplettes Chaos|die kompletten Chaos
ua|Нагорі на тому стовпі гніздо було ...! Повний жах!|повним хаосом|повним хаосом|повними хаосами
es|¡Allá arriba en ese poste, el nido era ...! ¡Una pesadilla total!|caos total|un caos total|los caos totales
fr|Là-haut sur ce poteau, le nid était ... ! Un vrai cauchemar !|le chaos total|un chaos total|les chaos totaux
tr|O direğin tepesinde yuva ...! Tam bir kâbus!|tam kaos|tam bir kaos|tam kaoslar
hu|Fent azon az oszlopon a fészek ... volt! Totális rémálom!|teljes káosz|egy teljes káosz|a teljes káoszok
MEDIA 4066 | meaning: loose earth or soil on the ground
E 38631 | B1 type 41 Passive | style dramatic | options 3 | SEL
en|The camera ... in red dirt when the bike landed. It is completely ruined!|was covered|covered|is covered
de|Die Kamera ... mit roter Erde, als das Bike landete. Sie ist komplett hinüber!|wurde bedeckt|bedeckte|ist bedeckt
ua|Камера ... червоною землею, коли мотоцикл приземлився. Вона повністю зіпсована!|була вкрита|вкрила|вкрита
es|La cámara ... de tierra roja cuando la moto aterrizó. ¡Está completamente destrozada!|quedó cubierta|cubrió|está cubierta
fr|La caméra ... de terre rouge quand la moto a atterri. Elle est complètement fichue !|a été couverte|a couvert|est couverte
tr|Motor yere indiğinde kamera kırmızı toprakla ...; tamamen mahvoldu!|kaplandı|kapladı|kaplanıyor
hu|A kamera ... vörös földdel, amikor a motor landolt. Teljesen tönkrement!|be lett borítva|beborított|be van borítva
E 38633 | B2 type 62 Articles advanced | style nerd | options 3 | SEL
en|A spinning rear tyre typically throws ... into the air behind the bike.|loose dirt|a loose dirt|the loose dirts
de|Ein durchdrehender Hinterreifen schleudert typischerweise ... hinter dem Bike in die Luft.|lockere Erde|eine lockere Erde|die lockeren Erden
ua|Колесо, що буксує, зазвичай викидає ... в повітря позаду мотоцикла.|пухку землю|пухку землю|пухкі землі
es|Un neumático trasero que patina suele lanzar ... al aire detrás de la moto.|tierra suelta|una tierra suelta|las tierras sueltas
fr|Un pneu arrière qui patine projette généralement ... en l'air derrière la moto.|de la terre meuble|une terre meuble|les terres meubles
tr|Patinaj yapan bir arka lastik genellikle motorun arkasında havaya ... fırlatır.|gevşek toprak|bir gevşek toprak|gevşek topraklar
hu|Egy kipörgő hátsó gumi jellemzően ... repít a levegőbe a motor mögött.|laza földet|egy laza földet|a laza földeket
MEDIA 4067 | meaning: to reflect like a mirror
E 41004 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|Every evening that summer, the lake ... mirror the trees until someone jumped in.|would|used|was used to
de|Jeden Abend in jenem Sommer ... der See die Bäume, bis jemand reinsprang.|spiegelte|spiegelte|war gewohnt zu spiegeln
ua|Кожного вечора того літа озеро ... дерева, поки хтось не стрибнув у воду.|віддзеркалювало|віддзеркалювало|звикло віддзеркалювати
es|Cada tarde de aquel verano, el lago ... los árboles hasta que alguien se tiraba al agua.|reflejaba|solía reflejar|estaba acostumbrado a reflejar
fr|Chaque soir cet été-là, le lac ... les arbres jusqu'à ce que quelqu'un saute dedans.|reflétait|reflétait|avait l'habitude de refléter
tr|O yaz her akşam göl, biri suya atlayana kadar ağaçları ...|yansıtırdı|yansıtırdı|yansıtmaya alışkındı
hu|Azon a nyáron minden este a tó ... a fákat, amíg valaki bele nem ugrott.|tükrözte|tükrözte|hozzá volt szokva tükrözni
E 41009 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|The lake ... the sky for hours, and now he jumps in. Great job.|has been mirroring|is mirroring|mirrors
de|Der See ... seit Stunden den Himmel, und jetzt springt er rein. Super gemacht.|spiegelt|spiegelt|spiegelt
ua|Озеро ... небо вже кілька годин, а тепер він стрибає. Чудова робота.|віддзеркалює|віддзеркалює|віддзеркалює
es|El lago ... el cielo durante horas, y ahora él se tira. Buen trabajo.|ha estado reflejando|está reflejando|refleja
fr|Le lac ... le ciel depuis des heures, et là il saute dedans. Bravo.|reflète|reflète|reflète
tr|Göl saatlerdir gökyüzünü ... ve şimdi o suya atlıyor. Harika iş.|yansıtıyor|yansıtıyor|yansıtır
hu|A tó órák óta ... az eget, és most ő beleugrik. Szép munka.|tükrözi|tükrözi|tükrözi
MEDIA 4068 | meaning: to touch lightly again and again
E 43688 | B1 type 42 Passive or Active | style gossip | options 3 | SEL
en|Listen, I heard she ... that tiger shark along its whole back.|stroked|was stroked|stroking
de|Hör mal, ich hab gehört, sie ... diesen Tigerhai über den ganzen Rücken.|streichelte|wurde gestreichelt|streichelnd
ua|Слухай, я чула, що вона ... ту тигрову акулу по всій спині.|погладила|була погладжена|гладячи
es|Oye, yo oí que ella ... a ese tiburón tigre por todo el lomo.|acarició|fue acariciada|acariciando
fr|Écoute, j'ai entendu dire qu'elle ... ce requin-tigre sur tout le dos.|a caressé|a été caressée|caressant
tr|Dinle, ben duydum ki o, kaplan köpekbalığını bütün sırtı boyunca ...|okşamış|okşanmış|okşayarak
hu|Figyelj, én úgy hallottam, hogy ő ... azt a tigriscápát végig a hátán.|megsimogatta|meg lett simogatva|simogatva
MEDIA 4069 | meaning: a long thin bar of metal or wood
E 42421 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The chick didn't catch any fish with its rod, and ...|neither did the mermaid.|so did the mermaid.|neither caught the mermaid.
de|Das Küken hat mit seiner Angel keinen Fisch gefangen, und ...|die Meerjungfrau auch nicht|die Meerjungfrau auch|die Meerjungfrau auch nicht
ua|Курча не впіймало своєю вудкою жодної риби, і ...|русалка теж ні|русалка теж|русалка теж ні
es|El pollito no pescó ningún pez con su caña, y ...|la sirena tampoco|la sirena también|la sirena tampoco
fr|Le poussin n'a attrapé aucun poisson avec sa canne, et ...|la sirène non plus|la sirène aussi|la sirène non plus
tr|Civciv oltasıyla hiç balık tutamadı, ve ...|deniz kızı da tutamadı|deniz kızı da tuttu|deniz kızı da tutamadı
hu|A csibe nem fogott halat a horgászbotjával, és ...|a sellő sem|a sellő is|a sellő sem
E 42423 | B2 type 51 Future Perfect Simple | style gossip | options 3 | SEL
en|Bestie, apparently by tonight that chick ... a fish with its rod.|will have caught|will catch|will be catching
de|Bestie, angeblich wird dieses Küken bis heute Abend mit seiner Angel einen Fisch ...|gefangen haben|fangen|am Fangen sein
ua|Подруго, кажуть, до вечора те курча ... рибу своєю вудкою.|впіймає|впіймає|ловитиме
es|Amiga, al parecer para esta noche ese pollito ... un pez con su caña.|habrá pescado|pescará|estará pescando
fr|Bestie, apparemment d'ici ce soir ce poussin ... un poisson avec sa canne.|aura attrapé|attrapera|sera en train d'attraper
tr|Kanka, duyduğuma göre bu akşama kadar o civciv oltasıyla bir balık ...|tutmuş olacak|tutacak|tutuyor olacak
hu|Bestie, állítólag estére az a csibe ... egy halat a botjával.|ki fog fogni|kifog|épp horgászni fog
MEDIA 4070 | meaning: one of the two side parts of an airplane
E 44807 | B2 type 67 All Future Tenses | style business | options 3 | SEL
en|By 14:00, every skydiver ... from the wing, per the timeline.|will have jumped|will jump|jumps
de|Bis 14:00 Uhr wird laut Zeitplan jeder Fallschirmspringer vom Flügel ...|gesprungen sein|springen|springt
ua|До 14:00 кожен парашутист ... з крила, згідно з графіком.|стрибне|стрибне|стрибає
es|Para las 14:00, todos los paracaidistas ... del ala, según el cronograma.|habrán saltado|saltarán|saltan
fr|D'ici 14 h, chaque parachutiste ... de l'aile, selon le planning.|aura sauté|sautera|saute
tr|Zaman çizelgesine göre saat 14:00'e kadar her paraşütçü kanattan ...|atlamış olacak|atlayacak|atlar
hu|14:00-ra az ütemterv szerint minden ejtőernyős ... a szárnyról.|már leugrott|le fog ugrani|ugrik
MEDIA 4071 | meaning: to move forward in big jumps
E 40563 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|Ok but you ... off that wreck so smoothly earlier. Iconic.|leapt|were leaping|have leapt
de|Okay, aber du ... vorhin so smooth von diesem Wrack. Ikonisch.|sprangst|sprangst gerade|bist gesprungen
ua|Ну, але ти так плавно ... з того уламка корабля раніше. Культово.|стрибнула|стрибала|стрибнула
es|Vale, pero tú ... de ese barco hundido con tanta elegancia antes. Icónico.|saltaste|estabas saltando|has saltado
fr|Ok mais tout à l'heure tu ... de cette épave avec tellement de style. Iconique.|as sauté|sautais|as sauté
tr|Tamam ama sen az önce o batığın üstünden öyle zarif ..., ikonik.|atladın|atlıyordun|atladın
hu|Oké, de te korábban olyan lazán ... le arról a roncsról. Ikonikus.|ugrottál|ugráltál|ugrottál
E 40570 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|She leapt into the water ... the tiger sharks swimming below.|despite|although|in case
de|Sie sprang ins Wasser, ... der Tigerhaie, die unter ihr schwammen.|trotz|obwohl|falls
ua|Вона стрибнула у воду ... тигрових акул, що плавали внизу.|попри|хоча|на випадок
es|Ella saltó al agua ... los tiburones tigre que nadaban debajo.|a pesar de|aunque|por si
fr|Elle a sauté dans l'eau ... les requins-tigres qui nageaient en dessous.|malgré|bien que|au cas où
tr|O, aşağıda yüzen kaplan köpekbalıklarına ... suya atladı.|rağmen|gerçi|diye
hu|Ő beugrott a vízbe a lent úszó tigriscápák ...|ellenére|bár|esetére
MEDIA 4072 | meaning: a calm pool of sea water sheltered by rocks
E 40432 | B1 type 44 Relative clauses | style clueless | options 3 | SEL
en|A lagoon is water ... is next to a beach, so this beach has a lagoon.|that|who|where
de|Eine Lagune ist Wasser, ... neben einem Strand ist, also hat dieser Strand eine Lagune.|das|der|wo
ua|Лагуна — це вода, ... знаходиться біля пляжу, тож цей пляж має лагуну.|яка|хто|де
es|Una laguna es agua ... está junto a una playa, así que esta playa tiene una laguna.|que|quien|donde
fr|Une lagune, c'est de l'eau ... est à côté d'une plage, donc cette plage a une lagune.|qui|qui|où
tr|Lagün, bir plajın yanında ... sudur, yani bu plajın bir lagünü var.|olan|kim|nerede
hu|A lagúna olyan víz, ... egy strand mellett van, szóval ennek a strandnak van lagúnája.|amely|aki|ahol
E 40435 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The lagoon stretches out to ... beyond the rock walls.|the open sea|an open sea|open sea
de|Die Lagune erstreckt sich bis ... jenseits der Felswände.|zum offenen Meer|zu einem offenen Meer|zu offenem Meer
ua|Лагуна тягнеться аж до ... за скелястими стінами.|відкритого моря|відкритого моря|відкритого моря
es|La laguna se extiende hasta ... más allá de las paredes de roca.|el mar abierto|un mar abierto|mar abierto
fr|Le lagon s'étend jusqu'à ... au-delà des parois rocheuses.|la haute mer|une haute mer|haute mer
tr|Lagün, kaya duvarlarının ötesindeki ... kadar uzanıyor.|açık denize|bir açık denize|açık denize
hu|A lagúna a sziklafalakon túl ... nyúlik.|a nyílt tengerig|egy nyílt tengerig|nyílt tengerig
MEDIA 4073 | meaning: a thin length of wood
E 43583 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The hen ... the stick across the pigeon's beak.|pressed|was pressed|pressing
de|Die Henne ... den Stock quer über den Schnabel der Taube.|drückte|wurde gedrückt|drückend
ua|Курка ... палицю поперек дзьоба голуба.|притиснула|була притиснута|притискаючи
es|La gallina ... el palo contra el pico de la paloma.|apretó|fue apretada|apretando
fr|La poule ... le bâton en travers du bec du pigeon.|a pressé|a été pressée|pressant
tr|Tavuk sopayı güvercinin gagasına ...|bastırdı|bastırıldı|bastırarak
hu|A tyúk ... a botot a galamb csőrére.|rányomta|rá lett nyomva|rányomva
MEDIA 4078 | meaning: a cushion for your head when you sleep
E 41581 | B1 type 33 Past Simple or Continuos | style ironic | options 3 | SEL
en|She reached the pillows, ... round and dropped onto them. Flawless landing.|turned|was turning|has turned
de|Sie erreichte die Kissen, ... sich um und ließ sich darauf fallen. Makellose Landung.|drehte|drehte gerade|hat gedreht
ua|Вона дісталася подушок, ... і впала на них. Бездоганне приземлення.|розвернулася|розверталася|розвернулася
es|Ella llegó a las almohadas, ... y se dejó caer sobre ellas. Aterrizaje impecable.|se giró|se estaba girando|se ha girado
fr|Elle a atteint les oreillers, ... et s'est laissée tomber dessus. Atterrissage parfait.|s'est retournée|se retournait|s'est retournée
tr|O yastıklara ulaştı, ... ve üzerlerine düştü. Kusursuz iniş.|döndü|dönüyordu|döndü
hu|Ő elérte a párnákat, ... és rájuk vetette magát. Hibátlan landolás.|megfordult|éppen fordult|megfordult
E 41589 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Respect, you ... the pillows into a perfect row before you jumped on the bed.|had lined up|have lined up|line up
de|Respekt, du ... die Kissen in eine perfekte Reihe gelegt, bevor du aufs Bett gesprungen bist.|hattest|hast|legst
ua|Респект, ти ... подушки в ідеальний ряд, перш ніж стрибнути на ліжко.|вишикувала|вишикувала|шикуєш
es|Respeto, tú ... las almohadas en una fila perfecta antes de saltar a la cama.|habías alineado|has alineado|alineas
fr|Respect, tu ... les oreillers en une rangée parfaite avant de sauter sur le lit.|avais aligné|as aligné|alignes
tr|Saygılar, sen yatağa atlamadan önce yastıkları kusursuz bir sıraya ...|dizmiştin|dizdin|diziyorsun
hu|Respekt, te tökéletes sorba ... a párnákat, mielőtt ráugrottál az ágyra.|raktad|raktad|rakod
MEDIA 4079 | meaning: to move very fast
E 42564 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The paddler said the water ... past him too fast to see the rocks.|was rushing|is rushing|rush
de|Der Paddler sagte, das Wasser ... zu schnell an ihm vorbei, um die Felsen zu sehen.|rausche|rauscht|rauschen
ua|Веслувальник сказав, що вода ... повз нього надто швидко, щоб розгледіти каміння.|мчала|мчить|мчати
es|El palista dijo que el agua ... junto a él demasiado rápido para ver las rocas.|corría|corre|correr
fr|Le kayakiste a dit que l'eau ... à côté de lui trop vite pour voir les rochers.|filait|file|filer
tr|Kanocu, suyun kayaları göremeyeceği kadar hızlı yanından ... söyledi.|aktığını|akıyor|akmak
hu|A kajakos azt mondta, hogy a víz túl gyorsan ... el mellette ahhoz, hogy lássa a sziklákat.|zúdult|zúdul|zúdulni
E 42570 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Apparently he ... down that river every summer, bestie.|rushes|is rushing|has rushed
de|Angeblich ... er jeden Sommer diesen Fluss runter, Bestie.|rast|rast gerade|ist gerast
ua|Кажуть, він ... вниз тією річкою щоліта, подруго.|мчить|мчить|мчав
es|Al parecer él ... por ese río cada verano, amiga.|baja a toda velocidad|está bajando a toda velocidad|ha bajado a toda velocidad
fr|Apparemment, il ... cette rivière chaque été, ma belle.|dévale|est en train de dévaler|a dévalé
tr|Duyduğuma göre o her yaz o nehirden hızla ..., kanka.|iniyor|iniyor|indi
hu|Állítólag ő minden nyáron ... azon a folyón, bestie.|lesüvít|épp lesüvít|lesüvített
MEDIA 4080 | meaning: the joint between the hand and the arm
E 44875 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|She ... for a hair tie for five minutes, and there are three on her wrist.|has been looking|is looking|looks
de|Sie ... schon seit fünf Minuten nach einem Haargummi, und an ihrem Handgelenk sind drei.|sucht|sucht|sucht
ua|Вона вже п'ять хвилин ... гумку для волосся, а на зап'ясті в неї три.|шукає|шукає|шукає
es|Ella ... una goma del pelo desde hace cinco minutos, y tiene tres en la muñeca.|ha estado buscando|está buscando|busca
fr|Elle ... un élastique depuis cinq minutes, et elle en a trois au poignet.|cherche|cherche|cherche
tr|O beş dakikadır bir saç tokası ... ve bileğinde üç tane var.|arıyor|arıyor|arar
hu|Ő már öt perce ... egy hajgumit, és három van a csuklóján.|keres|keres|keres
E 44883 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|She searched the whole room, ... the hair ties were on her wrist all along.|even though|in spite of|owing to
de|Sie durchsuchte das ganze Zimmer, ... die Haargummis die ganze Zeit an ihrem Handgelenk waren.|obwohl|trotz|wegen
ua|Вона обшукала всю кімнату, ... гумки весь час були в неї на зап'ясті.|хоча|попри|через
es|Ella buscó por toda la habitación, ... las gomas estaban en su muñeca todo el tiempo.|aunque|a pesar de|debido a
fr|Elle a fouillé toute la chambre, ... les élastiques étaient à son poignet depuis le début.|alors que|malgré|en raison de
tr|O bütün odayı aradı, ... tokalar başından beri bileğindeydi.|oysa|rağmen|sayesinde
hu|Ő átkutatta az egész szobát, ... a hajgumik végig a csuklóján voltak.|pedig|annak ellenére|miatt
MEDIA 4081 | meaning: the pointed top of a mountain
E 41498 | B1 type 49 So, Neither, Nor | style clueless | options 3 | SEL
en|The peak is at the top because it is high, and ... the helicopter.|so is|so does|neither is
de|Der Gipfel ist oben, weil er hoch ist, und der Hubschrauber ...|auch|auch|auch nicht
ua|Вершина нагорі, бо вона висока, і гелікоптер ...|теж|теж|теж ні
es|El pico está arriba porque es alto, y ... el helicóptero.|también lo está|también lo hace|tampoco lo está
fr|Le sommet est en haut parce qu'il est haut, et l'hélicoptère ...|aussi|aussi|non plus
tr|Zirve yukarıda çünkü yüksek, ve helikopter de ...|öyle|öyle|öyle değil
hu|A csúcs fent van, mert magas, és a helikopter ...|is|is|sem
MEDIA 4082 | meaning: turned over, in an inverted position
E 44450 | B1 type 45 Reported speech | style gossip | options 3 | SEL
en|Bestie, she told me she ... upside down from a plane before.|had never hung|has never hung|never hangs
de|Bestie, sie hat mir erzählt, dass sie vorher noch nie kopfüber an einem Flugzeug ...|gehangen hatte|gehangen hat|hängt
ua|Подруго, вона сказала мені, що ніколи раніше не ... догори ногами з літака.|висіла|висіла|висить
es|Amiga, ella me dijo que nunca antes ... boca abajo de un avión.|había colgado|ha colgado|cuelga
fr|Ma belle, elle m'a dit qu'avant, elle ... la tête en bas sous un avion.|n'avait jamais été suspendue|n'a jamais été suspendue|n'est jamais suspendue
tr|Kanka, o bana daha önce hiç uçaktan baş aşağı ... söyledi.|asılmadığını|asılmadığını|asılmıyor
hu|Bestie, ő azt mondta nekem, hogy korábban még soha nem ... fejjel lefelé egy repülőről.|lógott|lógott|lóg
MEDIA 4086 | meaning: to cut or grip something with your teeth
E 37214 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The next morning, the sleeper said that a mosquito ... them in the night.|had bitten|has bitten|bites
de|Am nächsten Morgen sagte die schlafende Person, eine Mücke habe sie in der Nacht ...|gestochen|gestochen|steche
ua|Наступного ранку сплюх сказав, що вночі його ... комар.|вкусив|вкусив|кусає
es|A la mañana siguiente, la persona dormida dijo que un mosquito le ... por la noche.|había picado|ha picado|pica
fr|Le lendemain matin, la personne endormie a dit qu'un moustique ... pendant la nuit.|l'avait piquée|l'a piquée|la pique
tr|Ertesi sabah uyuyan kişi, gece bir sivrisineğin onu ... söyledi.|ısırdığını|ısırdığını|ısırıyor
hu|Másnap reggel az alvó azt mondta, hogy éjjel ... egy szúnyog.|megcsípte|megcsípte|csípi
E 37218 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Smooth: by the time the sleeper felt the bite, you ... away.|had flown|have flown|flew
de|Smooth: Als die schlafende Person den Stich spürte, warst du schon ...|weggeflogen|weggeflogen|weggeflogen
ua|Спритно: поки сплюх відчув укус, ти вже ...|відлетів|відлетів|відлетів
es|Qué fino: cuando la persona dormida sintió la picadura, tú ya te ...|habías ido volando|has ido volando|fuiste volando
fr|Stylé : quand la personne endormie a senti la piqûre, tu t'étais déjà ...|envolé|envolé|envolé
tr|Çok şık: uyuyan kişi ısırığı hissettiğinde sen çoktan ...|uçup gitmiştin|uçup gittin|uçup gittin
hu|Ügyes: mire az alvó megérezte a csípést, te már ...|elrepültél|elrepültél|elrepültél
MEDIA 4090 | meaning: to move upward
E 42369 | B1 type 36 Future Continuous | style dramatic | options 3 | SEL
en|This time tomorrow, the next rocket ... from this pad, and everything will shake!|will be rising|will rise|rises
