MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
hu|Az őzike egy darabig ... az acélcsúszdában, mielőtt elsétált.|feküdt|fekszik|fekszik
MEDIA 4260 | meaning: the shape of a human body
E 39209 | B1 type 47 Gerund vs Infinitive | style dramatic | options 3 | SEL
en|A nightmare! He kept ... his tablet while the figure stood right behind him.|watching|to watch|watch
de|Ein Albtraum! Er ... weiter auf sein Tablet, während die Gestalt direkt hinter ihm stand.|schaute|zu schauen|schauen
ua|Кошмар! Він продовжував ... у свій планшет, поки постать стояла прямо за ним.|дивитися|дивитися|дивитися
es|¡Una pesadilla! Él siguió ... su tablet mientras la figura estaba justo detrás de él.|mirando|a mirar|mirar
fr|Un cauchemar ! Il a continué à ... sa tablette pendant que la silhouette se tenait juste derrière lui.|regarder|regarder|regarder
tr|Kâbus! O, figür tam arkasında dururken tabletini ... devam etti.|izlemeye|izlemek|izle
hu|Rémálom! Ő tovább ... a tabletjét, miközben az alak közvetlenül mögötte állt.|nézte|nézni|néz
E 39219 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|The man slept through it, so he ... the figure in the doorway.|can't have noticed|must have noticed|shouldn't have noticed
de|Der Mann hat alles verschlafen, sodass er die Gestalt in der Tür ...|unmöglich bemerkt haben kann|bemerkt haben muss|nicht bemerkt haben sollte
ua|Чоловік проспав усе, тож він ... постать у дверях.|не міг помітити|мусив помітити|не мав помітити
es|El hombre durmió todo el rato, así que él ... a la figura en la puerta.|no puede haber notado|tiene que haber notado|no debería haber notado
fr|L'homme a dormi pendant tout ce temps, donc il ... la silhouette dans l'embrasure de la porte.|n'a pas pu remarquer|a dû remarquer|n'aurait pas dû remarquer
tr|Adam her şey boyunca uyudu, yani o kapıdaki figürü ...|fark etmiş olamaz|fark etmiş olmalı|fark etmemeliydi
hu|A férfi végigaludta az egészet, szóval ő ... az alakot az ajtóban.|nem vehette észre|biztosan észrevette|nem kellett volna észrevennie
MEDIA 4262 | meaning: wild animals and other living things
E 44742 | B1 type 31 Past Continuous | style nerd | options 3 | SEL
en|The cubs ... across the sand when the raven spread its wings, as wildlife typically does.|were walking|walked|have walked
de|Die Jungtiere ... gerade über den Sand, als der Rabe die Flügel ausbreitete, wie es Wildtiere typischerweise tun.|liefen|liefen|sind gelaufen
ua|Ведмежата ... піском, коли ворон розправив крила, як це зазвичай робить дика природа.|йшли|пройшли|пройшли
es|Las crías ... por la arena cuando el cuervo extendió las alas, como suele hacer la fauna salvaje.|estaban caminando|caminaron|han caminado
fr|Les oursons ... sur le sable quand le corbeau a déployé ses ailes, comme le fait typiquement la faune sauvage.|marchaient|ont marché|ont marché
tr|Kuzgun kanatlarını açtığında yavrular kumun üzerinde ..., tıpkı yaban hayatının tipik olarak yaptığı gibi.|yürüyordu|yürüdü|yürüdü
hu|A bocsok éppen ... a homokon, amikor a holló kitárta a szárnyait, ahogy a vadon élő állatok jellemzően teszik.|sétáltak|átsétáltak|átsétáltak
E 44746 | B2 type 57 Modals in past | style gossip | options 3 | SEL
en|Ok so, rumour has it the raven ... been scared of the wildlife, it fled so fast.|must have|should have|can't have
de|Ok, also angeblich ... der Rabe Angst vor den Tieren gehabt haben, so schnell ist er abgehauen.|muss|sollte|kann nicht
ua|Ок, отже, кажуть, ворон ... злякатися тих звірів, так швидко він утік.|мусив|мав би|не міг
es|Vale, pues dicen que el cuervo ... tenido miedo de los animales, huyó tan rápido.|debe de haber|debería haber|no puede haber
fr|Bon, la rumeur dit que le corbeau ... avoir eu peur des animaux, il s'est enfui tellement vite.|a dû|aurait dû|n'a pas pu
tr|Tamam, rivayete göre kuzgun hayvanlardan ..., o kadar hızlı kaçtı.|korkmuş olmalı|korkmalıydı|korkmuş olamaz
hu|Oké, szóval azt beszélik, a holló ... az állatoktól, olyan gyorsan elmenekült.|biztosan megijedt|meg kellett volna ijednie|nem ijedhetett meg
MEDIA 4265 | meaning: to make someone calm or still
E 37522 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|The green parrot ... when the blue one calmed him. A flawless entrance.|was shouting|shouted|has shouted
de|Der grüne Papagei ... gerade, als der blaue ihn beruhigte. Ein makelloser Auftritt.|schrie|schrie|hat geschrien
ua|Зелений папуга ..., коли синій його заспокоїв. Бездоганна поява.|кричав|закричав|закричав
es|El loro verde ... cuando el azul lo calmó. Una entrada impecable.|estaba gritando|gritó|ha gritado
fr|Le perroquet vert ... quand le bleu l'a calmé. Une entrée impeccable.|criait|a crié|a crié
tr|Yeşil papağan ..., o sırada mavi olan onu sakinleştirdi. Kusursuz bir giriş.|bağırıyordu|bağırdı|bağırdı
hu|A zöld papagáj éppen ..., amikor a kék megnyugtatta. Hibátlan belépő.|kiabált|kiáltott|kiáltott
E 37527 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The blue parrot, ... hug calmed the angry bird, closes its eyes.|whose|which|who
de|Der blaue Papagei, ... Umarmung den wütenden Vogel beruhigt hat, schließt die Augen.|dessen|welcher|der
ua|Синій папуга, ... обійми заспокоїли сердитого птаха, заплющує очі.|чиї|які|хто
es|El loro azul, ... abrazo calmó al pájaro enfadado, cierra los ojos.|cuyo|el cual|quien
fr|Le perroquet bleu, ... le câlin a calmé l'oiseau en colère, ferme les yeux.|dont|lequel|qui
tr|... Sarılması öfkeli kuşu sakinleştiren mavi papağan gözlerini kapatıyor.|||
hu|A kék papagáj, ... ölelése megnyugtatta a dühös madarat, becsukja a szemét.|aminek az|amely|aki
MEDIA 4267 | meaning: clean and organized
E 41194 | B2 type 58 Inversion basic | style ironic | options 3 | SEL
en|Rarely ... a dog look this neat after a haircut. Mildly impressive.|does|it does|did it
de|Selten ... sieht ein Hund nach einem Haarschnitt so gepflegt aus. Mäßig beeindruckend.|||
ua|Рідко ... собака виглядає так охайно після стрижки. Помірно вражає.|||
es|Pocas veces ... un perro se ve tan arreglado después de un corte de pelo. Ligeramente impresionante.|||
fr|Rarement ... un chien a l'air aussi soigné après une coupe. Vaguement impressionnant.|||
tr|Nadiren ... bir köpek tıraştan sonra bu kadar derli toplu görünür. Hafiften etkileyici.|||
hu|Ritkán ... néz ki egy kutya ilyen rendezetten egy nyírás után. Enyhén lenyűgöző.|||
MEDIA 4270 | meaning: to move more slowly
E 43151 | B1 type 44 Relative clauses | style dramatic | options 3 | SEL
en|The duck ... walked onto the track absolutely ruined my best lap, and I had to slow down!|that|whose|what
de|Die Ente, ... auf die Strecke lief, hat meine beste Runde total ruiniert, und ich musste abbremsen!|die|deren|was
ua|Качка, ... вийшла на трасу, повністю зіпсувала моє найкраще коло, і я мусив пригальмувати!|яка|чия|що
es|¡El pato ... se metió en la pista arruinó por completo mi mejor vuelta, y yo tuve que frenar!|que|cuyo|lo que
fr|Le canard ... a débarqué sur la piste a complètement gâché mon meilleur tour, et j'ai dû ralentir !|qui|dont|ce que
tr|... Piste çıkan ördek en iyi turumu tamamen mahvetti ve ben yavaşlamak zorunda kaldım!|||
hu|A kacsa, ... kisétált a pályára, teljesen tönkretette a legjobb körömet, és én kénytelen voltam lassítani!|amelyik|akinek a|ami
MEDIA 4273 | meaning: when two or more bodies come together and hit
E 37884 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The blue car ... through the crossroads when the collision happened.|was driving|drove|has driven
de|Das blaue Auto ... gerade über die Kreuzung, als der Zusammenstoß passierte.|fuhr|fuhr|ist gefahren
ua|Синя машина ... через перехрестя, коли сталося зіткнення.|їхала|проїхала|проїхала
es|El coche azul ... por el cruce cuando ocurrió la colisión.|circulaba|pasó|ha pasado
fr|La voiture bleue ... le carrefour quand la collision s'est produite.|traversait|a traversé|a traversé
tr|Çarpışma olduğunda mavi araba kavşaktan ...|geçiyordu|geçti|geçti
hu|A kék autó éppen ... a kereszteződésen, amikor megtörtént az ütközés.|hajtott át|áthajtott|áthajtott
MEDIA 4274 | meaning: a change for the worse, harm done
E 38401 | B1 type 33 Past Simple or Continuos | style dramatic | options 3 | SEL
en|Disaster! The van ... slowly past the shops when it crashed and did all this damage.|was driving|drove|is driving
de|Katastrophe! Der Transporter ... langsam an den Läden vorbei, als er krachte und diesen ganzen Schaden anrichtete.|fuhr|fuhr|fährt
ua|Катастрофа! Фургон ... повільно повз магазини, коли врізався і наробив усієї цієї шкоди.|їхав|проїхав|їде
es|¡Desastre! La furgoneta ... despacio junto a las tiendas cuando chocó e hizo todo este daño.|circulaba|pasó|pasa
fr|Catastrophe ! La camionnette ... lentement devant les magasins quand elle a eu l'accident et fait tous ces dégâts.|roulait|a roulé|roule
tr|Felaket! Kamyonet dükkânların önünden yavaşça ..., o sırada çarptı ve bütün bu hasarı verdi.|geçiyordu|geçti|geçiyor
hu|Katasztrófa! A furgon lassan ... az üzletek mellett, amikor ütközött, és ezt a sok kárt okozta.|haladt el|elhaladt|halad el
E 38411 | B2 type 62 Articles advanced | style dramatic | options 3 | SEL
en|The crash did ... to the rear wing, a nightmare for both drivers!|serious damage|a serious damage|the serious damage
de|Der Unfall hat ... am hinteren Kotflügel angerichtet, ein Albtraum für beide Fahrer!|schweren Schaden|einen schweren Schaden|den schweren Schaden
ua|Аварія завдала ... задньому крилу, кошмар для обох водіїв!|серйозної шкоди|серйозної шкоди|серйозної шкоди
es|¡El choque le hizo ... a la aleta trasera, una pesadilla para los dos conductores!|daños graves|un daño grave|el daño grave
fr|L'accident a fait ... à l'aile arrière, un cauchemar pour les deux conducteurs !|de gros dégâts|un gros dégât|les gros dégâts
tr|Kaza arka çamurlukta ... yarattı, iki sürücü için de tam bir kâbus!|ciddi hasar|ciddi bir hasar|ciddi hasar
hu|Az ütközés ... okozott a hátsó sárvédőn, rémálom mindkét sofőrnek!|komoly kárt|egy komoly kárt|a komoly kárt
MEDIA 4277 | meaning: someone who keeps and checks business accounts
E 36550 | B1 type 36 Future Continuous | style gossip | options 3 | SEL
en|Bestie, I heard this time tomorrow the accountant ... receipts again.|will be checking|will check|checks
de|Bestie, ich hab gehört, dass die Buchhalterin morgen um diese Zeit wieder Belege ...|prüfen wird|prüfen wird|prüft
ua|Бесті, я чула, що завтра в цей час бухгалтерка знову ... чеки.|перевірятиме|перевірить|перевіряє
es|Bestie, yo he oído que mañana a esta hora la contable ... recibos otra vez.|estará revisando|revisará|revisa
fr|Bestie, j'ai entendu dire que demain à la même heure, la comptable ... encore des tickets de caisse.|sera en train de vérifier|vérifiera|vérifie
tr|Kanka, ben duydum ki yarın bu saatlerde muhasebeci yine fişleri ...|kontrol ediyor olacakmış|kontrol edecekmiş|kontrol ediyormuş
hu|Csajszi, én úgy hallottam, holnap ilyenkor a könyvelő megint a blokkokat ...|fogja ellenőrizni|ellenőrzi majd|ellenőrzi
E 36557 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By midnight the accountant ... only half the pile. Great progress, obviously.|will have checked|will check|will be checking
de|Bis Mitternacht ... die Buchhalterin nur den halben Stapel geprüft. Toller Fortschritt, natürlich.|hat|wird|ist gerade dabei
ua|До півночі бухгалтерка ... лише половину стосу. Чудовий прогрес, звісно.|перевірить|перевірить|перевірятиме
es|Para medianoche la contable ... solo la mitad del montón. Gran progreso, obviamente.|habrá revisado|revisará|estará revisando
fr|D'ici minuit, la comptable ... seulement la moitié de la pile. Super progrès, évidemment.|aura vérifié|vérifiera|sera en train de vérifier
tr|Muhasebeci gece yarısına kadar yığının sadece yarısını ...; harika bir ilerleme, tabii ki.|kontrol etmiş olacak|kontrol edecek|kontrol ediyor olacak
hu|Éjfélre a könyvelő ... a kupacnak csak a felét. Remek haladás, nyilvánvalóan.|ellenőrzi|ellenőrizni fogja|ellenőrizni fogja
MEDIA 4280 | meaning: the act of making a film
E 39238 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The filming of the crying scene ... for three hours now.|has been going on|is going on|goes on
de|Der Dreh der Weinszene ... jetzt schon seit drei Stunden.|läuft|läuft|läuft
ua|Зйомки сцени з плачем ... вже три години.|тривають|тривають|тривають
es|El rodaje de la escena del llanto ... ya tres horas.|lleva|está durando|dura
fr|Le tournage de la scène de pleurs ... depuis trois heures maintenant.|dure|dure|dure
tr|Ağlama sahnesinin çekimi artık üç saattir ...|sürüyor|sürüyor|sürer
hu|A sírós jelenet forgatása már három órája ...|tart|tart|tart
MEDIA 4282 | meaning: a structure that gives protection from danger
E 42865 | B1 type 31 Past Continuous | style flirt | options 3 | SEL
en|You ... the dog through the mesh when the shelter door opened, and honestly, respect.|were greeting|greeted|have greeted
de|Du ... den Hund gerade durchs Gitter, als die Tür des Tierheims aufging, und ehrlich, Respekt.|begrüßtest|begrüßtest|hast begrüßt
ua|Ти ... пса крізь сітку, коли відчинилися двері притулку, і чесно, респект.|вітав|привітав|привітав
es|Tú ... al perro a través de la malla cuando se abrió la puerta del refugio, y sinceramente, respeto.|estabas saludando|saludaste|has saludado
fr|Tu ... le chien à travers le grillage quand la porte du refuge s'est ouverte, et franchement, respect.|saluais|as salué|as salué
tr|Barınağın kapısı açıldığında sen köpeği telin arasından ... ve açıkçası, saygı.|selamlıyordun|selamladın|selamladın
hu|Te épp ... a kutyát a rácson keresztül, amikor kinyílt a menhely ajtaja, és őszintén, respekt.|üdvözölted|üdvözölted|üdvözölted
E 42875 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The staff member ... the forms by the time the couple reached the shelter exit.|had stamped|has stamped|was stamped
de|Die Mitarbeiterin ... die Formulare schon abgestempelt, als das Paar den Ausgang des Tierheims erreichte.|hatte|hat|wurde
ua|Працівниця ... бланки ще до того, як пара дійшла до виходу з притулку.|проштампувала|проштампувала|була проштампована
es|La empleada ya ... los formularios cuando la pareja llegó a la salida del refugio.|había sellado|ha sellado|fue sellada
fr|L'employée ... les formulaires au moment où le couple a atteint la sortie du refuge.|avait tamponné|a tamponné|a été tamponnée
tr|Çift barınağın çıkışına vardığında görevli formları çoktan ...|damgalamıştı|damgaladı|damgalandı
hu|Mire a pár a menhely kijáratához ért, a munkatárs már ... a nyomtatványokat.|lepecsételte|lepecsételte|le lett pecsételve
MEDIA 4286 | meaning: to move the air with something, like a fan
E 39128 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|She ... herself in the deckchair when the ice in her lemonade melted.|was fanning|fanned|has fanned
de|Sie ... sich gerade im Liegestuhl Luft zu, als das Eis in ihrer Limonade schmolz.|fächelte|fächelte|hat gefächelt
ua|Вона ... себе у шезлонгу, коли лід у її лимонаді розтанув.|обмахувала|обмахнула|обмахнула
es|Ella se ... en la tumbona cuando se derritió el hielo de su limonada.|estaba abanicando|abanicó|ha abanicado
fr|Elle ... dans le transat quand la glace de sa limonade a fondu.|s'éventait|s'est éventée|s'est éventée
tr|Limonatasındaki buz eridiğinde o şezlongda kendini ...|yelpazeliyordu|yelpazeledi|yelpazeledi
hu|Ő épp ... magát a nyugágyban, amikor elolvadt a jég a limonádéjában.|legyezte|meglegyezte|meglegyezte
MEDIA 4287 | meaning: to look at something carefully
E 44528 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|They are laughing as they take the keys, so they ... have liked the flat they viewed.|must|can't|should
de|Sie lachen, als sie die Schlüssel nehmen, also ... ihnen die Wohnung, die sie besichtigt haben, gefallen haben.|muss|kann nicht|sollte
ua|Вони сміються, коли беруть ключі, тож квартира, яку вони оглянули, ... їм сподобатися.|мусила|не могла|мала б
es|Ellos se ríen mientras cogen las llaves, así que ... de haberles gustado el piso que vieron.|debe|no puede|debería
fr|Ils rient en prenant les clés, donc l'appart qu'ils ont visité ... leur plaire.|a dû|n'a pas pu|aurait dû
tr|Onlar anahtarları alırken gülüyorlar, yani gezdikleri daireyi ...|beğenmiş olmalılar|beğenmiş olamazlar|beğenmeliydiler
hu|Ők nevetnek, ahogy átveszik a kulcsokat, szóval a lakás, amit megnéztek, ... nekik.|biztosan tetszett|nem tetszhetett|tetszenie kellett volna
E 44535 | B2 type 50 Past Perfect Continuous | style dramatic | options 3 | SEL
en|They ... flats for months before this one finally ended the nightmare!|had been viewing|have been viewing|were viewing
de|Sie ... monatelang Wohnungen besichtigt, bevor diese hier endlich den Albtraum beendete!|hatten|haben|waren
ua|Вони ... квартири місяцями, перш ніж ця нарешті завершила кошмар!|оглядали|оглядають|оглядали
es|¡Ellos ... pisos durante meses antes de que este por fin acabara con la pesadilla!|habían estado viendo|han estado viendo|estaban viendo
fr|Ils ... des apparts pendant des mois avant que celui-ci mette enfin fin au cauchemar !|avaient visité|ont visité|visitaient
tr|Onlar, bu daire nihayet kâbusa son verene kadar aylarca daire ...!|gezmişlerdi|geziyorlar|geziyorlardı
hu|Ők hónapokig ... lakásokat, mielőtt ez végre véget vetett a rémálomnak!|nézegettek|nézegetnek|nézegettek
MEDIA 4290 | meaning: to make something cool or cooler
E 38053 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time he stood up, the air conditioner ... the room a little.|had cooled|has cooled|cools
de|Als er aufstand, ... die Klimaanlage den Raum schon etwas abgekühlt.|hatte|hat|kühlt
ua|Поки він підвівся, кондиціонер уже трохи ... кімнату.|охолодив|охолодив|охолоджує
es|Para cuando él se levantó, el aire acondicionado ya ... un poco la habitación.|había enfriado|ha enfriado|enfría
fr|Au moment où il s'est levé, la clim ... un peu la pièce.|avait rafraîchi|a rafraîchi|rafraîchit
tr|O ayağa kalktığında klima odayı biraz ...|serinletmişti|serinletti|serinletir
hu|Mire ő felállt, a légkondi már kicsit ... a szobát.|lehűtötte|lehűtötte|hűti
E 38058 | B2 type 59 Causative HAVE/GET | style ironic | options 3 | SEL
en|He had the air conditioner ... the whole flat in a minute. Clearly a small request.|cool|to cool|cooled
de|Er ließ die Klimaanlage in einer Minute die ganze Wohnung ...; eindeutig eine kleine Bitte.|abkühlen|abzukühlen|abgekühlt
ua|Він змусив кондиціонер ... всю квартиру за хвилину. Явно маленьке прохання.|охолодити|охолодити|охолоджений
es|Él hizo que el aire acondicionado ... todo el piso en un minuto. Claramente una petición pequeña.|enfriara|enfriar|enfriado
fr|Il a laissé la clim ... tout l'appart en une minute. Clairement une petite demande.|refroidir|de refroidir|refroidi
tr|O, klimaya bütün daireyi bir dakikada ...; belli ki küçük bir ricaydı.|soğutturdu|soğutmayı|soğutulmuş
hu|Ő a légkondival ... az egész lakást egy perc alatt. Egyértelműen kis kérés.|lehűttette|lehűteni|lehűtött
MEDIA 4291 | meaning: the part of the face above the eyes
E 39531 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|His forehead is wet because he ... in the heat all afternoon.|has been sitting|is sitting|sits
de|Seine Stirn ist nass, weil er den ganzen Nachmittag in der Hitze ...|gesessen hat|sitzt|sitzt
ua|Його чоло мокре, бо він ... у спеці все пообіддя.|сидить|сидить|сидить
es|Su frente está mojada porque él ... toda la tarde al calor.|ha estado sentado|está sentado|se sienta
fr|Il a le front mouillé parce qu'il ... dans la chaleur tout l'après-midi.|est resté assis|est assis|s'assoit
tr|Alnı ıslak, çünkü o bütün öğleden sonra sıcakta ...|oturuyor|oturuyor|oturur
hu|A homloka nedves, mert ő egész délután ... a hőségben.|ült|ül|ül
E 39538 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Right now his forehead ... with sweat. Flawless planning, clearly.|is shining|shines|has shone
de|Gerade ... seine Stirn vor Schweiß. Makellose Planung, eindeutig.|glänzt|glänzt|hat geglänzt
ua|Саме зараз його чоло ... від поту. Бездоганне планування, явно.|блищить|блищить|блищало
es|Ahora mismo su frente ... de sudor. Una planificación impecable, claramente.|está brillando|brilla|ha brillado
fr|En ce moment, son front ... de sueur. Planification impeccable, clairement.|brille|brille|a brillé
tr|Şu anda alnı terden ...; kusursuz planlama, belli ki.|parlıyor|parlar|parladı
hu|Épp most a homloka ... az izzadságtól. Hibátlan tervezés, egyértelműen.|fénylik|fénylik|fénylett
MEDIA 4295 | meaning: to take a picture on film or a camera
E 41531 | B1 type 43 Modal verbs Probability | style slang | options 3 | SEL
en|Bro, he's got a pro camera and waits at the fence, so he ... photograph planes a lot, fr.|must|can't|shouldn't
de|Bro, er hat 'ne Profikamera und wartet am Zaun, also ... er oft Flugzeuge fotografieren, echt.|muss|kann nicht|sollte nicht
ua|Бро, у нього профі-камера, і він чекає біля паркану, тож він ... фотографувати літаки досить часто, реально.|мусить|не може|не повинен
es|Bro, él tiene una cámara pro y espera en la valla, así que ... de fotografiar aviones un montón, en serio.|debe|no puede|no debería
fr|Frérot, il a un appareil pro et il attend à la clôture, donc il ... photographier des avions souvent, sérieux.|doit|ne peut pas|ne devrait pas
tr|Kanka, onun profesyonel bir fotoğraf makinesi var ve çitin yanında bekliyor, yani o uçakların fotoğrafını çok ..., cidden.|çekiyor olmalı|çekiyor olamaz|çekmemeli
hu|Tesó, profi gépe van, és a kerítésnél vár, szóval ő ... repülőket, komolyan.|biztos sokat fotóz|nem fotózhat sokat|nem kéne sokat fotóznia
E 41536 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|He ... planes at this fence since 2019. Obviously a very casual hobby.|has been photographing|is photographing|photographs
de|Er ... seit 2019 an diesem Zaun Flugzeuge. Offensichtlich ein sehr lockeres Hobby.|fotografiert|fotografiert gerade|fotografiert
ua|Він ... літаки біля цього паркану з 2019 року. Очевидно, дуже невимушене хобі.|фотографує|фотографує|фотографує
es|Él ... aviones en esta valla desde 2019. Obviamente, una afición muy casual.|ha estado fotografiando|está fotografiando|fotografía
fr|Il ... des avions à cette clôture depuis 2019. Visiblement un passe-temps très décontracté.|photographie|est en train de photographier|photographie
tr|O, 2019'dan beri bu çitin yanında uçakları ...; belli ki çok sıradan bir hobi.|fotoğraflıyor|fotoğraflıyor|fotoğraflar
hu|Ő 2019 óta ... a repülőket ennél a kerítésnél. Nyilvánvalóan egy nagyon laza hobbi.|fotózza|fotózza|fotózza
MEDIA 4296 | meaning: a gesture or action that sends a message
E 43021 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The marshals ... a signal to the plane when a suitcase fell off the baggage cart.|were giving|gave|have given
de|Die Einweiser ... dem Flugzeug gerade ein Signal, als ein Koffer vom Gepäckwagen fiel.|gaben|gaben|haben gegeben
ua|Регулювальники ... літаку сигнал, коли з багажного візка впала валіза.|подавали|подали|подали
es|Los señalizadores le ... una señal al avión cuando una maleta se cayó del carro de equipajes.|estaban haciendo|hicieron|han hecho
fr|Les placeurs ... un signal à l'avion quand une valise est tombée du chariot à bagages.|faisaient|ont fait|ont fait
tr|Bagaj arabasından bir bavul düştüğünde yer görevlileri uçağa işaret ...|veriyordu|verdi|verdi
hu|A beállítók épp jelet ... a gépnek, amikor leesett egy bőrönd a poggyászkocsiról.|adtak|adtak|adtak
MEDIA 4297 | meaning: the act of leaving, departing
E 38510 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|She ... be nervous before a departure, but now she loves airports.|used to|would|was used to
de|Sie ... vor einem Abflug nervös, aber jetzt liebt sie Flughäfen.|war früher|wäre|war es gewohnt
ua|Вона ... перед вильотом, але тепер обожнює аеропорти.|колись нервувала|нервувала б|звикла нервувати
es|Ella ... ponerse nerviosa antes de una salida, pero ahora le encantan los aeropuertos.|solía|iba a|estaba acostumbrada a
fr|Elle ... nerveuse avant un départ, mais maintenant elle adore les aéroports.|était avant|serait|était habituée à être
tr|O, kalkıştan önce ..., ama artık havalimanlarına bayılıyor.|eskiden gergin olurdu|gergin olurdu|gergin olmaya alışkındı
hu|Ő ... indulás előtt, de most imádja a reptereket.|régen ideges volt|ideges lenne|hozzá volt szokva, hogy ideges legyen
E 38513 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Ok so apparently she ... about her departure since she got here.|has been talking|is talking|talks
de|Ok, also angeblich ... sie über ihren Abflug, seit sie hier ist.|redet|redet gerade|redet
ua|Ок, отже, кажуть, вона ... про свій виліт, відколи сюди приїхала.|говорить|говорить|говорить
es|Vale, pues al parecer ella ... de su salida desde que llegó.|lleva hablando|está hablando|habla
fr|Bon, apparemment elle ... de son départ depuis qu'elle est arrivée.|parle|est en train de parler|parle
tr|Tamam, duyduğuma göre o buraya geldiğinden beri kalkışından ...|bahsediyormuş|bahsediyor|bahseder
hu|Oké, szóval állítólag ő azóta az indulásáról ..., hogy ideért.|beszél|beszél|beszél
MEDIA 4299 | meaning: to show a response to something
E 42109 | B1 type 38 0 Conditional | style dramatic | options 3 | SEL
en|If he touches a cat, his body ... instantly. Absolute disaster!|reacts|reacted|will react
de|Wenn er eine Katze berührt, ... sein Körper sofort. Absolute Katastrophe!|reagiert|reagierte|wird reagieren
ua|Якщо він торкнеться кота, його тіло ... миттєво. Повна катастрофа!|реагує|відреагувало|відреагує
es|Si él toca un gato, su cuerpo ... al instante. ¡Un desastre total!|reacciona|reaccionó|reaccionará
fr|S'il touche un chat, son corps ... instantanément. Catastrophe absolue !|réagit|a réagi|réagira
tr|O bir kediye dokunursa vücudu anında ...; tam bir felaket!|tepki verir|tepki verdi|tepki verecek
hu|Ha ő hozzáér egy macskához, a teste ... azonnal. Abszolút katasztrófa!|reagál|reagált|reagálni fog
E 42117 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|He wishes he ... to cats so badly.|didn't react|doesn't react|won't react
de|Er wünschte, er ... nicht so heftig auf Katzen.|reagierte|reagiert|wird reagieren
ua|Він хотів би, щоб ... так сильно на котів.|не реагував|не реагує|не реагуватиме
es|Él desearía ... tan fuerte a los gatos.|no reaccionar|no reacciona|no reaccionará
fr|Il voudrait ne pas ... aussi fort aux chats.|réagir|réagit|réagira
tr|O, keşke kedilere bu kadar kötü ... diyor.|tepki vermese|tepki vermiyor|tepki vermeyecek
hu|Ő azt szeretné, ha ne ... ennyire a macskákra.|reagálna|reagál|fog reagálni
MEDIA 4300 | meaning: worthless material to be thrown away
E 42516 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The bins in this alley ... with rubbish for days, and nobody has emptied them.|have been overflowing|are overflowing|overflow
de|Die Mülltonnen in dieser Gasse ... seit Tagen vor Müll über, und niemand hat sie geleert.|quellen|quellen|quellen
ua|Смітники в цьому провулку ... сміттям уже кілька днів, і ніхто їх не спорожнив.|переповнені|переповнені|переповнюються
es|Los cubos de esta callejuela ... de basura desde hace días, y nadie los ha vaciado.|están rebosando|están rebosando|rebosan
fr|Les poubelles de cette ruelle ... d'ordures depuis des jours, et personne ne les a vidées.|débordent|débordent|débordent
tr|Bu sokaktaki çöp kutuları günlerdir çöple ... ve kimse onları boşaltmadı.|taşıyor|taşıyor|taşar
hu|Ebben a sikátorban a kukák napok óta ... a szeméttől, és senki sem ürítette ki őket.|túlcsordulnak|túlcsordulnak|túlcsordulnak
MEDIA 4301 | meaning: an empty space between things
E 39712 | B1 type 41 Passive | style chill | options 3 | SEL
en|The walls on both sides of the gap ... blue many years ago.|were painted|painted|are painted
de|Die Wände auf beiden Seiten des Spalts ... vor vielen Jahren blau gestrichen.|wurden|strichen|werden
ua|Стіни з обох боків проходу ... в синій колір багато років тому.|були пофарбовані|пофарбували|пофарбовані
es|Las paredes a ambos lados del hueco ... de azul hace muchos años.|fueron pintadas|pintaron|están pintadas
fr|Les murs des deux côtés de l'interstice ... en bleu il y a de nombreuses années.|ont été peints|ont peint|sont peints
tr|Boşluğun iki yanındaki duvarlar yıllar önce maviye ...|boyandı|boyadı|boyanıyor
hu|A rés két oldalán lévő falakat sok évvel ezelőtt kékre ...|festették|festették|festik
E 39713 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Honestly, you squeezed through that gap like ... expert.|an|the|a
de|Ehrlich, du hast dich durch diese Lücke gequetscht wie ... Profi.|ein|der|ein
ua|Чесно, ти протиснувся крізь цю щілину, як ... експерт.|||
es|Sinceramente, tú te colaste por ese hueco como ... experto.|un|el|un
