MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
fr|Toutes les autres tenues sont gâchées ! Ce peignoir est absolument élégant, ... ?|n'est-ce pas|non|n'était-ce pas
tr|Diğer bütün kombinler mahvoldu! O sabahlık kesinlikle çok zarif, ...?|değil mi|değil mi|değil miydi
hu|Minden más szett tönkrement! Az a köntös abszolút elegáns, ...?|nem igaz|ugye|nem volt az
E 38902 | B2 type 50 Past Perfect Continuous | style gossip | options 3 | SEL
en|Ok so, apparently she ... perfumes for hours before she found that elegant one.|had been testing|has been testing|was testing
de|Ok also, anscheinend ... sie stundenlang Parfüms, bevor sie das elegante gefunden hat.|testete|testet|testete gerade
ua|Отже, кажуть, вона ... парфуми годинами, перш ніж знайшла ті елегантні.|тестувала|тестує|тестувала
es|Vale, pues al parecer ella ... perfumes durante horas antes de encontrar ese tan elegante.|había estado probando|ha estado probando|estaba probando
fr|Ok alors, apparemment elle ... des parfums pendant des heures avant de trouver ce parfum élégant.|avait testé|a testé|testait
tr|Tamam, duyduğuma göre o, o zarif parfümü bulmadan önce saatlerce parfüm ...|denemiş|deniyor|deniyordu
hu|Oké, szóval állítólag ő órákig ... parfümöket, mielőtt megtalálta azt az elegánsat.|tesztelt|tesztel|tesztelt
MEDIA 5243 | meaning: to plan a time for an activity or event
E 42650 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If she scheduled fewer events, she ... more free time.|would have|will have|has
de|Wenn sie weniger Termine einplanen würde, ... sie mehr Freizeit.|hätte|wird haben|hat
ua|Якби вона планувала менше подій, вона ... більше вільного часу.|мала б|матиме|має
es|Si programara menos eventos, ella ... más tiempo libre.|tendría|tendrá|tiene
fr|Si elle planifiait moins d'événements, elle ... plus de temps libre.|aurait|aura|a
tr|Daha az etkinlik planlasa, o daha fazla boş zamana ...|sahip olurdu|sahip olacak|sahip
hu|Ha kevesebb programot tervezne be, ő ... több szabad idővel.|rendelkezne|rendelkezni fog|rendelkezik
MEDIA 5245 | meaning: material used in or made by a reaction
E 37771 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|They think the purple chemical ... out of the flask soon.|will bubble|will be bubbling|is bubbling
de|Sie denken, dass die lila Chemikalie bald aus dem Kolben ...|sprudeln wird|am Sprudeln sein wird|sprudelt
ua|Вони думають, що фіолетова хімічна речовина скоро ... з колби.|вибулькне|булькотітиме|булькоче
es|Ellos creen que la sustancia química morada pronto ... del matraz.|burbujeará|estará burbujeando|está burbujeando
fr|Ils pensent que le produit chimique violet ... bientôt hors du flacon.|bouillonnera|sera en train de bouillonner|bouillonne
tr|Onlar mor kimyasalın yakında şişeden köpürerek ... düşünüyor.|taşacağını|taşıyor olacağını|taştığını
hu|Ők azt gondolják, hogy a lila vegyszer hamarosan ... a lombikból.|kibugyog majd|bugyogni fog|kibugyog
MEDIA 5246 | meaning: a narrow-necked glass container for liquids
E 39361 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Girl, apparently she ... the flask over the hotplate when her colleague came over.|was swirling|swirled|has swirled
de|Süße, anscheinend ... sie gerade den Kolben über der Heizplatte, als ihr Kollege rüberkam.|schwenkte|schwenkte|hat geschwenkt
ua|Подруго, кажуть, вона ... колбу над плиткою, коли підійшов її колега.|крутила|крутнула|крутнула
es|Tía, al parecer ella ... el matraz sobre la placa cuando se acercó su compañero.|estaba agitando|agitó|ha agitado
fr|Meuf, apparemment elle ... le flacon au-dessus de la plaque chauffante quand son collègue est arrivé.|faisait tourner|a fait tourner|a fait tourner
tr|Kızım, duyduğuma göre iş arkadaşı geldiğinde o şişeyi ocağın üstünde ...|çalkalıyormuş|çalkaladı|çalkalamış
hu|Csajszi, állítólag ő éppen ... a lombikot a főzőlap felett, amikor odajött a kollégája.|forgatta|megforgatta|megforgatta
E 39366 | B2 type 59 Causative HAVE/GET | style business | options 3 | SEL
en|The lab manager had 50 flasks ... before the audit.|cleaned|clean|cleaning
de|Die Laborleitung ließ vor dem Audit 50 Kolben ...|reinigen|reinigen|reinigend
ua|Завідувач лабораторії звелів ... 50 колб перед аудитом.|почистити|почистити|чищення
es|El jefe del laboratorio mandó ... 50 matraces antes de la auditoría.|limpiar|limpiar|limpiando
fr|Le responsable du labo a fait ... 50 flacons avant l'audit.|nettoyer|nettoyer|nettoyant
tr|Laboratuvar müdürü denetimden önce 50 şişeyi ...|temizletti|temizledi|temizleyerek
hu|A laborvezető az audit előtt ... 50 lombikot.|kitisztíttatott|kitisztított|tisztítva
MEDIA 5247 | meaning: the marks your feet leave on the ground
E 39522 | B1 type 42 Passive or Active | style nerd | options 3 | SEL
en|The muddy footprints ... by the boots of the young man, as the mud indicates.|were left|left|leaving
de|Die schlammigen Fußabdrücke wurden von den Stiefeln des jungen Mannes ..., wie der Schlamm zeigt.|hinterlassen|hinterließen|hinterlassend
ua|Брудні сліди ... чоботами молодого чоловіка, як свідчить багнюка.|були залишені|залишили|залишаючи
es|Las huellas de barro ... por las botas del joven, como indica el barro.|fueron dejadas|dejaron|dejando
fr|Les empreintes boueuses ... par les bottes du jeune homme, comme l'indique la boue.|ont été laissées|ont laissé|laissant
tr|Çamurlu ayak izleri, çamurun gösterdiği gibi, genç adamın botları tarafından ...|bırakıldı|bıraktı|bırakarak
hu|A sáros lábnyomokat a fiatalember csizmája ..., ahogy a sár is mutatja.|hagyta|hagyták|hagyva
MEDIA 5252 | meaning: from the hot wet regions near the equator
E 44314 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|She promises the customer that she ... the ripest tropical fruit.|will choose|will be choosing|is choosing
de|Sie verspricht dem Kunden, dass sie das reifste tropische Obst ...|aussuchen wird|aussuchen wird|aussucht
ua|Вона обіцяє покупцеві, що ... найстигліші тропічні фрукти.|вибере|вибиратиме|вибирає
es|Ella le promete al cliente que ... la fruta tropical más madura.|elegirá|estará eligiendo|está eligiendo
fr|Elle promet au client qu'elle ... les fruits tropicaux les plus mûrs.|choisira|sera en train de choisir|choisit
tr|O müşteriye en olgun tropik meyveyi ... söz veriyor.|seçeceğine|seçiyor olacağına|seçtiğine
hu|Ő megígéri a vevőnek, hogy ... a legérettebb trópusi gyümölcsöt.|kiválasztja|válogatni fogja|válogatja
E 44318 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|She ... the tropical fruit for an hour before the first customer came, slightly slow.|had been stacking|stacked|was stacking
de|Sie ... das tropische Obst eine Stunde lang, bevor der erste Kunde kam, leicht langsam.|stapelte|stapelte|stapelte gerade
ua|Вона ... тропічні фрукти годину, перш ніж прийшов перший покупець, трохи повільно.|складала|склала|складала
es|Ella ... la fruta tropical durante una hora antes de que llegara el primer cliente, un pelín lento.|había estado apilando|apiló|estaba apilando
fr|Elle ... les fruits tropicaux pendant une heure avant l'arrivée du premier client, un poil lent.|avait empilé|a empilé|empilait
tr|İlk müşteri gelmeden önce o tropik meyveleri bir saat boyunca ..., biraz yavaş.|diziyordu|dizdi|diziyordu
hu|Ő egy órán át ... a trópusi gyümölcsöt, mielőtt jött az első vevő, kicsit lassú.|pakolta|felpakolta|pakolta
MEDIA 5255 | meaning: responsible for doing something wrong
E 39909 | B1 type 38 0 Conditional | style flirt | options 3 | SEL
en|Honestly, if you ... someone guilty, the whole court goes silent.|find|found|will find
de|Ehrlich, wenn du jemanden für schuldig ..., wird der ganze Gerichtssaal still.|erklärst|erklärtest|erklären wirst
ua|Чесно, якщо ти ... когось винним, уся зала суду замовкає.|визнаєш|визнав|визнаватимеш
es|Sinceramente, si tú ... culpable a alguien, toda la sala se queda en silencio.|declaras|declaraste|declararás
fr|Franchement, si tu ... quelqu'un coupable, toute la salle se tait.|déclares|déclarais|déclareras
tr|Açıkçası, sen birini suçlu ..., bütün mahkeme susuyor.|bulursan|buldun|bulacaksan
hu|Őszintén, ha te ... valakit bűnösnek, az egész tárgyalóterem elcsendesedik.|találsz|találtál|találni fogsz
E 39911 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Clearly a great morning for him: the judge ... him guilty right now.|is declaring|declares|has declared
de|Eindeutig ein toller Morgen für ihn: Die Richterin ... ihn gerade schuldig.|spricht|spricht|hat gesprochen
ua|Явно чудовий ранок для нього: суддя прямо зараз ... його винним.|визнає|визнає|визнала
es|Claramente una gran mañana para él: la jueza lo ... culpable ahora mismo.|está declarando|declara|ha declarado
fr|Clairement une super matinée pour lui : la juge ... coupable en ce moment même.|le déclare|le déclare|l'a déclaré
tr|Onun için açıkça harika bir sabah: hâkim şu anda onu suçlu ...|ilan ediyor|ilan eder|ilan etti
hu|Egyértelműen remek reggel neki: a bírónő éppen most ... bűnösnek.|nyilvánítja|nyilvánítja|nyilvánította
MEDIA 5256 | meaning: to speak to a group of people
E 36585 | B2 type 60 Wish clauses | style slang | options 3 | SEL
en|Bro, the guy in the front row wishes the judge ... addressing the hall already, fr.|would stop|stops|will stop
de|Bro, der Typ in der ersten Reihe wünscht sich, dass der Richter endlich ..., zum Saal zu sprechen, echt.|aufhören würde|aufhört|aufhören wird
ua|Бро, хлопець у першому ряду хоче, щоб суддя вже ... говорити до зали, чесно.|перестав|перестав|перестане
es|Bro, el tío de la primera fila desea que el juez ... de hablarle a la sala ya, en serio.|dejara|deja|dejará
fr|Frérot, le mec au premier rang aimerait que le juge ... de parler à la salle, sérieux.|arrête|arrête|arrêtera
tr|Kanka, ön sıradaki adam hâkimin artık salona konuşmayı ... istiyor, cidden.|bırakmasını|bırakmasını|bırakacağını
hu|Tesó, az első sorban ülő srác azt szeretné, ha a bíró már ... beszélni a teremhez, komolyan.|abbahagyná|abbahagyja|abba fogja hagyni
MEDIA 5257 | meaning: the head servant in a rich person's house
E 37464 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If a guest ... for tea, the butler brings it on a silver tray.|asks|will ask|asked
de|Wenn ein Gast um Tee ..., bringt der Butler ihn auf einem Silbertablett.|bittet|bitten wird|bat
ua|Якщо гість ... чаю, дворецький приносить його на срібній таці.|просить|попросить|попросив
es|Si un invitado ... té, el mayordomo lo trae en una bandeja de plata.|pide|pedirá|pidió
fr|Si un invité ... du thé, le majordome l'apporte sur un plateau d'argent.|demande|demandera|demandait
tr|Bir misafir çay ..., uşak onu gümüş tepside getirir.|isterse|isteyecekse|istediyse
hu|Ha egy vendég teát ..., a komornyik ezüsttálcán hozza.|kér|kérni fog|kért
MEDIA 5259 | meaning: the thick hairy coat of an animal
E 39668 | B1 type 42 Passive or Active | style ironic | options 3 | SEL
en|The big dog politely ... its wet fur right next to her coffee. Great timing.|shook|was shaken|shaking
de|Der große Hund ... höflich sein nasses Fell direkt neben ihrem Kaffee. Super Timing.|schüttelte|wurde geschüttelt|schüttelnd
ua|Великий пес чемно ... мокру шерсть просто біля її кави. Чудовий таймінг.|обтрусив|був обтрушений|обтрушуючи
es|El perro grande ... educadamente su pelo mojado justo al lado de su café. Qué buen momento.|sacudió|fue sacudido|sacudiendo
fr|Le gros chien ... poliment son pelage mouillé juste à côté de son café. Super timing.|a secoué|a été secoué|secouant
tr|Büyük köpek kibarca ... ıslak tüylerini, hem de tam onun kahvesinin yanında. Harika zamanlama.|silkeledi|silkelendi|silkeleyerek
hu|A nagy kutya udvariasan ... a vizes bundáját közvetlenül a kávéja mellett. Remek időzítés.|kirázta|ki lett rázva|rázva
MEDIA 5260 | meaning: a painful feeling of guilt
E 42837 | B1 type 39 1. Conditional | style slang | options 3 | SEL
en|Dude, if she sees the empty plate, you ... of shame, fr.|will die|would die|died
de|Alter, wenn sie den leeren Teller sieht, ... du vor Scham, echt.|stirbst|würdest sterben|starbst
ua|Чувак, якщо вона побачить порожню тарілку, ти ... від сорому, чесно.|помреш|помер би|помер
es|Tío, si ve el plato vacío, tú te ... de vergüenza, en serio.|morirás|morirías|moriste
fr|Mec, si elle voit l'assiette vide, tu ... de honte, sérieux.|vas mourir|mourrais|es mort
tr|Kanka, boş tabağı görürse sen utançtan ..., cidden.|öleceksin|ölürdün|öldün
hu|Tesó, ha meglátja az üres tányért, te ... a szégyentől, komolyan.|meghalsz|meghalnál|meghaltál
MEDIA 5261 | meaning: the part you get when something is divided
E 42849 | B1 type 49 So, Neither, Nor | style slang | options 3 | SEL
en|Bro, the jogger took his share of pizza, and ... the dog walker, no cap.|so did|so was|so does
de|Bro, der Jogger hat sich seinen Anteil Pizza genommen, und die Hundeausführerin ..., ohne Witz.|auch|auch|auch
ua|Бро, бігун узяв свою частку піци, і жінка з собаками ..., без жартів.|теж|теж|теж
es|Bro, el corredor cogió su parte de pizza, y la paseadora de perros ..., en serio.|también|también|también
fr|Frérot, le joggeur a pris sa part de pizza, et la promeneuse de chiens ..., sans mentir.|aussi|aussi|aussi
tr|Kanka, koşucu pizzadan payını aldı, köpek gezdiren kadın ..., yemin ederim.|da|da|da
hu|Tesó, a kocogó elvette a pizzarészét, és a kutyasétáltató ..., komolyan.|is|is|is
E 42859 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|She had a friend ... the pizza into equal shares.|divide|to divide|divided
de|Sie ließ eine Freundin die Pizza in gleiche Stücke ...|teilen|zu teilen|geteilt
ua|Вона попросила друга ... піцу на рівні частини.|поділити|поділити|поділив
es|Ella hizo que un amigo ... la pizza en partes iguales.|dividiera|dividir|dividió
fr|Elle a laissé un ami ... la pizza en parts égales.|couper|de couper|coupé
tr|O pizzayı bir arkadaşına eşit dilimlere ...|böldürdü|bölmek|bölünmüş
hu|Ő egy barátjával ... a pizzát egyenlő részekre.|osztatta fel|felosztani|felosztott
MEDIA 5262 | meaning: not likely to change position or fall over
E 43455 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time she jumped back, the shelf that looked so stable ... off its bracket.|had fallen|has fallen|falls
de|Als sie zurücksprang, ... das Regal, das so stabil aussah, schon von der Halterung gefallen.|war|ist|fällt
ua|Поки вона відскочила назад, полиця, що виглядала такою стійкою, ... з кронштейна.|вже впала|впала|падає
es|Para cuando ella saltó hacia atrás, la estantería que parecía tan estable ... de su soporte.|se había caído|se ha caído|se cae
fr|Au moment où elle a reculé d'un bond, l'étagère qui avait l'air si stable ... de son support.|était tombée|est tombée|tombe
tr|O geriye sıçradığında, o kadar sağlam görünen raf desteğinden ...|düşmüştü|düştü|düşüyor
hu|Mire ő hátraugrott, a polc, amely olyan stabilnak tűnt, ... a tartójáról.|már leesett|leesett|leesik
MEDIA 5264 | meaning: to change the place something is in
E 42881 | B1 type 34 Present Perfect Simple or Continuos | style ironic | options 3 | SEL
en|She ... the sofa three times today, clearly a firm decision.|has shifted|has been shifting|is shifting
de|Sie hat das Sofa heute dreimal ..., eindeutig eine feste Entscheidung.|verschoben|herumgeschoben|am Verschieben
ua|Вона сьогодні ... диван тричі, явно тверде рішення.|пересунула|пересувала|пересуває
es|Ella ... el sofá tres veces hoy, claramente una decisión firme.|ha movido|ha estado moviendo|está moviendo
fr|Elle ... le canapé trois fois aujourd'hui, clairement une décision ferme.|a déplacé|a déplacé|déplace
tr|O bugün kanepenin yerini üç kez ..., belli ki kesin bir karar.|değiştirdi|değiştirip duruyor|değiştiriyor
hu|Ő ma háromszor ... a kanapét, egyértelműen határozott döntés.|tolta arrébb|tologatta|tolja arrébb
E 42886 | B2 type 65 All Present Tenses | style nerd | options 3 | SEL
en|Currently, the subject ... the coffee table onto the rug, a process requiring care.|is shifting|shifts|has shifted
de|Derzeit ... das Subjekt den Couchtisch auf den Teppich, ein Vorgang, der Sorgfalt erfordert.|schiebt|schiebt|hat geschoben
ua|Наразі суб'єкт ... журнальний столик на килим, процес, що вимагає обережності.|пересуває|пересуває|пересунув
es|Actualmente, el sujeto ... la mesa de centro sobre la alfombra, un proceso que requiere cuidado.|está moviendo|mueve|ha movido
fr|Actuellement, le sujet ... la table basse sur le tapis, un processus qui exige du soin.|est en train de déplacer|déplace|a déplacé
tr|Şu anda denek sehpayı halının üstüne ..., dikkat gerektiren bir süreç.|kaydırıyor|kaydırır|kaydırdı
hu|Jelenleg az alany ... a dohányzóasztalt a szőnyegre, ami gondosságot igénylő folyamat.|tolja|tolja|tolta
MEDIA 5268 | meaning: a long gun you hold against your shoulder
E 42341 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|She ... the rifle butt into her shoulder and fired at the targets.|pressed|was pressed|pressing
de|Sie ... den Gewehrkolben in ihre Schulter und schoss auf die Ziele.|drückte|wurde gedrückt|drückend
ua|Вона ... приклад гвинтівки до плеча і вистрілила по мішенях.|притиснула|була притиснута|притискаючи
es|Ella ... la culata del rifle contra el hombro y disparó a los blancos.|apoyó|fue apoyada|apoyando
fr|Elle ... la crosse du fusil contre son épaule et a tiré sur les cibles.|a calé|a été calée|calant
tr|O tüfeğin dipçiğini omzuna ... ve hedeflere ateş etti.|bastırdı|bastırıldı|bastırarak
hu|Ő a vállához ... a puskatust, és rálőtt a célokra.|szorította|szorítva lett|szorítva
E 42347 | B2 type 62 Articles advanced | style ironic | options 3 | SEL
en|She shot with her rifle live on ..., a slightly private moment.|TV|the TV|a TV
de|Sie schoss mit ihrem Gewehr live ..., ein leicht privater Moment.|im Fernsehen|im Fernseher|in einem Fernseher
ua|Вона стріляла з гвинтівки в прямому ефірі ..., трохи приватний момент.|по телевізору|по телевізору|по телевізору
es|Ella disparó con su rifle en directo en ..., un momento un pelín privado.|televisión|la televisión|una televisión
fr|Elle a tiré avec son fusil en direct à ..., un moment légèrement privé.|la télé|la télé|une télé
tr|O tüfeğiyle ... canlı yayında ateş etti, biraz özel bir an.|televizyonda|televizyonda|bir televizyonda
hu|Ő élőben lőtt a puskájával ..., egy kissé privát pillanat.|a tévében|a tévében|egy tévében
MEDIA 5269 | meaning: to obtain or acquire something by paying
E 41949 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By this evening, she ... a chocolate bar, a coat and a gift.|will have purchased|will purchase|will be purchasing
de|Bis heute Abend wird sie eine Tafel Schokolade, einen Mantel und ein Geschenk ...|gekauft haben|kaufen|am Kaufen sein
ua|До сьогоднішнього вечора вона ... шоколадку, пальто і подарунок.|купить|купить|купуватиме
es|Para esta noche, ella ... una tableta de chocolate, un abrigo y un regalo.|habrá comprado|comprará|estará comprando
fr|D'ici ce soir, elle ... une tablette de chocolat, un manteau et un cadeau.|aura acheté|achètera|sera en train d'acheter
tr|Bu akşama kadar o bir çikolata, bir mont ve bir hediye ...|almış olacak|alacak|alıyor olacak
hu|Ma estére ő ... egy tábla csokit, egy kabátot és egy ajándékot.|már megvesz|meg fog venni|vásárolni fog
MEDIA 5272 | meaning: a person who walks long distances in nature
E 40005 | B1 type 31 Past Continuous | style flirt | options 3 | SEL
en|Honestly, while you ... over the canyon, every hiker on the trail turned around.|were shouting|shouted|have shouted
de|Ehrlich, während du über den Canyon ..., hat sich jeder Wanderer auf dem Weg umgedreht.|riefst|riefst|gerufen hast
ua|Чесно, поки ти ... над каньйоном, кожен турист на стежці обернувся.|кричала|крикнула|крикнула
es|Sinceramente, mientras tú ... sobre el cañón, todos los excursionistas del sendero se dieron la vuelta.|gritabas|gritaste|has gritado
fr|Franchement, pendant que tu ... au-dessus du canyon, tous les randonneurs du sentier se sont retournés.|criais|as crié|as crié
tr|Açıkçası, sen kanyonun üzerinden ..., patikadaki her yürüyüşçü döndü.|bağırırken|bağırdın|bağırmışken
hu|Őszintén, miközben te ... a kanyon fölött, az ösvényen minden túrázó megfordult.|kiabáltál|felkiáltottál|kiabáltál
E 40013 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|At the moment, the three hikers ... their arms in the air above the canyon.|are raising|raise|have raised
de|Im Moment ... die drei Wanderer ihre Arme über dem Canyon in die Luft.|strecken|strecken|haben gestreckt
ua|Зараз троє туристів ... руки в повітря над каньйоном.|піднімають|піднімають|підняли
es|En este momento, los tres excursionistas ... los brazos sobre el cañón.|están levantando|levantan|han levantado
fr|En ce moment, les trois randonneurs ... les bras en l'air au-dessus du canyon.|lèvent|lèvent|ont levé
tr|Şu anda üç yürüyüşçü kanyonun üstünde kollarını havaya ...|kaldırıyor|kaldırır|kaldırdı
hu|Épp most a három túrázó ... a karját a levegőbe a kanyon fölött.|emeli|emeli|felemelte
MEDIA 5273 | meaning: a person who poses for a photographer
E 41053 | B1 type 40 2. Conditional | style slang | options 3 | SEL
en|Bro, if I walked like that model, I ... kinda iconic too.|would look|will look|look
de|Bro, wenn ich wie das Model laufen würde, ... ich auch ziemlich ikonisch aus.|sähe|werde|sehe
ua|Бро, якби я ходив як ця модель, я теж ... досить легендарно.|виглядав би|виглядатиму|виглядаю
es|Bro, si caminara como ese modelo, yo también ... bastante icónico.|me vería|me veré|me veo
fr|Frérot, si je marchais comme ce mannequin, je ... trop iconique aussi.|serais|serai|suis
tr|Kanka, o model gibi yürüsem ben de epey ikonik ...|görünürdüm|görüneceğim|görünüyorum
hu|Tesó, ha úgy járnék, mint az a modell, én is elég ikonikusan ...|néznék ki|fogok kinézni|nézek ki
E 41062 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|Flawless timing: the model ... his watch twice before he reached the end of the runway.|had checked|has checked|checks
de|Perfektes Timing: Das Model ... zweimal auf seine Uhr geschaut, bevor es das Ende des Laufstegs erreichte.|hatte|hat|schaut
ua|Бездоганний таймінг: модель ... годинник двічі, перш ніж дійшла до кінця подіуму.|перевірила|перевірила|перевіряє
es|Timing perfecto: el modelo ... su reloj dos veces antes de llegar al final de la pasarela.|había mirado|ha mirado|mira
fr|Timing parfait : le mannequin ... sa montre deux fois avant d'arriver au bout du podium.|avait regardé|a regardé|regarde
tr|Kusursuz zamanlama: model podyumun sonuna varmadan önce saatine iki kez ...|bakmıştı|baktı|bakıyor
hu|Tökéletes időzítés: a modell kétszer ... az óráját, mielőtt a kifutó végére ért.|nézte meg|megnézte|megnézi
MEDIA 5274 | meaning: completely wet
E 43225 | B1 type 48 Question tags | style chill | options 3 | SEL
en|He is soaked from head to toe, ...?|isn't he?|doesn't he?|wasn't he?
de|Er ist von Kopf bis Fuß klatschnass, ...?|nicht wahr|oder|war er nicht
ua|Він промок з голови до ніг, ...?|чи не так|хіба ні|чи не був
es|Él está empapado de pies a cabeza, ¿...?|verdad|no|no estaba
fr|Il est trempé de la tête aux pieds, ... ?|n'est-ce pas|non|n'était-il pas
tr|O tepeden tırnağa sırılsıklam, ...?|değil mi|değil mi|değil miydi
hu|Ő tetőtől talpig csuromvizes, ...?|nem igaz|ugye|nem volt az
E 43231 | B2 type 59 Causative HAVE/GET | style gossip | options 3 | SEL
en|Girl, apparently he had the shower ... so he could get soaked faster.|fixed|fix|to fix
de|Süße, anscheinend hat er die Dusche ... lassen, damit er schneller nass wird.|reparieren|reparieren|zu reparieren
ua|Подруго, кажуть, він попросив ... душ, щоб швидше промокнути.|полагодити|полагодити|полагодити
es|Tía, al parecer él mandó ... la ducha para poder empaparse más rápido.|arreglar|arreglar|arreglar
fr|Meuf, apparemment il a fait ... la douche pour pouvoir être trempé plus vite.|réparer|réparer|réparer
tr|Kızım, duyduğuma göre o daha hızlı ıslanabilmek için duşu ...|tamir ettirmiş|tamir etmiş|tamir etmeyi
hu|Csajszi, állítólag ő ... a zuhanyt, hogy gyorsabban bőrig ázhasson.|megjavíttatta|megjavította|megjavíttatni
MEDIA 5275 | meaning: only concerned with yourself, not with others
E 42742 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At this time tomorrow, the two selfish kids ... over the remote again.|will be fighting|will fight|fight
de|Morgen um diese Zeit ... die zwei egoistischen Kinder wieder um die Fernbedienung.|streiten sich|werden sich streiten|streiten sich
ua|Завтра в цей час двоє егоїстичних дітей знову ... за пульт.|битимуться|поб'ються|б'ються
es|Mañana a esta hora, los dos niños egoístas ... otra vez por el mando.|estarán peleando|pelearán|pelean
fr|Demain à la même heure, les deux enfants égoïstes ... encore pour la télécommande.|se disputeront|se disputeront|se disputent
tr|Yarın bu saatte iki bencil çocuk yine kumanda için ...|kavga ediyor olacak|kavga edecek|kavga ediyor
hu|Holnap ilyenkor a két önző gyerek megint ... a távirányítón.|fog veszekedni|veszekszik majd|veszekszik
MEDIA 5276 | meaning: a brother or sister
E 42974 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If one sibling takes the last cookie, the other ... very angry.|will be|would be|was
de|Wenn ein Geschwisterkind den letzten Keks nimmt, ... das andere sehr wütend.|wird|wäre|war
ua|Якщо один з братів чи сестер візьме останнє печиво, інший ... дуже злий.|буде|був би|був
es|Si un hermano se queda con la última galleta, el otro ... muy enfadado.|estará|estaría|estaba
fr|Si un frère ou une sœur prend le dernier cookie, l'autre ... très en colère.|sera|serait|était
tr|Kardeşlerden biri son kurabiyeyi alırsa, diğeri çok kızgın ...|olacak|olurdu|oldu
hu|Ha az egyik testvér elveszi az utolsó kekszet, a másik nagyon mérges ...|lesz|lenne|volt
E 42975 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|Each sibling wishes she ... the whole cookie for herself.|had|has|will have
de|Jedes Geschwisterkind wünscht sich, es ... den ganzen Keks für sich allein.|hätte|hat|wird haben
ua|Кожна з сестер хоче, щоб у неї ... ціле печиво для себе.|було|є|буде
es|Cada hermana desearía que ella ... la galleta entera para sí.|tuviera|tiene|tendrá
fr|Chaque sœur aimerait qu'elle ... le cookie entier pour elle toute seule.|ait|a|aura
tr|Her kardeş bütün kurabiyenin kendisinin ... diliyor.|olmasını|olduğunu|olacağını
hu|Minden testvér azt kívánja, bárcsak ... neki az egész keksz.|lenne|van|lesz
MEDIA 5279 | meaning: a long sheet of paper rolled up at the ends
E 42705 | B1 type 47 Gerund vs Infinitive | style gossip | options 3 | SEL
en|Guess what, he refused ... the giant scroll with a normal pen, apparently.|to sign|signing|sign
de|Rate mal, er hat sich anscheinend geweigert, die riesige Schriftrolle mit einem normalen Stift ...|zu unterschreiben|Unterschreiben|unterschreiben
ua|Уяви, він, кажуть, відмовився ... гігантський сувій звичайною ручкою.|підписати|підписування|підписати
es|Adivina qué: al parecer, él se negó a ... el pergamino gigante con un boli normal.|firmar|firmando|firmar
fr|Devine quoi, il a refusé ... le parchemin géant avec un stylo normal, apparemment.|de signer|signer|signe
tr|Bil bakalım, duyduğuma göre o dev parşömeni normal bir kalemle ... reddetmiş.|imzalamayı|imzalamayı|imzala
hu|Képzeld, ő állítólag nem volt hajlandó ... az óriási tekercset egy sima tollal.|aláírni|aláírást|aláír
E 42707 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, apparently he ... papers for hours before they brought out the scroll.|had been signing|has been signing|was signing
de|Hör zu, anscheinend ... er stundenlang Papiere, bevor sie die Schriftrolle brachten.|unterschrieb|unterschreibt|unterschrieb gerade
ua|Слухай, кажуть, він ... папери годинами, перш ніж винесли сувій.|підписував|підписує|підписував
es|Escucha, al parecer él ... papeles durante horas antes de que sacaran el pergamino.|había estado firmando|ha estado firmando|estaba firmando
fr|Écoute, apparemment il ... des papiers pendant des heures avant qu'ils sortent le parchemin.|avait signé|a signé|signait
tr|Dinle, duyduğuma göre parşömeni getirmeden önce o saatlerce evrak ...|imzalıyormuş|imzalıyor|imzalıyordu
hu|Figyelj, állítólag ő órákig ... papírokat, mielőtt kihozták a tekercset.|írt alá|ír alá|írt alá
MEDIA 5280 | meaning: a post with arms that point the way
E 43045 | B1 type 41 Passive | style ironic | options 3 | SEL
en|Clearly a masterpiece: this signpost ... by hand about a hundred years ago.|was painted|is painted|painted
de|Eindeutig ein Meisterwerk: Dieser Wegweiser ... vor etwa hundert Jahren von Hand bemalt.|wurde|wird|bemalte
ua|Явно шедевр: цей дороговказ ... вручну близько ста років тому.|був намальований|намальований|намалював
es|Claramente una obra maestra: esta señal ... a mano hace unos cien años.|fue pintada|es pintada|pintó
