MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
tr|Şu anda avuçları bu tamamen karanlık plajdaki tek ışığın üzerinde ...!|süzülüyor|süzülür|süzüldü
hu|Épp most a tenyere ... az egyetlen fény fölött ezen a teljesen sötét parton!|lebeg|lebeg|lebegett
MEDIA 4461 | meaning: to turn up or remove earth
E 38619 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|Worst beach day ever! He swears he will never dig a hole again, and ...|neither will his friends!|so will his friends!|neither do his friends!
de|Schlimmster Strandtag ever! Er schwört, dass er nie wieder ein Loch gräbt, und ...|seine Freunde auch nicht!|seine Freunde auch!|seine Freunde tun es auch nicht!
ua|Найгірший день на пляжі! Він клянеться, що більше ніколи не копатиме яму, і ...|його друзі теж ні!|його друзі теж!|його друзі теж ні!
es|¡El peor día de playa de la historia! Él jura que nunca volverá a cavar un hoyo, y ...|¡sus amigos tampoco!|¡sus amigos también!|¡sus amigos tampoco!
fr|Pire journée de plage de tous les temps ! Il jure qu'il ne creusera plus jamais de trou, et ...|ses potes non plus !|ses potes aussi !|ses potes non plus !
tr|Gelmiş geçmiş en kötü plaj günü! O bir daha asla çukur kazmayacağına yemin ediyor ve ...|arkadaşları da kazmayacak!|arkadaşları da kazacak!|arkadaşları da kazmıyor!
hu|Minden idők legrosszabb strandnapja! Ő esküszik, hogy soha többé nem ás gödröt, és ...|a barátai sem!|a barátai is!|a barátai sem!
E 38620 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|Disaster! My friends ... a huge hole, and now I am completely stuck!|have dug|are digging|dig
de|Katastrophe! Meine Freunde ... ein riesiges Loch gegraben, und jetzt stecke ich total fest!|haben|graben|graben
ua|Катастрофа! Мої друзі ... величезну яму, і тепер я зовсім застряг!|викопали|копають|копають
es|¡Desastre! Mis amigos ... un hoyo enorme, ¡y ahora yo estoy completamente atascado!|han cavado|están cavando|cavan
fr|Catastrophe ! Mes potes ... un énorme trou, et maintenant je suis complètement coincé !|ont creusé|sont en train de creuser|creusent
tr|Felaket! Arkadaşlarım kocaman bir çukur ... ve şimdi ben tamamen sıkıştım!|kazdı|kazıyor|kazar
hu|Katasztrófa! A barátaim ... egy hatalmas gödröt, és most én teljesen beszorultam!|ástak|ásnak|ásnak
MEDIA 4462 | meaning: a ceremony where a dead person is buried
E 39655 | B1 type 39 1. Conditional | style clueless | options 3 | SEL
en|If the funeral ends, it ... over, because that is what ending means.|will be|would be|was
de|Wenn die Beerdigung endet, ... sie vorbei, denn genau das bedeutet enden.|ist|wäre|war
ua|Якщо похорон закінчиться, він ... позаду, бо саме це й означає закінчитися.|буде|був би|був
es|Si el funeral termina, ... terminado, porque eso es lo que significa terminar.|estará|estaría|estaba
fr|Si l'enterrement se termine, il ... fini, parce que c'est ça que veut dire se terminer.|sera|serait|était
tr|Cenaze biterse o ..., çünkü bitmek tam olarak bu demek.|bitmiş olur|bitmiş olurdu|bitmişti
hu|Ha a temetés véget ér, akkor ő ... vége, mert pont ezt jelenti véget érni.|lesz|lenne|volt
MEDIA 4466 | meaning: on a ship, train, plane or other vehicle
E 36538 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|Since this morning, he ... aboard one bus after another.|has been getting|is getting|gets
de|Seit heute Morgen ... er in einen Bus nach dem anderen ein.|steigt|steigt gerade|steigt
ua|Від ранку він ... в один автобус за іншим.|сідає|сідає|сідає
es|Desde esta mañana, él ... a un autobús tras otro.|ha estado subiendo|está subiendo|sube
fr|Depuis ce matin, il ... dans un bus après l'autre.|monte|est en train de monter|monte
tr|Bu sabahtan beri o bir otobüsten ötekine ...|biniyor|biniyor|biner
hu|Ő reggel óta ... egyik buszra a másik után.|száll fel|éppen felszáll|felszáll
E 36542 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|He got aboard with his bag, so he ... found some space in the crowded minibus.|must have|should have|can't have
de|Er stieg mit seiner Tasche ein, also ... er im vollen Minibus etwas Platz gefunden haben.|muss|sollte|kann nicht
ua|Він сів із сумкою, тож у переповненому мікроавтобусі він ... знайти трохи місця.|мабуть, зумів|мав|не міг
es|Él subió con su bolsa, así que ... encontrado algo de sitio en el minibús abarrotado.|debió de haber|debería haber|no puede haber
fr|Il est monté avec son sac, donc il ... trouver un peu de place dans le minibus bondé.|a dû|aurait dû|n'a pas pu
tr|O çantasıyla bindi, yani kalabalık minibüste biraz yer ...|bulmuş olmalı|bulmalıydı|bulmuş olamaz
hu|Ő a táskájával szállt fel, szóval a zsúfolt kisbuszban ... egy kis helyet.|biztosan talált|kellett volna találnia|nem találhatott
MEDIA 4468 | meaning: a person employed to carry luggage
E 41738 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The porter is carrying all of those rugs by himself, ...?|isn't he?|doesn't he?|wasn't he?
de|Der Träger trägt all diese Teppiche ganz allein, ...?|oder|oder|oder
ua|Носій несе всі ці килими сам, ...?|правда|правда|правда
  ~soft: length ratio 0.60
es|El mozo está cargando todas esas alfombras él solo, ¿...?|verdad|verdad|verdad
fr|Le porteur transporte tous ces tapis tout seul, ... ?|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|Hamal bütün o halıları tek başına taşıyor, ...?|değil mi|değil mi|değil mi
hu|A hordár egyedül viszi azt a sok szőnyeget, ...?|ugye|ugye|ugye
E 41740 | B2 type 50 Past Perfect Continuous | style nerd | options 3 | SEL
en|Before the camera observed him, the porter ... goods through the market all morning.|had been carrying|has been carrying|is carrying
de|Bevor die Kamera ihn beobachtete, ... der Träger den ganzen Vormittag Waren über den Markt getragen.|hatte|hat|trägt
ua|Перш ніж камера його зафіксувала, носій увесь ранок ... товари через ринок.|носив|носить|несе
es|Antes de que la cámara lo observara, el mozo ... mercancías por el mercado toda la mañana.|había estado llevando|ha estado llevando|está llevando
fr|Avant que la caméra ne l'observe, le porteur ... des marchandises à travers le marché toute la matinée.|transportait|transporte|est en train de transporter
tr|Kamera onu gözlemlemeden önce hamal bütün sabah pazarda mal ...|taşıyordu|taşıyor|taşıyor
hu|Mielőtt a kamera megfigyelte volna, a hordár egész délelőtt ... az árut a piacon át.|hordta|hordja|viszi
MEDIA 4469 | meaning: a piece of furniture with doors and shelves
E 37467 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|His grandmother ... keep her jars in this kitchen cabinet.|used to|would|was used to
de|Seine Oma ... ihre Gläser in diesem Küchenschrank aufzubewahren.|pflegte|pflegte|war gewohnt,
ua|Його бабуся ... тримати свої банки в цій кухонній шафці.|мала звичку|мала звичку|звикла
es|Su abuela ... guardar sus tarros en este armario de la cocina.|solía|solía|estaba acostumbrada a
fr|Sa grand-mère ... ranger ses bocaux dans ce placard de cuisine.|avait l'habitude de|avait l'habitude de|était habituée à
tr|Büyükannesi kavanozlarını bu mutfak dolabında ...|tutardı|tutardı|tutmaya alışkındı
hu|A nagymamája ebben a konyhaszekrényben ... az üvegeit.|tartotta|tartotta|szokott volt tartani
MEDIA 4470 | meaning: to keep something for future use
E 43633 | B1 type 41 Passive | style dramatic | options 3 | SEL
en|Every single plate ... in that cupboard, and the counter was completely empty!|was stored|stored|is storing
de|Jeder einzelne Teller ... in diesem Schrank verstaut, und die Arbeitsplatte war komplett leer!|wurde|verstaute|verstaut
ua|Кожну тарілку ... в ту шафку, і стільниця була абсолютно порожня!|склали|склала|складає
es|¡Cada plato ... en ese armario, y la encimera quedó completamente vacía!|fue guardado|guardó|está guardando
fr|Chaque assiette ... dans ce placard, et le plan de travail était complètement vide !|a été rangée|a rangé|est en train de ranger
tr|Her bir tabak o dolaba ... ve tezgâh tamamen boştu!|kaldırıldı|kaldırdı|kaldırıyor
hu|Minden egyes tányért ... abba a szekrénybe, és a pult teljesen üres lett!|elpakoltak|elpakolt|elpakol
MEDIA 4471 | meaning: how tall something is, its vertical size
E 40002 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If a cable car rises to a great height, the air ... colder.|gets|got|would get
de|Wenn eine Seilbahn in große Höhe steigt, ... die Luft kälter.|wird|wurde|würde
ua|Коли канатна дорога піднімається на велику висоту, повітря ... холоднішим.|стає|ставало|стало б
es|Si un teleférico sube a gran altura, el aire se ... más frío.|vuelve|volvió|volvería
fr|Si un téléphérique monte à une grande hauteur, l'air ... plus froid.|devient|devenait|deviendrait
tr|Bir teleferik büyük bir yüksekliğe çıkarsa hava ...|soğur|soğudu|soğurdu
hu|Ha egy felvonó nagy magasságba emelkedik, a levegő ... hidegebb.|lesz|lett|lenne
MEDIA 4472 | meaning: height above sea level
E 36702 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the cable car climbs any higher, the altitude ... his ears pop.|will make|would make|made
de|Wenn die Seilbahn noch höher fährt, ... ihm die Höhe die Ohren zu.|macht|machte|machte
ua|Якщо канатна дорога підніметься ще вище, від висоти йому ... вуха.|закладе|заклало б|заклало
es|Si el teleférico sube más, la altitud le ... los oídos.|taponará|taponaría|taponó
fr|Si le téléphérique monte encore plus haut, l'altitude lui ... les oreilles.|bouchera|boucherait|a bouché
tr|Teleferik biraz daha yükselirse, rakım onun kulaklarını ...|tıkayacak|tıkardı|tıkadı
hu|Ha a felvonó még feljebb megy, a magasság miatt ... a füle.|be fog dugulni|bedugulna|bedugult
MEDIA 4473 | meaning: to give a sudden loud cry
E 44900 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The little character ... loudly when the cactus spines pricked his hand.|yelled|was yelled|yelling
de|Die kleine Figur ... laut, als ihr die Kaktusstacheln in die Hand stachen.|schrie|wurde geschrien|schreiend
ua|Маленький персонаж голосно ..., коли колючки кактуса вкололи йому руку.|закричав|був закричаний|кричачи
es|El pequeño personaje ... fuerte cuando las espinas del cactus le pincharon la mano.|gritó|fue gritado|gritando
fr|Le petit personnage ... fort quand les épines du cactus lui ont piqué la main.|a crié|a été crié|criant
tr|Kaktüs dikenleri eline battığında küçük karakter yüksek sesle ...|bağırdı|bağırıldı|bağırarak
hu|A kis figura hangosan ..., amikor a kaktusz tüskéi megszúrták a kezét.|felkiáltott|fel lett kiáltva|kiabálva
MEDIA 4475 | meaning: to show something, make it visible
E 38666 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The barista decided ... the sponge cake under a glass dome.|to display|displaying|display
de|Der Barista beschloss, den Biskuitkuchen unter einer Glasglocke ...|auszustellen|ausstellend|ausstellen
ua|Бариста вирішив ... бісквітний торт під скляним ковпаком.|виставити|виставляння|виставити
es|El barista decidió ... el bizcocho bajo una campana de cristal.|exhibir|exhibiendo|exhibir
fr|Le barista a décidé d'... le gâteau éponge sous une cloche en verre.|exposer|exposant|exposer
tr|Barista pandispanyayı cam bir fanusun altında ... karar verdi.|sergilemeye|sergileyerek|sergile
hu|A barista úgy döntött, hogy a piskótatortát egy üvegbura alatt ...|kiállítja|kiállítva|kiállít
MEDIA 4480 | meaning: a line that bends, changing direction
E 38395 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The dune makes one long curve across the picture, ...?|doesn't it|isn't it|didn't it
de|Die Düne bildet eine lange Kurve quer durch das Bild, ...?|oder|oder|oder
ua|Дюна утворює один довгий вигин через усю картину, ...?|правда|правда|правда
es|La duna forma una larga curva a lo largo de la imagen, ¿...?|verdad|verdad|verdad
fr|La dune dessine une longue courbe à travers l'image, ... ?|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|Kum tepesi resim boyunca uzun bir kıvrım çiziyor, ...?|değil mi|değil mi|değil mi
hu|A dűne egyetlen hosszú ívet rajzol a képen át, ...?|ugye|ugye|ugye
MEDIA 4482 | meaning: to make a film or photograph of something
E 42917 | B1 type 31 Past Continuous | style nerd | options 3 | SEL
en|The subject ... the cobbled street with her DSLR when she observed the rooftop terrace.|was shooting|shot|has shot
de|Die Probandin ... gerade die Kopfsteinpflasterstraße mit ihrer Spiegelreflexkamera, als sie die Dachterrasse bemerkte.|fotografierte|fotografierte|hat fotografiert
ua|Об'єкт спостереження ... бруківку своєю дзеркалкою, коли помітила терасу на даху.|фотографувала|сфотографувала|сфотографувала
es|La sujeto ... la calle empedrada con su réflex cuando observó la terraza de la azotea.|estaba fotografiando|fotografió|ha fotografiado
fr|Le sujet ... la rue pavée avec son reflex quand elle a remarqué la terrasse sur le toit.|photographiait|a photographié|a photographié
tr|Denek çatı terasını fark ettiğinde Arnavut kaldırımlı sokağı DSLR'ıyla ...|fotoğraflıyordu|fotoğrafladı|fotoğraflamış
hu|Az alany éppen ... a macskaköves utcát a tükörreflexes gépével, amikor észrevette a tetőteraszt.|fotózta|lefotózta|lefotózta
E 42927 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|When she climbed up to the rooftop, she ... photos for three hours already.|had been shooting|was shooting|has been shooting
de|Als sie auf das Dach kletterte, ... sie schon drei Stunden lang fotografiert.|hatte|war|hat
ua|Коли вона вилізла на дах, вона вже три години ... фото.|робила|робила|робить
es|Cuando subió a la azotea, ella ya ... fotos durante tres horas.|llevaba haciendo|estaba haciendo|ha estado haciendo
fr|Quand elle est montée sur le toit, elle ... des photos depuis déjà trois heures.|prenait|prenait|prend
tr|Çatıya tırmandığında o zaten üç saattir fotoğraf ...|çekiyordu|çekiyordu|çekiyor
hu|Amikor felmászott a tetőre, ő már három órája ... a fotókat.|lőtte|lőtte|lövi
MEDIA 4483 | meaning: a piece of a tree trunk with the branches cut off
E 40700 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If she gets back to the log cabin soon, she ... warm by the fire tonight.|will be|would be|was
de|Wenn sie bald zur Blockhütte zurückkommt, ... sie heute Abend warm am Feuer.|sitzt|säße|saß
ua|Якщо вона скоро повернеться до зрубу, сьогодні ввечері вона ... в теплі біля вогню.|буде|була б|була
es|Si ella vuelve pronto a la cabaña de troncos, esta noche ... calentita junto al fuego.|estará|estaría|estaba
fr|Si elle rentre bientôt à la cabane en rondins, elle ... au chaud près du feu ce soir.|sera|serait|était
tr|O yakında kütük kulübeye dönerse, bu akşam ateşin başında sıcacık ...|olacak|olurdu|oldu
hu|Ha ő hamarosan visszaér a gerendaházba, ma este a tűz mellett ... melegben.|lesz|lenne|volt
MEDIA 4484 | meaning: the first light of day
E 38420 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The man is out on the lake at dawn, and ...|so is the moose.|so does the moose.|so was the moose.
de|Der Mann ist im Morgengrauen draußen auf dem See, und ...|der Elch auch.|der Elch auch.|der Elch war es auch.
ua|Чоловік на світанку на озері, і ...|лось теж.|лось теж.|лось теж був.
es|El hombre está en el lago al amanecer, y ...|el alce también.|el alce también.|el alce también estaba.
fr|L'homme est sur le lac à l'aube, et ...|l'élan aussi.|l'élan aussi.|l'élan y était aussi.
tr|Adam şafakta gölde ve ...|geyik de.|geyik de.|geyik de oradaydı.
  ~soft: length ratio 0.55
hu|A férfi hajnalban kint van a tavon, és ...|a jávorszarvas is.|a jávorszarvas is.|a jávorszarvas is ott volt.
MEDIA 4488 | meaning: an official piece of writing with information
E 38701 | B1 type 38 0 Conditional | style dramatic | options 3 | SEL
en|If a document ... one mistake, he stamps it with a furious red X!|has|had|will have
de|Wenn ein Dokument einen Fehler ..., stempelt er es mit einem wütenden roten X ab!|hat|hatte|haben wird
ua|Якщо документ ... хоч одну помилку, він штампує на ньому люте червоне X!|має|мав|матиме
es|¡Si un documento ... un error, él lo sella con una X roja furiosa!|tiene|tenía|tendrá
fr|Si un document ... une seule erreur, il le tamponne d'un X rouge furieux !|contient|contenait|contiendra
tr|Bir belgede tek bir hata ..., o belgeye öfkeyle kırmızı bir X basıyor!|varsa|vardıysa|olacaksa
hu|Ha egy dokumentumban ... egy hiba, ő dühösen piros X-et pecsétel rá!|van|volt|lesz
E 38704 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, he ... that document so hard the papers went flying, fr.|stamped|had stamped|was stamping
de|Bro, er ... das Dokument so hart ab, dass die Papiere durch die Luft flogen, echt jetzt.|stempelte|stempelte|stempelte gerade
ua|Бро, він так сильно ... той документ, що папери розлетілися, чесно.|проштампував|проштампував|штампував
es|Bro, él ... ese documento tan fuerte que los papeles salieron volando, en serio.|selló|había sellado|estaba sellando
fr|Frère, il ... ce document tellement fort que les papiers se sont envolés, sérieux.|a tamponné|avait tamponné|tamponnait
tr|Kanka, o o belgeyi öyle sert ... ki kâğıtlar uçuştu, cidden.|damgaladı|damgalamıştı|damgalıyordu
hu|Tesó, ő olyan erősen ... le azt a dokumentumot, hogy a papírok szétrepültek, komolyan.|pecsételte|pecsételte|pecsételte éppen
MEDIA 4489 | meaning: a soft substance from plant, animal or mineral
E 44671 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|The candle has burned for hours, so this puddle on the table ... be melted wax.|must|can't|should
de|Die Kerze brennt schon seit Stunden, also ... diese Pfütze auf dem Tisch geschmolzenes Wachs sein.|muss|kann nicht|sollte
ua|Свічка горить уже кілька годин, тож ця калюжка на столі ... бути розтопленим воском.|мусить|не може|мала б
es|La vela lleva horas encendida, así que este charco de la mesa ... ser cera derretida.|debe de|no puede|debería
fr|La bougie brûle depuis des heures, donc cette flaque sur la table ... être de la cire fondue.|doit|ne peut pas|devrait
tr|Mum saatlerdir yanıyor, yani masadaki bu birikinti erimiş mum ...|olmalı|olamaz|olması gerekir
hu|A gyertya már órák óta ég, szóval ez a tócsa az asztalon ... olvadt viasz.|biztosan|nem lehet|elvileg
MEDIA 4492 | meaning: making a strong impression
E 40218 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the man stopped to look back, he ... the impressive golden dome behind him.|would see|will see|saw
de|Wenn der Mann stehen bliebe und sich umdrehte, ... er die beeindruckende goldene Kuppel hinter sich.|sähe|sieht|sah
ua|Якби чоловік зупинився й озирнувся, він ... позаду себе вражаючий золотий купол.|побачив би|побачить|побачив
es|Si el hombre se detuviera a mirar atrás, él ... la impresionante cúpula dorada detrás de él.|vería|verá|vio
fr|Si l'homme s'arrêtait pour regarder derrière lui, il ... l'impressionnant dôme doré.|verrait|verra|a vu
tr|Adam durup arkasına baksa, o arkasındaki etkileyici altın kubbeyi ...|görürdü|görecek|gördü
hu|Ha a férfi megállna visszanézni, ő ... maga mögött a lenyűgöző aranykupolát.|látná|látni fogja|látta
MEDIA 4493 | meaning: to make a strenuous effort
E 43721 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The old seaman ... is struggling with the wheel has sailed through many storms.|who|which|whose
de|Der alte Seemann, ... mit dem Steuerrad kämpft, hat schon viele Stürme durchsegelt.|der|das|dessen
ua|Старий моряк, ... бореться зі штурвалом, пройшов крізь багато штормів.|який|яке|чий
es|El viejo marinero ... lucha con el timón ha navegado a través de muchas tormentas.|que|el cual|cuyo
fr|Le vieux marin ... lutte avec la barre a traversé de nombreuses tempêtes.|qui|lequel|dont
tr|Dümenle ... yaşlı denizci birçok fırtınadan geçti.|boğuşan|boğuşan|boğuşanın
hu|Az öreg tengerész, ... a kormánykerékkel küzd, már sok viharon átvitorlázott.|aki|ami|akinek
MEDIA 4496 | meaning: to put something in a certain place
E 40524 | B1 type 33 Past Simple or Continuos | style ironic | options 3 | SEL
en|He ... the rug flat in one push, then lay down. Exhausting work, obviously.|laid|was laying|has laid
de|Er ... den Teppich mit einem Schubs flach aus und legte sich dann hin. Anstrengende Arbeit, offensichtlich.|rollte|rollte gerade|rollt
ua|Він одним поштовхом ... килим, а потім ліг. Виснажлива робота, очевидно.|розстелив|розстеляв|розстелив
es|Él ... la alfombra de un solo empujón y luego se tumbó. Un trabajo agotador, obviamente.|extendió|estaba extendiendo|ha extendido
fr|Il ... le tapis d'une seule poussée, puis s'est allongé. Travail épuisant, évidemment.|a étalé|étalait|a étalé
tr|O halıyı tek itişte dümdüz ..., sonra uzandı. Yorucu bir iş, belli ki.|serdi|seriyordu|sermiş
hu|Ő egyetlen lökéssel ... a szőnyeget, aztán lefeküdt. Kimerítő munka, nyilván.|kiterítette|éppen terítette ki|kiterítette
E 40525 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|Instead of having the new rug ... by a shop, he unrolled it himself.|laid|lay|laying
de|Statt den neuen Teppich von einem Geschäft ... zu lassen, rollte er ihn selbst aus.|verlegen|verlegen|verlegend
ua|Замість того щоб дати магазину ... новий килим, він сам його розгорнув.|постелити|постелити|стелення
es|En vez de mandar ... la alfombra nueva a una tienda, él mismo la desenrolló.|colocar|colocar|colocando
fr|Au lieu de faire ... le nouveau tapis par un magasin, il l'a déroulé lui-même.|poser|poser|posant
tr|Yeni halıyı bir mağazaya ... yerine, o kendisi açtı.|serdirmek|sermek|sererek
hu|Ahelyett, hogy egy bolttal ... volna az új szőnyeget, ő maga terítette ki.|leteríttette|leterítette|leterítve
MEDIA 4498 | meaning: to mark with your signature
E 43013 | B1 type 46 Used to, Would | style dramatic | options 3 | SEL
en|Back in primary school, they ... sign every cast too, and absolutely nothing has changed!|would|used|were used to
de|Schon in der Grundschule ... sie jeden Gips zu unterschreiben, und absolut nichts hat sich geändert!|pflegten|pflegten|waren gewohnt,
ua|Ще в початковій школі вони ... розписуватися на кожному гіпсі, і абсолютно нічого не змінилося!|мали звичку|мали звичку|звикли
es|¡Ya en primaria ellos ... firmar todas las escayolas, y no ha cambiado absolutamente nada!|solían|solían|estaban acostumbrados a
fr|Déjà à l'école primaire, ils ... signer chaque plâtre, et absolument rien n'a changé !|avaient l'habitude de|avaient l'habitude de|étaient habitués à
tr|Daha ilkokuldayken onlar her alçıyı ... ve kesinlikle hiçbir şey değişmedi!|imzalardı|imzalardı|imzalamaya alışkındı
hu|Már az általános iskolában is ők ... minden gipszet, és abszolút semmi sem változott!|aláírták|aláírták|hozzá voltak szokva aláírni
E 43017 | B2 type 50 Past Perfect Continuous | style gossip | options 3 | SEL
en|Bestie, I heard they ... his cast for an hour before the teacher even noticed.|had been signing|have been signing|were signing
de|Bestie, ich hab gehört, sie ... eine Stunde lang auf seinem Gips unterschrieben, bevor der Lehrer es überhaupt gemerkt hat.|hatten|haben|waren
ua|Подруго, я чула, що вони ... на його гіпсі цілу годину, поки вчитель узагалі помітив.|розписувалися|розписуються|розписувалися
es|Amiga, yo oí que ellos ... su escayola durante una hora antes de que el profe se diera cuenta.|habían estado firmando|han estado firmando|estaban firmando
fr|Ma belle, j'ai entendu dire qu'ils ... son plâtre depuis une heure avant que le prof remarque quoi que ce soit.|signaient|signent|signaient
tr|Kanka, ben duydum ki öğretmen fark edene kadar onlar bir saat boyunca onun alçısını ...|imzalıyorlarmış|imzalıyorlar|imzalıyorlardı
hu|Csajszi, én úgy hallottam, hogy ők egy órán át ... a gipszét, mielőtt a tanár egyáltalán észrevette.|írták alá|írják alá|írták alá
MEDIA 4502 | meaning: the upper surface of a room, overhead
E 37664 | B1 type 46 Used to, Would | style ironic | options 3 | SEL
en|This bedroom ceiling ... be his favourite TV. Riveting.|used to|would|was used to
de|Diese Schlafzimmerdecke ... früher sein Lieblingsfernseher. Fesselnd.|war|war|war gewöhnt,
ua|Ця стеля в спальні ... його улюбленим телевізором. Захопливо.|колись була|колись була|звикла бути
es|El techo de este dormitorio ... ser su tele favorita. Apasionante.|solía|solía|estaba acostumbrado a
fr|Ce plafond de chambre ... sa télé préférée. Passionnant.|était autrefois|était autrefois|avait l'habitude d'être
tr|Bu yatak odası tavanı ... onun en sevdiği televizyondu. Sürükleyici.|eskiden|eskiden|alışkanlıkla
hu|Ez a hálószobai plafon ... a kedvenc tévéje. Lebilincselő.|volt régen|volt régen|volt hozzászokva, hogy legyen
E 37667 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the end of the tour, he ... every figure on the painted ceiling.|will have seen|will see|will be seeing
de|Bis zum Ende der Führung hat er jede Figur an der bemalten Decke ...|gesehen|gesehen|sehen
ua|До кінця екскурсії він ... кожну фігуру на розписаній стелі.|побачить|побачить|бачитиме
es|Para el final de la visita, él ... cada figura del techo pintado.|habrá visto|verá|estará viendo
fr|D'ici la fin de la visite, il ... chaque personnage du plafond peint.|aura vu|verra|sera en train de voir
tr|Turun sonuna kadar o boyalı tavandaki her figürü ...|görmüş olacak|görecek|görüyor olacak
hu|A túra végére ő ... a festett mennyezet minden alakját.|látni fogja|látni fogja|éppen nézni fogja
MEDIA 4505 | meaning: toward the back or rear
E 36962 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The boy ... on his chair for ages before it tipped over backwards.|had been rocking|has been rocking|was rocking
de|Der Junge ... ewig auf seinem Stuhl geschaukelt, bevor er nach hinten umkippte.|hatte|hat|war
ua|Хлопець ... на стільці цілу вічність, поки той не перекинувся назад.|гойдався|гойдається|гойдався
es|El chico ... en su silla durante siglos antes de que se volcara hacia atrás.|se había estado balanceando|se ha estado balanceando|se estaba balanceando
fr|Le garçon ... sur sa chaise depuis une éternité avant qu'elle bascule en arrière.|se balançait|se balance|se balançait
tr|Çocuk sandalye geriye doğru devrilmeden önce uzun süre sandalyesinde ...|sallanıyordu|sallanıyor|sallanıyordu
hu|A fiú egy örökkévalóságig ... a székén, mielőtt az hátrabillent.|hintázott|hintázik|hintázott
MEDIA 4506 | meaning: a relaxed state with no pain
E 37890 | B2 type 53 3. Conditional | style slang | options 3 | SEL
en|Bro, if that dude hadn't dropped into the armchair, he ... that much comfort, fr.|wouldn't have felt|won't feel|didn't feel
de|Bro, wenn der Typ sich nicht in den Sessel geworfen hätte, ... er nicht so viel Gemütlichkeit gespürt, echt jetzt.|hätte|wird|hat
ua|Бро, якби той чувак не плюхнувся в крісло, він ... такого комфорту, чесно.|не відчув би|не відчує|не відчув
es|Bro, si ese tío no se hubiera tirado en el sillón, él ... tanta comodidad, en serio.|no habría sentido|no sentirá|no sintió
fr|Frère, si ce mec ne s'était pas affalé dans le fauteuil, il ... autant de confort, sérieux.|n'aurait pas ressenti|ne ressentira pas|n'a pas ressenti
tr|Kanka, o adam koltuğa kendini atmasaydı, o kadar rahatlık ..., cidden.|hissetmezdi|hissetmeyecek|hissetmedi
hu|Tesó, ha az a srác nem huppan bele a fotelbe, ő ... ennyire kényelmesen magát, komolyan.|nem érezte volna|nem fogja érezni|nem érezte
MEDIA 4507 | meaning: a label attached to something, showing its owner
E 43911 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The agent told the passenger that she ... a second tag to his suitcase.|had tied|has tied|ties
de|Die Mitarbeiterin sagte dem Passagier, dass sie einen zweiten Anhänger an seinen Koffer ...|gebunden hatte|gebunden hat|bindet
ua|Працівниця сказала пасажирові, що вона ... другу бирку до його валізи.|прив'язала|прив'язала|прив'язує
es|La agente le dijo al pasajero que ella ... una segunda etiqueta a su maleta.|había atado|ha atado|ata
fr|L'agente a dit au passager qu'elle ... une deuxième étiquette à sa valise.|avait attaché|a attaché|attache
tr|Görevli, yolcuya bavuluna ikinci bir etiket ... söyledi.|bağladığını|bağladığını|bağladığını
hu|Az ügyintéző azt mondta az utasnak, hogy ő ... egy második címkét a bőröndjére.|kötött|kötött|köt
MEDIA 4508 | meaning: to fill or place a load on something
E 40661 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The man ... his suitcases onto the belt while he held his passport in his mouth.|loaded|was loaded|loading
de|Der Mann ... seine Koffer aufs Band, während er seinen Pass im Mund hielt.|lud|wurde geladen|ladend
ua|Чоловік ... валізи на стрічку, поки тримав паспорт у зубах.|поклав|був покладений|кладучи
es|El hombre ... sus maletas en la cinta mientras sujetaba el pasaporte con la boca.|cargó|fue cargado|cargando
fr|L'homme ... ses valises sur le tapis pendant qu'il tenait son passeport dans la bouche.|a chargé|a été chargé|chargeant
tr|Adam pasaportunu ağzında tutarken bavullarını banda ...|yükledi|yüklendi|yükleyerek
