MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
es|Amiga, yo oí que ... de pie al sol diez minutos antes de que se le pusieran pegajosas las manos.|había estado|ha estado|estaba
fr|Bestie, j'ai entendu qu'il ... au soleil dix minutes avant que ses mains deviennent collantes.|était resté|est resté|était
tr|Kanka, ben duydum ki elleri yapış yapış olmadan önce güneşte on dakika ...|durmuştu|duruyor|duruyordu
hu|Csajszi, én úgy hallottam, hogy ... tíz percig a napon, mielőtt ragacsos lett a keze.|állt|áll|állt
MEDIA 5077 | meaning: to bring knowledge back from your memory
E 42148 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Dude, he ... flashcards for like two hours, tryna recall every answer.|has been flipping|is flipping|flips
de|Alter, er ... seit so zwei Stunden Karteikarten um und versucht, sich an jede Antwort zu erinnern.|dreht|dreht|dreht
ua|Чувак, він ... картки вже десь дві години, намагаючись згадати кожну відповідь.|гортає|гортає|гортає
es|Tío, él ... tarjetas como dos horas, intentando recordar cada respuesta.|lleva pasando|está pasando|pasa
fr|Mec, il ... des flashcards depuis genre deux heures pour essayer de se rappeler chaque réponse.|retourne|retourne|retourne
tr|Kanka, o yaklaşık iki saattir kartları ..., her cevabı hatırlamaya çalışıyor.|çeviriyor|çeviriyor|çevirir
hu|Tesó, ő már vagy két órája ... a kártyákat, hogy minden választ felidézzen.|forgatja|forgatja|forgatja
E 42156 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, apparently he ... every card before he punched the air.|had recalled|was recalling|has recalled
de|Hör zu, angeblich ... er sich an jede Karte erinnert, bevor er die Faust in die Luft stieß.|hatte|erinnerte|hat
ua|Слухай, кажуть, він ... кожну картку, перш ніж вдарив кулаком у повітря.|згадав|згадував|згадав
es|Escucha, al parecer él ... cada tarjeta antes de dar un puñetazo al aire.|había recordado|estaba recordando|ha recordado
fr|Écoute, apparemment il ... chaque carte avant de donner un coup de poing en l'air.|s'était rappelé|se rappelait|s'est rappelé
tr|Dinle, anlaşılan o, havaya yumruk atmadan önce her kartı ...|hatırlamıştı|hatırlıyordu|hatırladı
hu|Figyelj, állítólag ő ... minden kártyát, mielőtt a levegőbe bokszolt.|felidézte|idézte fel éppen|felidézte
MEDIA 5078 | meaning: meat that comes from a pig
E 41714 | B1 type 33 Past Simple or Continuos | style nerd | options 3 | SEL
en|The process was observed while the cook ... thin slices of pork onto the griddle.|was shaving|shaved|has shaved
de|Der Vorgang wurde beobachtet, während der Koch dünne Schweinefleischscheiben auf die Grillplatte ...|hobelte|hobelte|hat gehobelt
ua|Процес спостерігали, коли кухар ... тонкі скибочки свинини на плиту.|зрізав|зрізав|зрізав
es|El proceso se observó mientras el cocinero ... finas lonchas de cerdo sobre la plancha.|estaba cortando|cortó|ha cortado
fr|Le processus a été observé pendant que le cuisinier ... de fines tranches de porc sur la plaque.|découpait|a découpé|a découpé
tr|Süreç, aşçı ızgaraya ince domuz eti dilimleri ... gözlemlendi.|keserken|kestiğinde|kesmişken
hu|A folyamatot akkor figyelték meg, amikor a szakács vékony sertéshússzeleteket ... a sütőlapra.|vágott|vágott|vágott
E 41716 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the cook hadn't added salsa, the pork tacos ... so good.|wouldn't have looked|won't look|didn't look
de|Hätte der Koch keine Salsa dazugegeben, ... die Schweinefleisch-Tacos nicht so gut ausgesehen.|hätten|werden|sahen
ua|Якби кухар не додав сальсу, тако зі свининою ... так добре.|не виглядали б|не виглядатимуть|не виглядали
es|Si el cocinero no hubiera añadido salsa, los tacos de cerdo ... tan buenos.|no habrían parecido|no parecerán|no parecieron
fr|Si le cuisinier n'avait pas ajouté de salsa, les tacos au porc ... aussi bons.|n'auraient pas eu l'air|n'auront pas l'air|n'avaient pas l'air
tr|Aşçı salsa eklemeseydi, domuz etli takolar bu kadar iyi ...|görünmezdi|görünmeyecek|görünmedi
hu|Ha a szakács nem tett volna hozzá salsát, a sertéshúsos tacók ... ilyen jól.|nem néztek volna ki|nem fognak kinézni|nem néztek ki
MEDIA 5079 | meaning: a huge ancient building with triangle sides
E 41984 | B1 type 46 Used to, Would | style business | options 3 | SEL
en|This pyramid ... be the centre of a city for thousands of people, the tourism report says.|used to|would|was used to
de|Diese Pyramide ... das Zentrum einer Stadt für Tausende Menschen, heißt es im Tourismusbericht.|war früher|würde sein|war gewohnt
ua|Ця піраміда ... центром міста для тисяч людей, йдеться у туристичному звіті.|колись була|бувала|звикла бути
es|Esta pirámide ... ser el centro de una ciudad para miles de personas, según el informe turístico.|solía|solía|estaba acostumbrada a
fr|Cette pyramide ... le centre d'une ville pour des milliers de personnes, selon le rapport touristique.|était autrefois|était|avait l'habitude d'être
tr|Turizm raporuna göre bu piramit ... binlerce kişilik bir şehrin merkeziydi.|eskiden|eskiden|alışkındı
hu|Ez a piramis ... egy több ezer fős város központja volt, áll a turisztikai jelentésben.|régen|régen|hozzá volt szokva
MEDIA 5083 | meaning: small soft fruits that you can eat
E 37157 | B1 type 46 Used to, Would | style dramatic | options 3 | SEL
en|Back then, Grandma ... never ruin a cake with so many berries!|would|used|was used to
de|Damals ... Oma nie einen Kuchen mit so vielen Beeren ruinieren!|würde|pflegte|war gewohnt
ua|Тоді бабуся ніколи ... торт такою кількістю ягід!|не зіпсувала б|не псувала|не звикла псувати
es|¡En aquella época, la abuela nunca ... un pastel con tantas bayas!|arruinaría|solía arruinar|estaba acostumbrada a arruinar
fr|À l'époque, mamie ne ... jamais un gâteau avec autant de baies !|gâchait|gâchait|avait l'habitude de gâcher
tr|O zamanlar büyükannem bu kadar çok meyveyle bir pastayı asla ...!|mahvetmezdi|mahvetmezdi|mahvetmeye alışkın değildi
hu|Akkoriban a nagyi soha nem ... el egy tortát ennyi bogyóval!|rontott volna|rontotta|szokta volna
E 37162 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Okay so, apparently they ... berries to everything they bake all week.|have been adding|are adding|add
de|Okay also, angeblich ... sie die ganze Woche Beeren in alles, was sie backen.|tun|tun|tun
ua|Отже, кажуть, вони ... ягоди до всього, що печуть, увесь тиждень.|додають|додають|додають
es|Vale, pues al parecer ellas ... bayas a todo lo que hornean toda la semana.|llevan añadiendo|están añadiendo|añaden
fr|Bon alors, apparemment elles ... des baies à tout ce qu'elles font cuire depuis toute la semaine.|ajoutent|ajoutent|ajoutent
tr|Tamam yani, anlaşılan onlar bütün hafta pişirdikleri her şeye meyve ...|ekliyorlar|ekliyorlar|eklerler
hu|Oké, szóval állítólag ők egész héten ... a bogyókat mindenhez, amit sütnek.|teszik|teszik|teszik
MEDIA 5086 | meaning: reflecting light
E 42899 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|The floor ... be dull before she started; now it is shiny.|used to|would|was used to
de|Der Boden ... matt, bevor sie anfing; jetzt glänzt er.|war früher|würde sein|war gewohnt
ua|Підлога ... тьмяною, поки вона не почала; тепер вона блискуча.|колись була|бувала|звикла бути
es|El suelo ... estar apagado antes de que ella empezara; ahora brilla.|solía|solía|estaba acostumbrado a
fr|Le sol ... terne avant qu'elle commence ; maintenant, il brille.|était|serait|avait l'habitude d'être
tr|O başlamadan önce zemin ... donuktu; şimdi parlıyor.|eskiden|eskiden|alışkındı
hu|A padló ... fénytelen volt, mielőtt ő elkezdte; most fényes.|régen|régen|hozzá volt szokva
E 42901 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|She ... this floor for hours, and nobody notices how shiny it is! Unbelievable!|has been mopping|is mopping|mops
de|Sie ... diesen Boden seit Stunden, und niemand merkt, wie glänzend er ist! Unglaublich!|wischt|wischt|wischt
ua|Вона ... цю підлогу вже кілька годин, і ніхто не помічає, яка вона блискуча! Неймовірно!|миє|миє|миє
es|¡Ella ... este suelo durante horas y nadie nota lo brillante que está! ¡Increíble!|lleva fregando|está fregando|friega
fr|Elle ... ce sol depuis des heures, et personne ne remarque à quel point il brille ! Incroyable !|lave|lave|lave
tr|O saatlerdir bu zemini ... ve kimse ne kadar parlak olduğunu fark etmiyor! İnanılmaz!|siliyor|siliyor|siler
hu|Ő órák óta ... ezt a padlót, és senki sem veszi észre, milyen fényes! Hihetetlen!|felmossa|felmossa|felmossa
MEDIA 5090 | meaning: a room in a home for a baby
E 41259 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|... the cold weather outside, the nursery is full of warm light and laughter.|Despite|Although|Owing to
de|... des kalten Wetters draußen ist das Kinderzimmer voller warmem Licht und Lachen.|Trotz|Obwohl|Wegen
ua|... холодну погоду надворі, дитяча кімната сповнена теплого світла й сміху.|Попри|Хоча|Завдяки
es|... el frío que hace fuera, la habitación del bebé está llena de luz cálida y risas.|A pesar de|Aunque|Debido a
fr|... le froid dehors, la chambre du bébé est pleine de lumière chaude et de rires.|Malgré|Bien que|En raison de
tr|Dışarıdaki soğuk havaya ..., bebek odası sıcak ışık ve kahkahalarla dolu.|rağmen|olsa da|nedeniyle
hu|A kinti hideg idő ... a babaszoba tele van meleg fénnyel és nevetéssel.|ellenére|bár|miatt
MEDIA 5093 | meaning: covered with plants grown out of control
E 41304 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... through the overgrown grass when the mower suddenly stopped.|was pushing|pushed|has pushed
de|Er ... durch das zugewachsene Gras, als der Mäher plötzlich stehen blieb.|schob|schob|hat geschoben
ua|Він ... крізь зарослу траву, коли косарка раптом зупинилася.|пробирався|пробрався|пробрався
es|Él ... por la hierba crecida cuando el cortacésped se paró de repente.|estaba empujando|empujó|ha empujado
fr|Il ... à travers l'herbe envahissante quand la tondeuse s'est soudain arrêtée.|poussait|a poussé|a poussé
tr|O, çim biçme makinesi aniden durduğunda uzamış çimlerin arasından ...|itiyordu|itti|itti
hu|Ő éppen ... a benőtt füvön át, amikor a fűnyíró hirtelen leállt.|tolta|tolta|tolta
E 41314 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|You ... the overgrown garden for an hour before we saw that clean strip. Respect.|had been mowing|have been mowing|mow
de|Du ... den verwilderten Garten eine Stunde lang gemäht, bevor wir diesen sauberen Streifen sahen. Respekt.|hattest|hast|mähst
ua|Ти ... зарослий сад годину, перш ніж ми побачили ту чисту смугу. Респект.|косив|косиш|косиш
es|Tú ... el jardín descuidado durante una hora antes de que viéramos esa franja limpia. Respeto.|habías estado cortando|has estado cortando|cortas
fr|Tu ... le jardin envahi pendant une heure avant qu'on voie cette bande nette. Respect.|avais tondu|as tondu|tonds
tr|Sen, biz o temiz şeridi görene kadar bakımsız bahçeyi bir saat ..., saygı.|biçiyordun|biçiyorsun|biçersin
hu|Te egy órán át ... a benőtt kertet, mielőtt megláttuk azt a tiszta csíkot. Respekt.|nyírtad|nyírod|nyírod
MEDIA 5094 | meaning: being very thin
E 43056 | B1 type 48 Question tags | style slang | options 3 | SEL
en|Bro, that skinny dude's giving it his all, ...?|isn't he?|doesn't he?|wasn't he?
de|Bro, der dünne Typ gibt echt alles, ...?|oder|nicht wahr|oder
ua|Бро, той худий чувак викладається на всі сто, ...?|так|правда|так
es|Bro, ese flaco lo está dando todo, ¿...?|verdad|no|verdad
fr|Frérot, ce mec tout maigre donne tout, ... ?|hein|non|hein
tr|Kanka, o sıska adam her şeyini veriyor, ...?|değil mi|değil mi|değil mi
hu|Tesó, az a vékony srác mindent belead, ...?|ugye|nem|ugye
E 43063 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The skinny man ... for months before he tried the flex in the gym.|had been training|was training|has been training
de|Der dünne Mann ... monatelang trainiert, bevor er die Pose im Gym ausprobierte.|hatte|war|hat
ua|Худий чоловік ... місяцями, перш ніж спробував цю позу в спортзалі.|тренувався|тренувався|тренується
es|El hombre flaco ... durante meses antes de probar la pose en el gimnasio.|había estado entrenando|estaba entrenando|ha estado entrenando
fr|L'homme maigre ... depuis des mois avant d'essayer la pose à la salle.|s'entraînait|s'entraînait|s'entraîne
tr|Sıska adam, spor salonunda o pozu denemeden önce aylarca ...|antrenman yapmıştı|antrenman yapıyordu|antrenman yapıyor
hu|A sovány férfi hónapokig ..., mielőtt kipróbálta a pózt az edzőteremben.|edzett|edzett|edz
MEDIA 5095 | meaning: a huge feeling of wonder at something
E 36949 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While he ... through the gallery, his mouth fell open in awe.|was walking|walked|has walked
de|Während er durch die Galerie ..., fiel ihm vor Ehrfurcht die Kinnlade herunter.|ging|ging|ist gegangen
ua|Поки він ... галереєю, його щелепа відвисла від захвату.|ішов|пройшов|пройшов
es|Mientras él ... por la galería, se le cayó la mandíbula de asombro.|caminaba|caminó|ha caminado
fr|Pendant qu'il ... dans la galerie, sa mâchoire s'est décrochée d'émerveillement.|marchait|a marché|a marché
tr|O galeride ..., hayranlıktan ağzı açık kaldı.|yürürken|yürüdüğünde|yürümüşken
hu|Miközben ő ... a galérián, a csodálattól leesett az álla.|sétált|végigsétált|végigsétált
E 36954 | B2 type 59 Causative HAVE/GET | style nerd | options 3 | SEL
en|The museum typically has specialists ... the skeleton that fills visitors with awe.|clean|to clean|cleaning
de|Das Museum lässt das Skelett, das Besucher in Ehrfurcht versetzt, typischerweise von Fachleuten ...|reinigen|reinigen|reinigen
ua|Музей зазвичай доручає фахівцям ... скелет, що викликає у відвідувачів благоговіння.|чистити|чистити|чищення
es|El museo normalmente hace que los especialistas ... el esqueleto que llena de asombro a los visitantes.|limpien|limpien|limpiando
fr|Le musée fait généralement ... par des spécialistes le squelette qui remplit les visiteurs d'émerveillement.|nettoyer|nettoyer|nettoyant
tr|Müze, ziyaretçileri hayranlıkla dolduran iskeleti genellikle uzmanlara ...|temizletir|temizletir|temizletir
hu|A múzeum a látogatókat ámulatba ejtő csontvázat általában szakemberekkel ...|tisztíttatja|tisztíttatja|tisztíttatja
MEDIA 5100 | meaning: to put or fix something in place
E 43591 | B1 type 34 Present Perfect Simple or Continuos | style flirt | options 3 | SEL
en|Not gonna lie, you ... three flags on that map already. Iconic travel taste.|have stuck|have been sticking|stuck
de|Ehrlich gesagt, du ... schon drei Flaggen auf die Karte geklebt. Ikonischer Reisegeschmack.|hast|hast|klebtest
ua|Не брехатиму, ти вже ... три прапорці на ту мапу. Культовий смак до подорожей.|приклеїв|приклеюєш|приклеїв
es|No voy a mentir, tú ya ... tres banderas en ese mapa. Gusto viajero icónico.|has pegado|has estado pegando|pegaste
fr|Je vais pas mentir, tu ... déjà trois drapeaux sur cette carte. Goût du voyage iconique.|as collé|es en train de coller|as collé
tr|Yalan yok, sen o haritaya şimdiden üç bayrak ...; ikonik seyahat zevki.|yapıştırdın|yapıştırıyorsun|yapıştırdın
hu|Nem hazudok, te már ... három zászlót arra a térképre. Ikonikus utazási ízlés.|feltűztél|tűzögetsz|feltűztél
E 43598 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Girl, apparently by next summer they ... flags on every continent.|will have stuck|will stick|stick
de|Girl, angeblich ... sie bis nächsten Sommer Flaggen auf jeden Kontinent geklebt haben.|werden|werden|kleben
ua|Подруго, кажуть, до наступного літа вони ... прапорці на кожен континент.|приклеять|приклеюватимуть|приклеюють
es|Tía, al parecer para el próximo verano ellos ... banderas en todos los continentes.|habrán pegado|pegarán|pegan
fr|Meuf, apparemment d'ici l'été prochain ils ... des drapeaux sur chaque continent.|auront collé|colleront|collent
tr|Kızım, anlaşılan onlar gelecek yaza kadar her kıtaya bayrak ...|yapıştırmış olacaklar|yapıştıracaklar|yapıştırıyorlar
hu|Csajszi, állítólag ők jövő nyárra minden kontinensre ... zászlót.|feltűznek|fel fognak tűzni|tűznek
MEDIA 5101 | meaning: the sick feeling that you may vomit
E 41179 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The woman ... hands cover her mouth is fighting her nausea.|whose|who|which
de|Die Frau, ... Hände ihren Mund bedecken, kämpft gegen ihre Übelkeit.|deren|die|welche
ua|Жінка, ... руки закривають рот, бореться з нудотою.|чиї|яка|котра
es|La mujer ... manos le tapan la boca está luchando contra las náuseas.|cuyas|que|la cual
fr|La femme ... les mains couvrent la bouche lutte contre sa nausée.|dont|qui|laquelle
tr|... Elleri ağzını kapatan kadın bulantısıyla savaşıyor.|||
hu|A nő, ... keze eltakarja a száját, a hányingerrel küzd.|akinek a|aki|amely
E 41185 | B2 type 50 Past Perfect Continuous | style ironic | options 3 | SEL
en|Flawless holiday: she ... on deck for an hour before the nausea finally won.|had been standing|has been standing|is standing
de|Perfekter Urlaub: Sie ... eine Stunde an Deck gestanden, bevor die Übelkeit endlich gewann.|hatte|hat|steht
ua|Ідеальна відпустка: вона ... на палубі годину, перш ніж нудота нарешті перемогла.|стояла|стоїть|стоїть
es|Vacaciones perfectas: ella ... en cubierta una hora antes de que las náuseas por fin ganaran.|había estado|ha estado|está
fr|Vacances parfaites : elle ... sur le pont depuis une heure avant que la nausée gagne enfin.|était restée|est restée|reste
tr|Kusursuz tatil: o, bulantı sonunda galip gelmeden önce bir saat güvertede ...|durmuştu|duruyor|duruyor
hu|Tökéletes nyaralás: ő egy órán át ... a fedélzeten, mielőtt a hányinger végül győzött.|állt|áll|áll
MEDIA 5102 | meaning: a narrow street with walls on both sides
E 36661 | B1 type 34 Present Perfect Simple or Continuos | style gossip | options 3 | SEL
en|Bestie, apparently she ... five wrong alleys already today.|has taken|has been taking|took
de|Bestie, angeblich ... sie heute schon in fünf falsche Gassen abgebogen.|ist|ist|bog
ua|Подруго, кажуть, вона сьогодні вже ... у п'ять неправильних провулків.|звернула|звертала|звернула
es|Amiga, al parecer ella ya ... cinco callejones equivocados hoy.|ha tomado|ha estado tomando|tomó
fr|Bestie, apparemment elle ... déjà cinq mauvaises ruelles aujourd'hui.|a pris|n'arrête pas de prendre|a pris
tr|Kanka, anlaşılan o bugün şimdiden beş yanlış sokağa ...|saptı|sapıyor|saptı
hu|Csajszi, állítólag ő ma már öt rossz sikátorba ...|fordult be|fordult be|fordult be
MEDIA 5104 | meaning: a conversation where people exchange ideas
E 43927 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The neighbours ... a talk over the fence for an hour when the cat jumped up.|had been having|were having|have been having
de|Die Nachbarn ... sich schon eine Stunde über den Zaun unterhalten, als die Katze hochsprang.|hatten|waren|haben
ua|Сусіди ... розмову через паркан уже годину, коли вискочив кіт.|вели|вели|ведуть
es|Los vecinos ... una charla por encima de la valla durante una hora cuando el gato saltó.|habían estado teniendo|estaban teniendo|han estado teniendo
fr|Les voisins ... depuis une heure par-dessus la clôture quand le chat a sauté.|discutaient|discutaient|discutent
tr|Kedi yukarı sıçradığında komşular bir saattir çitin üzerinden ...|sohbet ediyorlardı|sohbet ediyorlardı|sohbet ediyorlar
hu|A szomszédok már egy órája ... a kerítésen át, amikor a macska felugrott.|beszélgettek|beszélgettek|beszélgetnek
MEDIA 5105 | meaning: a long narrow channel dug into the earth
E 38675 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The ducks ... on the ditch all morning.|have been swimming|are swimming|swim
de|Die Enten ... den ganzen Vormittag auf dem Graben.|schwimmen|schwimmen|schwimmen
ua|Качки ... в канаві весь ранок.|плавають|плавають|плавають
es|Los patos ... en la acequia toda la mañana.|llevan nadando|están nadando|nadan
fr|Les canards ... sur le fossé toute la matinée.|nagent|nagent|nagent
tr|Ördekler bütün sabah hendekte ...|yüzüyor|yüzüyor|yüzer
hu|A kacsák egész délelőtt ... az árokban.|úsznak|úsznak|úsznak
MEDIA 5106 | meaning: a building with big sails turned by the wind
E 44776 | B1 type 44 Relative clauses | style slang | options 3 | SEL
en|Bro, the girl ... is walking to the windmill is living her best life, no cap.|who|which|whose
de|Bro, das Mädchen, ... zur Windmühle läuft, lebt ihr bestes Leben, ohne Witz.|das|welches|dessen
ua|Бро, дівчина, ... йде до вітряка, живе найкращим життям, без жартів.|яка|котра|чия
es|Bro, la chica ... camina hacia el molino está viviendo su mejor vida, sin mentir.|que|la cual|cuya
fr|Frérot, la fille ... marche vers le moulin vit sa meilleure vie, sans mentir.|qui|laquelle|dont
tr|Kanka, yel değirmenine doğru ... kız hayatının en güzel anını yaşıyor, yalan yok.|yürüyen|yürüyen|yürüyen
hu|Tesó, a csaj, ... a szélmalom felé sétál, éli a legjobb életét, komolyan.|aki|amely|akinek
E 44780 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|... behind her is one of the most famous sights in the Netherlands.|The windmill|A windmill|Windmill
de|... hinter ihr ist eine der berühmtesten Sehenswürdigkeiten in den Niederlanden.|Die Windmühle|Eine Windmühle|Windmühle
ua|... позаду неї — одна з найвідоміших пам'яток Нідерландів.|Вітряк|Вітряк|Вітряк
es|... detrás de ella es uno de los lugares más famosos de los Países Bajos.|El molino|Un molino|Molino
fr|... derrière elle est l'un des sites les plus célèbres des Pays-Bas.|Le moulin|Un moulin|Moulin
tr|Onun arkasındaki ..., Hollanda'nın en ünlü yerlerinden biri.|yel değirmeni|bir yel değirmeni|yel değirmeni
hu|... mögötte Hollandia egyik leghíresebb látnivalója.|A szélmalom|Egy szélmalom|Szélmalom
MEDIA 5107 | meaning: to hold someone gently in your arms like a baby
E 38224 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If they cradle the baby a little longer, she ... asleep.|will fall|would fall|fell
de|Wenn sie das Baby noch ein bisschen länger wiegen, ... es ein.|schläft|würde schlafen|schlief
ua|Якщо вони ще трохи поколишуть малечу, вона ...|засне|заснула б|заснула
es|Si ellos mecen al bebé un poco más, ...|se dormirá|se dormiría|se durmió
fr|S'ils bercent le bébé encore un peu, elle ...|s'endormira|s'endormirait|s'est endormie
tr|Onlar bebeği biraz daha kucaklarında sallarlarsa, ...|uyuyacak|uyurdu|uyudu
hu|Ha ők még egy kicsit ringatják a babát, ...|elalszik|elaludna|elaludt
E 38227 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|They ... the baby for an hour before they put her in the bassinet.|had been cradling|have been cradling|are cradling
de|Sie ... das Baby eine Stunde lang gewiegt, bevor sie es in die Babywiege legten.|hatten|haben|wiegen
ua|Вони ... малечу годину, перш ніж поклали її в колиску.|колисали|колишуть|колишуть
es|Ellos ... al bebé una hora antes de ponerla en el moisés.|habían estado meciendo|han estado meciendo|están meciendo
fr|Ils ... le bébé pendant une heure avant de la mettre dans le berceau.|avaient bercé|ont bercé|bercent
tr|Onlar bebeği beşiğe koymadan önce bir saat ...|sallamışlardı|sallıyorlar|sallıyorlar
hu|Ők egy órán át ... a babát, mielőtt a mózeskosárba tették.|ringatták|ringatják|ringatják
MEDIA 5111 | meaning: to care for someone who is ill
E 41256 | B2 type 64 Future in past | style chill | options 3 | SEL
en|When the child arrived with the rash, the woman knew she ... the child for days.|would nurse|will nurse|nurses
de|Als das Kind mit dem Ausschlag ankam, wusste die Frau, dass sie es tagelang pflegen ...|würde|wird|pflegt
ua|Коли дитина прийшла з висипом, жінка знала, що ... її кілька днів.|доглядатиме|доглядатиме|доглядає
es|Cuando el niño llegó con el sarpullido, la mujer sabía que ... al niño durante días.|cuidaría|cuidará|cuida
fr|Quand l'enfant est arrivé avec l'éruption, la femme savait qu'elle ... l'enfant pendant des jours.|soignerait|soignera|soigne
tr|Çocuk döküntüyle geldiğinde kadın, günlerce çocuğa ... biliyordu.|bakacağını|bakacağını|baktığını
hu|Amikor a gyerek kiütéssel érkezett, a nő tudta, hogy napokig ... a gyereket.|ápolni fogja|ápolni fogja|ápolja
MEDIA 5112 | meaning: a small particle of a substance
E 39864 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|A few grains ... already in the bottom of the bowl.|have landed|land|are landing
de|Ein paar Körner ... schon auf dem Boden der Schüssel gelandet.|sind|landen|landen gerade
ua|Кілька зернят уже ... на дно миски.|упали|падають|падають
es|Unos cuantos granos ya ... en el fondo del bol.|han caído|caen|están cayendo
fr|Quelques grains ... déjà au fond du bol.|ont atterri|atterrissent|sont en train d'atterrir
tr|Birkaç tane şimdiden kasenin dibine ...|düştü|düşer|düşüyor
hu|Néhány szem már ... a tál aljára.|leesett|esik|esik
MEDIA 5114 | meaning: a tall pink water bird with long legs
E 39347 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the man hadn't shouted, the flamingos ... off so early.|wouldn't have flown|won't fly|didn't fly
de|Hätte der Mann nicht gerufen, ... die Flamingos nicht so früh weggeflogen.|wären|werden|flogen
ua|Якби чоловік не закричав, фламінго ... так рано.|не полетіли б|не полетять|не полетіли
es|Si el hombre no hubiera gritado, los flamencos ... tan pronto.|no habrían salido volando|no saldrán volando|no salieron volando
fr|Si l'homme n'avait pas crié, les flamants ... si tôt.|ne se seraient pas envolés|ne s'envoleront pas|ne se sont pas envolés
tr|Adam bağırmasaydı, flamingolar bu kadar erken ...|uçmazdı|uçmayacak|uçmadı
hu|Ha a férfi nem kiabált volna, a flamingók ... el ilyen korán.|nem repültek volna|nem fognak|nem repültek
MEDIA 5117 | meaning: a shop where books are sold
E 37298 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|He didn't want to leave the bookstore, and ...|neither did his friend.|so did his friend.|neither was his friend.
de|Er wollte die Buchhandlung nicht verlassen, und ...|sein Freund auch nicht.|sein Freund auch.|sein Freund auch nicht.
ua|Він не хотів іти з книгарні, і ...|його друг теж ні.|його друг теж.|його друг теж ні.
es|Él no quería irse de la librería, y ...|su amigo tampoco.|su amigo también.|su amigo tampoco.
fr|Il ne voulait pas quitter la librairie, et ...|son ami non plus.|son ami aussi.|son ami non plus.
tr|O kitapçıdan ayrılmak istemedi, ve ...|arkadaşı da istemedi.|arkadaşı da istedi.|arkadaşı da istemedi.
hu|Ő nem akart kijönni a könyvesboltból, és ...|a barátja sem.|a barátja is.|a barátja sem.
MEDIA 5120 | meaning: a doctor who does surgery
E 43817 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|Smooth move: you ... the scalpel to the surgeon, then gave us a thumbs up.|passed|were passing|have passed
de|Starker Move: Du ... dem Chirurgen das Skalpell und hast uns dann einen Daumen hoch gegeben.|reichtest|reichtest gerade|hast gereicht
ua|Круто: ти ... хірургові скальпель, а потім показала нам великий палець.|передала|передавала|передала
es|Buen movimiento: tú le ... el bisturí al cirujano y luego nos levantaste el pulgar.|pasaste|estabas pasando|has pasado
fr|Joli coup : tu ... le scalpel au chirurgien, puis tu nous as fait un pouce levé.|as passé|passais|as passé
tr|Harika hareket: sen neşteri cerraha ..., sonra da bize başparmak kaldırdın.|verdin|veriyordun|verdin
hu|Ügyes húzás: te ... a szikét a sebésznek, aztán feltartottad nekünk a hüvelykujjad.|odaadtad|éppen adtad|odaadtad
E 43827 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Honestly, you work with ... of a top surgeon. Respect.|the confidence|a confidence|confidence
de|Ehrlich, du arbeitest mit ... eines Top-Chirurgen. Respekt.|der Sicherheit|einer Sicherheit|Sicherheit
ua|Чесно, ти працюєш із ... топового хірурга. Респект.|впевненістю|впевненістю|впевненістю
es|Sinceramente, tú trabajas con ... de un cirujano top. Respeto.|la seguridad|una seguridad|seguridad
fr|Honnêtement, tu travailles avec ... d'un grand chirurgien. Respect.|l'assurance|une assurance|assurance
tr|Açıkçası, sen bir üst düzey cerrahın ... çalışıyorsun. Saygılar.|özgüveniyle|bir özgüveniyle|özgüveniyle
hu|Őszintén, te egy topsebész ... dolgozol. Respekt.|magabiztosságával|egy magabiztosságával|magabiztosságával
MEDIA 5121 | meaning: to take something off or out by lifting it
E 42233 | B1 type 45 Reported speech | style slang | options 3 | SEL
en|Bro, she said she ... the muffins when they turned golden, no cap.|would remove|will remove|removes
de|Bro, sie meinte, sie ... die Muffins rausholen, wenn sie goldbraun sind, ohne Witz.|würde|wird|holt
