MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
fr|Avant l'augmentation du budget, la crèche ... de 20 tout-petits dans une seule salle pendant des années.|s'occupait|s'occupait|s'est occupée
tr|Bütçe artışından önce kreş yıllarca tek bir odada 20 küçük çocuğa ...|bakıyordu|bakıyordu|baktı
hu|A költségvetés-emelés előtt a bölcsőde évekig 20 kisgyerekre ... egyetlen teremben.|vigyázott|vigyázott|vigyázott
MEDIA 5411 | meaning: a curling, spiral shape
E 43887 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The woman ... a perfect swirl of paste on every brush.|made|was made|making
de|Die Frau ... eine perfekte Zahnpasta-Spirale auf jede Bürste.|setzte|wurde gesetzt|setzend
ua|Жінка ... ідеальну спіраль пасти на кожній щітці.|зробила|була зроблена|роблячи
es|La mujer ... una espiral perfecta de pasta en cada cepillo.|hizo|fue hecha|haciendo
fr|La femme ... une spirale parfaite de dentifrice sur chaque brosse.|a fait|a été faite|faisant
tr|Kadın her fırçaya kusursuz bir macun kıvrımı ...|yaptı|yapıldı|yaparak
hu|A nő ... egy tökéletes fogkrémspirált minden kefére.|készített|készült|készítve
MEDIA 5412 | meaning: a tall stone post that holds something up
E 41566 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While the group ... between the huge pillars, the guide held up a red umbrella.|was walking|walked|has walked
de|Während die Gruppe zwischen den riesigen Säulen ..., hielt der Guide einen roten Regenschirm hoch.|hindurchging|ging|gegangen ist
ua|Поки група ... між величезними колонами, гід тримав угорі червону парасольку.|йшла|пройшла|пройшла
es|Mientras el grupo ... entre los enormes pilares, el guía levantó un paraguas rojo.|caminaba|caminó|ha caminado
fr|Pendant que le groupe ... entre les immenses piliers, le guide levait un parapluie rouge.|marchait|a marché|a marché
tr|Grup devasa sütunların arasında ... rehber kırmızı bir şemsiye kaldırdı.|yürürken|yürüdüğünde|yürümüşken
hu|Miközben a csoport a hatalmas oszlopok között ..., az idegenvezető feltartott egy piros esernyőt.|sétált|sétált|sétált
E 41574 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|They ... photos of these pillars for two hours, and the battery is completely dead!|have been taking|are taking|take
de|Sie ... seit zwei Stunden Fotos von diesen Säulen, und der Akku ist komplett leer!|machen|machen|machen
ua|Вони ... фото цих колон уже дві години, і батарея повністю сіла!|роблять|роблять|роблять
es|¡Ellos ... fotos de estos pilares durante dos horas, y la batería está completamente muerta!|han estado haciendo|están haciendo|hacen
fr|Ils ... des photos de ces piliers depuis deux heures, et la batterie est complètement morte !|prennent|prennent|prennent
tr|Onlar iki saattir bu sütunların fotoğraflarını ... ve pil tamamen bitti!|çekiyorlar|çekiyorlar|çekerler
hu|Ők két órája ... a fotókat ezekről az oszlopokról, és teljesen lemerült az akku!|csinálják|csinálják|csinálják
MEDIA 5413 | meaning: without hope that things can get better
E 40102 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If traffic ... still for hours, drivers feel hopeless.|stands|will stand|stood
de|Wenn der Verkehr stundenlang ..., fühlen sich die Fahrer hoffnungslos.|stillsteht|stillstehen wird|stillstand
ua|Якщо транспорт ... годинами, водії почуваються безнадійно.|стоїть|стоятиме|стояв
es|Si el tráfico ... parado durante horas, los conductores se sienten sin esperanza.|está|estará|estuvo
fr|Si la circulation ... bloquée pendant des heures, les conducteurs se sentent désespérés.|reste|restera|restait
tr|Trafik saatlerce ..., sürücüler umutsuz hisseder.|durursa|duracaksa|durduysa
hu|Ha a forgalom órákig ..., a sofőrök reménytelennek érzik magukat.|áll|állni fog|állt
MEDIA 5414 | meaning: a barrier made of a horizontal bar on supports
E 42017 | B1 type 43 Modal verbs Probability | style dramatic | options 3 | SEL
en|Hundreds of cars below the rail! He ... be late for school. A total disaster!|must|might|can't
de|Hunderte Autos unter dem Geländer! Er ... zu spät zur Schule kommen. Eine totale Katastrophe!|muss|könnte|kann nicht
ua|Сотні машин під поруччям! Він ... запізнитися до школи. Повна катастрофа!|мусить|може|не може
es|¡Cientos de coches bajo la barandilla! Él ... llegar tarde al colegio. ¡Un desastre total!|debe de|puede|no puede
fr|Des centaines de voitures sous la rambarde ! Il ... être en retard à l'école. Un désastre total !|doit|pourrait|ne peut pas
tr|Korkuluğun altında yüzlerce araba! O, okula ... geç kalacak; tam bir felaket!|kesin|belki|asla
hu|Autók százai a korlát alatt! Ő ... el fog késni az iskolából. Totális katasztrófa!|biztosan|talán|biztosan nem
E 42024 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|Before he reached the rail of the footbridge, he ... in the car for an hour.|had been sitting|was sitting|has been sitting
de|Er ... eine Stunde im Auto, bevor er das Geländer der Fußgängerbrücke erreichte.|saß|saß|sitzt
ua|Перш ніж дійти до поруччя пішохідного мосту, він ... в машині годину.|сидів|сидів|сидить
es|Antes de llegar a la barandilla de la pasarela, él ... en el coche una hora.|había estado sentado|estaba sentado|ha estado sentado
fr|Avant d'atteindre la rambarde de la passerelle, il ... dans la voiture pendant une heure.|était resté assis|était assis|est resté assis
tr|Yaya köprüsünün korkuluğuna varmadan önce o bir saat arabada ...|oturmuştu|oturuyordu|oturdu
hu|Mielőtt elérte a gyalogoshíd korlátját, ő egy órán át az autóban ...|ült|ült|ült
MEDIA 5416 | meaning: the engine at the front that pulls a train
E 40687 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
en|You smiled at that orange locomotive, and honestly, ... I.|so did|so was|neither did
de|Du hast die orange Lok angelächelt, und ehrlich gesagt, ich ...|auch|auch|auch nicht
ua|Ти усміхнулася тому помаранчевому локомотиву, і, чесно, я ...|теж|теж|теж ні
es|Tú le sonreíste a esa locomotora naranja y, sinceramente, yo ...|también|también|tampoco
fr|Tu as souri à cette locomotive orange et, franchement, moi ...|aussi|aussi|non plus
tr|Sen o turuncu lokomotife gülümsedin ve açıkçası ben ...|de|de|de değil
hu|Te rámosolyogtál arra a narancssárga mozdonyra, és őszintén, én ...|is|is|sem
E 40696 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|... the noise, she smiled as the orange locomotive rolled past.|In spite of|Owing to|Provided
de|... des Lärms lächelte sie, als die orange Lok vorbeirollte.|Trotz|Aufgrund|Vorausgesetzt
ua|... шум, вона усміхалася, коли повз проїжджав помаранчевий локомотив.|Попри|Через|За умови
es|... el ruido, ella sonreía mientras la locomotora naranja pasaba.|A pesar de|Debido a|Siempre que
fr|... le bruit, elle souriait pendant que la locomotive orange passait.|Malgré|En raison de|Pourvu que
tr|Gürültüye ..., turuncu lokomotif geçerken o gülümsedi.|rağmen|bağlı olarak|koşuluyla
hu|A zaj ..., ő mosolygott, amikor a narancssárga mozdony elgördült mellette.|ellenére|miatt|feltéve
MEDIA 5417 | meaning: a station where vehicles load passengers
E 38524 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|She is grinning at every tram in the depot, so she ... love trams.|must|might|can't
de|Sie grinst jede Straßenbahn im Depot an, also ... sie Straßenbahnen lieben.|muss|könnte|kann nicht
ua|Вона усміхається кожному трамваю в депо, тож вона ... любити трамваї.|мусить|може|не може
es|Ella sonríe a cada tranvía de las cocheras, así que ... amar los tranvías.|debe de|podría|no puede
fr|Elle sourit à chaque tram du dépôt, donc elle ... adorer les trams.|doit|pourrait|ne peut pas
tr|O depodaki her tramvaya sırıtıyor, demek ki tramvayları ... seviyor.|kesin|belki|asla
hu|Ő a depó minden villamosára vigyorog, szóval ... imádja a villamosokat.|biztosan|talán|biztosan nem
MEDIA 5418 | meaning: the space that is inside of something
E 40301 | B1 type 43 Modal verbs Probability | style ironic | options 3 | SEL
en|She ... be slightly excited about this wooden interior; she won't stop grinning.|must|might|can't
de|Sie ... ein kleines bisschen begeistert von diesem Holzinterieur sein; sie hört nicht auf zu grinsen.|muss|könnte|kann nicht
ua|Вона ... бути трохи в захваті від цього дерев'яного інтер'єру; вона не перестає усміхатися.|мусить|може|не може
es|Ella ... estar un pelín emocionada con este interior de madera; no para de sonreír.|debe de|podría|no puede
fr|Elle ... être légèrement enthousiaste devant cet intérieur en bois ; elle n'arrête pas de sourire.|doit|pourrait|ne peut pas
tr|O bu ahşap iç mekân için azıcık heyecanlı ...; sırıtmayı bırakmıyor.|olmalı|olabilir|olamaz
hu|Ő ... egy kicsit izgatott ettől a fa belsőtől; nem hagyja abba a vigyorgást.|biztosan|talán|biztosan nem
MEDIA 5419 | meaning: moving something from one place to another
E 44244 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|His transfer from the metro to the ferry is believed ... under ten minutes earlier today.|to have taken|to take|taking
de|Man geht davon aus, dass sein Umstieg von der U-Bahn auf die Fähre heute früher unter zehn Minuten ...|gedauert hat|dauert|dauernd
ua|Вважається, що його пересадка з метро на пором сьогодні раніше ... менше десяти хвилин.|тривала|триває|триваючи
es|Se cree que su transbordo del metro al ferri ... menos de diez minutos hoy más temprano.|duró|dura|durando
fr|On pense que sa correspondance du métro au ferry ... moins de dix minutes plus tôt aujourd'hui.|a pris|prend|prenant
tr|Metrodan vapura aktarmasının bugün daha erken saatlerde on dakikadan kısa ... düşünülüyor.|sürdüğü|süreceği|sürmesi
hu|Úgy vélik, hogy a metróról a kompra való átszállása ma korábban kevesebb mint tíz percig ...|tartott|tart|tartva
MEDIA 5420 | meaning: a craft built for travel on water
E 44513 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Dude, he ... since the metro, and that vessel still ain't gone.|has been running|is running|runs
de|Alter, er ... seit der U-Bahn, und das Schiff ist immer noch nicht weg.|rennt|rennt|rennt
ua|Чувак, він ... від самого метро, а те судно досі не відплило.|біжить|біжить|біжить
es|Tío, él ... desde el metro, y ese barco todavía no se ha ido.|lleva corriendo|está corriendo|corre
fr|Mec, il ... depuis le métro, et ce bateau n'est toujours pas parti.|court|court|court
tr|Kanka, o metrodan beri ... ve o gemi hâlâ gitmedi.|koşuyor|koşuyor|koşar
hu|Tesó, ő a metró óta ..., és az a hajó még mindig nem ment el.|fut|fut|fut
E 44519 | B2 type 64 Future in past | style flirt | options 3 | SEL
en|Honestly, you always knew you ... that vessel in time, and you did.|would catch|will catch|are catching
de|Ehrlich, du wusstest immer, dass du das Schiff rechtzeitig ..., und so war's.|erwischen würdest|erwischen wirst|erwischst
ua|Чесно, ти завжди знав, що ... те судно вчасно, і встиг.|встигнеш на|встигнеш на|встигаєш на
es|Sinceramente, tú siempre supiste que ... ese barco a tiempo, y lo hiciste.|cogerías|cogerás|estás cogiendo
fr|Franchement, tu as toujours su que tu ... ce bateau à temps, et tu l'as eu.|attraperais|attraperas|attrapes
tr|Açıkçası sen o gemiye zamanında ... hep biliyordun ve yetiştin.|yetişeceğini|yetişeceğini|yetiştiğini
hu|Őszintén, te mindig tudtad, hogy időben ... arra a hajóra, és el is érted.|felérsz|fel fogsz érni|felérsz
MEDIA 5422 | meaning: making new products from used materials
E 42166 | B1 type 45 Reported speech | style gossip | options 3 | SEL
en|Listen, he told me he ... all his recycling the day before.|had sorted|has sorted|sorts
de|Hör zu, er hat mir gesagt, dass er am Tag davor seinen ganzen Recyclingmüll ...|sortiert hatte|sortiert hat|sortiert
ua|Слухай, він сказав мені, що напередодні ... усе своє сміття на переробку.|посортував|посортував|сортує
es|Escucha, él me dijo que ... todo su reciclaje el día anterior.|había separado|ha separado|separa
fr|Écoute, il m'a dit qu'il ... tout son recyclage la veille.|avait trié|a trié|trie
tr|Dinle, o bana bir gün önce bütün geri dönüşümünü ... söyledi.|ayırmış olduğunu|ayırdığını|ayırdığını
hu|Figyelj, ő azt mondta nekem, hogy előző nap ... az összes szelektív hulladékát.|szétválogatta|szétválogatta|válogatja
E 42169 | B2 type 65 All Present Tenses | style business | options 3 | SEL
en|So far this year, the park ... 70 percent of its recycling target.|has reached|reaches|is reaching
de|Bisher hat der Park in diesem Jahr 70 Prozent seines Recyclingziels ...|erreicht|erreicht|erreicht
ua|Цього року парк поки що ... 70 відсотків своєї мети з переробки.|досяг|досягає|досягає
es|En lo que va de año, el parque ... el 70 por ciento de su objetivo de reciclaje.|ha alcanzado|alcanza|está alcanzando
fr|Depuis le début de l'année, le parc ... 70 pour cent de son objectif de recyclage.|a atteint|atteint|est en train d'atteindre
tr|Bu yıl şimdiye kadar park, geri dönüşüm hedefinin yüzde 70'ine ...|ulaştı|ulaşıyor|ulaşıyor
hu|Idén eddig a park ... az újrahasznosítási célja 70 százalékát.|elérte|eléri|éri el
MEDIA 5423 | meaning: spread out across the entire world
E 44860 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If a trip is worldwide, a traveller usually ... clothes for heat and for snow.|needs|will need|needed
de|Wenn eine Reise weltweit ist, ... ein Reisender meist Kleidung für Hitze und für Schnee.|braucht|wird brauchen|brauchte
ua|Якщо подорож охоплює весь світ, мандрівникові зазвичай ... одяг і для спеки, і для снігу.|потрібен|знадобиться|був потрібен
es|Si un viaje es por todo el mundo, un viajero normalmente ... ropa para el calor y para la nieve.|necesita|necesitará|necesitaba
fr|Si un voyage fait le tour du monde, un voyageur ... de vêtements pour la chaleur et pour la neige, en général.|a besoin|aura besoin|avait besoin
tr|Bir yolculuk dünya çapındaysa, gezgin genelde hem sıcak hem kar için kıyafete ...|ihtiyaç duyar|ihtiyaç duyacak|ihtiyaç duydu
hu|Ha egy utazás világ körüli, az utazónak általában ... ruha a hőségre és a hóra is.|kell|kelleni fog|kellett
E 44864 | B2 type 53 3. Conditional | style slang | options 3 | SEL
en|Bro, if he'd stayed home, he ... those penguins on his worldwide trip, fr.|would have missed|will miss|missed
de|Bro, wenn er zu Hause geblieben wäre, hätte er diese Pinguine auf seiner Weltreise ..., echt.|verpasst|verpassen|verpasste
ua|Бро, якби він залишився вдома, він ... тих пінгвінів у своїй кругосвітній подорожі, реально.|пропустив би|пропустить|пропустив
es|Bro, si se hubiera quedado en casa, él ... esos pingüinos en su viaje por el mundo, en serio.|se habría perdido|se perderá|se perdió
fr|Frère, s'il était resté chez lui, il ... ces manchots pendant son tour du monde, sérieux.|aurait raté|ratera|a raté
tr|Kanka, evde kalsaydı o dünya turunda o penguenleri ..., cidden.|kaçırmış olurdu|kaçıracak|kaçırdı
hu|Tesó, ha otthon maradt volna, ő ... azokat a pingvineket a világ körüli útján, komolyan.|kihagyta volna|ki fogja hagyni|kihagyta
MEDIA 5424 | meaning: a written agreement between two countries
E 44292 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the treaty works, the two countries ... close partners for many years.|will stay|would stay|stayed
de|Wenn der Vertrag funktioniert, ... die beiden Länder viele Jahre lang enge Partner.|bleiben|blieben|blieben
ua|Якщо договір спрацює, ці дві країни ... близькими партнерами багато років.|залишаться|залишилися б|залишилися
es|Si el tratado funciona, los dos países ... socios cercanos durante muchos años.|seguirán siendo|seguirían siendo|siguieron siendo
fr|Si le traité fonctionne, les deux pays ... des partenaires proches pendant de nombreuses années.|resteront|resteraient|sont restés
tr|Antlaşma işe yararsa iki ülke uzun yıllar yakın ortak ...|kalacak|kalırdı|kaldı
hu|Ha a szerződés működik, a két ország sok évig közeli partner ...|marad|maradna|maradt
MEDIA 5426 | meaning: a group of representatives sent somewhere
E 38452 | B1 type 47 Gerund vs Infinitive | style slang | options 3 | SEL
en|Yo, both delegations finally agreed ... the deal, no cap.|to sign|signing|sign
de|Yo, beide Delegationen haben endlich zugestimmt, den Deal ..., kein Witz.|zu unterschreiben|Unterschreiben|unterschreiben
ua|Йо, обидві делегації нарешті погодилися ... угоду, без брехні.|підписати|підписання|підписати
es|Oye, ambas delegaciones por fin acordaron ... el trato, de verdad.|firmar|firmando|firmar
fr|Yo, les deux délégations ont enfin accepté ... l'accord, sans mentir.|de signer|signant|signer
tr|Yo, iki heyet de sonunda anlaşmayı ... kabul etti, yalan yok.|imzalamayı|imzalayarak|imzalamak
hu|Jó, mindkét delegáció végre beleegyezett, hogy ... a megállapodást, nem kamu.|aláírják|aláírva|aláír
E 38456 | B2 type 51 Future Perfect Simple | style dramatic | options 3 | SEL
en|By tonight, the delegations ... the deal, or everything is ruined!|will have signed|will sign|are signing
de|Die Delegationen werden den Deal bis heute Abend ..., sonst ist alles ruiniert!|unterschrieben haben|unterschreiben|unterschreiben
ua|До сьогоднішнього вечора делегації ... угоду, інакше все зруйновано!|підпишуть|підписуватимуть|підписують
es|¡Para esta noche, las delegaciones ... el acuerdo, o todo estará arruinado!|habrán firmado|firmarán|están firmando
fr|D'ici ce soir, les délégations ... l'accord, sinon tout est fichu !|auront signé|signeront|signent
tr|Bu akşama kadar heyetler anlaşmayı ..., yoksa her şey mahvolur!|imzalamış olacak|imzalayacak|imzalıyor
hu|Ma estére a delegációk ... a megállapodást, különben minden odavan!|aláírják|alá fogják írni|írják alá
MEDIA 5427 | meaning: a wax fastener that is soft when warm
E 42715 | B1 type 33 Past Simple or Continuos | style dramatic | options 3 | SEL
en|He was trembling in terror when she ... up the envelope with the red seal!|held|was holding|has held
de|Er zitterte vor Angst, als sie den Umschlag mit dem roten Siegel ...!|hochhielt|gerade hochhielt|hochgehalten hat
ua|Він тремтів від жаху, коли вона ... конверт із червоною печаткою!|підняла|піднімала|підняла
es|¡Él temblaba de terror cuando ella ... el sobre con el sello rojo!|levantó|estaba levantando|ha levantado
fr|Il tremblait de terreur quand elle ... l'enveloppe au sceau rouge !|a brandi|brandissait|a brandi
tr|O, kız kırmızı mühürlü zarfı ... dehşetle titriyordu!|kaldırdığında|kaldırırken|kaldırmışken
hu|Ő rémülten remegett, amikor a lány ... a borítékot a piros pecséttel!|felemelte|emelgette|felemelte
E 42721 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The seal on the envelope is made of ... pressed with a stamp.|red wax|a red wax|the red waxes
de|Das Siegel auf dem Umschlag ist aus ..., mit einem Stempel geprägt.|rotem Wachs|einem roten Wachs|den roten Wachsen
ua|Печатка на конверті зроблена з ..., відтиснутого штампом.|червоного воску|червоного воску|червоних восків
es|El sello del sobre está hecho de ... presionada con un tampón.|cera roja|una cera roja|las ceras rojas
fr|Le sceau de l'enveloppe est fait de ... pressée avec un tampon.|cire rouge|une cire rouge|les cires rouges
tr|Zarftaki mühür, damgayla bastırılmış ... yapılmış.|kırmızı mumdan|bir kırmızı mumdan|kırmızı mumlardan
hu|A borítékon lévő pecsét anyaga ..., bélyegzővel lenyomva.|piros viasz|egy piros viasz|a piros viaszok
MEDIA 5428 | meaning: goods carried by a big truck or ship
E 39611 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|While the truck ... its freight into the yard, the worker waved desperately!|was pulling|pulled|has pulled
de|Während der Truck seine Fracht in den Hof ..., winkte der Arbeiter verzweifelt!|zog|zog|gezogen hat
ua|Поки вантажівка ... свій вантаж у двір, робітник відчайдушно махав!|тягнула|затягнула|затягнула
es|¡Mientras el camión ... su carga al patio, el trabajador hacía señas desesperado!|arrastraba|arrastró|ha arrastrado
fr|Pendant que le camion ... son chargement dans la cour, l'ouvrier faisait des signes désespérés !|tirait|a tiré|a tiré
tr|Tır yükünü avluya ... işçi çaresizce el sallıyordu!|çekerken|çektiğinde|çekmişken
hu|Miközben a kamion ... a rakományát az udvarra, a munkás kétségbeesetten integetett!|húzta|behúzta|behúzta
E 39620 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The truck ... the freight container across the gravel right now.|is pulling|pulls|has pulled
de|Der Truck ... den Frachtcontainer gerade über den Kies.|zieht|zieht|hat gezogen
ua|Вантажівка просто зараз ... вантажний контейнер по гравію.|тягне|тягне|протягнула
es|El camión ... el contenedor de carga por la grava ahora mismo.|está arrastrando|arrastra|ha arrastrado
fr|Le camion ... le conteneur de fret sur le gravier en ce moment.|tire|tire|a tiré
tr|Tır şu anda yük konteynerini çakılların üzerinde ...|çekiyor|çeker|çekti
hu|A kamion épp most ... a teherkonténert a kavicson.|húzza|húzza|húzta
MEDIA 5432 | meaning: to deceive somebody for fun
E 44303 | B1 type 47 Gerund vs Infinitive | style gossip | options 3 | SEL
en|Ok so, apparently he enjoys ... every customer with the cone.|tricking|to trick|trick
de|Okay, also angeblich macht es ihm Spaß, jeden Kunden mit der Waffel ...|reinzulegen|reinzulegen|reinlegen
ua|Коротше, кажуть, він обожнює ... кожного клієнта з ріжком.|обманювати|обманювати|обманювати
es|Vale, pues al parecer él disfruta ... a cada cliente con el cucurucho.|engañando|engañar|engañar
fr|Bon, apparemment il adore ... chaque client avec le cornet.|piéger|piéger|piéger
tr|Tamam yani, anlaşılan o her müşteriyi külahla ... seviyor.|kandırmayı|kandırmayı|kandırmak
hu|Szóval, állítólag ő imádja ... minden vásárlót a tölcsérrel.|megtréfálni|megtréfálni|megtréfál
E 44304 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Smooth move: you ... that customer right now, and they are still laughing.|are tricking|trick|have tricked
de|Starker Move: Du ... den Kunden gerade, und er lacht immer noch.|veräppelst|veräppelst|hast veräppelt
ua|Ефектний хід: ти просто зараз ... того клієнта, а він досі сміється.|розводиш|розводиш|розвів
es|Buena jugada: tú ... a ese cliente ahora mismo, y sigue riéndose.|estás engañando|engañas|has engañado
fr|Joli coup : tu ... ce client en ce moment, et il rit encore.|pièges|pièges|as piégé
tr|Şık hamle: sen şu anda o müşteriyi ... ve o hâlâ gülüyor.|kandırıyorsun|kandırırsın|kandırdın
hu|Ügyes húzás: te épp most ... azt a vásárlót, és még mindig nevet.|ugratod|ugratod|megugrattad
MEDIA 5433 | meaning: to make something work by flipping a switch
E 44357 | B1 type 41 Passive | style dramatic | options 3 | SEL
en|Every light in the whole garden ... by one single switch! Unbelievable!|was turned on|has turned on|was turning on
de|Jedes Licht im ganzen Garten wurde von einem einzigen Schalter ...! Unglaublich!|eingeschaltet|eingeschaltet|eingeschaltet
ua|Кожне світло в усьому саду ... одним-єдиним вимикачем! Неймовірно!|було увімкнено|увімкнулося|вмикалося
es|¡Cada luz de todo el jardín ... con un solo interruptor! ¡Increíble!|fue encendida|se ha encendido|se estaba encendiendo
fr|Chaque lumière de tout le jardin ... par un seul interrupteur ! Incroyable !|a été allumée|s'est allumée|s'allumait
tr|Bütün bahçedeki her ışık tek bir düğmeyle ...! İnanılmaz!|açıldı|açıldı|açılıyordu
hu|Az egész kertben minden lámpát egyetlen kapcsolóval ...! Hihetetlen!|kapcsolták fel|kapcsolt fel|kapcsolgatták
MEDIA 5434 | meaning: the energy made by moving electrons
E 38879 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|She ... a cable into the power strip when the electricity reached the fairy lights.|was pushing|pushed|has pushed
de|Sie ... gerade ein Kabel in die Steckdosenleiste, als der Strom die Lichterkette erreichte.|steckte|steckte|hat gesteckt
ua|Вона ... кабель у подовжувач, коли електрика дійшла до гірлянди.|вставляла|вставила|вставила
es|Ella ... un cable en la regleta cuando la electricidad llegó a las lucecitas.|estaba metiendo|metió|ha metido
fr|Elle ... un câble dans la multiprise quand l'électricité a atteint la guirlande lumineuse.|branchait|a branché|a branché
tr|Elektrik ışık zincirine ulaştığında o bir kabloyu uzatma prizine ...|takıyordu|taktı|taktı
hu|Ő éppen ... egy kábelt az elosztóba, amikor az áram elérte a fényfüzért.|dugott|bedugott|bedugott
E 38888 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, the electricity ... off for like a week by the time she got it back, fr.|had been|was|has been
de|Bro, der Strom ... so eine Woche weg, bis sie ihn wiederhatte, echt.|war|war|ist
ua|Бро, електрики ... десь тиждень, поки вона її повернула, реально.|не було|не було|нема
es|Bro, la luz ... cortada como una semana cuando la recuperó, en serio.|había estado|estaba|ha estado
fr|Frère, l'électricité ... coupée genre une semaine quand elle l'a récupérée, sérieux.|avait été|était|a été
tr|Kanka, o elektriği geri alana kadar elektrik bir hafta falan kesik ..., cidden.|kalmıştı|kaldı|kaldı
hu|Tesó, az áram vagy egy hétig ..., mire visszakapta, komolyan.|ki volt kapcsolva|ki volt kapcsolva|ki van kapcsolva
MEDIA 5435 | meaning: having the same or similar features
E 36652 | B1 type 40 2. Conditional | style ironic | options 3 | SEL
en|If they dressed a bit more alike, nobody ... them apart, obviously.|could tell|can tell|could have told
de|Wenn sie sich noch ein bisschen ähnlicher anziehen würden, ... niemand sie auseinanderhalten, logisch.|könnte|kann|hätte
ua|Якби вони вдягалися ще трохи схожіше, ніхто ... їх розрізнити, очевидно.|не зміг би|не може|не зміг би
es|Si ellas se vistieran un poco más parecido, nadie ... distinguirlas, obviamente.|podría|puede|habría podido
fr|Si elles s'habillaient encore un peu plus pareil, personne ne ... les distinguer, évidemment.|pourrait|peut|aurait pu
tr|Onlar biraz daha benzer giyinseler, kimse onları ..., tabii ki.|ayırt edemezdi|ayırt edemez|ayırt edemezdi
hu|Ha ők még egy kicsit hasonlóbban öltözködnének, senki sem ... megkülönböztetni őket, nyilván.|tudná|tudja|tudta volna
MEDIA 5436 | meaning: to move in a twisting motion
E 44376 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|The woman said she ... the wet cloth until all the water ran out.|had twisted|has twisted|twists
de|Die Frau sagte, dass sie das nasse Tuch ..., bis das ganze Wasser herausgelaufen war.|ausgewrungen hatte|ausgewrungen hat|auswringt
ua|Жінка сказала, що вона ... мокру ганчірку, поки з неї не витекла вся вода.|викручувала|викручувала|викручує
es|La mujer dijo que ella ... el trapo mojado hasta que salió toda el agua.|había retorcido|ha retorcido|retuerce
fr|La femme a dit qu'elle ... le chiffon mouillé jusqu'à ce que toute l'eau soit sortie.|avait tordu|a tordu|tord
tr|Kadın, bütün su çıkana kadar ıslak bezi ... söyledi.|sıktığını|sıktığını|sıktığını
hu|A nő azt mondta, hogy ő addig ... a vizes rongyot, amíg az összes víz ki nem folyt belőle.|csavarta|csavarta|csavarja
E 44381 | B2 type 50 Past Perfect Continuous | style ironic | options 3 | SEL
en|They ... that dough for ten minutes before the flour exploded. Slightly messy.|had been twisting|have been twisting|were twisting
de|Sie ... den Teig zehn Minuten lang, bevor das Mehl explodierte. Leicht chaotisch.|drehten|drehen|drehten
ua|Вони ... те тісто десять хвилин, поки борошно не вибухнуло. Трохи безладно.|крутили|крутять|крутили
es|Ellos ... esa masa durante diez minutos antes de que la harina explotara. Un pelín desordenado.|habían estado retorciendo|han estado retorciendo|estaban retorciendo
fr|Ils ... cette pâte depuis dix minutes quand la farine a explosé. Légèrement salissant.|tordaient|tordent|tordaient
tr|Onlar un patlamadan önce o hamuru on dakika ...; biraz dağınık.|bükmüşlerdi|büküyorlar|büküyorlardı
hu|Ők tíz percig ... azt a tésztát, mielőtt a liszt felrobbant. Kicsit kaotikus.|csavarták|csavarják|csavarták
MEDIA 5437 | meaning: an open paved space with buildings all around
E 38192 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
en|The guests promise they ... the loaf in the courtyard all at once. Great plan, obviously.|will eat|will be eating|are eating
de|Die Gäste versprechen, dass sie den Laib im Innenhof auf einmal ...; toller Plan, logisch.|essen werden|essen werden|essen
ua|Гості обіцяють, що вони ... хлібину у дворику за один раз. Чудовий план, очевидно.|з'їдять|їстимуть|їдять
es|Los invitados prometen que ... la hogaza en el patio de una vez. Gran plan, obviamente.|se comerán|estarán comiendo|están comiendo
fr|Les invités promettent qu'ils ... la miche dans la cour d'un seul coup. Super plan, évidemment.|mangeront|seront en train de manger|mangent
tr|Misafirler somunu avluda tek seferde ... söz veriyor. Harika plan, tabii ki.|yiyeceklerine|yiyor olacaklarına|yediklerine
hu|A vendégek megígérik, hogy egyszerre ... a cipót az udvaron. Remek terv, nyilván.|megeszik|enni fogják|eszik
E 38199 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If it had rained, the guests ... dinner in the courtyard.|wouldn't have had|won't have|didn't have
