MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
de|Sie ... den Regen, aber jetzt lächelt sie unter dem Wartehäuschen.|hasste früher|hasste|war es gewohnt zu hassen
ua|Вона ... дощ, а тепер усміхається під навісом зупинки.|раніше ненавиділа|ненавиділа|звикла ненавидіти
es|Ella ... la lluvia, pero ahora sonríe bajo la marquesina del autobús.|solía odiar|odiaba|estaba acostumbrada a odiar
fr|Elle ... la pluie, mais maintenant elle sourit sous l'abribus.|détestait|détestait|avait l'habitude de détester
tr|O eskiden yağmurdan ..., ama şimdi otobüs durağının altında gülümsüyor.|nefret ederdi|nefret ederdi|nefret etmeye alışkındı
hu|Ő régen ... az esőt, de most mosolyog a buszmegálló alatt.|utálta|utálta|hozzá volt szokva, hogy utálja
MEDIA 4878 | meaning: a platform built from the shore into the water
E 41556 | B1 type 35 Past Perfect Simple | style slang | options 3 | SEL
en|Bro, by the time he came up, his friends ... off the pier too, no cap.|had jumped|have jumped|jump
de|Bro, als er auftauchte, ... seine Freunde auch schon vom Steg gesprungen, kein Witz.|waren|sind|springen
ua|Бро, поки він виринув, його друзі теж уже ... з пірсу, без брехні.|стрибнули|стрибнули|стрибають
es|Bro, para cuando él salió a la superficie, sus amigos también ... del muelle, en serio.|habían saltado|han saltado|saltan
fr|Frérot, quand il est remonté, ses potes ... aussi du ponton, sans mentir.|avaient sauté|ont sauté|sautent
tr|Kanka, o suyun yüzüne çıktığında arkadaşları da iskeleden ..., yemin ederim.|atlamıştı|atladı|atlıyor
hu|Tesó, mire ő feljött, a haverjai is ... a mólóról, nem kamu.|leugrottak|leugrottak|ugranak
MEDIA 4879 | meaning: an event where a winner is chosen
E 37955 | B1 type 35 Past Perfect Simple | style dramatic | options 3 | SEL
en|By the end of the competition, she ... a car over her head. Unbelievable!|had lifted|has lifted|lifts
de|Am Ende des Wettkampfs ... sie ein Auto über den Kopf gestemmt. Unglaublich!|hatte|hat|stemmt
ua|До кінця змагань вона ... авто над головою. Неймовірно!|підняла|підняла|піднімає
es|Al final de la competición, ella ... un coche por encima de la cabeza. ¡Increíble!|había levantado|ha levantado|levanta
fr|À la fin de la compétition, elle ... une voiture au-dessus de sa tête. Incroyable !|avait soulevé|a soulevé|soulève
tr|Yarışmanın sonunda o, bir arabayı başının üstüne ...! İnanılmaz!|kaldırmıştı|kaldırdı|kaldırıyor
hu|A verseny végére ő ... egy autót a feje fölé. Hihetetlen!|emelt|emelt|emel
E 37965 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|She ... in this competition since dawn, and the car is absolutely the final blow!|has been lifting|is lifting|lifts
de|Sie ... in diesem Wettkampf seit dem Morgengrauen Gewichte, und das Auto ist der absolute Todesstoß!|stemmt|stemmt|stemmt
ua|Вона ... на цих змаганнях від світанку, і авто — це абсолютний фінальний удар!|піднімає ваги|піднімає ваги|піднімає ваги
es|¡Ella ... en esta competición desde el amanecer, y el coche es sin duda el golpe final!|lleva levantando pesos|está levantando pesos|levanta pesos
fr|Elle ... dans cette compétition depuis l'aube, et la voiture, c'est carrément le coup de grâce !|soulève|est en train de soulever|soulève
tr|O bu yarışmada şafaktan beri ..., araba da resmen son darbe!|ağırlık kaldırıyor|ağırlık kaldırıyor|ağırlık kaldırır
hu|Ő hajnal óta ... ezen a versenyen, és az autó a végső csapás!|emel|emel|emel
MEDIA 4882 | meaning: a vehicle that can fly
E 36628 | B1 type 38 0 Conditional | style ironic | options 3 | SEL
en|If people ... hard enough, even an aircraft moves. Obviously easy.|pull|pulled|will pull
de|Wenn Leute fest genug ..., bewegt sich sogar ein Flugzeug. Offensichtlich easy.|ziehen|zogen|werden ziehen
ua|Якщо люди ... досить сильно, рухається навіть літак. Очевидно, легко.|тягнуть|тягнули|тягнутимуть
es|Si la gente ... con suficiente fuerza, hasta un avión se mueve. Facilísimo, obviamente.|tira|tiró|tirará
fr|Si les gens ... assez fort, même un avion bouge. Évidemment facile.|tirent|tiraient|tireront
tr|İnsanlar yeterince güçlü ..., bir uçak bile hareket eder. Belli ki çok kolay.|çekerse|çektiyse|çekecekse
hu|Ha az emberek elég erősen ..., még egy repülő is megmozdul. Nyilván könnyű.|húzzák|húzták|húzni fogják
E 36631 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|Per the roadmap, the team ... for 6 months before the aircraft moved.|had been training|has been training|was training
de|Laut Roadmap ... das Team 6 Monate lang trainiert, bevor sich das Flugzeug bewegte.|hatte|hat|war
ua|Згідно з роадмапом, команда ... 6 місяців, перш ніж літак зрушив.|тренувалася|тренується|тренувалася
es|Según la hoja de ruta, el equipo ... durante 6 meses antes de que el avión se moviera.|había estado entrenando|ha estado entrenando|estaba entrenando
fr|D'après la roadmap, l'équipe ... pendant 6 mois avant que l'avion bouge.|s'était entraînée|s'est entraînée|s'entraînait
tr|Yol haritasına göre ekip, uçak hareket etmeden önce 6 ay boyunca ...|antrenman yapmıştı|antrenman yapıyor|antrenman yapıyordu
hu|A roadmap szerint a csapat 6 hónapig ..., mielőtt a repülő megmozdult.|edzett|edz|edzett
MEDIA 4886 | meaning: going up or down at a sharp angle
E 43536 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|He is leaning forward, so the path ... be very steep.|must|can't|shouldn't
de|Er lehnt sich nach vorne, also ... der Weg sehr steil sein.|muss|kann nicht|sollte nicht
ua|Він нахиляється вперед, тож стежка ... бути дуже крутою.|має|не може|не повинна
es|Él se inclina hacia delante, así que el camino ... ser muy empinado.|debe de|no puede|no debería
fr|Il se penche en avant, donc le sentier ... être très raide.|doit|ne peut pas|ne devrait pas
tr|O öne eğiliyor, yani patika çok dik ...|olmalı|olamaz|olmamalı
hu|Ő előrehajol, szóval az ösvény ... nagyon meredek.|biztos|nem lehet|nem kéne, hogy
E 43544 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By noon he ... the whole steep path. A gentle stroll, obviously.|will have climbed|will climb|will be climbing
de|Bis Mittag ... er den ganzen steilen Weg hinaufgestiegen sein. Ein gemütlicher Spaziergang, klar.|wird|wird|wird
ua|До полудня він ... всю круту стежку. Легенька прогулянка, звісно.|здолає|здолає|долатиме
es|Para el mediodía, él ... todo el camino empinado. Un paseíto tranquilo, obviamente.|habrá subido|subirá|estará subiendo
fr|D'ici midi, il ... tout le sentier raide. Une petite balade tranquille, évidemment.|aura grimpé|grimpera|sera en train de grimper
tr|Öğlene kadar o bütün dik patikayı ...; tabii ki hafif bir yürüyüş.|tırmanmış olacak|tırmanacak|tırmanıyor olacak
hu|Délre ő ... az egész meredek ösvényt. Kellemes séta, nyilván.|megmássza|meg fogja mászni|mászni fogja
MEDIA 4887 | meaning: not wide, small from side to side
E 41170 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|He avoids ... on the narrowest part of the path.|stopping|to stop|stop
de|Er vermeidet es, auf dem schmalsten Stück des Weges ...|stehen zu bleiben|stehen zu bleiben|stehen bleiben
ua|Він уникає ... на найвужчій частині стежки.|зупинок|зупинятися|зупинятися
es|Él evita ... en la parte más estrecha del camino.|pararse|pararse|pararse
fr|Il évite ... sur la partie la plus étroite du sentier.|de s'arrêter|de s'arrêter|s'arrêter
tr|O, patikanın en dar kısmında ... kaçınıyor.|durmaktan|durmak|dur
hu|Ő kerüli, hogy ... az ösvény legkeskenyebb részén.|megálljon|megálljon|megáll
E 41172 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|Before he reached the narrow path, he ... down the rock ledges for an hour.|had been climbing|climbed|was climbing
de|Bevor er den schmalen Weg erreichte, ... er eine Stunde lang die Felsvorsprünge hinab.|kletterte|kletterte|kletterte
ua|Перш ніж дійти до вузької стежки, він ... годину вниз скельними виступами.|спускався|спустився|спускався
es|Antes de llegar al camino estrecho, él ... durante una hora por las repisas de roca.|había estado bajando|bajó|estaba bajando
fr|Avant d'atteindre le sentier étroit, il ... pendant une heure le long des corniches rocheuses.|était descendu|descendit|descendait
tr|Dar patikaya varmadan önce o bir saat boyunca kaya çıkıntılarından aşağı ...|inmişti|indi|iniyordu
hu|Mielőtt elérte a keskeny ösvényt, ő egy órán át ... lefelé a sziklapárkányokon.|mászott|mászott|mászott
MEDIA 4888 | meaning: wearing nothing on your feet
E 37099 | B1 type 42 Passive or Active | style dramatic | options 3 | SEL
en|The waves ... her barefoot steps completely, gone forever!|wash away|are washed away|washing away
de|Die Wellen ... ihre barfüßigen Spuren komplett weg, für immer verschwunden!|spülen|werden gespült|spülend
ua|Хвилі ... її босі сліди повністю, назавжди!|змивають|змиваються|змиваючи
es|¡Las olas ... sus pasos descalzos por completo, desaparecidos para siempre!|borran|son borradas|borrando
fr|Les vagues ... complètement ses pas nu-pieds, disparus à jamais !|effacent|sont effacées|effaçant
tr|Dalgalar onun çıplak ayak izlerini tamamen ..., sonsuza dek yok oldu!|siliyor|siliniyor|silerek
hu|A hullámok teljesen ... a mezítlábas lépteit, örökre eltűntek!|elmossák|elmosódnak|elmosva
E 37108 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By sunset, the waves ... all her barefoot footprints.|will have washed away|will wash away|will be washing away
de|Bis zum Sonnenuntergang ... die Wellen all ihre barfüßigen Fußspuren weggespült haben.|werden|werden|werden
ua|До заходу сонця хвилі ... всі її босі сліди.|змиють|змиють|змиватимуть
es|Para la puesta de sol, las olas ... todas sus huellas descalzas.|habrán borrado|borrarán|estarán borrando
fr|D'ici le coucher du soleil, les vagues ... toutes ses empreintes de pieds nus.|auront effacé|effaceront|seront en train d'effacer
tr|Gün batımına kadar dalgalar onun bütün çıplak ayak izlerini ...|silmiş olacak|silecek|siliyor olacak
hu|Napnyugtára a hullámok ... az összes mezítlábas lábnyomát.|elmossák|el fogják mosni|mosni fogják
MEDIA 4889 | meaning: having the shape of a circle
E 37819 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Only from above ... the circular shape of the stage.|does the camera show|the camera shows|shows the camera
de|Erst von oben ... die kreisrunde Form der Bühne.|zeigt die Kamera|die Kamera zeigt|zeigt die Kamera
ua|Лише згори ... круглу форму сцени.|камера показує|камера показує|показує камера
es|Solo desde arriba ... la forma circular del escenario.|muestra la cámara|la cámara muestra|muestra la cámara
fr|Ce n'est que d'en haut que ... la forme circulaire de la scène.|la caméra montre|la caméra montre|montre la caméra
tr|Sahnenin yuvarlak şeklini kamera ancak yukarıdan ...|gösteriyor|gösteriyor|gösteriyor
hu|Csak felülről ... a színpad kör alakját.|mutatja meg a kamera|a kamera megmutatja|mutatja a kamera
MEDIA 4890 | meaning: to travel around something in a ring
E 37804 | B1 type 35 Past Perfect Simple | style slang | options 3 | SEL
en|Yo, by the time the crowd showed up, the boy ... the top alone, fr.|had circled|has circled|circles
de|Yo, als die Crowd auftauchte, ... der Junge den Kreisel schon allein umkreist, echt jetzt.|hatte|hat|umkreist
ua|Йо, поки з'явився натовп, хлопець уже сам ... дзиґу, реально.|оббіг|оббіг|оббігає
es|Oye, para cuando llegó la gente, el chico ya ... la peonza solo, en serio.|había rodeado|ha rodeado|rodea
fr|Yo, quand la foule est arrivée, le garçon ... déjà seul autour de la toupie, sérieux.|avait tourné|a tourné|tourne
tr|Yo, kalabalık geldiğinde çocuk topacın etrafında tek başına ..., cidden.|dönmüştü|döndü|dönüyor
hu|Figyu, mire megjött a tömeg, a srác már egyedül ... a pörgettyűt, komolyan.|körbefutotta|körbefutotta|körbefutja
E 37809 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Bestie, apparently they ... the top for an hour before the sun went down.|had been circling|have been circling|circle
de|Bestie, angeblich ... sie eine Stunde lang um den Kreisel, bevor die Sonne unterging.|kreisten|kreisen|kreisen
ua|Подруго, кажуть, вони ... навколо дзиґи годину, поки не сіло сонце.|кружляли|кружляють|кружляють
es|Amiga, al parecer ellos ... alrededor de la peonza durante una hora antes de que se pusiera el sol.|habían estado dando vueltas|han estado dando vueltas|dan vueltas
fr|Bestie, apparemment ils ... autour de la toupie pendant une heure avant le coucher du soleil.|tournaient|tournent|tournent
tr|Kanka, güya onlar güneş batmadan önce bir saat boyunca topacın etrafında ...|dönüp durmuşlar|dönüp duruyorlar|dönüyorlar
hu|Csajszi, állítólag ők egy órán át ... a pörgettyű körül, mielőtt lement a nap.|köröztek|köröznek|köröznek
MEDIA 4893 | meaning: uncomfortably full of people
E 38338 | B1 type 47 Gerund vs Infinitive | style flirt | options 3 | SEL
en|Honestly, you don't mind ... in a crowded stadium, respect.|sitting|to sit|sit
de|Ehrlich, dir macht es nichts aus, in einem vollen Stadion zu ..., Respekt.|sitzen|sitzen|sitzen
ua|Чесно, ти не проти ... на переповненому стадіоні, респект.|сидіти|сидіти|сидіти
es|La verdad, tú no tienes problema en ... en un estadio abarrotado, respeto.|sentarte|sentarte|sentarte
fr|Honnêtement, ça ne te dérange pas ... dans un stade bondé, respect.|d'être assis|d'être assis|être assis
tr|Açıkçası sen kalabalık bir stadyumda ... dert etmiyorsun, helal.|oturmayı|oturmayı|otur
hu|Őszintén, te nem bánod, hogy ... egy zsúfolt stadionban, respekt.|ülsz|ülsz|ülsz
E 38340 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|By the time the game started, the stadium ... crowded for an hour. Slightly popular.|had been|has been|was
de|Als das Spiel anfing, ... das Stadion schon seit einer Stunde voll. Leicht beliebt.|war|ist|war
ua|Коли гра почалася, стадіон ... переповнений уже годину. Трохи популярний.|був|є|був
es|Cuando empezó el partido, el estadio ... lleno desde hacía una hora. Ligeramente popular.|había estado|ha estado|estaba
fr|Quand le match a commencé, le stade ... bondé depuis une heure. Légèrement populaire.|était|est|était
tr|Maç başladığında stadyum bir saattir tıklım tıklım ...; hafiften popüler.|doluydu|dolu|doluydu
hu|A meccs kezdetére a stadion már egy órája ... zsúfolt. Kicsit népszerű.|volt|van|volt
MEDIA 4898 | meaning: a flat sheet that forms part of something
E 41388 | B1 type 41 Passive | style chill | options 3 | SEL
en|Each glass panel ... into the metal frame by two gardeners.|was lifted|lifted|is lifting
de|Jede Glasscheibe ... von zwei Gärtnern in den Metallrahmen gehoben.|wurde|hob|hebt
ua|Кожна скляна панель ... в металеву раму двома садівниками.|була піднята|підняла|піднімає
es|Cada panel de vidrio ... al marco metálico por dos jardineros.|fue levantado|levantó|está levantando
fr|Chaque panneau de verre ... dans le cadre métallique par deux jardiniers.|a été soulevé|a soulevé|soulève
tr|Her cam panel iki bahçıvan tarafından metal çerçeveye ...|kaldırıldı|kaldırdı|kaldırıyor
hu|Minden üvegpanelt két kertész ... a fémkeretbe.|emelt be|emelte be|emeli be
MEDIA 4900 | meaning: a neat pile of things placed on top of each other
E 43465 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The stack, ... top pallet fell first, crashed onto the lawn.|whose|which|that
de|Der Stapel, ... oberste Palette zuerst fiel, krachte auf den Rasen.|dessen|der|der
ua|Штабель, ... верхній піддон упав першим, гепнувся на газон.|чий|який|що
es|La pila, ... palé de arriba cayó primero, se estrelló contra el césped.|cuyo|que|la cual
fr|La pile, ... la palette du dessus est tombée en premier, s'est écrasée sur la pelouse.|dont|qui|que
tr|En üstteki paleti ... ilk düşen yığın, çimenlere çöktü.|||
hu|A halom, ... legfelső raklapja esett le először, rázuhant a gyepre.|amelynek a|amely|amelyik
MEDIA 4902 | meaning: a warship that travels under water
E 43757 | B1 type 32 Present Perfect Continuous | style dramatic | options 3 | SEL
en|That submarine ... under this lake for years, and nobody knew! Terrifying!|has been hiding|is hiding|hides
de|Dieses U-Boot ... sich seit Jahren unter diesem See, und keiner wusste es! Horror!|versteckt|versteckt|versteckt
ua|Цей підводний човен ... під цим озером роками, і ніхто не знав! Жах!|ховався|ховається|ховається
es|¡Ese submarino ... bajo este lago durante años y nadie lo sabía! ¡Qué miedo!|ha estado escondido|está escondido|se esconde
fr|Ce sous-marin ... sous ce lac depuis des années, et personne ne le savait ! Terrifiant !|se cache|est en train de se cacher|se cache
tr|O denizaltı yıllardır bu gölün altında ... ve kimse bilmiyordu! Korkunç!|saklanıyormuş|saklanıyor|saklanır
hu|Az a tengeralattjáró évek óta ... ez alatt a tó alatt, és senki sem tudta! Ijesztő!|rejtőzik|rejtőzik|rejtőzik
E 43765 | B2 type 66 All Past Tenses | style nerd | options 3 | SEL
en|The submarine ... below the surface for some time before the swimmers observed it.|had been travelling|was travelling|has been travelling
de|Das U-Boot ... sich bereits einige Zeit unter der Oberfläche, bevor die Schwimmer es bemerkten.|bewegte|bewegte|bewegt
ua|Підводний човен ... під поверхнею певний час, перш ніж плавці його помітили.|рухався|рухався|рухається
es|El submarino ... bajo la superficie durante un tiempo antes de que los nadadores lo observaran.|había estado navegando|estaba navegando|ha estado navegando
fr|Le sous-marin ... sous la surface depuis un certain temps avant que les nageurs ne l'observent.|naviguait|naviguait|navigue
tr|Denizaltı, yüzücüler onu fark etmeden önce bir süredir yüzeyin altında ...|ilerliyordu|ilerliyordu|ilerliyor
hu|A tengeralattjáró már egy ideje ... a felszín alatt, mielőtt az úszók észrevették.|haladt|haladt|halad
MEDIA 4903 | meaning: to drive or push people together
E 38318 | B1 type 49 So, Neither, Nor | style gossip | options 3 | SEL
en|Listen, I heard the tourists crowded into the plaza, and ... the office workers.|so did|so were|so do
de|Hör mal, ich hab gehört, die Touristen haben sich auf den Platz gedrängt, und ... die Büroleute.|auch|auch|auch
ua|Слухай, я чула, що туристи натовпом ринули на площу, і ... офісні працівники.|теж|теж|теж
es|Oye, yo he oído que los turistas se apiñaron en la plaza, y los oficinistas ...|también|también|también
fr|Écoute, j'ai entendu dire que les touristes se sont entassés sur la place, et les employés de bureau ...|aussi|aussi|aussi
tr|Dinle, ben duydum ki turistler meydana doluşmuş, ofis çalışanları ...|da|da|da
hu|Figyelj, én úgy hallottam, a turisták beözönlöttek a térre, és az irodisták ...|is|is|is
E 38324 | B2 type 60 Wish clauses | style nerd | options 3 | SEL
en|The individuals in the centre presumably wish the others ... less closely.|would crowd|crowd|will crowd
de|Die Individuen in der Mitte wünschen sich vermutlich, dass die anderen sich weniger eng ...|drängen würden|drängen|drängen werden
ua|Особи в центрі, імовірно, бажають, щоб інші ... менш щільно.|скупчувалися|скупчуються|скупчуватимуться
es|Los individuos del centro presumiblemente desean que los demás se ... menos.|apiñaran|apiñan|apiñarán
fr|Les individus au centre souhaitent vraisemblablement que les autres se ... moins.|serrent|serrent|serreront
tr|Merkezdeki bireyler muhtemelen diğerlerinin daha az ... istiyor.|sıkışmasını|sıkışmasını|sıkışacağını
hu|A középen lévő egyedek feltehetően azt szeretnék, ha a többiek kevésbé szorosan ...|tömörülnének|tömörülnek|tömörülni fognak
MEDIA 4904 | meaning: involving risk or danger
E 42384 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|The chair tower is swaying, so it ... be very risky to climb.|must|can't|shouldn't
de|Der Stuhlturm wackelt, also ... es sehr riskant sein, hochzuklettern.|muss|kann nicht|sollte nicht
ua|Вежа зі стільців хитається, тож лізти на неї ... бути дуже ризиковано.|має|не може|не повинно
es|La torre de sillas se tambalea, así que escalarla ... ser muy arriesgado.|debe de|no puede|no debería
fr|La tour de chaises oscille, donc l'escalader ... être très risqué.|doit|ne peut pas|ne devrait pas
tr|Sandalye kulesi sallanıyor, yani ona tırmanmak çok riskli ...|olmalı|olamaz|olmamalı
hu|A székekből álló torony inog, szóval felmászni rá ... nagyon kockázatos.|biztos|nem lehet|nem kéne, hogy
E 42389 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|The chair tower ... in the wind right now. A slightly risky place for a picnic.|is swaying|sways|has swayed
de|Der Stuhlturm ... gerade im Wind. Ein leicht riskanter Ort für ein Picknick.|schwankt|schwankt|hat geschwankt
ua|Вежа зі стільців зараз ... на вітрі. Трохи ризиковане місце для пікніка.|хитається|хитається|хитнулася
es|La torre de sillas ... con el viento ahora mismo. Un sitio ligeramente arriesgado para un pícnic.|se está balanceando|se balancea|se ha balanceado
fr|La tour de chaises ... dans le vent en ce moment. Un endroit légèrement risqué pour un pique-nique.|oscille|oscille|a oscillé
tr|Sandalye kulesi şu anda rüzgârda ...; piknik için hafif riskli bir yer.|sallanıyor|sallanır|sallandı
hu|A székekből álló torony épp most ... a szélben. Kicsit kockázatos hely egy piknikhez.|inog|inog|megingott
MEDIA 4905 | meaning: to cover or extend over an area
E 43316 | B1 type 48 Question tags | style dramatic | options 3 | SEL
en|That bridge spans the whole terrifying canyon, ...?|doesn't it?|isn't it?|didn't it?
de|Diese Brücke überspannt die ganze furchterregende Schlucht, ...?|oder?|oder?|oder?
ua|Цей міст перекриває весь моторошний каньйон, ...?|так?|так?|так?
es|Ese puente cruza todo el aterrador cañón, ¿...|verdad?|verdad?|verdad?
  ~soft: unbalanced ¿?
fr|Ce pont enjambe tout le canyon terrifiant, ...|non ?|non ?|non ?
tr|O köprü bütün korkunç kanyonu aşıyor, ...?|değil mi?|değil mi?|değil mi?
hu|Az a híd átíveli az egész ijesztő kanyont, ...?|ugye?|ugye?|ugye?
E 43326 | B2 type 67 All Future Tenses | style dramatic | options 3 | SEL
en|By sunset, the crane boom ... the entire site, casting a terrifying shadow!|will have spanned|will span|spans
de|Bis zum Sonnenuntergang ... der Kranausleger die ganze Baustelle überspannt haben und einen furchterregenden Schatten werfen!|wird|wird|überspannt
ua|До заходу сонця стріла крана ... весь будмайданчик і кине моторошну тінь!|перекриє|перекриє|перекриває
es|¡Para la puesta de sol, la pluma de la grúa ... toda la obra, proyectando una sombra aterradora!|habrá cubierto|cubrirá|cubre
fr|D'ici le coucher du soleil, la flèche de la grue ... tout le chantier, projetant une ombre terrifiante !|aura surplombé|surplombera|surplombe
tr|Gün batımına kadar vinç kolu bütün şantiyeyi ... ve korkunç bir gölge düşürecek!|kaplamış olacak|kaplayacak|kaplıyor
hu|Napnyugtára a daru gémje ... az egész építkezést, és ijesztő árnyékot vet!|átíveli|át fogja ívelni|átíveli
MEDIA 4906 | meaning: a shelter of cloth stretched over poles
E 44008 | B1 type 35 Past Perfect Simple | style clueless | options 3 | SEL
en|By the time the camera reached the tent, the arch ... flat, because it had no air.|had gone|has gone|goes
de|Als die Kamera beim Zelt ankam, ... der Bogen schon platt, weil er keine Luft hatte.|war|ist|wird
ua|Поки камера дісталася до намету, арка вже ..., бо в ній не було повітря.|здулася|здулася|здувається
es|Para cuando la cámara llegó a la carpa, el arco ya se ..., porque no tenía aire.|había desinflado|ha desinflado|desinfla
fr|Quand la caméra est arrivée à la tente, l'arche ... déjà à plat, parce qu'elle n'avait pas d'air.|était|est|devient
tr|Kamera çadıra vardığında kemer çoktan ..., çünkü havası yoktu.|sönmüştü|söndü|sönüyor
hu|Mire a kamera a sátorhoz ért, az ív már ..., mert nem volt benne levegő.|leeresztett|leeresztett|leereszt
E 44014 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|In the garden, ... next to the bouncy castle is the only thing still standing.|the tent|a tent|tent
de|Im Garten ist ... neben der Hüpfburg das Einzige, was noch steht.|das Zelt|ein Zelt|Zelt
ua|У саду ... біля надувного замку — єдине, що ще стоїть.|намет|намет|намет
es|En el jardín, ... junto al castillo hinchable es lo único que sigue en pie.|la carpa|una carpa|carpa
fr|Dans le jardin, ... à côté du château gonflable est la seule chose encore debout.|la tente|une tente|tente
tr|Bahçede şişme şatonun yanındaki ... hâlâ ayakta duran tek şey.|çadır|bir çadır|çadır
hu|A kertben ... a légvár mellett az egyetlen, ami még áll.|a sátor|egy sátor|sátor
MEDIA 4907 | meaning: a device that converts signals into sounds
E 43349 | B1 type 46 Used to, Would | style flirt | options 3 | SEL
en|You ... hate loud speakers, and now you dance right next to one? Iconic.|used to|would|were used to
de|Du ... früher laute Boxen, und jetzt tanzt du direkt daneben? Ikonisch.|hasstest|hasstest|warst gewohnt zu hassen
ua|Ти ... гучні колонки, а тепер танцюєш просто біля однієї? Легенда.|раніше ненавидів|ненавидів|звик ненавидіти
es|Tú ... los altavoces fuertes, ¿y ahora bailas justo al lado de uno? Icónico.|solías odiar|odiabas|estabas acostumbrado a odiar
fr|Tu ... les enceintes bruyantes, et maintenant tu danses juste à côté d'une ? Iconique.|détestais|détestais|avais l'habitude de détester
tr|Sen eskiden yüksek sesli hoparlörlerden ..., şimdi birinin dibinde mi dans ediyorsun? Efsane.|nefret ederdin|nefret ederdin|nefret etmeye alışkındın
hu|Te régen ... a hangos hangfalakat, most meg közvetlenül az egyik mellett táncolsz? Ikonikus.|utáltad|utáltad|hozzá voltál szokva, hogy utáld
E 43352 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The phone ... on the deck before the video showed the speaker.|had buzzed|has buzzed|buzzes
de|Das Handy ... auf der Holzterrasse, bevor das Video den Lautsprecher zeigte.|vibrierte|vibrierte|vibriert
ua|Телефон ... на дерев'яній терасі, перш ніж у відео показали колонку.|завібрував|завібрував|вібрує
es|El móvil ... en la terraza antes de que el vídeo mostrara el altavoz.|había vibrado|ha vibrado|vibra
fr|Le téléphone ... sur la terrasse avant que la vidéo montre l'enceinte.|avait vibré|a vibré|vibre
tr|Video hoparlörü göstermeden önce telefon ahşap zeminde ...|titreşmişti|titreşti|titreşiyor
hu|A telefon ... a fateraszon, mielőtt a videó megmutatta a hangszórót.|rezgett|rezgett|rezeg
MEDIA 4908 | meaning: a stem growing out from a plant's main stem
E 37359 | B1 type 33 Past Simple or Continuos | style ironic | options 3 | SEL
en|The branch ... gently in the breeze when two hands grabbed it. Exactly what it needed.|was swaying|swayed|has swayed
de|Der Ast ... sanft im Wind, als zwei Hände ihn packten. Genau das, was er brauchte.|wiegte sich|wiegte sich|hat sich gewiegt
ua|Гілка ... лагідно на вітерці, коли її схопили дві руки. Саме те, чого їй бракувало.|гойдалася|гойднулася|гойднулася
es|La rama se ... suavemente con la brisa cuando dos manos la agarraron. Justo lo que necesitaba.|mecía|meció|ha mecido
fr|La branche ... doucement dans la brise quand deux mains l'ont attrapée. Exactement ce qu'il lui fallait.|se balançait|se balança|s'est balancée
tr|İki el onu yakaladığında dal esintide hafifçe ...; tam da ihtiyacı olan şey.|sallanıyordu|sallandı|sallanmış
hu|Az ág épp lágyan ... a szellőben, amikor két kéz megragadta. Pont erre volt szüksége.|ringatózott|meglendült|meglendült
E 37367 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|In the garden, ... that the hands bend is still covered in leaves.|the branch|a branch|branch
de|Im Garten ist ..., den die Hände biegen, noch voller Blätter.|der Ast|ein Ast|Ast
ua|У саду ..., яку гнуть руки, досі вкрита листям.|гілка|гілка|гілка
es|En el jardín, ... que doblan las manos sigue cubierta de hojas.|la rama|una rama|rama
fr|Dans le jardin, ... que les mains plient est encore couverte de feuilles.|la branche|une branche|branche
tr|Bahçede, ellerin büktüğü ... hâlâ yapraklarla kaplı.|dal|bir dal|dal
hu|A kertben ..., amelyet a kezek hajlítanak, még mindig tele van levelekkel.|az ág|egy ág|ág
MEDIA 4912 | meaning: a person whose job is teaching
E 40279 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|Total chaos! The instructor never rests, and ...|neither do her students.|neither are her students.|so do her students.
de|Totales Chaos! Die Trainerin ruht sich nie aus, und ...|ihre Schüler auch nicht.|ihre Schüler auch nicht.|ihre Schüler auch.
ua|Повний хаос! Інструкторка ніколи не відпочиває, і ...|її учні також ні.|її учні також ні.|її учні теж.
es|¡Caos total! La instructora nunca descansa, y ...|sus alumnos tampoco.|sus alumnos tampoco.|sus alumnos también.
fr|Chaos total ! La prof ne se repose jamais, et ...|ses élèves non plus.|ses élèves non plus.|ses élèves aussi.
tr|Tam bir kaos! Eğitmen hiç dinlenmiyor, ...|öğrencileri de öyle.|öğrencileri de öyle.|öğrencileri de öyle.
