MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
fr|Si deux personnes ... au bras de fer, les deux coudes restent sur les coussins.|s'affrontent|s'affronteront|s'affrontaient
tr|İki kişi bilek güreşinde ..., iki dirsek de pedlerin üzerinde kalır.|yarışırsa|yarışacaksa|yarıştıysa
hu|Ha két ember szkanderben ..., mindkét könyök a párnákon marad.|versenyez|versenyezni fog|versenyzett
E 37948 | B2 type 56 Reported speech | style gossip | options 3 | SEL
en|Girl, apparently he admitted ... with her just to impress the crowd.|competing|to compete|competed
de|Mädel, anscheinend hat er zugegeben, nur gegen sie ..., um die Menge zu beeindrucken.|angetreten zu sein|anzutreten|angetreten
ua|Дівчино, кажуть, він зізнався, що ... з нею лише щоб вразити натовп.|змагався|змагатися|змагався
es|Tía, al parecer él admitió ... con ella solo para impresionar al público.|haber competido|competir|compitió
fr|Meuf, apparemment il a avoué ... avec elle juste pour impressionner la foule.|avoir concouru|concourir|a concouru
tr|Kızım, güya o sadece kalabalığı etkilemek için onunla ... itiraf etmiş.|yarıştığını|yarışmayı|yarıştı
hu|Csajszi, állítólag ő bevallotta, hogy csak azért ... vele, hogy lenyűgözze a tömeget.|versenyzett|versenyezni|versenyzett
MEDIA 4653 | meaning: soft wet earth, soil soaked with water
E 41146 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... his muddy boots on the doormat when he suddenly decided to walk inside.|was stamping|stamped|has stamped
de|Er ... gerade mit seinen schlammigen Stiefeln auf der Fußmatte, als er plötzlich beschloss, reinzugehen.|stampfte|stampfte|hat gestampft
ua|Він ... брудними чобітьми по килимку, коли раптом вирішив зайти всередину.|тупав|тупнув|тупнув
es|Él ... sus botas embarradas en el felpudo cuando de repente decidió entrar.|estaba sacudiendo|sacudió|ha sacudido
fr|Il ... ses bottes boueuses sur le paillasson quand il a soudain décidé d'entrer.|tapait|a tapé|a tapé
tr|O aniden içeri girmeye karar verdiğinde çamurlu botlarını paspasa ...|vuruyordu|vurdu|vurdu
hu|Ő épp ... sáros csizmájával a lábtörlőn, amikor hirtelen úgy döntött, bemegy.|dobogott|dobbantott|dobbantott
E 41152 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|He wishes he ... his boots off! The mud has completely ruined the floor!|had taken|took|would take
de|Er wünscht sich, dass er die Stiefel ...! Der Schlamm hat den Boden komplett ruiniert!|ausgezogen hätte|auszog|ausziehen würde
ua|Він шкодує, що не ... чоботи! Бруд повністю зіпсував підлогу!|зняв|зняв|зняв би
es|¡Él desearía ... las botas! ¡El barro ha arruinado el suelo por completo!|haberse quitado|quitarse|quitarse
fr|Il aimerait ... ses bottes ! La boue a complètement ruiné le sol !|avoir enlevé|enlever|enlever
tr|O, botlarını ... diliyor! Çamur zemini tamamen mahvetti!|çıkarmış olmayı|çıkarmayı|çıkaracağını
hu|Ő azt kívánja, bárcsak ... a csizmáját! A sár teljesen tönkretette a padlót!|levette volna|levette|levenné
MEDIA 4656 | meaning: to attach something to a support
E 41121 | B1 type 33 Past Simple or Continuos | style dramatic | options 3 | SEL
en|Disaster! While she ... the second shelf, her stack of books nearly collapsed!|was mounting|mounted|has mounted
de|Katastrophe! Während sie das zweite Regalbrett ..., wäre ihr Bücherstapel fast umgekippt!|montierte|montierte|montiert hat
ua|Катастрофа! Поки вона ... другу полицю, її стос книжок мало не завалився!|кріпила|прикріпила|прикріпила
es|¡Desastre! ¡Mientras ... la segunda balda, su pila de libros casi se derrumbó!|montaba|montó|ha montado
fr|Catastrophe ! Pendant qu'elle ... la deuxième étagère, sa pile de livres a failli s'effondrer !|fixait|a fixé|a fixé
tr|Felaket! İkinci rafı ..., kitap yığını neredeyse çöküyordu!|takarken|taktığında|takmışken
hu|Katasztrófa! Miközben ... a második polcot, a könyvkupaca majdnem összedőlt!|szerelte fel|felszerelte|felszerelte
MEDIA 4661 | meaning: the season when leaves fall from the trees
E 39121 | B1 type 40 2. Conditional | style slang | options 3 | SEL
en|Bro, if fall lasted all year, I ... in this park every day, fr.|would chill|will chill|chill
de|Bro, wenn der Herbst das ganze Jahr dauern würde, ... ich jeden Tag in diesem Park, echt.|chillte|chille|chille
ua|Бро, якби осінь тривала цілий рік, я ... в цьому парку щодня, чесно.|чилив би|чилитиму|чилю
es|Bro, si el otoño durara todo el año, yo ... en este parque todos los días, en serio.|estaría de chill|estaré de chill|estoy de chill
fr|Frère, si l'automne durait toute l'année, je ... dans ce parc tous les jours, sérieux.|chillerais|chillerai|chille
tr|Kanka, sonbahar bütün yıl sürseydi, ben her gün bu parkta ..., cidden.|takılırdım|takılacağım|takılırım
hu|Tesó, ha az ősz egész évben tartana, én minden nap ebben a parkban ..., komolyan.|chillelnék|chillelni fogok|chillelek
E 39125 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Not gonna lie, you catch leaves like ... of your life is happening now.|the best fall|a best fall|best fall
de|Mal ehrlich, du fängst Blätter, als ob gerade ... deines Lebens passiert.|der beste Herbst|ein bester Herbst|bester Herbst
ua|Не буду брехати, ти ловиш листя так, ніби зараз відбувається ... твого життя.|найкраща осінь|найкраща осінь|найкраща осінь
es|No voy a mentir, tú atrapas hojas como si ... de tu vida estuviera pasando ahora.|el mejor otoño|un mejor otoño|mejor otoño
fr|Je vais pas mentir, tu attrapes les feuilles comme si ... de ta vie se passait maintenant.|le plus bel automne|un plus bel automne|plus bel automne
tr|Yalan yok, sen yaprakları sanki hayatının ... şu an yaşanıyormuş gibi yakalıyorsun.|en güzel sonbaharı|en güzel sonbaharı|en güzel sonbaharı
hu|Nem hazudok, te úgy kapkodod a leveleket, mintha most zajlana életed ...|legjobb ősze|legjobb ősze|legjobb ősze
MEDIA 4662 | meaning: to give something useful or necessary
E 43790 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow, the plane ... the village with more crates.|will be supplying|supplied|supplies
de|Morgen um diese Zeit ... das Flugzeug das Dorf gerade mit weiteren Kisten.|versorgt|versorgte|versorgt
ua|Завтра в цей час літак ... село новими ящиками.|забезпечуватиме|забезпечив|забезпечує
es|Mañana a esta hora, el avión ... al pueblo con más cajas.|estará abasteciendo|abasteció|abastece
fr|Demain à la même heure, l'avion ... le village avec d'autres caisses.|sera en train d'approvisionner|a approvisionné|approvisionne
tr|Yarın bu saatte uçak köyü daha fazla sandıkla ...|ikmal ediyor olacak|ikmal etti|ikmal ediyor
hu|Holnap ilyenkor a repülő épp ... a falut újabb ládákkal.|látja el|ellátta|ellátja
MEDIA 4664 | meaning: a measured portion of medicine taken at one time
E 38747 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|She ... this dose of oil every morning for two weeks.|has been taking|is taking|takes
de|Sie ... seit zwei Wochen jeden Morgen diese Dosis Öl.|nimmt|nimmt|nimmt
ua|Вона вже два тижні щоранку ... цю дозу олії.|приймає|приймає|приймає
es|Ella ... esta dosis de aceite cada mañana desde hace dos semanas.|ha estado tomando|está tomando|toma
fr|Elle ... cette dose d'huile chaque matin depuis deux semaines.|prend|prend|prend
tr|O iki haftadır her sabah bu doz yağı ...|alıyor|alıyor|alır
hu|Ő két hete minden reggel ... ezt az adag olajat.|szedi|szedi|szedi
E 38756 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|She ... that dose for years before the oil finally stopped tasting like a nightmare!|had been taking|has been taking|is taking
de|Jahrelang ... sie diese Dosis genommen, bevor das Öl endlich nicht mehr wie ein Albtraum schmeckte!|hatte|hat|nimmt
ua|Вона ... цю дозу роками, поки олія нарешті не перестала смакувати як жахіття!|приймала|приймала|приймає
es|¡Ella ... esa dosis durante años antes de que el aceite por fin dejara de saber a pesadilla!|había estado tomando|ha estado tomando|está tomando
fr|Elle ... cette dose pendant des années avant que l'huile arrête enfin d'avoir un goût de cauchemar !|avait pris|prend|prend
tr|O, yağın tadı sonunda kâbus gibi olmaktan çıkana kadar yıllarca o dozu ...!|almıştı|alıyor|alıyor
hu|Ő évekig ... azt az adagot, mire az olaj végre már nem volt olyan ízű, mint egy rémálom!|szedte|szedi|szedi
MEDIA 4666 | meaning: to hit something hard
E 43159 | B1 type 47 Gerund vs Infinitive | style flirt | options 3 | SEL
en|Honestly, you clearly enjoy ... fruit from up here.|smashing|to smash|smash
de|Ehrlich, dir macht es offensichtlich Spaß, von hier oben Obst zu ...|zerschmettern|zerschmettern|zerschmettern
ua|Чесно, ти явно кайфуєш, коли ... фрукти звідси згори.|розбиваєш|розбиваєш|розбиваєш
es|Sinceramente, tú claramente disfrutas ... fruta desde aquí arriba.|reventando|reventar|reventar
fr|Franchement, tu aimes clairement ... des fruits depuis là-haut.|éclater|éclater|éclater
tr|Açıkçası, sen buradan meyve ... bayağı seviyorsun.|parçalamayı|parçalamayı|parçalamayı
hu|Őszintén, te láthatóan élvezed, hogy innen fentről ... a gyümölcsöt.|szétloccsantod|szétloccsantod|szétloccsantod
E 43165 | B2 type 54 Mixed Conditional | style chill | options 3 | SEL
en|If the pumpkin hadn't smashed on the concrete, it ... on a table now.|would be|would have been|will be
de|Wenn der Kürbis nicht auf dem Beton zerplatzt wäre, ... er jetzt auf einem Tisch.|läge|hätte gelegen|wird liegen
ua|Якби гарбуз не розбився об бетон, він зараз ... на столі.|лежав би|лежав би|лежатиме
es|Si la calabaza no se hubiera estrellado contra el hormigón, ella ... ahora en una mesa.|estaría|habría estado|estará
fr|Si la citrouille ne s'était pas écrasée sur le béton, elle ... sur une table maintenant.|serait|aurait été|sera
tr|Balkabağı betona çarpıp parçalanmasaydı, o şimdi bir masanın üstünde ...|olurdu|olmuş olurdu|olacak
hu|Ha a tök nem loccsant volna szét a betonon, ő most egy asztalon ...|lenne|lett volna|lesz
MEDIA 4668 | meaning: to inhale the odor of something
E 43170 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|She ... the white cloth when her neighbour called her. Perfect timing, obviously.|was smelling|smelled|has smelled
de|Sie ... gerade an dem weißen Tuch, als ihre Nachbarin sie rief. Perfektes Timing, offensichtlich.|roch|roch|hat gerochen
ua|Вона ... біле полотно, коли її покликала сусідка. Ідеальний таймінг, очевидно.|нюхала|понюхала|понюхала
es|Ella ... el paño blanco cuando la llamó su vecina. Un timing perfecto, obviamente.|estaba oliendo|olió|ha olido
fr|Elle ... le tissu blanc quand sa voisine l'a appelée. Timing parfait, évidemment.|sentait|a senti|a senti
tr|O beyaz bezi ..., tam da komşusu ona seslendiğinde. Mükemmel zamanlama, belli ki.|kokluyordu|kokladı|kokladı
hu|Ő épp ... a fehér kendőt, amikor a szomszédja szólt neki. Tökéletes időzítés, nyilván.|szagolgatta|megszagolta|megszagolta
E 43175 | B2 type 61 Relative clauses | style gossip | options 3 | SEL
en|Listen, apparently the woman, ... washing smells of the sea, never uses a dryer.|whose|who|which
de|Hör mal, anscheinend benutzt die Frau, ... Wäsche nach Meer riecht, nie einen Trockner.|deren|die|welche
ua|Слухай, кажуть, жінка, ... білизна пахне морем, ніколи не користується сушаркою.|чия|яка|що
es|Oye, al parecer la mujer, ... ropa huele a mar, nunca usa secadora.|cuya|que|la cual
fr|Écoute, apparemment la femme, ... le linge sent la mer, n'utilise jamais de sèche-linge.|dont|qui|que
tr|Dinle, güya ... çamaşırları deniz kokan kadın hiç kurutma makinesi kullanmıyormuş.|||
hu|Figyelj, állítólag az a nő, ... ruhái tengerillatúak, soha nem használ szárítógépet.|akinek a|aki|amely
MEDIA 4669 | meaning: garments that can be cleaned by washing
E 40483 | B1 type 34 Present Perfect Simple or Continuos | style gossip | options 3 | SEL
en|Ok so I heard she ... laundry since seven, and she's still not finished.|has been hanging|has hung|hung
de|Also, ich habe gehört, dass sie seit sieben Wäsche ..., und sie ist immer noch nicht fertig.|aufhängt|aufgehängt hat|aufhängte
ua|Отже, я чула, що вона ... білизну з сьомої, і досі не закінчила.|вішає|повісила|повісила
es|Vale, yo oí que ella ... ropa desde las siete, y todavía no ha terminado.|ha estado tendiendo|ha tendido|tendió
fr|Bon, j'ai entendu qu'elle ... du linge depuis sept heures, et elle n'a toujours pas fini.|étend|a étendu|a étendu
tr|Tamam, ben duydum ki o saat yediden beri çamaşır ..., ve hâlâ bitirmedi.|asıyormuş|asmış|astı
hu|Szóval én azt hallottam, hogy ő hét óta ... a ruhákat, és még mindig nem végzett.|teregeti|kiteregette|kiteregette
E 40490 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|When the laundry dried, she ... on the windy terrace for hours, obviously a terrible day.|had been standing|was standing|has stood
de|Als die Wäsche trocken war, ... sie schon stundenlang auf der windigen Terrasse, offensichtlich ein schrecklicher Tag.|stand|stand|hat gestanden
ua|Коли білизна висохла, вона вже годинами ... на вітряній терасі, очевидно, жахливий день.|стояла|стояла|стояла
es|Cuando la ropa se secó, ella ... horas de pie en la terraza ventosa, obviamente un día terrible.|había estado|estaba|ha estado
fr|Quand le linge a séché, elle ... sur la terrasse venteuse depuis des heures, évidemment une journée horrible.|était|était|est restée
tr|Çamaşırlar kuruduğunda o saatlerdir rüzgârlı terasta ..., belli ki berbat bir gün.|duruyordu|duruyordu|durdu
hu|Mire a ruha megszáradt, ő már órák óta ... a szeles teraszon, nyilván szörnyű nap.|állt|állt|állt
MEDIA 4672 | meaning: tall grasses with hollow slender stems
E 42173 | B2 type 54 Mixed Conditional | style chill | options 3 | SEL
en|If the pond had dried up last summer, these reeds ... here now.|wouldn't be growing|wouldn't have grown|won't grow
de|Wenn der Teich letzten Sommer ausgetrocknet wäre, ... dieses Schilf jetzt nicht hier.|wüchse|wäre gewachsen|wird wachsen
ua|Якби ставок висох минулого літа, цей очерет зараз не ... тут.|ріс би|виріс би|ростиме
es|Si el estanque se hubiera secado el verano pasado, estos juncos no ... aquí ahora.|estarían creciendo|habrían crecido|crecerán
fr|Si l'étang s'était asséché l'été dernier, ces roseaux ne ... pas ici maintenant.|pousseraient|auraient poussé|pousseront
tr|Gölet geçen yaz kurusaydı, bu sazlar şimdi burada ...|büyüyor olmazdı|büyümemiş olurdu|büyümeyecek
hu|Ha a tó tavaly nyáron kiszáradt volna, ez a nád most nem ... itt.|nőne|nőtt volna|fog nőni
MEDIA 4680 | meaning: a traveler who rides an animal like a horse
E 42322 | B2 type 55 Advanced Passive Voice | style chill | options 3 | SEL
en|The rider is said ... a camel before at the pyramids.|to have ridden|to ride|riding
de|Die Reiterin soll schon früher an den Pyramiden auf einem Kamel ...|geritten sein|reiten|reitend
ua|Кажуть, що вершниця вже раніше ... на верблюді біля пірамід.|їздила|їздити|їзда
es|Se dice que la jinete ya ... en camello en las pirámides.|había montado|monta|montando
fr|On dit que la cavalière ... à dos de chameau aux pyramides.|est déjà montée|monte|montant
tr|Binicinin daha önce piramitlerde deveye ... söyleniyor.|binmiş olduğu|bindiği|binmesi
hu|Állítólag a lovas korábban már ... tevén a piramisoknál.|lovagolt|lovagol|lovaglás
MEDIA 4682 | meaning: someone who buys goods to sell them
E 44198 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|The trader offered ... us a scoop of turmeric for free.|to give|giving|having given
de|Der Händler bot an, uns eine Schaufel Kurkuma gratis zu ...|geben|geben|gegeben haben
ua|Торговець запропонував ... нам совок куркуми безкоштовно.|дати|давання|дати
es|El comerciante se ofreció a ... una cucharada de cúrcuma gratis.|darnos|dándonos|habernos dado
fr|Le marchand a proposé de nous ... une pelle de curcuma gratuitement.|donner|donner|avoir donné
tr|Tüccar bize bedava bir kepçe zerdeçal ... teklif etti.|vermeyi|vermeyi|vermiş olmayı
hu|A kereskedő felajánlotta, hogy ... nekünk ingyen egy lapát kurkumát.|ad|ad|adott
MEDIA 4684 | meaning: the joint between the forearm and upper arm
E 38858 | B1 type 41 Passive | style gossip | options 3 | SEL
en|Wait, apparently every new colleague ... with an elbow bump here.|is greeted|greets|greeting
de|Warte, anscheinend wird hier jeder neue Kollege mit einem Ellbogen-Check ...|begrüßt|begrüßt|begrüßend
ua|Стривай, кажуть, кожного нового колегу тут ... ударом ліктів.|вітають|вітає|вітання
es|Espera, al parecer aquí a cada nuevo compañero ... con un choque de codos.|se le saluda|saluda|saludando
fr|Attends, apparemment chaque nouveau collègue ... avec un check du coude ici.|est accueilli|accueille|accueillant
tr|Bekle, güya burada her yeni iş arkadaşı dirsek tokuşturarak ...|karşılanıyor|karşılıyor|karşılama
hu|Várj, állítólag itt minden új kollégát könyökpacsival ...|üdvözölnek|üdvözöl|üdvözlés
MEDIA 4687 | meaning: a building where ambassadors live or work
E 38905 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The embassy, ... flag hangs above the entrance, still accepts documents at dusk.|whose|which|that
de|Die Botschaft, ... Flagge über dem Eingang hängt, nimmt auch in der Dämmerung noch Dokumente an.|deren|die|welche
ua|Посольство, ... прапор висить над входом, досі приймає документи в сутінках.|чий|яке|що
es|La embajada, ... bandera cuelga sobre la entrada, todavía acepta documentos al anochecer.|cuya|que|la cual
fr|L'ambassade, ... le drapeau flotte au-dessus de l'entrée, accepte encore des documents au crépuscule.|dont|qui|que
tr|... bayrağı girişin üstünde asılı olan büyükelçilik, alacakaranlıkta hâlâ belge kabul ediyor.|||
hu|A nagykövetség, ... zászlaja a bejárat fölött lóg, alkonyatkor is még átvesz dokumentumokat.|amelynek a|amely|ami
MEDIA 4688 | meaning: imposing in size or bulk
E 40894 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The massive whale ... a tall column of spray next to the boat.|blew|was blown|blowing
de|Der riesige Wal ... neben dem Boot eine hohe Fontäne.|blies|wurde geblasen|blasend
ua|Величезний кит ... високий стовп бризок біля човна.|випустив|був випущений|випускання
es|La enorme ballena ... una alta columna de agua junto al barco.|lanzó|fue lanzada|lanzando
fr|L'énorme baleine ... une haute colonne d'écume à côté du bateau.|a soufflé|a été soufflée|soufflant
tr|Devasa balina teknenin yanında yüksek bir su sütunu ...|püskürttü|püskürtüldü|püskürtme
hu|Az óriási bálna magas vízpermet-oszlopot ... a hajó mellett.|fújt|ki lett fújva|fújva
MEDIA 4690 | meaning: a place where work is done
E 44829 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|The coffee is still steaming, so he ... arrived at the workplace long ago.|can't have|mustn't have|shouldn't have
de|Der Kaffee dampft noch, also ... er nicht schon vor langer Zeit am Arbeitsplatz angekommen sein.|kann|darf|sollte
ua|Кава ще парує, тож він не ... прийти на робоче місце давно.|міг|смів|мав
es|El café todavía humea, así que él no ... llegado al trabajo hace mucho.|puede haber|debe haber|debería haber
fr|Le café fume encore, donc il ... arrivé au travail il y a longtemps.|ne peut pas être|ne doit pas être|n'aurait pas dû être
tr|Kahve hâlâ tütüyor, yani o iş yerine uzun zaman önce ...|gelmiş olamaz|gelmemiş olmalı|gelmemeliydi
hu|A kávé még gőzölög, szóval ő ... már régen a munkahelyre.|nem érkezhetett meg|nem szabadott megérkeznie|nem kellett volna megérkeznie
MEDIA 4691 | meaning: an associate you work with
E 37871 | B1 type 47 Gerund vs Infinitive | style clueless | options 3 | SEL
en|He wants ... hands with his colleague because a handshake needs two people.|to shake|shaking|shake
de|Er will seinem Kollegen die Hand ..., weil man für einen Handschlag zwei Leute braucht.|geben|geben|geben
ua|Він хоче ... руку своєму колезі, бо для рукостискання потрібні двоє.|потиснути|потискання|потиснути
es|Él quiere ... la mano a su compañero porque un apretón de manos necesita a dos personas.|estrechar|estrechando|estrechar
fr|Il veut ... la main à son collègue parce qu'une poignée de main demande deux personnes.|serrer|serrer|serrer
tr|O iş arkadaşıyla ... istiyor çünkü tokalaşmak için iki kişi gerekir.|tokalaşmak|tokalaşmak|tokalaşmak
hu|Ő kezet akar ... a kollégájával, mert a kézfogáshoz két ember kell.|fogni|fogni|fogni
E 37876 | B2 type 52 Future Perfect Continuous | style gossip | options 3 | SEL
en|Wait, apparently by Friday his colleague ... next to him for exactly a year.|will have been sitting|will be sitting|will sit
de|Warte, anscheinend ... sein Kollege bis Freitag genau ein Jahr neben ihm.|sitzt|sitzt|sitzt
ua|Стривай, кажуть, до п'ятниці його колега ... поруч із ним рівно рік.|сидітиме|сидітиме|сидітиме
es|Espera, al parecer para el viernes su compañero ... sentado a su lado exactamente un año.|habrá estado|estará|se sentará
fr|Attends, apparemment d'ici vendredi son collègue ... assis à côté de lui depuis exactement un an.|sera|sera|sera
tr|Bekle, güya cuma gününe kadar iş arkadaşı tam bir yıldır onun yanında ...|oturuyor olacak|oturuyor olacak|oturacak
hu|Várj, állítólag péntekre a kollégája pontosan egy éve ... mellette.|fog ülni|fog ülni|fog ülni
MEDIA 4693 | meaning: to engage someone for work
E 40044 | B2 type 50 Past Perfect Continuous | style chill | options 3 | SEL
en|The company ... for a new manager for months before they finally hired this young man.|had been looking|have been looking|were looking
de|Die Firma ... monatelang einen neuen Manager gesucht, bevor sie endlich diesen jungen Mann eingestellt hat.|hatte|hat|suchte
ua|Компанія ... нового менеджера місяцями, поки нарешті не найняла цього молодого чоловіка.|шукала|шукає|шукала
es|La empresa ... un nuevo gerente durante meses antes de contratar por fin a este joven.|había estado buscando|ha estado buscando|estaba buscando
fr|L'entreprise ... un nouveau manager depuis des mois quand elle a enfin embauché ce jeune homme.|cherchait|cherche|cherchait
tr|Şirket sonunda bu genç adamı işe almadan önce aylarca yeni bir müdür ...|arıyordu|arıyor|arıyordu
hu|A cég hónapokig ... új menedzsert, mire végre felvette ezt a fiatalembert.|keresett|keres|keresett
MEDIA 4694 | meaning: a binding agreement enforceable by law
E 38026 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Girl, apparently while he ... the contract, his pen almost ran out.|was signing|signed|has signed
de|Mädel, anscheinend ist ihm, während er den Vertrag ..., fast der Stift ausgegangen.|unterschrieb|unterschrieb|unterschrieben hat
ua|Дівчино, кажуть, поки він ... контракт, у нього мало не скінчилася ручка.|підписував|підписав|підписав
es|Tía, al parecer, mientras ... el contrato, casi se le acabó el boli.|firmaba|firmó|ha firmado
fr|Meuf, apparemment pendant qu'il ... le contrat, son stylo a failli le lâcher.|signait|a signé|a signé
tr|Kızım, güya o sözleşmeyi ..., kalemi neredeyse bitiyordu.|imzalarken|imzaladığında|imzaladı
hu|Csajszi, állítólag miközben ... a szerződést, majdnem kifogyott a tolla.|írta alá|aláírta|aláírta
E 38031 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|He puts his name on the last page of ... for his new job, and the office claps.|the contract|a contract|contract
de|Er setzt seinen Namen auf die letzte Seite ... für seinen neuen Job, und das Büro klatscht.|des Vertrags|eines Vertrags|Vertrags
ua|Він ставить своє ім'я на останній сторінці ... на нову роботу, і офіс аплодує.|контракту|контракту|контракту
es|Él pone su nombre en la última página ... de su nuevo trabajo, y la oficina aplaude.|del contrato|de un contrato|de contrato
fr|Il met son nom sur la dernière page ... pour son nouveau job, et le bureau applaudit.|du contrat|d'un contrat|de contrat
tr|O yeni işi için ... son sayfasına adını yazıyor ve ofis alkışlıyor.|sözleşmenin|bir sözleşmenin|sözleşmenin
hu|Ő a nevét ... utolsó oldalára írja az új munkájához, és az iroda tapsol.|a szerződés|egy szerződés|szerződés
MEDIA 4695 | meaning: a state of extreme confusion and disorder
E 37692 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time he looked up, the chaos ... the whole living room floor.|had covered|has covered|covered
de|Als er aufsah, ... das Chaos schon den ganzen Wohnzimmerboden bedeckt.|hatte|hat|bedeckte
ua|Коли він підвів очі, хаос уже ... всю підлогу вітальні.|вкрив|вкрив|вкрив
es|Para cuando él levantó la vista, el caos ya ... todo el suelo del salón.|había cubierto|ha cubierto|cubrió
fr|Quand il a levé les yeux, le chaos ... tout le sol du salon.|avait recouvert|a recouvert|a recouvert
tr|O başını kaldırdığında kaos bütün oturma odası zeminini ...|kaplamıştı|kapladı|kapladı
hu|Mire ő felnézett, a káosz már ... az egész nappali padlóját.|beterítette|beterítette|beterítette
MEDIA 4696 | meaning: to inspire someone with confidence
E 38924 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The young climbers keep ... her with loud cheers.|encouraging|to encourage|encourage
de|Die jungen Kletterer ... sie mit lautem Jubel weiter an.|feuern|feuern|feuern
ua|Молоді скелелази й далі ... її гучними вигуками.|підбадьорюють|підбадьорювати|підбадьорюють
es|Los jóvenes escaladores siguen ... con fuertes gritos.|animándola|animarla|animarla
fr|Les jeunes grimpeurs continuent de l'... avec de grands cris.|encourager|encourager|encourager
tr|Genç tırmanıcılar yüksek sesli tezahüratlarla onu ... devam ediyor.|cesaretlendirmeye|cesaretlendirmeye|cesaretlendirmeye
hu|A fiatal mászók hangos ujjongással tovább ... őt.|biztatják|biztatják|biztatják
E 38928 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the group hadn't encouraged her, she ... so high up the wall.|wouldn't have climbed|won't climb|didn't climb
de|Wenn die Gruppe sie nicht angefeuert hätte, ... sie nicht so hoch die Wand hinaufgeklettert.|wäre|wird|ist
ua|Якби група її не підбадьорила, вона не ... так високо по стіні.|вилізла б|вилізе|вилізла
es|Si el grupo no la hubiera animado, ella no ... tan alto por la pared.|habría subido|subirá|subió
fr|Si le groupe ne l'avait pas encouragée, elle ... aussi haut sur le mur.|ne serait pas montée|ne montera pas|n'est pas montée
tr|Grup onu cesaretlendirmeseydi, o duvarda bu kadar yükseğe ...|tırmanmazdı|tırmanmayacak|tırmanmadı
hu|Ha a csapat nem biztatta volna, ő nem ... ilyen magasra a falon.|mászott volna fel|fog felmászni|mászott fel
MEDIA 4698 | meaning: a machine that turns energy into motion
E 41102 | B2 type 59 Causative HAVE/GET | style gossip | options 3 | SEL
en|Girl, he told me he's getting that V8 motor ... to a scooter by a friend.|fitted|fit|to fit
de|Mädel, er hat mir erzählt, dass er sich diesen V8-Motor von einem Kumpel in einen Motorroller ... lässt.|einbauen|einbauen|einbauen
ua|Дівчино, він сказав мені, що друг ... йому той мотор V8 на скутер.|поставить|поставить|поставить
es|Tía, él me dijo que un amigo le va a ... ese motor V8 en un escúter.|montar|montar|montar
fr|Meuf, il m'a dit qu'il se fait ... ce moteur V8 sur un scooter par un pote.|monter|monter|monter
tr|Kızım, o bana o V8 motoru bir arkadaşına scooter'a ... söyledi.|taktırdığını|taktırdığını|taktırdığını
hu|Csajszi, ő azt mondta, hogy egy haverjával ... azt a V8-as motort egy robogóra.|szerelteti fel|szerelteti fel|szerelteti fel
MEDIA 4699 | meaning: machines as a group
E 40784 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the end of the day, the engineer ... every gauge on this old machinery.|will have checked|will check|checks
de|Bis zum Ende des Tages wird der Ingenieur jede Anzeige an diesen alten Maschinen ...|überprüft haben|überprüfen|überprüft
ua|До кінця дня інженер ... кожен манометр на цьому старому обладнанні.|перевірить|перевірить|перевіряє
es|Para el final del día, el ingeniero ... todos los indicadores de esta vieja maquinaria.|habrá revisado|revisará|revisa
fr|D'ici la fin de la journée, l'ingénieur ... chaque jauge de ces vieilles machines.|aura vérifié|vérifiera|vérifie
tr|Gün sonuna kadar mühendis bu eski makinelerdeki her göstergeyi ...|kontrol etmiş olacak|kontrol edecek|kontrol ediyor
hu|A nap végére a mérnök ... minden mérőórát ezen a régi gépezeten.|leellenőrzi|ellenőrizni fogja|ellenőrzi
MEDIA 4700 | meaning: a mechanism that can move automatically
E 42409 | B1 type 35 Past Perfect Simple | style ironic | options 3 | SEL
en|By the time the robot finally moved, he ... about ten commands. Mildly slow service.|had typed|has typed|types
de|Als der Roboter sich endlich bewegte, ... er schon etwa zehn Befehle eingetippt. Leicht langsamer Service.|hatte|hat|tippt
ua|Коли робот нарешті рушив, він ... вже близько десяти команд. Трохи повільне обслуговування.|набрав|набрав|набирає
