MEDIA 5052 | meaning: having little physical weight, not heavy
E 33728 | A1 type 1 TO BE | style chill | options 3 | SEL
ua|Комаха крихітна, тож вона ... розглядати її крізь лупу.|мала б|мала б|мала б
es|El insecto es diminuto, así que ella ... estudiarlo con una lupa.|debería|debería|debería
fr|L'insecte est minuscule, alors elle ... l'étudier avec une loupe.|devrait|devrait|devrait
tr|Böcek minicik, bu yüzden o onu büyüteçle ...|incelemeli|incelemeli|incelemeli
hu|A rovar apró, ezért neki nagyítóval ... tanulmányoznia.|kellene|kellene|kellene
MEDIA 5116 | meaning: to make something become open
E 34139 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... the windows every morning.|opens|open|opening
de|Er ... jeden Morgen die Fenster.|öffnet|öffnen|öffnend
ua|Він щоранку ... вікна.|відчиняє|відчиняти|відчиняючи
es|Él ... las ventanas cada mañana.|abre|abrir|abriendo
fr|Il ... les fenêtres tous les matins.|ouvre|ouvrir|ouvrant
tr|O her sabah pencereleri ...|açar|açmak|açarak
hu|Ő minden reggel ... az ablakokat.|kinyitja|kinyitni|kinyitó
E 34144 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|The landlord's rule: he ... open the windows every day.|has to|must|should
de|Die Regel des Vermieters: Er ... jeden Tag die Fenster öffnen.|muss|muss|sollte
ua|Правило власника квартири: він ... щодня відчиняти вікна.|має|мусить|мав би
es|La norma del casero: él ... abrir las ventanas todos los días.|tiene que|debe|debería
fr|La règle du propriétaire : il ... ouvrir les fenêtres tous les jours.|doit|doit|devrait
tr|Ev sahibinin kuralı: o her gün pencereleri ...|açmak zorunda|açmalı|açmalı
hu|A főbérlő szabálya: neki minden nap ... kinyitnia az ablakokat.|kell|kell|kellene
MEDIA 5118 | meaning: the light and rays that come from the sun
E 35672 | A1 type 2 HAVE GOT | style business | options 3 | SEL
en|Asset check: the flat ... 6 hours of sunlight every day.|has got|have got|has get
de|Asset-Check: Die Wohnung ... jeden Tag 6 Stunden Sonnenlicht.|hat|haben|hat
ua|Перевірка активів: квартира ... 6 годин сонячного світла щодня.|має|мати|має
es|Revisión de activos: el piso ... 6 horas de luz solar al día.|tiene|tienen|tiene
fr|Check des actifs : l'appart ... 6 heures de soleil par jour.|a|ont|a
tr|Varlık kontrolü: dairenin her gün 6 saat güneş ışığı ...|var|var|var
hu|Eszközellenőrzés: a lakásnak minden nap 6 óra napfénye ...|van|van|van
E 35678 | A2 type 20 Much, Many, Some... | style slang | options 3 | SEL
en|Man, there's so ... sunlight in this flat, it's kinda crazy.|much|many|a lot
de|Alter, in dieser Wohnung ist so ... Sonnenlicht, das ist irgendwie krass.|viel|viele|eine Menge
ua|Чувак, у цій квартирі так ... сонця, це якось шалено.|багато|багато|багато
es|Tío, en este piso hay ... luz solar, es una locura.|tanta|tantas|un montón de
fr|Mec, il y a ... soleil dans cet appart, c'est un peu dingue.|tellement de|tellement de|plein de
tr|Kanka, bu dairede o kadar ... güneş ışığı var ki, resmen çılgınca.|çok|çok|çok
hu|Tesó, olyan ... napfény van ebben a lakásban, ez elég őrült.|sok|sok|rengeteg
MEDIA 5125 | meaning: to perform a play on a stage
E 35447 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|The audience loves it, so the theatre ... the play again next week.|will stage|staged|will stages
de|Das Publikum liebt es, also ... das Theater das Stück nächste Woche wieder aufführen.|wird|führte auf|wird
ua|Глядачам подобається, тож театр наступного тижня знову ... цю виставу.|поставить|поставив|поставить
es|Al público le encanta, así que el teatro ... la obra otra vez la próxima semana.|representará|representó|representará
fr|Le public adore, donc le théâtre ... de nouveau la pièce la semaine prochaine.|montera|a monté|montera
tr|Seyirci bayılıyor, bu yüzden tiyatro oyunu gelecek hafta yine ...|sahneleyecek|sahneledi|sahneleyecek
hu|A közönség imádja, ezért a színház jövő héten újra ... a darabot.|színre fogja vinni|színre vitte|színre fogja vinni
MEDIA 5127 | meaning: to move a lid so an opening is closed
E 35152 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... can't she shut the suitcase? It is too full.|Why|Who|Where
de|... kann sie den Koffer nicht zumachen? Er ist zu voll.|Warum|Wer|Wo
ua|... вона не може закрити валізу? Вона надто повна.|Чому|Хто|Де
es|¿... no puede ella cerrar la maleta? Está demasiado llena.|Por qué|Quién|Dónde
fr|... ne peut-elle pas fermer la valise ? Elle est trop pleine.|Pourquoi|Qui|Où
tr|O bavulu ... kapatamıyor? Çok dolu.|neden|kim|nerede
hu|... nem tudja ő becsukni a bőröndöt? Túl tele van.|Miért|Ki|Hol
E 35156 | A2 type 24 Modal verb SHOULD | style dramatic | options 3 | SEL
en|The case will never shut! You ... pack fewer T-shirts!|should|shoulds|should to
de|Der Koffer geht nie zu! Du ... weniger T-Shirts einpacken!|solltest|solltest|solltest
ua|Валіза ніколи не закриється! Ти ... пакувати менше футболок!|мала б|мала б|мала б
es|¡La maleta no se cerrará nunca! ¡Tú ... meter menos camisetas!|deberías|deberías|deberías
fr|La valise ne fermera jamais ! Tu ... prendre moins de t-shirts !|devrais|devrais|devrais
tr|Bavul asla kapanmayacak! Sen daha az tişört ...!|koymalısın|koymalısın|koymalısın
hu|A bőrönd sosem fog bezáródni! Neked kevesebb pólót ... bepakolnod!|kellene|kellene|kellene
MEDIA 5128 | meaning: damage to the body from an accident
E 33428 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|He hops on ... foot because of the hurt.|one|first|ones
de|Er hüpft wegen der Verletzung auf ... Bein.|einem|erstem|Einsen
ua|Він стрибає на ... нозі через травму.|одній|першій|одиницях
es|Él salta sobre ... pie por la herida.|un|primer|un
fr|Il saute sur ... pied à cause de la blessure.|un|premier|un
tr|O yaralanma yüzünden ... ayağının üstünde zıplıyor.|bir|birinci|birler
hu|Ő a sérülés miatt ... lábon ugrál.|egy|első|egyesek
E 33429 | A2 type 14 Present Continuous | style gossip | options 3 | SEL
en|Ok so apparently he ... on the floor with a big hurt.|is sitting|sits|is sit
de|Okay, also anscheinend ... er mit einer schlimmen Verletzung auf dem Boden.|sitzt|sitzt|sitzt
ua|Коротше, кажуть, він ... на підлозі з сильною травмою.|сидить|сидить|сидить
es|Vale, pues parece que él ... en el suelo con una herida grande.|está sentado|se sienta|está sentado
fr|Bon, apparemment il ... par terre avec une grosse blessure.|est assis|s'assoit|est assis
tr|Tamam, anlaşılan o büyük bir yarayla yerde ...|oturuyor|oturur|oturuyor
hu|Oké, szóval állítólag ő ... a földön egy nagy sérüléssel.|ül|ül|ül
MEDIA 5130 | meaning: a cloth wing on strings pulled by the wind
E 33608 | A2 type 16 Future with WILL | style dramatic | options 3 | SEL
en|The wind is crazy! I think his kite ... away forever!|will fly|flies|flew
de|Der Wind ist verrückt! Ich glaube, dass sein Drachen für immer ...!|davonfliegen wird|davonfliegt|davonflog
ua|Вітер шалений! Я думаю, його повітряний змій ... назавжди!|відлетить|відлітає|відлетів
es|¡El viento está loco! ¡Yo creo que su cometa ... para siempre!|saldrá volando|sale volando|salió volando
fr|Le vent est fou ! Je crois que son cerf-volant ... pour toujours !|s'envolera|s'envole|s'est envolé
tr|Rüzgâr çılgın gibi! Bence uçurtması sonsuza dek ...!|uçup gidecek|uçup gider|uçup gitti
hu|Őrült a szél! Szerintem a sárkánya örökre ...!|el fog repülni|elrepül|elrepült
MEDIA 5131 | meaning: to direct your attention on something
E 32786 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|He ... focus on the ball in the busy alley.|can|cans|is
de|Er ... sich in der belebten Gasse auf den Ball konzentrieren.|kann|kann|ist
ua|Він ... зосередитися на м'ячі у людному провулку.|може|може|є
es|Él ... concentrarse en la pelota en el callejón concurrido.|puede|puede|está
fr|Il ... se concentrer sur la balle dans la ruelle animée.|peut|peut|est
tr|O kalabalık sokakta topa ...|odaklanabilir|odaklanabilir|
hu|Ő ... a labdára koncentrálni a zsúfolt sikátorban.|tud|tud|van
MEDIA 5134 | meaning: a father or mother of a child
E 34236 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|The man with the picture book is ... parent too.|a|the|an
de|Der Mann mit dem Bilderbuch ist auch ... Elternteil.|ein|der|ein
ua|Чоловік із книжкою з картинками теж ... батько.|||
es|El hombre del libro ilustrado también es ... padre.|un|el|un
fr|L'homme au livre d'images est aussi ... parent.|un|le|un
tr|Resimli kitaplı adam da ... ebeveyn.|bir||bir
hu|A képeskönyves férfi is ... szülő.|egy|a|egy
E 34240 | A2 type 26 Basic conjunctions | style dramatic | options 3 | SEL
en|The parents are totally exhausted, ... the kids want the swings again!|but|so|because
de|Die Eltern sind total erschöpft, ... die Kinder wollen wieder auf die Schaukeln!|aber|also|weil
ua|Батьки геть виснажені, ... діти знову хочуть на гойдалки!|але|тому|бо
es|¡Los padres están totalmente agotados, ... los niños quieren volver a los columpios!|pero|así que|porque
fr|Les parents sont complètement épuisés, ... les enfants veulent encore les balançoires !|mais|donc|parce que
tr|Anne babalar tamamen bitkin, ... çocuklar yine salıncak istiyor!|ama|bu yüzden|çünkü
hu|A szülők teljesen ki vannak merülve, ... a gyerekek megint hintázni akarnak!|de|ezért|mert
MEDIA 5138 | meaning: railway cars joined together that carry people
E 36044 | A1 type 2 HAVE GOT | style dramatic | options 3 | SEL
en|Oh no! The train ... no space for my huge suitcase!|has got|have got|has get
de|Oh nein! Der Zug ... keinen Platz für meinen riesigen Koffer!|hat|haben|hat
ua|О ні! Потяг ... місця для моєї величезної валізи!|не має|не мати|не має
es|¡Oh, no! ¡El tren no ... sitio para mi maleta enorme!|tiene|tienen|tiene
fr|Oh non ! Le train ... pas de place pour ma valise énorme !|n'a|n'ont|n'a
tr|Olamaz! Trende kocaman bavulum için yer ...!|yok|yok|yok
hu|Jaj, ne! A vonaton ... hely a hatalmas bőröndömnek!|nincs|nincs|nincs
E 36051 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... a big suitcase on the train rack now.|is|are|be
de|Auf der Gepäckablage im Zug ... jetzt ein großer Koffer.|ist|sind|sein
ua|На полиці в потязі зараз ... велика валіза.|є|є|бути
es|Ahora ... una maleta grande en el portaequipajes del tren.|hay|hay|hay
fr|Maintenant, ... une grande valise sur le porte-bagages du train.|il y a|il y a|il y a
tr|Şimdi trenin bagaj rafında büyük bir bavul ...|var|var|olmak
hu|Most ... egy nagy bőrönd a vonat csomagtartóján.|van|vannak|lenni
MEDIA 5143 | meaning: the state of having no war
E 34296 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|Two ... shake hands for peace.|soldiers|soldier|soldieres
de|Zwei ... reichen sich für den Frieden die Hände.|Soldaten|Soldat|Soldaten
ua|Двоє ... тиснуть руки заради миру.|солдатів|солдат|солдатів
es|Dos ... se dan la mano por la paz.|soldados|soldado|soldados
fr|Deux ... se serrent la main pour la paix.|soldats|soldat|soldats
tr|İki ... barış için tokalaşıyor.|askerler|asker|askerler
hu|Két ... kezet fog a békéért.|katona|katona|katona
MEDIA 5145 | meaning: an electric city train on rails in the street
E 36055 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|His tram comes ... 8:15 every morning.|at|on|in
de|Seine Straßenbahn kommt jeden Morgen ... 8:15.|um|am|im
ua|Його трамвай приходить щоранку ... 8:15.|о|на|у
es|Su tranvía llega cada mañana ... las 8:15.|a|sobre|en
fr|Son tram arrive tous les matins ... 8 h 15.|à|sur|dans
tr|Onun tramvayı her sabah saat 8:15 ... geliyor.|||
hu|A villamosa minden reggel ... jön.|8:15-kor|8:15-ön|8:15-ben
E 36057 | A2 type 15 Present Continuous or Simple | style slang | options 2 | SEL
en|Bro, he usually takes the tram but today he ... fast, lowkey.|is walking|walks|
de|Digga, er fährt sonst mit der Straßenbahn, aber heute ... er schnell zu Fuß, irgendwie.|geht|geht|
ua|Бро, він зазвичай їздить трамваєм, але сьогодні ... швидко пішки, якщо чесно.|іде|іде|
es|Bro, él normalmente coge el tranvía, pero hoy ... rápido, la verdad.|está caminando|camina|
fr|Frère, d'habitude il prend le tram, mais aujourd'hui il ... vite, genre.|est en train de marcher|marche|
tr|Kanka, o genelde tramvaya biner ama bugün hızlı ..., açıkçası.|yürüyor|yürür|
hu|Tesó, ő általában villamossal jár, de ma gyorsan ..., amúgy.|gyalogol|gyalogol|
MEDIA 5147 | meaning: any group of human beings together
E 34308 | A1 type 10 Prepositions of place/time | style dramatic | options 3 | SEL
en|The market is full of people ... Saturday! Never again!|on|at|in
de|Der Markt ist ... Samstag voller Leute! Nie wieder!|am|um|im
ua|Ринок ... суботу повний людей! Більше ніколи!|у|о|у
es|¡El mercado está lleno de gente ... el sábado! ¡Nunca más!||a|en
fr|Le marché est plein de monde ... samedi ! Plus jamais !||à|dans
tr|Çarşı cumartesi ... insanla dolu! Bir daha asla!|||
hu|A piac ... tele van emberekkel! Soha többé!|szombaton|szombatkor|szombatban
E 34310 | A2 type 12 Past Simple | style gossip | options 3 | SEL
en|Bestie, I heard a thousand people ... the crossing in one minute.|crossed|cross|crossing
de|Bestie, ich hab gehört, tausend Leute ... den Zebrastreifen in einer Minute.|überquerten|überqueren|überquerend
ua|Подруго, я чула, що тисяча людей ... перехід за одну хвилину.|перейшла|переходить|переходячи
es|Amiga, yo he oído que mil personas ... el paso de cebra en un minuto.|cruzaron|cruzan|cruzando
fr|Ma belle, j'ai entendu que mille personnes ... le passage piéton en une minute.|ont traversé|traversent|traversant
tr|Kankam, ben duydum ki bin kişi yaya geçidini bir dakikada ...|geçti|geçer|geçerek
hu|Csajszi, én azt hallottam, hogy ezer ember egy perc alatt ... a zebrán.|átkelt|átkel|átkelő
MEDIA 5148 | meaning: the time between dawn and noon
E 33962 | A2 type 20 Much, Many, Some... | style flirt | options 3 | SEL
en|There aren't ... people this morning, and honestly, you are so calm.|many|much|some
de|Heute Morgen sind nicht ... Leute da, und ehrlich, du bist so ruhig.|viele|viel|einige
ua|Сьогодні вранці тут немає ... людей, і, чесно, ти така спокійна.|багато|багато|якихось
es|Esta mañana no hay ... personas, y sinceramente, tú estás tan tranquila.|muchas|mucha|algunas
fr|Il n'y a pas ... monde ce matin, et franchement, tu es tellement calme.|beaucoup de|beaucoup de|du
tr|Bu sabah ... insan yok ve açıkçası sen çok sakinsin.|çok|çok|bazı
hu|Ma reggel nincs ... ember, és őszintén, te olyan nyugodt vagy.|sok|sok|néhány
MEDIA 5149 | meaning: a shop where you buy medicine
E 34350 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
en|The pharmacy is open ... night, so it is not closed.|at|in|on
de|Die Apotheke hat ... Nacht geöffnet, also ist sie nicht geschlossen.|in der|in der|an der
ua|Аптека відчинена ... нічний час, тож вона не зачинена.|у|у|на
es|La farmacia está abierta ... la noche, así que no está cerrada.|por|en|sobre
fr|La pharmacie est ouverte ... la nuit, donc elle n'est pas fermée.||dans|sur
tr|Eczane gece ... açık, yani kapalı değil.|||
hu|A gyógyszertár ... nyitva van, tehát nincs zárva.|éjjel|éjszakában|éjszakán
MEDIA 5151 | meaning: a decorated border that surrounds a picture
E 32799 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|He hangs ... more frame on the full wall.|one|first|once
de|Er hängt noch ... Rahmen an die volle Wand.|einen|ersten|einmal
ua|Він вішає ще ... рамку на заповнену стіну.|одну|першу|раз
es|Él cuelga ... marco más en la pared llena.|un|primer|una vez
fr|Il accroche ... cadre de plus sur le mur plein.|un|premier|une fois
tr|O dolu duvara ... çerçeve daha asıyor.|bir|birinci|bir kez
hu|Ő még ... keretet akaszt a teli falra.|egy|első|egyszer
E 32801 | A2 type 13 Present or Past Simple | style chill | options 2 | SEL
en|He usually buys wooden frames, but yesterday he ... a silver one.|bought|buys|
de|Er kauft sonst Holzrahmen, aber gestern ... er einen silbernen.|kaufte|kauft|
ua|Він зазвичай купує дерев'яні рамки, але вчора ... срібну.|купив|купує|
es|Él normalmente compra marcos de madera, pero ayer ... uno plateado.|compró|compra|
fr|D'habitude il achète des cadres en bois, mais hier il en ... un argenté.|a acheté|achète|
tr|O genelde ahşap çerçeve alır ama dün gümüş bir tane ...|aldı|alır|
hu|Ő általában fakereteket vesz, de tegnap egy ezüstöt ...|vett|vesz|
MEDIA 5155 | meaning: a meal eaten in the middle of the day
E 33830 | A1 type 3 Present Simple | style slang | options 3 | SEL
en|She ... pasta for lunch every Sunday, gotta love it, man.|makes|make|making
de|Sie ... jeden Sonntag Pasta zum Mittagessen, muss man einfach lieben, Alter.|macht|machen|machend
ua|Вона щонеділі ... пасту на обід, це треба любити, чувак.|готує|готувати|готуючи
es|Ella ... pasta para comer todos los domingos, hay que amarlo, tío.|hace|hacer|haciendo
fr|Elle ... des pâtes pour le déjeuner tous les dimanches, faut adorer, mec.|fait|faire|faisant
tr|O her pazar öğle yemeği için makarna ..., bayılmamak elde değil, kanka.|yapar|yapmak|yaparak
hu|Ő minden vasárnap tésztát ... ebédre, ezt imádni kell, tesó.|csinál|csinálni|csináló
E 33832 | A2 type 20 Much, Many, Some... | style clueless | options 3 | SEL
en|There is ... pasta for lunch because the plates have pasta on them.|some|many|a
de|Zum Mittagessen gibt es ... Pasta, weil auf den Tellern Pasta ist.|etwas|viele|eine
ua|На обід є ... пасти, бо на тарілках лежить паста.|трохи|багато|
es|Hay ... pasta para comer porque los platos tienen pasta.|algo de|muchas|una
fr|Il y a ... pâtes pour le déjeuner parce qu'il y a des pâtes dans les assiettes.|des|beaucoup de|une
tr|Öğle yemeği için ... makarna var çünkü tabaklarda makarna var.|biraz|çok|bir
hu|Ebédre van ... tészta, mert a tányérokon tészta van.|némi|sok|egy
MEDIA 5173 | meaning: a waterproof coat you wear in the rain
E 34618 | A1 type 2 HAVE GOT | style slang | options 3 | SEL
en|Yo, she ... a red raincoat, so she's gonna be fine.|has got|have got|has get
de|Yo, sie ... einen roten Regenmantel, also wird's ihr gut gehen.|hat|haben|hat
ua|Йо, вона ... червоний дощовик, тож з нею все буде норм.|має|мати|має
es|Eh, ella ... un chubasquero rojo, así que va a estar bien.|tiene|tienen|tiene
fr|Yo, elle ... un imper rouge, donc ça va aller pour elle.|a|ont|a
tr|Kanka, onun kırmızı bir yağmurluğu ..., yani o gayet iyi olacak.|var|var|var
hu|Figyu, neki ... egy piros esőkabátja, szóval ő jól lesz.|van|van|van
E 34624 | A2 type 24 Modal verb SHOULD | style gossip | options 3 | SEL
en|Listen, the guide told her she ... wear a raincoat at the waterfall.|should|should to|shoulds
de|Hör zu, der Guide hat ihr gesagt, sie ... am Wasserfall einen Regenmantel tragen.|sollte|sollte|sollte
ua|Слухай, гід сказав їй, що вона ... вдягнути дощовик біля водоспаду.|мала б|мала б|мала б
es|Oye, el guía le dijo que ella ... llevar un chubasquero en la cascada.|debería|debería|debería
fr|Écoute, le guide lui a dit qu'elle ... porter un imper à la cascade.|devrait|devrait|devrait
tr|Dinle, rehber ona dedi ki o şelalede yağmurluk ...|giymeli|giymeli|giymeli
hu|Figyelj, az idegenvezető azt mondta neki, hogy ... esőkabátot viselnie a vízesésnél.|kellene|kellene|kellene
MEDIA 5176 | meaning: a big cup with a handle for hot drinks
E 34014 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|There is one mug and many ... in the kitchen.|glasses|glass|glasss
de|In der Küche stehen ein Becher und viele ...|Gläser|Glas|Gläser
ua|На кухні є один кухоль і багато ...|склянок|склянка|склянок
es|En la cocina hay una taza y muchos ...|vasos|vaso|vasos
fr|Il y a un mug et beaucoup de ... dans la cuisine.|verres|verre|verres
tr|Mutfakta bir kupa ve çok sayıda ... var.|bardaklar|bardak|bardaklar
hu|A konyhában van egy bögre és sok ...|pohár|pohár|pohár
MEDIA 5177 | meaning: a container with a spout for pouring tea
E 35811 | A1 type 6 A, AN, THE | style business | options 3 | SEL
en|Budget check: this 15-euro pot is ... teapot, not a jug.|a|an|the
de|Budgetcheck: Dieses 15-Euro-Gefäß ist ... Teekanne, kein Krug.|eine|eine|die
ua|Перевірка бюджету: цей посуд за 15 євро — ... чайник, а не глечик.|||
es|Control de presupuesto: este recipiente de 15 euros es ... tetera, no una jarra.|una|una|la
fr|Check budget : ce récipient à 15 euros est ... théière, pas une carafe.|une|une|la
tr|Bütçe kontrolü: bu 15 euroluk kap ... demlik, sürahi değil.|bir|bir|
hu|Költségvetés-ellenőrzés: ez a 15 eurós edény ... teáskanna, nem kancsó.|egy|egy|a
MEDIA 5180 | meaning: someone who speaks to a group of people
E 35403 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... two flags next to the speaker.|are|is|be
de|Neben dem Redner ... zwei Fahnen.|sind|ist|sein
ua|Поруч із промовцем ... два прапори.|є|є|бути
es|... dos banderas junto al orador.|Hay|Hay|Hay
fr|... deux drapeaux à côté de l'orateur.|Il y a|Il y a|Il y a
tr|Konuşmacının yanında iki bayrak ...|var|var|olmak
hu|A szónok mellett két zászló ...|van|van|lenni
MEDIA 5186 | meaning: people in general, taken as a whole
E 34560 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|The town square is open to ... public.|the|a|an
de|Der Stadtplatz ist für ... Öffentlichkeit zugänglich.|die|eine|eine
ua|Міська площа відкрита для ... громадськості.|||
es|La plaza del pueblo está abierta para ... público.|el|un|un
fr|La place de la ville est ouverte ... public.|au|à un|à un
tr|Kasaba meydanı ... halka açık.||bir|bir
hu|A főtér nyitva áll ... nagyközönség előtt.|a|egy|egy
MEDIA 5189 | meaning: the state of the sky: sun, rain, wind, clouds
E 36306 | A2 type 12 Past Simple | style business | options 3 | SEL
en|Weather report: it ... for 3 hours this morning.|rained|rains|rainned
de|Wetterbericht: Heute Morgen ... es 3 Stunden lang.|regnete|regnet|regnete
ua|Зведення погоди: сьогодні вранці ... 3 години.|йшов дощ|йде дощ|йшов дощ
es|Parte meteorológico: esta mañana ... durante 3 horas.|ha llovido|llueve|ha llovido
fr|Bulletin météo : il ... pendant 3 heures ce matin.|a plu|pleut|a plu
tr|Hava raporu: bu sabah 3 saat boyunca yağmur ...|yağdı|yağar|yağdı
hu|Időjárás-jelentés: ma reggel 3 órán át ... az eső.|esett|esik|esett
MEDIA 5190 | meaning: with a lot of wind blowing
E 36411 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|It is very windy, but she ... stand on the seafront.|can|cans|can to
de|Es ist sehr windig, aber sie ... an der Strandpromenade stehen.|kann|kann|kann
ua|Дуже вітряно, але вона ... стояти на набережній.|може|може|може
es|Hace mucho viento, pero ella ... estar de pie en el paseo marítimo.|puede|puede|puede
fr|Il y a beaucoup de vent, mais elle ... rester debout sur le front de mer.|peut|peut|peut
tr|Hava çok rüzgârlı ama o sahil yolunda ...|durabilir|durabilir|durabilir
hu|Nagyon szeles az idő, de ő ... állni a tengerparti sétányon.|tud|tud|tud
E 36416 | A2 type 26 Basic conjunctions | style clueless | options 3 | SEL
en|It is windy ... the wind is blowing.|because|but|so
de|Es ist windig, ... der Wind weht.|weil|aber|also
ua|Вітряно, ... дме вітер.|бо|але|тому
  ~soft: length ratio 0.55
es|Hace viento ... sopla el viento.|porque|pero|así que
fr|Il y a du vent ... le vent souffle.|parce que|mais|donc
tr|Hava rüzgârlı ... rüzgâr esiyor.|çünkü|ama|bu yüzden
hu|Szeles az idő, ... fúj a szél.|mert|de|ezért
MEDIA 5191 | meaning: covered with snow or full of falling snow
E 35321 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the flag on the snowy field? At the top.|Where|Who|When
de|... ist die Fahne auf dem verschneiten Feld? Ganz oben.|Wo|Wer|Wann
ua|... прапор на засніженому полі? Нагорі.|Де|Хто|Коли
es|¿... está la bandera en el campo nevado? Arriba del todo.|Dónde|Quién|Cuándo
fr|... est le drapeau sur le champ enneigé ? Tout en haut.|Où|Qui|Quand
tr|Karlı alandaki bayrak ...? En tepede.|nerede|kim|ne zaman
hu|... van a zászló a havas mezőn? A tetején.|Hol|Ki|Mikor
E 35324 | A2 type 14 Present Continuous | style business | options 3 | SEL
en|Project update: right now 3 people ... the flag up on the snowy field.|are pulling|pull|are pull
de|Projekt-Update: Gerade ... 3 Leute die Fahne auf dem verschneiten Feld hoch.|ziehen|ziehen|ziehen
ua|Оновлення проєкту: саме зараз 3 людини ... прапор угору на засніженому полі.|тягнуть|тягнуть|тягнуть
es|Actualización del proyecto: ahora mismo 3 personas ... la bandera en el campo nevado.|están izando|izan|están izando
fr|Point projet : en ce moment, 3 personnes ... le drapeau sur le champ enneigé.|sont en train de hisser|hissent|sont en train de hisser
tr|Proje güncellemesi: şu an 3 kişi karlı alanda bayrağı yukarı ...|çekiyor|çeker|çekiyor
hu|Projektfrissítés: épp most 3 ember ... fel a zászlót a havas mezőn.|húzza|húzza|húzza
MEDIA 5194 | meaning: a long fictional story printed as a book
E 34095 | A2 type 13 Present or Past Simple | style flirt | options 2 | SEL
en|You usually read one page, but yesterday you ... a whole novel. Respect.|finished|finish|
de|Du liest sonst eine Seite, aber gestern ... du einen ganzen Roman. Respekt.|beendetest|beendest|
ua|Ти зазвичай читаєш одну сторінку, але вчора ти ... цілий роман. Респект.|дочитала|дочитуєш|
es|Normalmente tú lees una página, pero ayer ... una novela entera. Respeto.|terminaste|terminas|
fr|D'habitude tu lis une page, mais hier tu ... un roman entier. Respect.|as fini|finis|
tr|Sen genelde bir sayfa okursun ama dün koca bir romanı ..., helal olsun.|bitirdin|bitirirsin|
hu|Te általában egy oldalt olvasol, de tegnap ... egy egész regényt. Respekt.|befejeztél|befejezel|
MEDIA 5200 | meaning: full of life and energy
E 33768 | A1 type 4 Modal verb CAN | style flirt | options 3 | SEL
en|Charming energy: you ... make any room lively in one second.|can|cans|are
de|Charmante Energie: Du ... jeden Raum in einer Sekunde lebendig machen.|kannst|kannst|bist
ua|Чарівна енергія: ти ... оживити будь-яку кімнату за секунду.|можеш|можеш|є
es|Energía encantadora: tú ... animar cualquier sala en un segundo.|puedes|puedes|estás
fr|Énergie charmante : tu ... mettre de l'ambiance dans n'importe quelle pièce en une seconde.|peux|peux|es
tr|Büyüleyici enerji: sen her odayı bir saniyede ...|canlandırabilirsin|canlandırabilirsin|
hu|Elbűvölő energia: te bármelyik szobát ... egy másodperc alatt.|fel tudod dobni|fel tudod dobni|vagy
E 33773 | A2 type 26 Basic conjunctions | style slang | options 3 | SEL
en|Yo, the room was dead, ... now it's kinda lively.|but|so|because
de|Yo, der Raum war tot, ... jetzt ist er irgendwie lebendig.|aber|also|weil
ua|Йо, в кімнаті було мертво, ... тепер тут якось жваво.|але|тому|бо
es|Eh, la sala estaba muerta, ... ahora está bastante animada.|pero|así que|porque
fr|Yo, la pièce était morte, ... maintenant elle est plutôt animée.|mais|donc|parce que
tr|Kanka, oda ölü gibiydi ... şimdi epey hareketli.|ama|bu yüzden|çünkü
hu|Figyu, a szoba halott volt, ... most elég pörgős.|de|ezért|mert
MEDIA 5201 | meaning: to send an image or light back
E 34692 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|The still water ... the volcano and the clouds.|reflects|reflect|reflecting
de|Das stille Wasser ... den Vulkan und die Wolken.|spiegelt|spiegeln|spiegelnd
ua|Спокійна вода ... вулкан і хмари.|відбиває|відбивати|відбиваючи
es|El agua quieta ... el volcán y las nubes.|refleja|reflejar|reflejando
fr|L'eau immobile ... le volcan et les nuages.|reflète|refléter|reflétant
tr|Durgun su yanardağı ve bulutları ...|yansıtır|yansıtmak|yansıtarak
hu|A nyugodt víz ... a vulkánt és a felhőket.|tükrözi|tükrözni|tükröző
E 34695 | A2 type 17 Future BE GOING TO | style gossip | options 3 | SEL
en|Bestie, apparently she ... film how the water reflects the volcano.|is going to|is going|are going to
de|Bestie, anscheinend ... sie filmen, wie das Wasser den Vulkan spiegelt.|wird|wird|werden
ua|Подруго, кажуть, вона ... зняти, як вода відбиває вулкан.|збирається|збирається|збираються
