MEDIA 4233 | meaning: rock cut into blocks for building
E 35541 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
de|Das Holz ... in der Feuergrube.|brennt|brennen|brennend
ua|Дерево ... у вогнищі.|горить|горіти|горячи
es|La leña ... en el hoyo del fuego.|arde|arder|ardiendo
fr|Le bois ... dans le foyer.|brûle|brûler|brûlant
tr|Odun ateş çukurunda ...|yanar|yanmak|yanarak
hu|A fa ... a tűzgödörben.|ég|égni|égő
MEDIA 4329 | meaning: the furnishings that make a room ready to use
E 32920 | A1 type 11 Cardinal numbers | style flirt | options 3 | SEL
en|Not gonna lie, you look cool with just ... piece of furniture.|one|first|once
de|Ich lüg nicht, du siehst cool aus mit nur ... Möbelstück.|einem|ersten|einmal
ua|Не брешу, ти виглядаєш круто лише з ... предметом меблів.|одним|першим|один раз
es|No voy a mentir, tú te ves guay con solo ... mueble.|un|primer|una vez
fr|Je vais pas mentir, t'as l'air cool avec juste ... meuble.|un|premier|une fois
tr|Yalan yok, sen sadece ... mobilyayla çok havalı görünüyorsun.|bir|birinci|bir kez
hu|Nem hazudok, te menőn nézel ki mindössze ... bútorral.|egy|első|egyszer
E 32922 | A2 type 20 Much, Many, Some... | style ironic | options 3 | SEL
en|Obviously a cosy room: there isn't ... furniture, just one small chair.|much|many|some
de|Klar, ein gemütliches Zimmer: Da ist nicht ... Mobiliar, nur ein kleiner Stuhl.|viel|viele|etwas
ua|Звісно ж, затишна кімната: тут немає ... меблів, лише один маленький стілець.|багато|багато|трохи
es|Claro, una habitación acogedora: no hay ... mobiliario, solo una sillita.|mucho|muchos|algo de
fr|Évidemment une chambre cosy : il n'y a pas ... meubles, juste une petite chaise.|beaucoup de|beaucoup de|des
tr|Belli ki rahat bir oda: ... mobilya yok, sadece küçük bir sandalye.|çok|çok|biraz
hu|Nyilván hangulatos szoba: nincs ... bútor, csak egy kis szék.|sok|sok|némi
MEDIA 4331 | meaning: walking with regular steps in a procession
E 33851 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|A crowd watches the march, and drummers lead ... march.|the|a|an
de|Eine Menge schaut dem Marsch zu, und Trommler führen ... Marsch an.|den|einen|einen
ua|Натовп спостерігає за ходою, а барабанщики очолюють ... ходу.|||
es|Una multitud mira el desfile, y los tamborileros encabezan ... desfile.|el|un|un
fr|Une foule regarde le défilé, et des tambours mènent ... défilé.|le|un|un
tr|Kalabalık yürüyüşü izliyor ve davulcular ... yürüyüşe öncülük ediyor.||bir|bir
hu|Tömeg nézi a felvonulást, és dobosok vezetik ... felvonulást.|a|egy|egy
E 33853 | A2 type 20 Much, Many, Some... | style slang | options 3 | SEL
en|Bro, so ... people clapping at this march, fr.|many|much|any
de|Alter, so ... Leute klatschen bei diesem Marsch, echt jetzt.|viele|viel|irgendwelche
ua|Бро, так ... людей плескають на цій ході, чесно.|багато|багато|будь-яких
es|Tío, hay ... gente aplaudiendo en este desfile, en serio.|muchas|mucha|cualquier
fr|Frérot, il y a vraiment ... gens qui applaudissent ce défilé, sérieux.|beaucoup de|beaucoup de|n'importe quels
tr|Kanka, bu yürüyüşte o kadar ... insan alkışlıyor ki, cidden.|çok|çok|herhangi bir
hu|Tesó, olyan ... ember tapsol ezen a felvonuláson, komolyan.|sok|sok|bármilyen
MEDIA 4337 | meaning: to get in touch with someone by telephone
E 34352 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she phone while she runs? Her boss.|Who|Where|When
de|... ruft sie an, während sie rennt? Ihren Chef.|Wen|Wo|Wann
ua|... вона телефонує, поки біжить? Своєму босу.|Кому|Де|Коли
es|¿... llama ella mientras corre? A su jefe.|A quién|Dónde|Cuándo
fr|... appelle-t-elle pendant qu'elle court ? Son boss.|Qui|Où|Quand
tr|Koşarken o ... arıyor? Patronunu.|kimi|nerede|ne zaman
hu|... hív fel ő, miközben fut? A főnökét.|Kit|Hol|Mikor
MEDIA 4345 | meaning: the emotion of great happiness
E 33533 | A1 type 11 Cardinal numbers | style dramatic | options 3 | SEL
en|... children scream with joy! The noise is unbelievable!|Two|Second|Twice
de|... Kinder schreien vor Freude! Der Lärm ist unglaublich!|Zwei|Zweite|Zweimal
ua|... дітей кричать від радості! Шум неймовірний!|Двоє|Другі|Двічі
es|¡... niños gritan de alegría! ¡El ruido es increíble!|Dos|Segundos|Dos veces
fr|... enfants crient de joie ! Le bruit est incroyable !|Deux|Deuxièmes|Deux fois
tr|... çocuk sevinçten çığlık atıyor! Gürültü inanılmaz!|İki|İkinci|İki kez
hu|... gyerek sikít örömében! Hihetetlen a zaj!|Két|Második|Kétszer
E 33535 | A2 type 13 Present or Past Simple | style gossip | options 2 | SEL
en|Listen, she said the kids are usually calm, but yesterday they ... with joy.|screamed|scream|
de|Hör zu, sie hat gesagt, die Kinder sind normalerweise ruhig, aber gestern ... sie vor Freude.|schrien|schreien|
ua|Слухай, вона казала, що діти зазвичай спокійні, але вчора вони ... від радості.|кричали|кричать|
es|Oye, ella dijo que los niños suelen estar tranquilos, pero ayer ... de alegría.|gritaron|gritan|
fr|Écoute, elle a dit que les enfants sont calmes d'habitude, mais hier ils ... de joie.|ont crié|crient|
tr|Dinle, o çocukların genelde sakin olduğunu söyledi ama dün sevinçten ...|çığlık attılar|çığlık atarlar|
hu|Figyelj, ő azt mondta, hogy a gyerekek általában nyugodtak, de tegnap ... örömükben.|sikítottak|sikítanak|
MEDIA 4349 | meaning: a person who keeps watch over something
E 33104 | A2 type 23 Must, Have to... | style gossip | options 3 | SEL
en|Girl, apparently the rules say every guard ... wear a yellow cap.|has to|must|should
de|Mädel, angeblich sagen die Regeln, dass jeder Rettungsschwimmer eine gelbe Kappe tragen ...|muss|muss|sollte
ua|Подруго, кажуть, за правилами кожен рятувальник ... носити жовту кепку.|має|мусить|мав би
es|Tía, al parecer las normas dicen que cada socorrista ... llevar una gorra amarilla.|tiene que|debe|debería
fr|Ma belle, apparemment le règlement dit que chaque sauveteur ... porter une casquette jaune.|doit|doit|devrait
tr|Kızım, güya kurallara göre her cankurtaran sarı şapka ...|takmak zorunda|takmalı|takmalı
hu|Csajszi, állítólag a szabályok szerint minden vízimentőnek sárga sapkát ... viselnie.|kell|kell|kellene
MEDIA 4352 | meaning: the act of changing direction
E 36116 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|She ... make a fast turn on the steep slope.|can|is|has
de|Sie ... auf dem steilen Hang eine schnelle Kurve fahren.|kann|ist|hat
ua|Вона ... зробити швидкий поворот на крутому схилі.|може|є|має
es|Ella ... hacer un giro rápido en la pendiente empinada.|puede|está|tiene
fr|Elle ... faire un virage rapide sur la pente raide.|peut|est|a
tr|O dik yamaçta hızlı bir dönüş ...|yapabilir||var
hu|Ő ... egy gyors fordulót venni a meredek lejtőn.|tud|van|van neki
MEDIA 4354 | meaning: a blow with the foot
E 33558 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... kick sends the leaves up into the air.|This|These|Those
de|... Tritt schleudert die Blätter in die Luft.|Dieser|Diese|Jene
ua|... удар ногою підкидає листя в повітря.|Цей|Ці|Ті
es|... patada lanza las hojas al aire.|Esta|Estas|Esas
fr|... coup de pied envoie les feuilles en l'air.|Ce|Ces|Ces
tr|... tekme yaprakları havaya uçuruyor.|Bu|Bu|Şu
hu|... a rúgás a levegőbe repíti a leveleket.|Ez|Ezek|Azok
MEDIA 4358 | meaning: of great physical weight
E 33261 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the bag so heavy? Pots and pans hang on it.|Why|Who|When
de|... ist die Tasche so schwer? Töpfe und Pfannen hängen daran.|Warum|Wer|Wann
ua|... сумка така важка? На ній висять каструлі й сковорідки.|Чому|Хто|Коли
es|¿... es tan pesada la bolsa? Tiene ollas y sartenes colgadas.|Por qué|Quién|Cuándo
fr|... le sac est-il si lourd ? Des casseroles et des poêles y sont accrochées.|Pourquoi|Qui|Quand
tr|Çanta ... bu kadar ağır? Üstünde tencere tava asılı.|neden|kim|ne zaman
hu|... ilyen nehéz a táska? Lábasok és serpenyők lógnak rajta.|Miért|Ki|Mikor
E 33264 | A2 type 22 Adjective comparison | style dramatic | options 3 | SEL
en|Unbelievable! His rucksack is ... than a fridge!|heavier|more heavy|heaviest
de|Unglaublich! Sein Rucksack ist ... als ein Kühlschrank!|schwerer|schwerer|am schwersten
ua|Неймовірно! Його рюкзак ... за холодильник!|важчий|більш важкий|найважчий
es|¡Increíble! ¡Su mochila es ... que una nevera!|más pesada|más pesada|la más pesada
fr|Incroyable ! Son sac à dos est ... qu'un frigo !|plus lourd|plus lourd|le plus lourd
tr|İnanılmaz! Onun sırt çantası bir buzdolabından ...!|daha ağır|daha ağır|en ağır
hu|Hihetetlen! A hátizsákja ... egy hűtőnél!|nehezebb|nehezebb|legnehezebb
MEDIA 4365 | meaning: recently made, produced or picked
E 32835 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|The bread ... so fresh! This is absolutely unbelievable!|is|are|am
de|Das Brot ... so frisch! Das ist absolut unglaublich!|ist|sind|bin
ua|Хліб ... такий свіжий! Це просто неймовірно!|є|є|є
es|¡El pan ... tan fresco! ¡Esto es absolutamente increíble!|está|están|estoy
fr|Le pain ... tellement frais ! C'est absolument incroyable !|est|sont|suis
tr|Ekmek çok taze ...! Bu kesinlikle inanılmaz!|||
hu|A kenyér ... olyan friss! Ez abszolút hihetetlen!|||vagyok
E 32839 | A2 type 17 Future BE GOING TO | style chill | options 3 | SEL
en|They have a plan. They ... fresh pies for the whole village.|are going to sell|will sell|sell
de|Sie haben einen Plan. Sie ... dem ganzen Dorf frische Kuchen verkaufen.|werden|werden|verkaufen
ua|У них є план. Вони ... свіжі пироги всьому селу.|збираються продати|продадуть|продають
es|Ellos tienen un plan. ... pasteles frescos a todo el pueblo.|Van a vender|Venderán|Venden
fr|Ils ont un plan. Ils ... des tartes fraîches à tout le village.|vont vendre|vendront|vendent
tr|Bir planları var. Onlar bütün köye taze turta ...|satacaklar|satacaklar|satarlar
hu|Van egy tervük. Ők friss pitéket ... eladni az egész falunak.|fognak|fognak|eladnak
MEDIA 4366 | meaning: the main activity you do to earn money
E 33511 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The baker loves ... job at the oven.|his|her|its
de|Der Bäcker liebt ... Arbeit am Ofen.|seine|ihre|seine
ua|Пекар любить ... роботу біля печі.|свою|її|його
es|El panadero ama ... trabajo en el horno.|su|su|su
fr|Le boulanger adore ... travail au four.|son|son|son
tr|Fırıncı fırın başındaki ... işini seviyor.|onun|onun|onun
hu|A pék szereti a ... a kemencénél.|munkáját|munkáját|munkáját
MEDIA 4369 | meaning: a long thin strip of cloth or paper for fastening
E 35776 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The nurse winds tape ... his hand.|around|at|in
de|Die Krankenschwester wickelt Tape ... seine Hand.|um|an|in
ua|Медсестра намотує стрічку ... його руки.|навколо|біля|у
es|La enfermera enrolla venda ... su mano.|alrededor de|a|en
fr|L'infirmière enroule une bande ... sa main.|autour de|à|dans
tr|Hemşire onun elinin ... bant sarıyor.|etrafına||içine
hu|Az ápolónő ... teker szalagot.|a keze köré|a kezénél|a kezében
E 35780 | A2 type 21 There is, are | style chill | options 3 | SEL
en|There ... rolls of tape on the counter.|are|is|be
de|Auf der Theke ... Rollen mit Tape.|sind|ist|sein
ua|На стійці ... рулони стрічки.|є|є|бути
es|... rollos de venda en el mostrador.|Hay|Hay|Hay
fr|... des rouleaux de bande sur le comptoir.|Il y a|Il y a|Il y a
tr|Tezgâhta bant ruloları ...|var|var|olmak
hu|A pulton szalagtekercsek ...|vannak|van|lenni
MEDIA 4373 | meaning: to get together, assemble
E 32956 | A1 type 9 Wh- questions | style slang | options 3 | SEL
en|Yo bro, ... do y'all gather? On the roof, man.|Where|When|Who
de|Yo Bro, ... trefft ihr euch alle? Auf dem Dach, Mann.|Wo|Wann|Wer
ua|Йо, бро, ... ви всі збираєтеся? На даху, чувак.|Де|Коли|Хто
es|Ey, tío, ¿... os juntáis vosotros? En la azotea, tío.|Dónde|Cuándo|Quién
fr|Yo frérot, ... est-ce que vous vous retrouvez tous ? Sur le toit, mec.|Où|Quand|Qui
tr|Kanka, siz ... toplanıyorsunuz? Çatıda, dostum.|nerede|ne zaman|kim
hu|Tesó, ... gyűltök össze ti? A tetőn, haver.|Hol|Mikor|Ki
E 32959 | A2 type 23 Must, Have to... | style gossip | options 3 | SEL
en|Girl, apparently the friends ... gather by eight. Bar rule.|have to|must|should
de|Mädel, angeblich ... die Freunde sich bis acht treffen. Bar-Regel.|müssen|müssen|sollten
ua|Подруго, кажуть, друзі ... зібратися до восьмої. Правило бару.|мають|мусять|мали б
es|Tía, al parecer los amigos ... reunirse antes de las ocho. Regla del bar.|tienen que|deben|deberían
fr|Ma belle, apparemment les amis ... se retrouver avant huit heures. Règle du bar.|doivent|doivent|devraient
tr|Kızım, güya barın kuralı: arkadaşlar sekize kadar ...|toplanmak zorunda|toplanmalı|toplanmalı
hu|Csajszi, állítólag a barátoknak nyolcig ... összegyűlniük. Bárszabály.|kell|kell|kellene
MEDIA 4376 | meaning: sound of any kind, often unpleasant
E 34070 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The dog makes noise right ... front of her phone.|in|on|at
de|Der Hund macht Lärm direkt ... ihrem Handy.|vor|auf|an
ua|Собака шумить просто ... її телефоном.|перед|на|біля
es|El perro hace ruido justo ... de su móvil.|delante|sobre|a
fr|Le chien fait du bruit juste ... son téléphone.|devant|sur|à
tr|Köpek tam onun telefonunun ... gürültü yapıyor.|önünde|üstünde|
hu|A kutya közvetlenül ... zajong.|a telefonja előtt|a telefonján|a telefonjánál
E 34072 | A2 type 19 Countable and uncountable | style slang | options 3 | SEL
en|Bro, that little dog makes so much ... , no cap.|noise|noises|a noise
de|Alter, der kleine Hund macht so viel ..., ohne Witz.|Lärm|Lärm|einen Lärm
ua|Бро, той маленький пес робить стільки ..., без жартів.|шуму|шумів|шуму
es|Tío, ese perrito hace tanto ..., en serio.|ruido|ruido|un ruido
fr|Frérot, ce petit chien fait tellement de ..., sans mentir.|bruit|bruit|un bruit
tr|Kanka, o küçük köpek o kadar çok ... yapıyor ki, cidden.|gürültü|gürültüler|bir gürültü
hu|Tesó, az a kis kutya annyi ... csap, komolyan.|zajt|zajt|egy zajt
MEDIA 4378 | meaning: a fixture that sprays water over you
E 35145 | A1 type 10 Prepositions of place/time | style dramatic | options 3 | SEL
en|Nightmare! The shower is ... the wall right behind the toilet!|on|in|at
de|Albtraum! Die Dusche ist ... der Wand direkt hinter dem Klo!|an|in|an
ua|Кошмар! Душ ... стіні просто за унітазом!|на|у|біля
es|¡Qué pesadilla! ¡La ducha está ... la pared, justo detrás del váter!|en|en|a
fr|Cauchemar ! La douche est ... le mur juste derrière les toilettes !|sur|dans|à
tr|Kâbus! Duş tam tuvaletin arkasındaki duvar ...!||içinde|
hu|Rémálom! A zuhany ... van, közvetlenül a vécé mögött!|a falon|a falban|a falnál
E 35147 | A2 type 13 Present or Past Simple | style chill | options 2 | SEL
en|The man usually has a bath, but yesterday he ... a shower.|had|has|
de|Der Mann badet normalerweise, aber gestern ... er eine Dusche.|nahm|nimmt|
ua|Чоловік зазвичай приймає ванну, але вчора він ... душ.|прийняв|приймає|
es|El hombre suele darse un baño, pero ayer él se ... una ducha.|dio|da|
fr|L'homme prend d'habitude un bain, mais hier il ... une douche.|a pris|prend|
tr|Adam genelde küvette yıkanır ama dün duş ...|aldı|alır|
hu|A férfi általában kádban fürdik, de tegnap ő ...|lezuhanyozott|lezuhanyozik|
MEDIA 4380 | meaning: to make something full
E 32704 | A2 type 15 Present Continuous or Simple | style flirt | options 2 | SEL
en|You usually take showers, but today you ... the tub. Smooth.|are filling|fill|
de|Normalerweise duschst du, aber heute ... du die Wanne. Stark.|füllst|füllst|
ua|Зазвичай ти приймаєш душ, але сьогодні ... ванну. Елегантно.|набираєш|набираєш|
es|Normalmente tú te duchas, pero hoy ... la bañera. Qué estilo.|estás llenando|llenas|
fr|D'habitude tu prends des douches, mais aujourd'hui tu ... la baignoire. Stylé.|es en train de remplir|remplis|
tr|Şık hareket. Sen genelde duş alırsın ama bugün küveti ...|dolduruyorsun|doldurursun|
hu|Általában te zuhanyozol, de ma ... a kádat. Elegáns.|megtöltöd|megtöltöd|
MEDIA 4381 | meaning: having a comfortable degree of heat
E 36257 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the sand warm? Because the sun is out.|Why|Who|What
de|... ist der Sand warm? Weil die Sonne scheint.|Warum|Wer|Was
ua|... пісок теплий? Бо світить сонце.|Чому|Хто|Що
es|¿... está caliente la arena? Porque ha salido el sol.|Por qué|Quién|Qué
fr|... le sable est-il chaud ? Parce que le soleil brille.|Pourquoi|Qui|Que
tr|Kum ... sıcak? Çünkü güneş açmış.|neden|kim|ne
hu|... meleg a homok? Mert süt a nap.|Miért|Ki|Mi
  ~soft: SEL: pronoun inside an option
MEDIA 4383 | meaning: not thin, wide from one surface to the other
E 35853 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Respect! You ... great with thick beards.|are|is|am
de|Respekt! Du ... richtig gut mit dichten Bärten.|bist|ist|bin
ua|Респект! Ти ... чудовий із густими бородами.|є|є|є
es|¡Respeto! Tú ... genial con las barbas espesas.|eres|es|soy
fr|Respect ! Tu ... génial avec les barbes épaisses.|es|est|suis
tr|Helal! Sen gür sakallarla harika ...|||
hu|Respekt! Te ... nagyon ügyes a dús szakállakkal.|vagy||vagyok
E 35854 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|The barber usually shaves chins, but now he ... a thick beard.|is combing|combs|
de|Der Barbier rasiert normalerweise Kinne, aber jetzt ... er einen dichten Bart.|kämmt|kämmt|
ua|Барбер зазвичай голить підборіддя, але зараз він ... густу бороду.|розчісує|розчісує|
es|El barbero suele afeitar barbillas, pero ahora él ... una barba espesa.|está peinando|peina|
fr|Le barbier rase d'habitude des mentons, mais maintenant il ... une barbe épaisse.|est en train de peigner|peigne|
tr|Berber genelde çene tıraşı yapar ama şimdi o gür bir sakalı ...|tarıyor|tarar|
hu|A borbély általában állakat borotvál, de most ő egy dús szakállt ...|fésül|fésül|
MEDIA 4386 | meaning: a sign put up in a public place as an advert
E 34498 | A1 type 7 This, That, These... | style slang | options 3 | SEL
en|Bro, I wanna sleep under ... right here.|these posters|this posters|those poster
de|Alter, ich will direkt hier unter ... schlafen.|diesen Postern|diesem Poster|jenen Postern
ua|Бро, я хочу спати під ... прямо тут.|цими постерами|цими постерами|тим постером
es|Tío, yo quiero dormir bajo ... aquí mismo.|estos pósteres|este póster|esos pósteres
fr|Frérot, je veux dormir sous ... juste ici.|ces posters|ce poster|ces posters
tr|Kanka, ben tam burada ... altında uyumak istiyorum.|bu posterlerin|bu posterlerin|şu posterin
hu|Tesó, én itt akarok aludni ... alatt.|ezek a poszterek|ez a poszter|azok a poszterek
E 34502 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|There isn't much ... on the wall because of the posters.|space|spaces|a space
de|An der Wand ist nicht viel ... wegen der Poster.|Platz|Platz|ein Platz
ua|На стіні немає багато ... через постери.|місця|місць|місця
es|No hay mucho ... en la pared por los pósteres.|espacio|espacio|un espacio
fr|Il n'y a pas beaucoup de ... sur le mur à cause des posters.|place|place|une place
tr|Posterler yüzünden duvarda çok ... yok.|yer|yerler|bir yer
hu|A poszterek miatt nincs sok ... a falon.|hely|hely|egy hely
MEDIA 4389 | meaning: to take the first step in doing something
E 35470 | A2 type 17 Future BE GOING TO | style flirt | options 3 | SEL
en|Honestly, you ... start first next time, respect.|are going to|going to|are going
de|Ehrlich, du ... nächstes Mal als Erster starten, Respekt.|wirst|wirst|wirst
ua|Чесно, наступного разу ти ... стартувати першим, респект.|збираєшся|збираєшся|збираєшся
es|Sinceramente, la próxima vez tú ... salir primero, respeto.|vas a|vas a|vas a
fr|Franchement, la prochaine fois tu ... partir en premier, respect.|vas|vas|vas
tr|Açıkçası sen bir dahaki sefere ilk ..., helal.|başlayacaksın|başlayacaksın|başlayacaksın
hu|Őszintén, te legközelebb elsőként ... rajtolni, respekt.|fogsz|fogsz|fogsz
MEDIA 4405 | meaning: the activity of doing something for someone's need
E 33269 | A1 type 4 Modal verb CAN | style dramatic | options 3 | SEL
en|No! ... you get help? This is a disaster!|Can|Do|Are
de|Nein! ... du Hilfe holen? Das ist eine Katastrophe!|Kannst||Bist
ua|Ні! Чи ... ти отримати допомогу? Це катастрофа!|можеш||є
es|¡No! ¿... tú conseguir ayuda? ¡Esto es un desastre!|Puedes||Estás
fr|Non ! Est-ce que tu ... trouver de l'aide ? C'est une catastrophe !|peux||es
tr|Hayır! Sen yardım ... misin? Bu bir felaket!|alabilir||
hu|Nem! ... te segítséget szerezni? Ez katasztrófa!|Tudsz||Vagy
E 33274 | A2 type 21 There is, are | style slang | options 3 | SEL
en|Yo, there ... tissues for help right on the desk, bro.|are|is|be
de|Yo, da ... Taschentücher zur Hilfe direkt auf dem Schreibtisch, Bro.|sind|ist|sein
ua|Йо, прямо на столі ... серветки на допомогу, бро.|є|є|бути
es|Ey, ... pañuelos para ayudar justo en el escritorio, tío.|hay|hay|hay
fr|Yo, ... des mouchoirs pour aider juste sur le bureau, frérot.|il y a|il y a|il y a
tr|Hey, tam masanın üstünde yardım için mendil ..., kanka.|var|var|olmak
hu|Hé, közvetlenül az asztalon ... zsebkendők segítségnek, tesó.|vannak|van|lenni
MEDIA 4407 | meaning: having good health in body or mind
E 33232 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does he put in his healthy drink? Spinach.|What|Who|Where
de|... tut er in sein gesundes Getränk? Spinat.|Was|Wer|Wo
ua|... він кладе у свій корисний напій? Шпинат.|Що|Хто|Де
es|¿... pone él en su bebida saludable? Espinacas.|Qué|Quién|Dónde
fr|... met-il dans sa boisson saine ? Des épinards.|Que|Qui|Où
tr|O sağlıklı içeceğine ... koyuyor? Ispanak.|ne|kim|nerede
hu|... tesz ő az egészséges italába? Spenótot.|Mit|Ki|Hol
E 33236 | A2 type 15 Present Continuous or Simple | style clueless | options 2 | SEL
en|It is morning, so he ... a healthy morning drink right now.|is making|makes|
de|Es ist Morgen, also ... er gerade ein gesundes Morgengetränk.|macht|macht|
ua|Зараз ранок, тож він саме зараз ... корисний ранковий напій.|готує|готує|
es|Es por la mañana, así que él ... una bebida saludable de mañana ahora mismo.|está preparando|prepara|
fr|C'est le matin, donc il ... une boisson saine du matin en ce moment.|est en train de préparer|prépare|
tr|Sabah, bu yüzden o şu an sağlıklı bir sabah içeceği ...|yapıyor|yapar|
hu|Reggel van, ezért ő most épp egy egészséges reggeli italt ...|készít|készít|
MEDIA 4413 | meaning: the sensation you get from odors in the nose
E 35277 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|She lifts the blossoms to ... nose for the smell.|her|his|their
de|Sie hebt die Blüten an ... Nase, um daran zu riechen.|ihre|seine|ihre
ua|Вона підносить квіти до ... носа, щоб відчути запах.|свого|його|їхнього
es|Ella acerca las flores a ... nariz para olerlas.|su|su|su
fr|Elle approche les fleurs de ... nez pour sentir leur parfum.|son|son|leur
tr|O çiçekleri kokusu için ... burnuna kaldırıyor.|onun|onun|onların
hu|Ő az illatért a ... emeli a virágokat.|orrához|orrához|orrukhoz
E 35278 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|Flawless, obviously: a sweet smell and a lot of ... for her nose.|pollen|pollens|a pollen
de|Makellos, klar: ein süßer Duft und jede Menge ... für ihre Nase.|Pollen|Pollen|ein Pollenkorn
ua|Бездоганно, звісно: солодкий запах і купа ... для її носа.|пилку|пилку|пилку
es|Impecable, claro: un olor dulce y mucho ... para su nariz.|polen|polen|un polen
fr|Parfait, évidemment : une odeur sucrée et plein de ... pour son nez.|pollen|pollen|un pollen
tr|Kusursuz, belli ki: tatlı bir koku ve onun burnu için bolca ...|polen|polenler|bir polen
hu|Hibátlan, nyilván: édes illat és rengeteg ... az orrának.|virágpor|virágpor|egy virágpor
MEDIA 4416 | meaning: a document that lets you ride or enter somewhere
E 35881 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|She has got ... ticket for the plane.|one|first|once
de|Sie hat ... Ticket für das Flugzeug.|ein|erstes|einmal
ua|Вона має ... квиток на літак.|один|перший|один раз
es|Ella tiene ... billete para el avión.|un|primer|una vez
fr|Elle a ... billet pour l'avion.|un|premier|une fois
tr|Onun uçak için ... bileti var.|bir|birinci|bir kez
hu|Neki ... jegye van a repülőre.|egy|első|egyszer
E 35886 | A2 type 23 Must, Have to... | style slang | options 3 | SEL
en|Bro, airport rule: you ... scan your ticket at the gate, no cap.|have to|must|should
de|Alter, Flughafenregel: Du ... dein Ticket am Gate scannen, ohne Witz.|musst|musst|solltest
ua|Бро, правило аеропорту: ти ... відсканувати квиток біля гейта, без жартів.|маєш|мусиш|мав би
es|Tío, norma del aeropuerto: tú ... escanear tu billete en la puerta, en serio.|tienes que|debes|deberías
fr|Frérot, règle de l'aéroport : tu ... scanner ton billet à la porte, sans mentir.|dois|dois|devrais
tr|Kanka, havalimanı kuralı: sen biletini kapıda ..., cidden.|okutmak zorundasın|okutmalısın|okutmalısın
hu|Tesó, reptéri szabály: neked a kapunál ... beszkennelned a jegyed, komolyan.|kell|kell|kellene
MEDIA 4417 | meaning: the act of going from one place to another
E 36072 | A1 type 3 Present Simple | style dramatic | options 3 | SEL
en|Absolutely unbelievable! Her travel ... three kinds of transport!|includes|include|including
de|Absolut unglaublich! Ihre Reise ... drei Verkehrsmittel!|umfasst|umfassen|umfassend
ua|Просто неймовірно! Її подорож ... три види транспорту!|включає|включати|включаючи
es|¡Absolutamente increíble! ¡Su viaje ... tres tipos de transporte!|incluye|incluir|incluyendo
fr|Absolument incroyable ! Son voyage ... trois moyens de transport !|inclut|inclure|incluant
tr|Kesinlikle inanılmaz! Onun yolculuğu üç çeşit ulaşım aracı ...!|içerir|içermek|içererek
hu|Abszolút hihetetlen! Az utazása háromféle közlekedési eszközt ...!|tartalmaz|tartalmazni|tartalmazó
E 36078 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|She loves travel, ... she takes a tram, a ferry and a plane.|so|but|because
de|Sie liebt das Reisen, ... nimmt sie eine Tram, eine Fähre und ein Flugzeug.|also|aber|weil
ua|Вона любить подорожі, ... їде трамваєм, поромом і літаком.|тому|але|бо
es|Ella adora viajar, ... coge un tranvía, un ferri y un avión.|así que|pero|porque
fr|Elle adore voyager, ... elle prend un tram, un ferry et un avion.|donc|mais|parce que
tr|O seyahat etmeyi seviyor, ... tramvaya, feribota ve uçağa biniyor.|bu yüzden|ama|çünkü
hu|Ő imádja az utazást, ... villamosra, kompra és repülőre száll.|ezért|de|mert
MEDIA 4425 | meaning: to direct somebody to do something with authority
E 34186 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does the boss order his team? In the meeting room.|Where|When|Who
de|... gibt der Chef seinem Team Befehle? Im Meetingraum.|Wo|Wann|Wer
ua|... бос наказує своїй команді? У переговорній.|Де|Коли|Хто
es|¿... da órdenes el jefe a su equipo? En la sala de reuniones.|Dónde|Cuándo|Quién
fr|... le patron donne-t-il des ordres à son équipe ? Dans la salle de réunion.|Où|Quand|Qui
tr|Patron ekibine ... emir veriyor? Toplantı odasında.|nerede|ne zaman|kim
hu|... utasítja a főnök a csapatát? A tárgyalóban.|Hol|Mikor|Ki
MEDIA 4426 | meaning: a formally arranged gathering
E 33905 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|She has got ... colleagues at the meeting table.|six|sixth|sixes
de|Sie hat ... Kollegen am Besprechungstisch.|sechs|sechste|Sechsen
ua|Вона має ... колег за столом для нарад.|шість|шостих|шістки
