MEDIA 4535 | meaning: a unit of instruction
E 33713 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
ua|Її коробки лежать купою. Я думаю, якийсь покупець ... їй.|допоможе|збирається допомогти|
es|Sus cajas están en un montón. Yo creo que un cliente la ...|ayudará|va a ayudar|
fr|Ses boîtes sont en tas. Je pense qu'un client ...|l'aidera|va l'aider|
tr|Kutuları bir yığın halinde duruyor. Ben düşünüyorum ki bir müşteri ona ...|yardım edecek|yardım edecek|
hu|A dobozai egy kupacban hevernek. Én azt hiszem, egy vásárló ... neki.|segíteni fog|segíteni fog|
MEDIA 4667 | meaning: an aircraft with fixed wings and engines
E 34440 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|The plane drops three ... on parachutes.|crates|crate|crats
de|Das Flugzeug wirft drei ... an Fallschirmen ab.|Kisten|Kiste|Kisten
ua|Літак скидає три ... на парашутах.|ящики|ящик|ящики
es|El avión lanza tres ... con paracaídas.|cajas|caja|cajas
fr|L'avion largue trois ... avec des parachutes.|caisses|caisse|caisses
tr|Uçak paraşütlerle üç ... atıyor.|sandıklar|sandık|sandıklar
hu|A repülő három ... dob le ejtőernyővel.|ládát|ládát|ládát
E 34441 | A2 type 21 There is, are | style slang | options 3 | SEL
en|Yo, there ... like five crates falling from that plane, bro.|are|is|be
de|Yo, da ... so fünf Kisten, die aus dem Flugzeug fallen, Digga.|sind|ist|sein
ua|Йо, там ... десь п'ять ящиків, що падають з того літака, бро.|є|є|бути
es|Ey, ... como cinco cajas cayendo de ese avión, tío.|hay|hay|hay
fr|Yo, ... genre cinq caisses qui tombent de cet avion, frérot.|il y a|il y a|il y a
tr|Kanka, o uçaktan düşen beş kadar sandık ..., bak.|var|var|olmak
hu|Figyu, vagy öt láda ..., ami abból a gépből esik le, tesó.|van|van|lenni
MEDIA 4670 | meaning: the protective covering on top of a building
E 34851 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|Her roof is ... flat roof, not a tiled roof.|a|the|an
de|Ihr Dach ist ... Flachdach, kein Ziegeldach.|ein|das|ein
ua|Її дах — ... плаский дах, а не черепичний.|||
es|Su tejado es ... tejado plano, no un tejado de tejas.|un|el|un
fr|Son toit est ... toit plat, pas un toit en tuiles.|un|le|un
tr|Onun çatısı ... düz çatı, kiremitli çatı değil.|bir||bir
hu|Az ő teteje ... lapos tető, nem cseréptető.|egy|a|egy
E 34855 | A2 type 20 Much, Many, Some... | style slang | options 3 | SEL
en|Bro, she's kinda out of pegs. Only ... pegs left on the roof.|a few|much|a little
de|Digga, ihr gehen irgendwie die Klammern aus. Nur noch ... Klammern auf dem Dach.|ein paar|viel|ein bisschen
ua|Бро, у неї якось закінчуються прищіпки. На даху лишилося лише ... прищіпок.|кілька|багато|трохи
es|Tío, ella se está quedando sin pinzas. Solo quedan ... pinzas en la azotea.|unas pocas|mucha|un poco de
fr|Frérot, elle est un peu à court de pinces. Il ne reste que ... pinces sur le toit.|quelques|beaucoup de|un peu de
tr|Kanka, o resmen mandalsız kalmak üzere. Çatıda sadece ... mandal kaldı.|birkaç|çok|biraz
hu|Tesó, ő kicsit kifogyott a csipeszekből. Már csak ... csipesz maradt a tetőn.|pár|sok|egy kis
MEDIA 4671 | meaning: a mechanical or electrical device that does work
E 33838 | A1 type 6 A, AN, THE | style flirt | options 3 | SEL
en|Smooth move: you put the blanket into ... other machine.|the|a|an
de|Starker Move: Du steckst die Decke in ... andere Maschine.|die|eine|eine
ua|Круто: ти кладеш ковдру в ... іншу машину.|||
es|Buen movimiento: tú metes la manta en ... otra máquina.|la|una|una
fr|Joli coup : tu mets la couverture dans ... autre machine.|l'|une|une
tr|Şık hareket: sen battaniyeyi ... diğer makineye koyuyorsun.||bir|bir
hu|Ügyes húzás: te a takarót ... másik gépbe teszed.|a|egy|egy
E 33845 | A2 type 13 Present or Past Simple | style clueless | options 2 | SEL
en|Yesterday the machine ... the blanket, so the blanket was in the machine.|washed|washes|
de|Gestern ... die Maschine die Decke, also war die Decke in der Maschine.|wusch|wäscht|
ua|Учора машина ... ковдру, тож ковдра була в машині.|випрала|пере|
es|Ayer la máquina ... la manta, así que la manta estaba en la máquina.|lavó|lava|
fr|Hier, la machine ... la couverture, donc la couverture était dans la machine.|a lavé|lave|
tr|Dün makine battaniyeyi ..., yani battaniye makinedeydi.|yıkadı|yıkar|
hu|Tegnap a gép ... a takarót, tehát a takaró a gépben volt.|kimosta|kimossa|
MEDIA 4673 | meaning: lacking physical strength
E 36295 | A2 type 14 Present Continuous | style chill | options 3 | SEL
en|The weak man ... to lift a huge dumbbell right now.|is trying|tries|is try
de|Der schwache Mann ... gerade, eine riesige Hantel zu heben.|versucht|versucht|versucht
ua|Слабкий чоловік саме зараз ... підняти величезну гантель.|намагається|намагається|намагається
es|El hombre débil ... levantar una mancuerna enorme ahora mismo.|está intentando|intenta|está intentando
fr|L'homme faible ... soulever un énorme haltère en ce moment.|est en train d'essayer de|essaie de|est en train d'essayer de
tr|Zayıf adam şu an kocaman bir dambılı kaldırmaya ...|çalışıyor|çalışır|çalışıyor
hu|A gyenge férfi épp most ... felemelni egy hatalmas súlyzót.|próbál|próbál|próbál
MEDIA 4674 | meaning: a flat horizontal surface for holding objects
E 35050 | A1 type 8 My, Your, His,... | style clueless | options 3 | SEL
en|He dusts ... shelves because they are his shelves.|his|her|its
de|Er staubt ... Regale ab, weil es seine Regale sind.|seine|ihre|seine
ua|Він витирає пил з ... полиць, бо це його полиці.|своїх|своїх|своїх
es|Él limpia el polvo de ... estantes porque son sus estantes.|sus|sus|sus
fr|Il dépoussière ... étagères parce que ce sont ses étagères.|ses|ses|ses
tr|O, ... raflarının tozunu alıyor çünkü onlar onun rafları.|onun|onun|onun
hu|Ő leporolja a ..., mert azok az ő polcai.|polcait|polcait|polcait
E 35054 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|Great job, obviously. Only a little ... is left on the shelf.|dust|dusts|clouds
de|Tolle Arbeit, klar. Nur ein bisschen ... ist noch auf dem Regal.|Staub|Staub|Wolken
ua|Чудова робота, звісно. На полиці залишилося лише трохи ...|пилу|пилу|хмар
es|Buen trabajo, obviamente. Solo queda un poco de ... en la estantería.|polvo|polvo|nubes
fr|Beau travail, évidemment. Il ne reste qu'un peu de ... sur l'étagère.|poussière|poussière|nuages
tr|Harika iş, belli ki. Rafta sadece biraz ... kaldı.|toz|tozlar|bulutlar
hu|Szép munka, nyilván. Már csak egy kis ... maradt a polcon.|por|por|felhő
MEDIA 4676 | meaning: a pattern of action passed down over time
E 36015 | A1 type 2 HAVE GOT | style dramatic | options 3 | SEL
en|This town ... a huge cheese tradition! Absolutely the best day!|has got|have got|has get
de|Diese Stadt ... eine riesige Käsetradition! Absolut der beste Tag!|hat|haben|hat
ua|Це місто ... величезну сирну традицію! Однозначно найкращий день!|має|мати|має
es|¡Este pueblo ... una enorme tradición quesera! ¡Sin duda el mejor día!|tiene|tienen|tiene
fr|Cette ville ... une énorme tradition du fromage ! Clairement le meilleur jour !|a|ont|a
tr|Bu kasabanın devasa bir peynir geleneği ...! Kesinlikle en güzel gün!|var|var|var
hu|Ennek a városnak hatalmas sajthagyománya ...! Abszolút a legjobb nap!|van|van|van
E 36022 | A2 type 26 Basic conjunctions | style dramatic | options 3 | SEL
en|The cheese is a nightmare to carry, ... the tradition goes on!|but|so|because
de|Den Käse zu tragen ist ein Albtraum, ... die Tradition geht weiter!|aber|also|weil
ua|Носити цей сир — жах, ... традиція триває!|але|тому|бо
es|¡Cargar el queso es una pesadilla, ... la tradición sigue!|pero|así que|porque
fr|Porter le fromage, c'est un cauchemar, ... la tradition continue !|mais|donc|parce que
tr|Peyniri taşımak kâbus, ... gelenek devam ediyor!|ama|bu yüzden|çünkü
hu|A sajtot cipelni rémálom, ... a hagyomány folytatódik!|de|ezért|mert
MEDIA 4681 | meaning: an artificial source of light
E 33637 | A2 type 17 Future BE GOING TO | style dramatic | options 3 | SEL
en|Nightmare! Her bag is so small, and she ... ten lamps!|is going to buy|will buy|buys
de|Albtraum! Ihre Tasche ist so klein, und sie ... zehn Lampen kaufen!|wird|wird|kauft
ua|Жах! Її сумка така маленька, а вона ... десять ламп!|збирається купити|купить|купує
es|¡Pesadilla! ¡Su bolso es tan pequeño y ella ... diez lámparas!|va a comprar|comprará|compra
fr|Cauchemar ! Son sac est si petit, et elle ... dix lampes !|va acheter|achètera|achète
tr|Kâbus! Çantası çok küçük ve o on lamba ...!|alacak|alacak|alır
hu|Rémálom! A táskája olyan kicsi, és ő tíz lámpát ...!|fog venni|fog venni|vesz
MEDIA 4683 | meaning: grains used as food
E 34780 | A1 type 10 Prepositions of place/time | style slang | options 3 | SEL
en|Dude, rice grains are all ... the counter, gonna be a mess.|on|in|at
de|Alter, überall ... Theke sind Reiskörner, das gibt ein Chaos.|auf der|in der|an der
ua|Чувак, рисинки всюди ... прилавку, буде безлад.|на|у|біля
es|Tío, los granos de arroz están ... todo el mostrador, va a ser un desastre.|por|en|a
fr|Mec, il y a des grains de riz partout ... le comptoir, ça va être le bazar.|sur|dans|à
tr|Kanka, pirinç taneleri tezgâhın ... her yerde, ortalık batacak.|üstünde|içinde|
hu|Haver, a rizsszemek mindenhol ott vannak a ..., kosz lesz.|pulton|pultban|pultnál
  ~soft: no diacritics at all
E 34784 | A2 type 16 Future with WILL | style dramatic | options 3 | SEL
en|If I eat this spicy rice, I ... cry forever!|will|am|did
de|Wenn ich diesen scharfen Reis esse, ... ich für immer weinen!|werde|bin|
ua|Якщо я з'їм цей гострий рис, я ... плакати вічно!|буду|є|
es|¡Si me como este arroz picante, yo ... llorar para siempre!||estoy|
fr|Si je mange ce riz épicé, je ... pleurer pour toujours !||suis|
tr|Bu acı pilavı yersem, ben sonsuza dek ...!|ağlayacağım||
hu|Ha megeszem ezt a csípős rizst, én örökké sírni ...!|fogok|vagyok|
MEDIA 4685 | meaning: to fix something by replacing a broken part
E 34739 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|He usually repairs cars, but today he ... a fuse box.|is repairing|repairs|
de|Er repariert normalerweise Autos, aber heute ... er einen Sicherungskasten.|repariert|repariert|
ua|Він зазвичай ремонтує машини, але сьогодні ... електрощиток.|ремонтує|ремонтує|
es|Él normalmente repara coches, pero hoy ... una caja de fusibles.|está reparando|repara|
fr|Il répare d'habitude des voitures, mais aujourd'hui il ... un tableau électrique.|est en train de réparer|répare|
tr|O genelde araba tamir eder ama bugün bir sigorta kutusu ...|tamir ediyor|tamir eder|
hu|Ő általában autókat javít, de ma egy biztosítékdobozt ...|javít|javít|
MEDIA 4686 | meaning: the act of making something work again
E 34730 | A2 type 17 Future BE GOING TO | style business | options 3 | SEL
en|Repair roadmap: she ... fix 3 breakers tonight.|is going to|will|is
de|Reparatur-Roadmap: Sie ... heute Abend 3 Sicherungsautomaten reparieren.|wird|wird|ist
ua|Роадмап ремонту: вона ... полагодити 3 автомати сьогодні ввечері.|збирається|буде|є
es|Hoja de ruta de la reparación: ella ... arreglar 3 disyuntores esta noche.|va a||está
fr|Feuille de route de la réparation : elle ... réparer 3 disjoncteurs ce soir.|va||est
tr|Onarım yol haritası: o bu akşam 3 sigortayı ...|onaracak|onaracak|
hu|Javítási ütemterv: ő ma este 3 kismegszakítót ... megjavítani.|fog|fog|van
MEDIA 4692 | meaning: goods offered for sale
E 34552 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... the products on the shelf.|lines up|line up|lining up
de|Er ... die Produkte im Regal in einer Reihe.|stellt|stellen|stellend
ua|Він ... товари на полиці.|вишиковує|вишиковувати|вишиковуючи
es|Él ... los productos en la estantería.|alinea|alinear|alineando
fr|Il ... les produits sur l'étagère.|aligne|aligner|alignant
tr|O ürünleri rafa ...|dizer|dizmek|dizerek
  ~soft: length ratio 0.58
hu|Ő ... a termékeket a polcon.|sorba rendezi|sorba rendezni|sorba rendező
E 34557 | A2 type 24 Modal verb SHOULD | style flirt | options 3 | SEL
en|Your product rows are perfect. Honestly, you ... run this shop.|should|shall|ought
de|Deine Produktreihen sind perfekt. Ehrlich, du ... diesen Laden leiten.|solltest|sollst|solltest
ua|Твої ряди товарів ідеальні. Чесно, ти ... керувати цим магазином.|мав би|будеш|мав би
es|Tus filas de productos son perfectas. En serio, tú ... dirigir esta tienda.|deberías|deberás|deberías
fr|Tes rangées de produits sont parfaites. Franchement, tu ... diriger ce magasin.|devrais|devras|devrais
tr|Ürün sıraların kusursuz. Açıkçası sen bu dükkânı ...|işletmelisin|işleteceksin|işletmelisin
hu|Tökéletesek a termék-soraid. Őszintén, neked ... vezetned ezt a boltot.|kellene|kell|kellene
MEDIA 4697 | meaning: the beginning of anything
E 35463 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|If his start is this fast, he ... the race.|will win|win|won
de|Wenn sein Start so schnell ist, ... er das Rennen gewinnen.|wird|gewinnen|gewann
ua|Якщо його старт такий швидкий, він ... перегони.|виграє|вигравати|виграв
es|Si su salida es así de rápida, él ... la carrera.|ganará|ganar|ganó
fr|Si son départ est aussi rapide, il ... la course.|gagnera|gagner|a gagné
tr|Çıkışı bu kadar hızlıysa, o yarışı ...|kazanacak|kazanmak|kazandı
hu|Ha ilyen gyors a rajtja, ő ... a versenyt.|meg fogja nyerni|megnyerni|megnyerte
MEDIA 4701 | meaning: to destroy completely
E 34876 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|Every wave ... your castle, but you are so calm. Respect.|ruins|ruin|ruining
de|Jede Welle ... deine Burg, aber du bist so ruhig. Respekt.|zerstört|zerstören|zerstörend
ua|Кожна хвиля ... твій замок, а ти такий спокійний. Респект.|руйнує|руйнувати|руйнуючи
es|Cada ola ... tu castillo, pero tú estás tan tranquilo. Respeto.|destruye|destruir|destruyendo
fr|Chaque vague ... ton château, mais tu es si calme. Respect.|détruit|détruire|détruisant
tr|Her dalga kaleni ... ama sen çok sakinsin. Saygı.|yıkar|yıkmak|yıkarak
hu|Minden hullám ... a váradat, de te olyan nyugodt vagy. Respekt.|lerombolja|lerombolni|leromboló
E 34879 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|An hour ago the waves ... his tall sandcastle.|ruined|ruins|ruin
de|Vor einer Stunde ... die Wellen seine hohe Sandburg.|zerstörten|zerstört|zerstören
ua|Годину тому хвилі ... його високий замок із піску.|зруйнували|руйнує|руйнують
es|Hace una hora las olas ... su alto castillo de arena.|destruyeron|destruye|destruyen
fr|Il y a une heure, les vagues ... son grand château de sable.|ont détruit|détruit|détruisent
tr|Bir saat önce dalgalar onun yüksek kumdan kalesini ...|yıktı|yıkar|yıkarlar
hu|Egy órája a hullámok ... a magas homokvárát.|lerombolták|lerombolja|lerombolják
MEDIA 4704 | meaning: headwear that protects the head from bad weather
E 33214 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The steam hides his face, but not ... fur hat.|his|her|its
de|Der Dampf verdeckt sein Gesicht, aber nicht ... Pelzmütze.|seine|ihre|seine
ua|Пара ховає його обличчя, але не ... хутряну шапку.|його|її|його
es|El vapor le tapa la cara, pero no ... gorro de piel.|su|su|su
fr|La vapeur cache son visage, mais pas ... chapka.|sa|sa|sa
tr|Buhar onun yüzünü gizliyor ama ... kürk şapkasını değil.|onun|onun|onun
hu|A gőz eltakarja az arcát, de a ... nem.|szőrmesapkáját|szőrmesapkáját|szőrmesapkáját
E 33219 | A2 type 13 Present or Past Simple | style ironic | options 2 | SEL
en|Great choice, obviously. Every day he ... a fur hat in the sauna.|wears|wore|
de|Tolle Wahl, klar. Jeden Tag ... er in der Sauna eine Pelzmütze.|trägt|trug|
ua|Чудовий вибір, звісно. Щодня він ... хутряну шапку в сауні.|носить|носив|
es|Gran elección, obviamente. Cada día él ... un gorro de piel en la sauna.|lleva|llevó|
fr|Excellent choix, évidemment. Tous les jours, il ... une chapka dans le sauna.|porte|a porté|
tr|Harika seçim, belli ki. O her gün saunada kürk şapka ...|takar|taktı|
hu|Remek választás, nyilván. Ő minden nap szőrmesapkát ... a szaunában.|hord|hordott|
MEDIA 4707 | meaning: a person who needs medical care
E 34283 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|The nurse checks ... patients at the school fair.|many|much|a little
de|Die Krankenschwester untersucht ... Patienten auf dem Schulfest.|viele|viel|ein bisschen
ua|Медсестра оглядає ... пацієнтів на шкільному ярмарку.|багато|багато|трохи
es|La enfermera revisa a ... pacientes en la feria del colegio.|muchos|mucho|un poco de
fr|L'infirmière examine ... patients à la fête de l'école.|beaucoup de|beaucoup de|un peu de
tr|Hemşire okul şenliğinde ... hastayı muayene ediyor.|çok|çok|biraz
hu|Az ápolónő ... beteget vizsgál meg az iskolai vásáron.|sok|sok|egy kis
MEDIA 4709 | meaning: a number of people or things taken as a unit
E 33082 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... with his group in front of the waterfall.|stands|stand|standing
de|Er ... mit seiner Gruppe vor dem Wasserfall.|steht|stehen|stehend
ua|Він ... зі своєю групою перед водоспадом.|стоїть|стояти|стоячи
es|Él ... con su grupo delante de la cascada.|está de pie|estar de pie|estando de pie
fr|Il ... avec son groupe devant la cascade.|se tient|se tenir|se tenant
tr|O grubuyla şelalenin önünde ...|durur|durmak|durarak
hu|Ő a csoportjával ... a vízesés előtt.|áll|állni|álló
E 33088 | A2 type 26 Basic conjunctions | style flirt | options 3 | SEL
en|Respect: you are tired, ... you still cheer loudest in the group.|but|so|because
de|Respekt: Du bist müde, ... du jubelst trotzdem am lautesten in der Gruppe.|aber|also|weil
ua|Респект: ти втомлений, ... все одно вболіваєш найгучніше в групі.|але|тому|бо
es|Respeto: tú estás cansado, ... aun así animas más fuerte que nadie del grupo.|pero|así que|porque
fr|Respect : tu es fatigué, ... tu encourages quand même le plus fort du groupe.|mais|donc|parce que
tr|Saygı: sen yorgunsun ... yine de grupta en yüksek sesle tezahürat yapıyorsun.|ama|bu yüzden|çünkü
hu|Respekt: te fáradt vagy, ... mégis a leghangosabban szurkolsz a csoportban.|de|ezért|mert
MEDIA 4715 | meaning: a very big green fruit, red and juicy inside
E 36287 | A1 type 5 Singular and plural | style clueless | options 3 | SEL
en|The watermelon has got forty rubber ..., so it has got forty.|bands|band|bandes
de|Die Wassermelone hat vierzig ..., also hat sie vierzig.|Gummibänder|Gummiband|Gummibänder
ua|Кавун має сорок ..., тож у нього їх сорок.|гумок|гумка|гумок
es|La sandía tiene cuarenta ..., así que tiene cuarenta.|gomas|goma|gomas
fr|La pastèque a quarante ..., donc elle en a quarante.|élastiques|élastique|élastiques
tr|Karpuzun kırk lastik ... var, yani kırk tane var.|bantlar|bant|bantlar
hu|A görögdinnyén negyven ... van, tehát negyven van rajta.|gumi|gumi|gumi
E 36293 | A2 type 19 Countable and uncountable | style slang | options 3 | SEL
en|Bro, there's so much watermelon ... on the grass. Iconic.|juice|juices|seeds
de|Digga, da ist so viel ... von der Melone im Gras. Kult.|Saft|Saft|Kerne
ua|Бро, на траві стільки кавунового ... Культово.|соку|соку|насіння
es|Tío, hay tanto ... de sandía en la hierba. Icónico.|zumo|zumo|semillas
fr|Frérot, il y a tellement de ... de pastèque sur l'herbe. Iconique.|jus|jus|pépins
tr|Kanka, çimlerde o kadar çok karpuz ... var ki. Efsane.|suyu|suları|çekirdeği
hu|Tesó, annyi ... van a füvön a dinnyéből. Ikonikus.|lé|lé|mag
MEDIA 4720 | meaning: arousing laughter
E 32907 | A1 type 1 TO BE | style chill | options 3 | SEL
en|Their faces in the phone ... very funny.|are|is|am
de|Ihre Gesichter im Handy ... sehr lustig.|sind|ist|bin
ua|Їхні обличчя в телефоні ... дуже смішні.|є|є|є
es|Sus caras en el móvil ... muy graciosas.|son|es|soy
fr|Leurs têtes dans le téléphone ... très drôles.|sont|est|suis
tr|Telefondaki yüzleri çok komik ...|||
hu|Az arcuk a telefonban ... nagyon vicces.|||vagyok
E 32910 | A2 type 13 Present or Past Simple | style gossip | options 2 | SEL
en|Listen, apparently they ... funny faces in class every single day.|make|made|
de|Hör zu, anscheinend ... sie jeden einzelnen Tag im Unterricht Grimassen.|schneiden|schnitten|
ua|Слухай, кажуть, вони ... смішні гримаси на уроці кожнісінький день.|корчать|корчили|
es|Oye, al parecer ellos ... muecas graciosas en clase todos los días.|hacen|hicieron|
fr|Écoute, apparemment ils ... des grimaces en classe tous les jours.|font|ont fait|
tr|Dinle, görünüşe göre onlar her gün sınıfta komik suratlar ...|yapar|yaptı|
hu|Figyelj, állítólag ők minden egyes nap vicces fejeket ... az órán.|vágnak|vágtak|
MEDIA 4722 | meaning: dark spectacles that protect the eyes from the sun
E 35663 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|Several women ... dark sunglasses on at the party.|have got|has got|have get
de|Mehrere Frauen ... auf der Party dunkle Sonnenbrillen auf.|haben|hat|haben
ua|Кілька жінок ... на вечірці темні сонцезахисні окуляри.|мають|має|мають
es|Varias mujeres ... gafas de sol oscuras puestas en la fiesta.|tienen|tiene|tienen
fr|Plusieurs femmes ... des lunettes de soleil foncées sur le nez à la fête.|ont|a|ont
tr|Partide birkaç kadının gözünde koyu güneş gözlüğü ...|var|var|var
hu|A bulin több nőn sötét napszemüveg ...|van|van|van
E 35666 | A2 type 20 Much, Many, Some... | style flirt | options 3 | SEL
en|Not gonna lie, ... guests here love your sunglasses.|many|much|a little
de|Ehrlich gesagt, ... Gäste hier lieben deine Sonnenbrille.|viele|viel|ein bisschen
ua|Чесно, ... гостей тут у захваті від твоїх сонцезахисних окулярів.|багато|багато|трохи
es|No te voy a mentir, a ... invitados de aquí les encantan tus gafas de sol.|muchos|mucho|un poco de
fr|Sans mentir, ... invités ici adorent tes lunettes de soleil.|beaucoup d'|beaucoup d'|un peu d'
tr|Yalan yok, buradaki ... misafir güneş gözlüklerine bayılıyor.|çok|çok|biraz
hu|Nem hazudok, itt ... vendég imádja a napszemüvegedet.|sok|sok|egy kis
MEDIA 4724 | meaning: to produce laughter
E 33672 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|She ... in the foam pit with her eyes shut.|laughs|laugh|laughing
de|Sie ... mit geschlossenen Augen in der Schaumstoffgrube.|lacht|lachen|lachend
ua|Вона ... в поролоновій ямі із заплющеними очима.|сміється|сміятися|сміючись
es|Ella ... en el foso de espuma con los ojos cerrados.|ríe|reír|riendo
fr|Elle ... dans la fosse à mousse, les yeux fermés.|rit|rire|riant
tr|O köpük havuzunda gözleri kapalı ...|güler|gülmek|gülerek
hu|Ő csukott szemmel ... a szivacsmedencében.|nevet|nevetni|nevető
E 33679 | A2 type 26 Basic conjunctions | style flirt | options 3 | SEL
en|You laugh so hard ... the foam pit is fun. Honestly, iconic.|because|but|so
de|Du lachst so sehr, ... die Schaumstoffgrube Spaß macht. Ehrlich, ikonisch.|weil|aber|also
ua|Ти так сильно смієшся, ... поролонова яма — це весело. Чесно, культово.|бо|але|тому
es|Tú te ríes tanto ... el foso de espuma es divertido. En serio, icónico.|porque|pero|así que
fr|Tu ris tellement ... la fosse à mousse est amusante. Franchement, iconique.|parce que|mais|donc
tr|Sen çok gülüyorsun ... köpük havuzu eğlenceli. Açıkçası, efsane.|çünkü|ama|bu yüzden
hu|Te úgy nevetsz, ... a szivacsmedence vicces. Őszintén, ikonikus.|mert|de|ezért
MEDIA 4725 | meaning: Italian bread dough baked with sauce and cheese
E 34420 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The family eats pizza ... night under string lights.|at|in|on
de|Die Familie isst ... der Nacht Pizza unter Lichterketten.|in|in|an
ua|Родина їсть піцу ... нічний час під гірляндами.|у|у|на
es|La familia come pizza ... noche bajo las guirnaldas de luces.|de|en|sobre
fr|La famille mange de la pizza ... la nuit sous les guirlandes lumineuses.||dans|sur
tr|Aile gece ... ışık zincirlerinin altında pizza yiyor.|||
hu|A család ... pizzát eszik a fényfüzérek alatt.|éjjel|éjszakában|éjszakán
E 34424 | A2 type 21 There is, are | style clueless | options 3 | SEL
en|There ... pizza on the table because they made pizza.|is|are|be
de|Auf dem Tisch ... Pizza, weil sie Pizza gemacht haben.|ist|sind|sein
ua|На столі ... піца, бо вони зробили піцу.|є|є|бути
es|... pizza en la mesa porque ellos hicieron pizza.|Hay|Hay|Hay
fr|... de la pizza sur la table parce qu'ils ont fait de la pizza.|Il y a|Il y a|Il y a
tr|Masada pizza ... çünkü onlar pizza yaptı.|var|var|olmak
hu|Az asztalon pizza ..., mert ők pizzát csináltak.|van|vannak|lenni
MEDIA 4726 | meaning: a person who operates a farm
E 32643 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|The farmer has one dog and ... cart.|one|first|ones
de|Der Bauer hat einen Hund und ... Karren.|einen|ersten|Einsen
ua|Фермер має одного пса і ... візок.|один|перший|одиниці
es|El granjero tiene un perro y ... carro.|un|primer|un
fr|Le fermier a un chien et ... charrette.|une|première|une
tr|Çiftçinin bir köpeği ve ... arabası var.|bir|birinci|birler
hu|A gazdának egy kutyája és ... kocsija van.|egy|első|egyesek
E 32644 | A2 type 12 Past Simple | style slang | options 3 | SEL
en|No cap, the farmer ... like a hundred carrots today, bro.|pulled|pulls|pull
de|Ohne Witz, der Bauer ... heute so hundert Karotten aus der Erde, Digga.|zog|zieht|ziehen
ua|Без брехні, фермер сьогодні ... десь сотню морквин, бро.|висмикнув|висмикує|висмикувати
es|En serio, el granjero ... como cien zanahorias hoy, tío.|ha arrancado|arranca|arrancar
fr|Sans mentir, le fermier ... genre cent carottes aujourd'hui, frérot.|a arraché|arrache|arracher
tr|Yemin ederim, çiftçi bugün yüz kadar havuç ..., kanka.|çekti|çeker|çekmek
hu|Komolyan, a gazda ma vagy száz répát ..., tesó.|kihúzott|kihúz|kihúzni
MEDIA 4727 | meaning: a male parent
E 32674 | A2 type 14 Present Continuous | style gossip | options 3 | SEL
en|Ok so, apparently the father ... a baby on his shoulders right now.|is carrying|carries|is carry
de|Also, anscheinend ... der Vater gerade ein Baby auf den Schultern.|trägt|trägt|trägt
ua|Коротше, кажуть, тато саме зараз ... малюка на плечах.|несе|несе|несе
es|Vale, al parecer el padre ... a un bebé a hombros ahora mismo.|está llevando|lleva|está llevando
fr|Bon, apparemment le père ... un bébé sur ses épaules en ce moment.|est en train de porter|porte|est en train de porter
tr|Tamam, görünüşe göre baba şu an omuzlarında bir bebek ...|taşıyor|taşır|taşıyor
hu|Szóval, állítólag az apa épp most egy babát ... a vállán.|visz|visz|visz
MEDIA 4728 | meaning: to be asleep
E 35241 | A2 type 17 Future BE GOING TO | style flirt | options 3 | SEL
en|After a long shift you ... sleep all day, and honestly, respect.|are going to|will|are
de|Nach einer langen Schicht ... du den ganzen Tag schlafen, und ehrlich, Respekt.|wirst|wirst|bist
ua|Після довгої зміни ти ... спати цілий день, і чесно, респект.|збираєшся|будеш|є
es|Después de un turno largo, tú ... dormir todo el día, y en serio, respeto.|vas a||estás
fr|Après une longue garde, tu ... dormir toute la journée, et franchement, respect.|vas||es
tr|Uzun bir vardiyadan sonra sen bütün gün ..., ve açıkçası saygı.|uyuyacaksın|uyuyacaksın|
hu|Egy hosszú műszak után te egész nap ... aludni, és őszintén, respekt.|fogsz|fogsz|vagy
MEDIA 4731 | meaning: a body of people under a single government
E 34040 | A1 type 2 HAVE GOT | style dramatic | options 3 | SEL
en|Every nation ... its own flag! This is absolutely unforgettable!|has got|have got|has get
de|Jede Nation ... ihre eigene Flagge! Das ist absolut unvergesslich!|hat|haben|hat
ua|Кожна нація ... свій власний прапор! Це абсолютно незабутньо!|має|мати|має
es|¡Cada nación ... su propia bandera! ¡Esto es absolutamente inolvidable!|tiene|tienen|tiene
fr|Chaque nation ... son propre drapeau ! C'est absolument inoubliable !|a|ont|a
