# id | pos | members | ok {a/b} | bad {a/b} [| head=N] [| irr=lemma:f;f]
# ---- Phase 1 false rejections (report lines 1236-1290)
near_beside | x | near, beside, next to, by | Two dolphins jump out of the ocean {near/beside} the boat. | She lives {near/beside} London, about ten miles away.
leave_go | v | leave, go | The bus {leaves/goes} at six. | Please {leave/go} the door open.
leave_depart | v | leave, depart | The train {left/departed} on time. | She {left/departed} her bag on the bus.
go_away | v | go away, leave | Please {go away/leave}! | I {left/went away} my keys at home.
come_in_enter | v | come in, enter, go in, get in | She {came in/entered} quietly. | {Enter/Come in} your password.
exit_go_out | v | go out, exit, get out | She {went out/exited} through the back door. | They {went out/exited} for dinner.
run_sprint | v | run, sprint, race | She {ran/sprinted} to the bus. | She {runs/sprints} a small café.
walk_stroll | v | walk, stroll, wander | We {walked/strolled} along the beach. | He {walked/strolled} the dog.
wander_roam | v | wander, roam | They {wandered/roamed} around the old town. | My mind keeps {wandering/roaming} in class. -- ok? bad:
climb_go_up | v | climb, go up | She {climbed/went up} the stairs. | Prices {went up/climbed} ... -- ok
fall_drop | v | fall, drop | The glass {fell/dropped} to the floor. | She {dropped/fell} her phone.
fall_trip | v | trip, stumble | She {tripped/stumbled} over the cable. | They {tripped/stumbled} the alarm.
throw_toss_chuck | v | throw, toss, chuck, fling | She {threw/tossed} the ball. | They {threw/tossed} a party.
catch_grab | v | catch, grab | She {caught/grabbed} the ball. | I {caught/grabbed} a cold.
carry_bring | v | carry, bring, take | She {carried/brought} the box inside. | This shop doesn't {carry/bring} that brand.
bring_take | v | bring, take | -- skip
hold_carry | v | hold, carry | She is {holding/carrying} a baby. | The hall {holds/carries} 500 people.
open_unlock | v | open, unlock | She {unlocked/opened} the door. | She {opened/unlocked} the window.
close_shut | v | close, shut | Please {close/shut} the door. | We are {close/shut} friends.
turn_on_switch_on | v | turn on, switch on, put on | {Turn on/Switch on} the light. | The dog {turned on/switched on} its owner.
turn_off_switch_off | v | turn off, switch off | {Turn off/Switch off} the TV. | {Turn off/Switch off} at the next exit.
fill_fill_up | v | fill, fill up | She {filled/filled up} the glass. | That meal {filled/filled up} me up. -- bad
empty_clear | v | empty, clear | She {emptied/cleared} the table. | The sky {cleared/emptied} after the rain.
clean_tidy | v | clean, tidy, tidy up | She {cleaned/tidied} her room. | She {cleaned/tidied} the fish.
wash_rinse | v | wash, rinse | {Rinse/Wash} the rice. | She {washed/rinsed} her car with soap and a sponge. -- bad
cook_make | v | cook, make | She {cooked/made} dinner. | She {made/cooked} a mistake.
prepare_make | v | prepare, make, get ready | She {prepared/made} breakfast. | She {made/prepared} him laugh.
cut_chop_slice | v | cut, chop, slice | She {chopped/cut} the onion. | They {cut/chopped} the price.
chop_dice | v | chop, dice | {Chop/Dice} the carrots. | {Chop/Dice} the wood for the fire.
mix_stir | v | mix, stir | {Stir/Mix} the soup. | He likes to {stir/mix} up trouble.
break_smash | v | break, smash | She {broke/smashed} the glass. | She {broke/smashed} the news gently.
break_crack | v | break, crack | The ice {broke/cracked}. | He {cracked/broke} a joke.
tear_rip | v | tear, rip | She {tore/ripped} the letter in half. | Tears {tore/ripped} down her face. -- no
fix_mend | v | fix, mend, repair | She {mended/repaired} the torn shirt. | Let's {fix/mend} a time to meet.
build_construct | v | build, construct | They {built/constructed} a bridge. | She {built/constructed} up her confidence.
make_create | v | make, create | She {made/created} a website. | She {made/created} a phone call.
destroy_ruin | v | destroy, ruin, wreck | The rain {ruined/destroyed} the fruit. | The fire {ruined/destroyed} ... |
ruin_spoil | v | ruin, spoil | The rain {spoiled/ruined} the picnic. | Grandparents {spoil/ruin} their grandkids.
damage_harm | v | damage, harm | Smoking {damages/harms} your lungs. | The storm {damaged/harmed} the roof.
hurt_injure | v | hurt, injure | She {hurt/injured} her knee. | My feet {hurt/injure}.
hurt_ache | v | hurt, ache | My back {hurts/aches}. | She {hurt/ached} her arm.
kill_murder | v | kill, murder | -- skip
hide_conceal | v | hide, conceal | She {hid/concealed} the letter. | Let's play {hide/conceal} and seek.
show_display | v | show, display | The shop {shows/displays} its prices. | {Show/Display} me how.
show_play | v | show, play | The ad was {shown/played} twice. | The kids {played/showed} football.
show_demonstrate | v | show, demonstrate | She {showed/demonstrated} how it works. | Students {demonstrated/showed} against the war.
explain_describe | v | explain, describe | -- skip
send_post_mail | v | send, post, mail | She {posted/mailed} the letter. | She {posted/mailed} a photo on Instagram.
receive_accept | v | receive, accept | -- skip
accept_agree | v | accept, agree to | She {accepted/agreed to} the offer. | I {agree/accept} with you.
agree_approve | v | approve, agree to | -- skip
allow_permit | v | allow, permit | Dogs are not {allowed/permitted}. | {Allow/Permit} me to introduce myself. -- ok, bad:
forbid_ban | v | forbid, ban, prohibit | Smoking is {banned/prohibited} here. | Her dad {forbade/banned} her to go out.
need_require | v | need, require | You {need/require} a passport. | I {need/require} a hug.
want_wish | v | want, wish | -- skip
like_enjoy | v | like, enjoy | She {likes/enjoys} cooking. | What would you {like/enjoy} to drink?
love_adore | v | love, adore | She {loves/adores} her cat. | I'd {love/adore} to come.
hate_detest | v | hate, detest, can't stand | She {hates/can't stand} spiders. | I {hate/detest} to interrupt, but...
hate_dislike | v | hate, dislike, not like | She {hates/dislikes} broccoli. | I {hate/dislike} to say it, but you're wrong.
prefer_rather | v | prefer, would rather | -- skip
hope_expect | v | hope, expect | -- skip
wait_hang_on | v | wait, hang on, hold on | {Wait/Hang on} a minute! | We {waited/hung on} for the bus for an hour.
wait_await | v | wait for, await | They {waited for/awaited} the results. | {Wait for/Await} me!
meet_see | v | meet, see | I'm {meeting/seeing} Tom tonight. | I can't {see/meet} the screen.
meet_encounter | v | meet, come across, run into, bump into | I {ran into/bumped into} Tom yesterday. | The car {ran into/bumped into} a tree. -- ok
visit_see | v | visit, see, go to see | We {visited/saw} my grandma. | I {see/visit} what you mean.
invite_ask | v | invite, ask | She {invited/asked} him to the party. | She {asked/invited} him the time.
call_phone_ring | v | call, phone, ring | I'll {call/phone} you tomorrow. | They {called/phoned} the baby Emma.
learn_study | v | learn, study | She is {learning/studying} French. | I {learned/studied} that he was married.
teach_train | v | teach, train | She {teaches/trains} new staff. | The book {taught/trained} me a lesson.
understand_get | v | understand, get, see | Do you {understand/get} it? | Did you {get/understand} the milk?
know_realise | v | realise, know | -- skip
think_believe | v | think, believe | I {think/believe} she's right. | I {think/believe} about you every day.
remember_recall | v | remember, recall | I can't {remember/recall} his name. | {Remember/Recall} to lock the door.
forget_leave | v | forget, leave | I {forgot/left} my keys at home. | I {forgot/left} his name.
worry_be_afraid | v | worry, be afraid | Don't {worry/be afraid}, it's safe. | Don't {worry/be afraid} about the money. | head=0
scare_frighten | v | scare, frighten | The noise {scared/frightened} the cat. | Take a {scare/frighten}. -- bad
surprise_amaze | v | surprise, amaze | Her talent {amazed/surprised} everyone. | Let's {surprise/amaze} Mum with a cake.
laugh_giggle | v | laugh, giggle, chuckle | The kids {giggled/laughed} at the clown. | He {laughed/giggled} at danger.
cry_weep_sob | v | cry, weep, sob | She {cried/wept} at the end of the film. | "Help!" she {cried/wept}.
smile_grin | v | smile, grin | She {smiled/grinned} at me. | She gave a sad {smile/grin}.
shake_tremble_shiver | v | shake, tremble, shiver | She was {shaking/trembling} with fear. | {Shake/Tremble} the bottle before use.
sleep_nap_doze | v | sleep, nap, doze | Grandpa {dozed/napped} in his chair. | The flat {sleeps/naps} six people.
rest_relax | v | rest, relax | She {rested/relaxed} after work. | {Rest/Relax} the ladder against the wall.
sit_take_a_seat | v | sit down, take a seat, have a seat | Please {sit down/take a seat}. | The dog {sat down/took a seat} next to me. -- borderline
lie_down | v | lie down, lie | She {lay down/lay} on the sofa. | Don't {lie/lie down} to me.
stand_up_get_up | v | stand up, get up, rise | Everyone {stood up/got up} when she came in. | I {get up/stand up} at six every day.
get_up_wake | v | get up, wake up | I {woke up/got up} late. | The alarm {woke/got} me {up/up}. -- skip bad
eat_have | v | eat, have | She {ate/had} a banana. | She {had/ate} a shower.
drink_have | v | drink, have, sip | She {had/drank} a coffee. | She {has/drinks} two kids.
buy_purchase | v | buy, purchase | She {bought/purchased} a ticket. | I don't {buy/purchase} his story.
sell_market | v | sell, market | -- skip
pay_spend | v | pay, spend | -- skip
cost_be | v | cost, be | -- skip
earn_make | v | earn, make | She {earns/makes} 2,000 a month. | She {made/earned} a cake.
win_beat | v | beat, defeat | She {beat/defeated} her rival. | {Beat/Defeat} two eggs in a bowl.
lose_miss | v | lose, miss | -- skip
save_rescue | v | save, rescue | The firefighter {saved/rescued} the cat. | {Save/Rescue} the file before closing.
protect_guard | v | protect, guard, defend | Dogs {guard/protect} the house. | Sunscreen {protects/guards} your skin.
attack_assault | v | attack, assault | -- skip
fight_argue | v | fight, argue, quarrel, row | They {argue/fight} about money. | Soldiers {fight/argue} in wars.
hit_punch_slap | v | hit, punch | He {hit/punched} the bag. | The song {hit/punched} number one.
kick_boot | v | kick, boot | He {kicked/booted} the ball away. | {Boot/Kick} up the laptop.
knock_bang | v | knock, bang | She {knocked/banged} on the door. | She {knocked/banged} over the vase? -- skip bad
touch_feel | v | touch, feel | -- skip
pick_pluck | v | pick, pluck | She {picked/plucked} an apple. | She {picked/plucked} a team.
collect_gather | v | collect, gather | She {gathered/collected} shells. | I {gather/collect} you're leaving.
collect_pick_up | v | collect, pick up, fetch | I'll {collect/pick up} the kids from school. | I {picked up/collected} some Spanish on holiday.
drop_off | v | drop off, drop | Can you {drop me off/drop me} at the station? | I {dropped off/dropped} during the film.
drive_take | v | drive, take | I'll {drive/take} you home. | She {takes/drives} sugar in her tea.
ride_cycle | v | ride, cycle | She {rides/cycles} to work. | She {rode/cycled} the horse.
travel_go | v | travel, go | We {travelled/went} to Spain. | Sound {travels/goes} fast in water. -- ok? bad:
fly_travel_by_air | v | fly, go by plane | -- skip
hurry_up | v | hurry up, be quick | {Hurry up/Be quick}, we're late! | The years {hurried up/were quick}.
rush_dash | v | rush, dash, race | She {rushed/dashed} to the door. | I {rushed/dashed} the job and made mistakes.
chase_follow | v | chase, follow | The dog {chased/followed} the cat. | {Follow/Chase} the instructions.
follow_obey | v | follow, obey | {Follow/Obey} the rules. | {Follow/Obey} me on Instagram.
lead_guide | v | lead, guide | She {led/guided} us through the forest. | Smoking {leads/guides} to cancer.
point_show | v | point, show | -- skip
look_glance_peek | v | glance, look, peek, peep | She {glanced/looked} at her watch. | {Look/Glance}, I'm tired of this.
stare_gaze | v | stare, gaze | She {stared/gazed} out of the window. | Don't {stare/gaze} at people, it's rude.
notice_see_realise | v | notice, realise, realize | She {noticed/realised} she was late. | She {noticed/realised} the bird on the wall.
find_discover | v | find, discover | They {found/discovered} a cave. | I {find/discover} him boring.
find_out_learn | v | find out, learn, discover | She {found out/learned} the truth. | She {learned/found out} to swim.
guess_suppose | v | guess, suppose | I {guess/suppose} you're right. | {Guess/Suppose} what happened!
imagine_picture | v | imagine, picture | {Imagine/Picture} a beach at sunset. | {Picture/Imagine} this: no taxes? -- skip
dream_imagine | v | dream, imagine | -- skip
mean_intend | v | mean, intend | I didn't {mean/intend} to hurt you. | What does this word {mean/intend}?
plan_intend | v | plan, intend | She {plans/intends} to move. | She {planned/intended} the wedding.
prepare_get_ready | v | prepare, get ready | She is {getting ready/preparing} for the exam. | She {prepared/got ready} the salad.
arrange_organise | v | arrange, organise, organize | She {arranged/organised} the party. | She {arranged/organised} the flowers in a vase. -- ok, bad:
fetch_go_get | v | fetch, go and get, get | {Fetch/Go and get} your coat. | That {fetched/got} a good price. -- bad hmm
bring_back_return | v | bring back, return | -- skip
lend_borrow | v | lend, loan | Can you {lend/loan} me ten euros? | -- skip bad
borrow_use | v | borrow, use | -- skip
keep_store | v | keep, store | She {keeps/stores} the wine in the cellar. | {Keep/Store} quiet!
put_away_tidy | v | put away, tidy away | {Put away/Tidy away} your toys. | The police {put away/tidied away} the killer.
take_off_remove | v | take off, remove | {Take off/Remove} your shoes. | The plane {took off/removed} at six.
put_on_dress | v | get dressed, dress | She {got dressed/dressed} quickly. | She {dressed/got dressed} the salad.
change_switch | v | change, switch | She {changed/switched} to decaf. | She {changed/switched} the baby's nappy.
move_relocate | v | move, relocate | The company {moved/relocated} to Berlin. | The film really {moved/relocated} me.
grow_get_bigger | v | grow, get bigger | The puppy {grew/got bigger} fast. | We {grow/get bigger} tomatoes.
grow_increase | v | grow, increase, rise, go up | Prices {rose/went up}. | The sun {rose/went up} at six. -- bad? sun "went up" odd
increase_rise | v | increase, rise, go up | The price {increased/rose}. | They {increased/rose} the price.
decrease_fall | v | decrease, fall, drop, go down | Prices {fell/dropped}. | She {fell/dropped} off her bike. -- ok, bad: fell off / dropped off different
reduce_cut | v | reduce, cut, cut down | We need to {reduce/cut} costs. | She {cut/reduced} her finger.
become_get | v | become, get, grow, turn | It {got/became} dark. | He {became/got} a doctor.
happen_occur | v | happen, occur, take place | The accident {happened/occurred} at night. | It {occurred/happened} to me that she was right.
include_contain | v | include, contain | The price {includes/contains} breakfast. | This food {contains/includes} nuts. -- ok? bad:
consist_be_made_of | v | consist of, be made of | -- skip
belong_own | v | -- skip
own_have | v | own, have | She {owns/has} two cars. | She {has/owns} a cold.
have_got | x | have, have got | She {has/has got} two cats. | She {has/has got} breakfast at seven.
get_obtain | v | get, obtain | She {got/obtained} a visa. | {Get/Obtain} out!
get_become_tired | v | get, become | -- skip
try_on_test | v | test, try, try out | She {tested/tried out} the new app. | She {tried/tested} on the dress. -- bad
check_make_sure | v | check, make sure, ensure | {Check/Make sure} the door is locked. | {Check/Make sure} your coat at the entrance.
test_examine | v | test, examine | The doctor {examined/tested} the patient. | The teacher {tested/examined} our vocabulary. -- ok, bad:
fix_attach | v | attach, fix, fasten | {Attach/Fasten} the lid firmly. | Please {attach/fasten} the file to the email.
fasten_do_up | v | fasten, do up | {Fasten/Do up} your seatbelt. | They {did up/fastened} the old house.
tie_knot | v | tie, knot | She {tied/knotted} the rope. | The game was {tied/knotted} 2-2.
wrap_cover | v | wrap, cover | She {wrapped/covered} the baby in a blanket. | Who will {cover/wrap} my shift?
cover_hide | v | cover, hide | -- skip
pour_tip | v | pour, tip | She {poured/tipped} the water into the sink. | It's {pouring/tipping} with rain. -- actually "tipping down" fine; bad:
spill_drop | v | spill, knock over | -- skip
shine_sparkle | v | sparkle, glitter, twinkle, shine | The stars {twinkled/sparkled}. | Her eyes {sparkled/shone} with ... -- ok; bad:
burn_blaze | v | burn, blaze | The fire {burned/blazed} all night. | She {burned/blazed} her tongue.
light_set_fire | v | light, set fire to | -- skip
blow_out_put_out | v | blow out, put out | She {blew out/put out} the candles. | He {put out/blew out} the rubbish.
put_out_extinguish | v | put out, extinguish | Firefighters {put out/extinguished} the fire. | {Put out/Extinguish} the cat.
melt_thaw | v | melt, thaw | The snow {melted/thawed}. | {Melt/Thaw} the butter in a pan.
freeze_ice | v | freeze, ice | -- skip
dry_wipe | v | dry, wipe | She {dried/wiped} the dishes. | Let the paint {dry/wipe}.
soak_drench | v | soak, drench | The rain {soaked/drenched} us. | {Soak/Drench} the beans overnight.
sink_go_under | v | sink, go under | The boat {sank/went under}. | The sun {sank/went under} behind the hills.
float_drift | v | float, drift | The boat {drifted/floated} away. | Snow {drifted/floated} against the door.
sail_cruise | v | sail, cruise | -- skip
land_touch_down | v | land, touch down | The plane {landed/touched down}. | She {landed/touched down} a great job.
take_off_lift_off | v | take off, lift off | The rocket {took off/lifted off}. | {Take off/Lift off} your coat.
fly_soar | v | soar, fly | The eagle {soared/flew} above us. | Time {flies/soars}.
crawl_creep | v | crawl, creep | The baby {crawled/crept} across the floor. | The web {crawler/creeper} indexed the site. -- noun
sneak_creep | v | sneak, creep, tiptoe | She {sneaked/crept} out of the house. | She {sneaked/crept} a look at the answers.
hop_skip | v | hop, skip | The kids {hopped/skipped} down the path. | I {skipped/hopped} breakfast.
bounce_jump | v | bounce, jump | The ball {bounced/jumped} off the wall. | The cheque {bounced/jumped}.
roll_turn_over | v | roll over, turn over | The dog {rolled over/turned over}. | {Turn over/Roll over} the page.
turn_spin_rotate | v | turn, spin, rotate | The wheel {turned/spun}. | {Turn/Spin} left at the lights.
spin_twirl | v | spin, twirl, whirl | The dancer {spun/twirled} around. | The PR team {spun/twirled} the story.
swing_sway | v | swing, sway | The trees {swayed/swung} in the wind. | Can you {swing/sway} by tomorrow?
bend_bow | v | bend, bow | She {bent/bowed} her head. | {Bend/Bow} your knees.
stretch_extend | v | stretch, extend | She {stretched/extended} her arm. | Always {stretch/extend} before running.
squeeze_press | v | squeeze, press | She {squeezed/pressed} my hand. | {Squeeze/Press} the lemon.
hug_embrace | v | hug, embrace, cuddle | She {hugged/embraced} her son. | The road {hugs/embraces} the coast.
kiss_peck | v | kiss, peck | -- skip
wave_signal | v | wave, signal | She {waved/signalled} to the waiter. | She {waved/signalled} goodbye.
nod_agree | v | nod, agree | -- skip
whisper_murmur | v | whisper, murmur | She {whispered/murmured} his name. | Doctors heard a heart {murmur/whisper}.
mumble_mutter | v | mumble, mutter | He {mumbled/muttered} something. | -- skip
sing_hum | v | sing, hum | She {hummed/sang} a tune. | The fridge {hums/sings}.
play_perform | v | play, perform | The band {played/performed} three songs. | The kids {played/performed} in the garden.
dance_move | v | dance, move | -- skip
draw_sketch | v | draw, sketch | She {drew/sketched} a cat. | She {drew/sketched} money from her account.
paint_colour | v | paint, colour, color | She {painted/coloured} the picture. | She {painted/coloured} the walls white.
write_note_down | v | write down, note down, jot down | She {wrote down/noted down} his number. | -- skip
write_draft | v | write, draft | She {wrote/drafted} the contract. | She {writes/drafts} to her grandma every week.
read_look_through | v | read, look through | She {read/looked through} the report. | Can you {read/look through} French?
print_type | v | print, type | -- skip
text_message | v | text, message | She {texted/messaged} me. | She {texted/messaged} ... -- skip
record_film | v | record, film | They are {recording/filming} the scene. | She {recorded/filmed} a new album.
roll_record | v | roll, run, record | The cameras were {rolling/running}. | The ball {rolled/ran} under the sofa.
photograph_take_photo | v | photograph, take a photo of | -- skip
reach_arrive_at | v | reach, arrive at, get to | We {reached/arrived at} the hotel. | She {reached/arrived at} for the salt.
enter_type_in | v | enter, type in, key in | {Enter/Type in} your PIN. | They {entered/typed in} the room.
remove_delete | v | remove, delete | {Delete/Remove} the file. | {Remove/Delete} the stain with soap.
add_include | v | add, include | -- skip
count_calculate | v | count, calculate, work out | She {calculated/worked out} the cost. | I {worked out/calculated} at the gym.
solve_work_out | v | solve, work out, figure out, sort out | She {solved/worked out} the problem. | We {sorted out/solved} the clothes by colour.
repair_sort_out | v | sort out, deal with | I'll {sort out/deal with} the tickets. | I'll {deal with/sort out} the cards. -- bad
look_after_take_care | v | look after, take care of | She {looks after/takes care of} her little brother. | {Look after/Take care of} yourself! -- both fine; bad:
babysit_mind | v | mind, look after | Can you {mind/look after} the kids? | Do you {mind/look after} if I sit here?
feed_nourish | v | feed, nourish | -- skip
raise_bring_up | v | raise, bring up | She {raised/brought up} three kids. | Don't {bring up/raise} your voice.
bring_up_mention | v | bring up, mention, raise | She {brought up/mentioned} the problem. | She {brought up/mentioned} four children.
mention_say | v | mention, say | -- skip
suggest_recommend | v | suggest, recommend | She {suggested/recommended} the fish. | -- skip bad
suggest_propose | v | suggest, propose | She {suggested/proposed} a new plan. | He {proposed/suggested} to her on the beach.
advise_recommend | v | advise, recommend | -- skip
warn_alert | v | warn, alert | They {warned/alerted} us about the storm. | -- skip
complain_moan | v | complain, moan, grumble | She always {complains/moans} about work. | The patient {moaned/complained} in pain.
admit_confess | v | admit, confess | He {admitted/confessed} that he lied. | The hospital {admitted/confessed} him at night.
deny_refuse | v | deny, refuse | -- skip
promise_swear | v | promise, swear | I {promise/swear} I'll be there. | Don't {swear/promise} in front of the kids.
thank_appreciate | v | -- skip
greet_welcome | v | greet, welcome | She {greeted/welcomed} the guests. | We {welcome/greet} your feedback.
introduce_present | v | introduce, present | She {introduced/presented} the new product. | She {presented/introduced} him with a prize.
celebrate_party | v | celebrate, party | -- skip
marry_get_married | v | marry, get married to | She {married/got married to} Tom. | The priest {married/got married to} the couple.
divorce_split_up | v | split up, break up, separate | They {split up/broke up} last year. | The teacher {split up/broke up} the class into groups.
join_become_member | v | join, sign up for | She {joined/signed up for} the gym. | {Join/Sign up for} the two wires.
book_reserve | v | book, reserve | I've {booked/reserved} a table. | The police {booked/reserved} him for speeding.
cancel_call_off | v | cancel, call off | They {cancelled/called off} the match. | {Call off/Cancel} your dog!
delay_postpone | v | delay, postpone, put off | They {postponed/put off} the meeting. | The smell {put off/postponed} me.
avoid_escape | v | avoid, escape | -- skip
escape_run_away | v | escape, run away, get away | The prisoner {escaped/ran away}. | The water {escaped/ran away} from the pipe. -- skip bad
flee_run_away | v | flee, run away | They {fled/ran away} from the fire. | -- skip
disappear_go_missing | v | go missing, disappear | Her cat {went missing/disappeared}. | The pain {disappeared/went missing}.
appear_turn_up | v | turn up, show up, appear | He {turned up/showed up} late. | {Turn up/Show up} the volume.
stay_live | v | stay, live | -- skip
live_reside | v | live, reside | -- skip
exist_be | v | -- skip
die_pass_away | v | die, pass away | Her grandfather {died/passed away}. | My phone {died/passed away}.
kill_time | v | -- skip
feel_sense | v | feel, sense | She {felt/sensed} danger. | {Feel/Sense} the fabric, it's soft.
smell_sniff | v | smell, sniff | The dog {sniffed/smelled} the bag. | He has a cold and keeps {sniffing/smelling}.
taste_try | v | taste, try | -- dup
enjoy_have_fun | v | enjoy yourself, have fun, have a good time | {Enjoy yourself/Have fun} at the party! | -- skip
improve_get_better | v | improve, get better | Her English {improved/got better}. | She {improved/got better} the design.
repair_restore | v | restore, repair | -- skip
explode_blow_up | v | explode, blow up, go off | The bomb {exploded/went off}. | My alarm {went off/exploded} at six.
erupt_break_out | v | break out | -- skip
shake_hands | v | -- skip
steal_rob | v | steal, nick, pinch | Someone {stole/nicked} my bike. | {Pinch/Steal} yourself, you're not dreaming.
rob_burgle | v | rob, burgle | -- skip
lie_fib | v | -- skip
cheat_trick | v | cheat, trick, fool | He {tricked/fooled} me. | He {cheated/tricked} on his wife.
annoy_irritate | v | annoy, irritate, bug | His voice {annoys/irritates} me. | The cream {irritated/annoyed} her skin.
upset_hurt | v | upset, hurt | His words {upset/hurt} her. | She {hurt/upset} her leg.
calm_down_relax | v | calm down, relax, chill out | {Calm down/Relax}, it's fine. | -- skip
comfort_console | v | comfort, console | She {comforted/consoled} her friend. | -- skip
encourage_motivate | v | encourage, motivate | Her coach {encouraged/motivated} her. | Warm weather {encourages/motivates} mould. -- ok? bad
persuade_convince | v | persuade, convince | She {persuaded/convinced} him to come. | I'm {convinced/persuaded} it was him. -- ok-ish; bad
force_make | v | force, make | -- skip
manage_succeed | v | manage, succeed | -- skip
fail_miss | v | -- skip
practise_rehearse | v | rehearse, practise, practice | The actors {rehearsed/practised} the scene. | Doctors {practise/rehearse} medicine.
exercise_work_out | v | exercise, work out, train | She {works out/exercises} every day. | I can't {work out/exercise} the answer.
jog_run | v | jog, run | She {jogs/runs} every morning. | She {runs/jogs} a company.
swim_bathe | v | -- skip
climb_scramble | v | -- skip
shop_go_shopping | v | shop, go shopping | -- skip
order_ask_for | v | order, ask for | She {ordered/asked for} a coffee. | The judge {ordered/asked for} silence. -- ok hmm; bad:
serve_bring | v | serve, bring | -- skip
wash_clean_up | v | wash up, do the dishes, do the washing-up | She {washed up/did the dishes} after dinner. | A body {washed up/did the dishes} on the beach.
iron_press | v | iron, press | She {ironed/pressed} his shirt. | {Press/Iron} the button.
hang_up_put_up | v | hang, put up | She {hung/put up} the picture. | She {hung up/put up} the phone. -- hmm
put_up_raise | v | put up, raise | -- skip
set_up_start | v | set up, start, found, establish | She {set up/started} her own company. | She {started/set up} crying.
run_manage | v | run, manage | She {runs/manages} a small hotel. | She {runs/manages} every morning.
work_function | v | work, function | The printer doesn't {work/function}. | She {works/functions} in a bank.
break_down_stop_working | v | break down, stop working | Our car {broke down/stopped working}. | She {broke down/stopped working} in tears.
charge_recharge | v | charge, recharge | {Charge/Recharge} your phone. | They {charged/recharged} him with theft.
plug_in_connect | v | plug in, connect | {Plug in/Connect} the charger. | She {connects/plugs in} with people easily.
switch_swap | v | switch, swap, exchange | Can we {swap/switch} seats? | {Switch/Swap} off the TV.
exchange_trade | v | exchange, trade | -- skip
share_split | v | share, split | We {shared/split} the bill. | The wood {split/shared} in two.
divide_split | v | divide, split | {Divide/Split} the class into groups. | {Divide/Split} 10 by 2.
join_connect | v | join, connect, link | A bridge {joins/connects} the islands. | {Join/Connect} us for dinner!
separate_part | v | -- skip
compare_contrast | v | -- skip
measure_weigh | v | -- skip
fit_suit | v | fit, suit | The dress {suits/fits} her perfectly. | Red really {suits/fits} you.
match_go_with | v | match, go with | The bag {matches/goes with} her shoes. | Let's {go with/match} plan B.
wear_have_on | v | wear, have on | She {wears/has on} a red coat. | -- skip
dress_up | v | -- skip
gain_put_on | v | put on, gain | She {put on/gained} three kilos. | She {put on/gained} her shoes.
lose_weight | v | -- skip
pack_put | v | pack, put | She {packs/puts} the books into a box. | She {packed/put} her bags and left him.
unpack_empty | v | -- skip
load_fill | v | load, fill | -- skip
deliver_bring | v | deliver, bring | The postman {delivered/brought} a parcel. | She {delivered/brought} a baby girl.
send_ship | v | send, ship | They {send/ship} worldwide. | {Send/Ship} my love to your mum.
fly_travel | v | -- skip
# ---- nouns
child_kid_baby | n | baby, infant | The {baby/infant} is sleeping. | Don't be such a {baby/infant}!
man_guy | n | man, guy, bloke | A {man/guy} at the bar asked for you. | Hi, {guys/men}! (to a mixed group)
girl_young_woman | n | girl, young woman | -- skip
friend_mate | n | friend, mate | She is my best {friend/mate}. | The bird was looking for a {mate/friend} in spring.
boss_manager | n | boss, manager | Her {boss/manager} gave her a raise. | You're the {boss/manager}, love.
teacher_tutor | n | teacher, tutor | -- skip
doctor_physician | n | doctor, GP | -- skip
job_work_position | n | job, position, post | She applied for the {job/position}. | It's a hard {job/position} to climb that wall.
work_job | n | work, job | She's looking for {work/a job}. -- skip
company_firm | n | company, firm, business | She works for a law {firm/company}. | Thanks for your {company/firm}.
shop_boutique | n | -- skip
house_home | n | house, home | They bought a {house/home} by the sea. | Make yourself at {home/house}.
flat_apartment | n | flat, apartment | She rents a small {flat/apartment}. | I've got a {flat/apartment} tyre.
room_space | n | room, space | There's no {room/space} for a piano. | She went to her {room/space}.
garden_yard | n | garden, yard, backyard | The kids play in the {garden/yard}. | The table is one {yard/garden} long.
street_road | n | street, road | They live on a quiet {street/road}. | She's on the {road/street} to recovery.
town_city | n | town, city | -- skip
car_vehicle | n | car, vehicle | -- skip
lorry_truck | n | lorry, truck | A {lorry/truck} blocked the road. | I have no {truck/lorry} with liars.
bus_coach | n | bus, coach | We took the {coach/bus} to London. | Her {coach/bus} shouted at her.
train_tube | n | underground, tube, subway, metro | We took the {underground/tube}. | They crossed the road through a {subway/tube} (BrE underpass).
luggage_baggage | n | luggage, baggage, bags | Keep your {luggage/baggage} with you. | He has a lot of emotional {baggage/luggage}.
suitcase_case | n | suitcase, case | She packed her {suitcase/case}. | In any {case/suitcase}, I'll call you.
ticket_fare | n | ticket, fare | -- skip
holiday_vacation | n | holiday, vacation, break | We went to Spain on {holiday/vacation}. | Monday is a bank {holiday/vacation}.
trip_journey_tour | n | trip, journey, tour, outing | a day {trip/outing} to the coast | She's on a world {tour/outing}.
journey_travel | n | journey, travel | -- skip
way_route | n | way, route | This is the fastest {way/route} to school. | There's no {way/route} I'm doing that.
path_track | n | path, track | -- dup trail_path
hill_mountain | n | -- skip
forest_woods | n | forest, woods, wood | They got lost in the {woods/forest}. | This table is made of {wood/woods}.
river_stream | n | river, stream, brook | -- skip
sea_ocean | n | sea, ocean | Dolphins jump out of the {sea/ocean}. | There were {oceans/seas} of mud. -- ok? bad:
